phase,dataset,trial_id,profile_id,seed,best_epoch,validation_mean_mse_4h,trainable_parameters,checkpoint_sha256_before_test,artifact_dir,test_artifact_dir,source_ledger
H5B,ETTh1,ETTh1__h5b_seq672_p21,h5b_seq672_p21,2021,2,1.1083540090705297,2139017,4357e791c558e61701a2124fa0169040212d3c31d5e6b619e01f00d5f76f46b8,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq672_p21/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq672_p21/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq672_p28,h5b_seq672_p28,2021,1,1.1360903728963985,2795529,64de204c0e4ce0bbcb72fbf4a49fd7f68c88c8182bb49d3114169a5b12b3b543,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq672_p28/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq672_p28/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq768_p24,h5b_seq768_p24,2021,1,1.1371540867583088,2420489,45eaabb0c61e22797e70012d896f705d98f89ad0041340616006c34c086356ca,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq768_p24/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq768_p24/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq768_p32,h5b_seq768_p32,2021,1,1.1297981685751841,3170825,7b4cbdd3fd82a45b12dabdd6a107168b0eda85540ab6253bb15eb319ceb31420,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq768_p32/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq768_p32/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq840_p28,h5b_seq840_p28,2021,1,1.1591348400871668,2795721,edce4614552a04081730858b6f7e9fd7cbce5c929785240434c410ce3141205d,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq840_p28/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq840_p28/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_seq960_p32,h5b_seq960_p32,2021,2,1.1297503177682677,3171017,b5856496d42e832865adaf107c0b74c863ba47714ecd4c3af555ab67bb459266,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_seq960_p32/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_seq960_p32/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_wd0,h5b_wd0,2021,2,1.1338770894740249,2420425,7eea401a80915722c4b32417a51e89a0f74f6b0cc30620cf2c6c1b3faae09dca,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_wd0/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_wd0/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_wd1e3,h5b_wd1e3,2021,2,1.134016029521202,2420425,00718151f7eb3467a7f218a8de6ab36656e876174e82b2dc58500176bf594a2d,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_wd1e3/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_wd1e3/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_wd1e4,h5b_wd1e4,2021,2,1.1343076807550259,2420425,673c7465086ba0be094e33374dc92264b341c0ce117d79f9018e3c123d166bed,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_wd1e4/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_wd1e4/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_wd3e2,h5b_wd3e2,2021,2,1.134313606624935,2420425,e19d69f7a6c89d3e77854320a622ea495c7c732ca5fbd2c15fcc31fdad19e122,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_wd3e2/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_wd3e2/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
H5B,ETTh1,ETTh1__h5b_wd3e3,h5b_wd3e3,2021,2,1.1340389302473457,2420425,6efc0ea7155ca9ef8e558bc3180ed1c0f42f51f8f6be163aa2619b4dc023f6ba,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/trials/ETTh1/ETTh1__h5b_wd3e3/seed2021,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_main_v1_hpo/h5b/test_audit/ETTh1/ETTh1__h5b_wd3e3/seed2021,analysis/iscf_bsca_main_v1_hpo_20260731/h5b_artifact_audit_20260813/trial_ledger.jsonl
