dataset,arm,target_horizon,mse,mae,source_path,relative_mse_vs_full_pct,beats_full,relative_mse_vs_multi_prefix_pct,beats_multi_prefix,relative_mse_vs_h0b_stochastic_k2_pct,beats_h0b_stochastic_k2,fixed_mse,relative_mse_vs_fixed_pct,beats_fixed
ETTm2,prefix_conditioned_stochastic_k2,336,0.2666208744049072,0.3178122639656067,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.9973510577233058,True,0.09354492992856844,False,0.04499966898852126,False,0.26330146193504333,1.2606889629358742,False
ETTm2,prefix_conditioned_stochastic_k2,720,0.3417050838470459,0.3697045147418976,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.5417510179842933,True,0.23153648225047174,False,0.16380755464613372,False,0.343566358089447,-0.5417510179842933,True
ETTm2,target_set_decoder_multiprefix,96,0.16119956970214844,0.24620851874351501,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-3.8270930274838078,True,-0.9690966004264778,True,-0.9222777237416491,True,0.15492716431617737,4.048615627644403,False
ETTm2,target_set_decoder_multiprefix,192,0.21555764973163605,0.28323161602020264,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.8046610550890074,True,-0.2593521924861397,True,-0.2561336376754708,True,0.21023891866207123,2.529850849410953,False
ETTm2,target_set_decoder_multiprefix,336,0.2663112282752991,0.31736648082733154,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.1123300035179806,True,-0.022700952377119332,True,-0.07118983419008851,True,0.26330146193504333,1.1430875917423755,False
ETTm2,target_set_decoder_multiprefix,720,0.34196171164512634,0.36965951323509216,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.46705575401619903,True,0.3068125016063128,False,0.23903270813434574,False,0.343566358089447,-0.46705575401619903,True
Weather,prefix_conditioned_stochastic_k2,96,0.14166775345802307,0.18129520118236542,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.0494079458250871,True,0.1715858292126171,False,0.16883117704116213,False,0.14042679965496063,0.883701548501814,False
Weather,prefix_conditioned_stochastic_k2,192,0.18262241780757904,0.2226303070783615,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.2127005002647517,True,0.03469826791078212,False,0.014950524129297982,False,0.1822342574596405,0.21300075701984333,False
Weather,prefix_conditioned_stochastic_k2,336,0.23207396268844604,0.2629055678844452,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.043055257275527,True,0.1465460089522308,False,0.10679664382788889,False,0.2326551377773285,-0.24980109806931328,True
Weather,prefix_conditioned_stochastic_k2,720,0.3041312098503113,0.3140997290611267,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_prefix_conditioned_stochastic_k2_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-0.8622837769585723,True,0.1713375074049006,False,0.16315730737734846,False,0.3067764937877655,-0.8622837769585723,True
Weather,target_set_decoder_multiprefix,96,0.14159463346004486,0.18111535906791687,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.100480027610351,True,0.11988354711582883,False,0.11713031672282437,False,0.14042679965496063,0.8316317169897003,False
Weather,target_set_decoder_multiprefix,192,0.18242298066616058,0.2224404662847519,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.3205835129704302,True,-0.07454699619600103,True,-0.09427317398565949,True,0.1822342574596405,0.10356077345219372,False
Weather,target_set_decoder_multiprefix,336,0.23183563351631165,0.2628292143344879,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.144679439688201,True,0.04370016133563581,False,0.003991616961607214,False,0.2326551377773285,-0.3522399156304812,True
Weather,target_set_decoder_multiprefix,720,0.3035742938518524,0.31375381350517273,analysis/phase5_timealign_hss_h1_readout_gate_20260630/raw/official-last/TimeAlignOfficialUnified720_H1_target_set_decoder_multiprefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv,-1.043821805372236,True,-0.012093257469081298,True,-0.020258478158385884,True,0.3067764937877655,-1.043821805372236,True
