dataset,seed,left_scale,right_scale,prediction_nrmse,residual_correlation,log_scale_distance
ETTh2,2022,144,360,0.10183875412037038,0.8832523331231689,0.9162907318741551
ETTh2,2022,144,720,0.09985041998404817,0.8860216822244374,1.6094379124341005
ETTh2,2022,360,720,0.08146804292820287,0.9232722705446231,0.6931471805599454
ETTh2,2023,1,48,0.09661303493102515,0.8836817095787504,3.871201010907891
ETTh2,2023,1,144,0.10165243829360796,0.8850076241968996,4.969813299576001
ETTh2,2023,1,360,0.087195170010553,0.9030897055820004,5.886104031450156
ETTh2,2023,1,720,0.08915046511054193,0.902417996908288,6.579251212010101
ETTh2,2023,48,144,0.10302770296080362,0.8809308337989545,1.0986122886681096
ETTh2,2023,48,360,0.08858287696845304,0.8999574666202256,2.0149030205422647
ETTh2,2023,48,720,0.08924743663155453,0.9018662886460626,2.70805020110221
ETTh2,2023,144,360,0.09379362365794253,0.9000475943300862,0.9162907318741551
ETTh2,2023,144,720,0.08916346708696538,0.9031491598058945,1.6094379124341005
ETTh2,2023,360,720,0.07112843646492811,0.9359109801475142,0.6931471805599454
ETTm1,2021,1,48,0.163748200937055,0.9746856919109107,3.871201010907891
ETTm1,2021,1,144,0.1774771366068196,0.9694269641201698,4.969813299576001
ETTm1,2021,1,360,0.17128513556526584,0.9720431337351196,5.886104031450156
ETTm1,2021,1,720,0.18232377168119604,0.969626879784607,6.579251212010101
ETTm1,2021,48,144,0.17739856255116693,0.9703728969624951,1.0986122886681096
ETTm1,2021,48,360,0.17342372544394877,0.9718377064370025,2.0149030205422647
ETTm1,2021,48,720,0.18143504280365716,0.9709775330676205,2.70805020110221
ETTm1,2021,144,360,0.17480068134157462,0.9703945048071793,0.9162907318741551
ETTm1,2021,144,720,0.18122834990312908,0.9687497801822462,1.6094379124341005
ETTm1,2021,360,720,0.15061975654690035,0.9795533623370346,0.6931471805599454
ETTm1,2022,1,48,0.15529016866907158,0.9812309460338869,3.871201010907891
ETTm1,2022,1,144,0.1876330163498332,0.9705354284520094,4.969813299576001
ETTm1,2022,1,360,0.1668117930131917,0.977180043567777,5.886104031450156
ETTm1,2022,1,720,0.19477337850430726,0.971888858624159,6.579251212010101
ETTm1,2022,48,144,0.16919694933138463,0.975272178043018,1.0986122886681096
ETTm1,2022,48,360,0.1580101909004526,0.9788854429457663,2.0149030205422647
ETTm1,2022,48,720,0.17344064160270667,0.9757728404893017,2.70805020110221
ETTm1,2022,144,360,0.1569274986658514,0.9774736228167629,0.9162907318741551
ETTm1,2022,144,720,0.16933013126229826,0.9744938993652363,1.6094379124341005
ETTm1,2022,360,720,0.13614290798573297,0.9844209990997785,0.6931471805599454
ETTm1,2023,1,48,0.1568085604910029,0.9761231076955571,3.871201010907891
ETTm1,2023,1,144,0.16955800024578113,0.9723615368352989,4.969813299576001
ETTm1,2023,1,360,0.15912180556053676,0.9757270789912867,5.886104031450156
ETTm1,2023,1,720,0.17203296786625352,0.9727233508346937,6.579251212010101
ETTm1,2023,48,144,0.1822863327498775,0.9681840013249671,1.0986122886681096
ETTm1,2023,48,360,0.16994602481121948,0.9724441408049874,2.0149030205422647
ETTm1,2023,48,720,0.17768717822756946,0.9710701786341752,2.70805020110221
ETTm1,2023,144,360,0.16272081390830867,0.9739542176026352,0.9162907318741551
ETTm1,2023,144,720,0.17537017428391605,0.9703963385673764,1.6094379124341005
ETTm1,2023,360,720,0.13949495238580414,0.9817840037077226,0.6931471805599454
ETTm2,2021,1,48,0.08102150861071337,0.9213152122875679,3.871201010907891
ETTm2,2021,1,144,0.08682951312769387,0.9093010698215301,4.969813299576001
ETTm2,2021,1,360,0.08956423450090976,0.9012448991714969,5.886104031450156
ETTm2,2021,1,720,0.09212830851667388,0.8937115986201212,6.579251212010101
ETTm2,2021,48,144,0.08357251407623427,0.916292921517547,1.0986122886681096
ETTm2,2021,48,360,0.08734156925319812,0.9066276005943934,2.0149030205422647
ETTm2,2021,48,720,0.08911900720410351,0.9013288658573152,2.70805020110221
ETTm2,2021,144,360,0.0868893296464337,0.9071017509808535,0.9162907318741551
ETTm2,2021,144,720,0.08982766774892,0.8990894230318118,1.6094379124341005
ETTm2,2021,360,720,0.0676951019038654,0.9407083060151737,0.6931471805599454
ETTm2,2022,1,48,0.07490807632525634,0.9270121790947733,3.871201010907891
ETTm2,2022,1,144,0.08964359463056946,0.9027183653207155,4.969813299576001
ETTm2,2022,1,360,0.07865419276568857,0.9153643186535456,5.886104031450156
ETTm2,2022,1,720,0.08073849638364966,0.9089261311665146,6.579251212010101
ETTm2,2022,48,144,0.09260691550721824,0.8971992119794885,1.0986122886681096
ETTm2,2022,48,360,0.08506577432315565,0.9046313963615539,2.0149030205422647
ETTm2,2022,48,720,0.08692572792228166,0.8990167288211739,2.70805020110221
ETTm2,2022,144,360,0.09528170724365011,0.8890569682687882,0.9162907318741551
ETTm2,2022,144,720,0.0989865668070822,0.879687146968621,1.6094379124341005
ETTm2,2022,360,720,0.06268181844759324,0.9434871519258402,0.6931471805599454
ETTm2,2023,1,48,0.08610467118344474,0.9358391750620904,3.871201010907891
ETTm2,2023,1,144,0.0795771136726109,0.9405034984277575,4.969813299576001
ETTm2,2023,1,360,0.08642985066733082,0.9276350436415955,5.886104031450156
ETTm2,2023,1,720,0.09767821417057976,0.9076765175326245,6.579251212010101
