dataset,loss_mode,target_horizon,mse,mae,source_path
ETTm2,full,336,0.26930680871009827,0.32044097781181335,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,full,720,0.343566358089447,0.3716011643409729,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,96,0.16277703642845154,0.2484007626771927,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,192,0.21611815690994263,0.28463125228881836,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,336,0.2663716971874237,0.31832632422447205,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
ETTm2,multi-prefix,720,0.3409157395362854,0.37010663747787476,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/ETTm2/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,full,96,0.14317019283771515,0.18443308770656586,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,full,192,0.18486426770687103,0.22576011717319489,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,full,336,0.23452013731002808,0.266031950712204,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,full,720,0.3067764937877655,0.31663402915000916,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_full_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,multi-prefix,96,0.14142508804798126,0.1816721260547638,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,multi-prefix,192,0.182559072971344,0.22321417927742004,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,multi-prefix,336,0.23173436522483826,0.2635156512260437,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
Weather,multi-prefix,720,0.30361101031303406,0.31451416015625,analysis/phase5_timealign_hss_d0_head_gate_20260629/raw/official-last/TimeAlignOfficialUnified720_D0_multi_prefix_official-last/Weather/mixed_h96_h192_h336_h720/seed2021/metrics_by_target_horizon.csv
