dataset,loss_mode,epoch,train_loss,train_prediction_l1,train_prediction_full_l1,train_reconstruction_l1,train_alignment_loss,val_mean_mse,lr,epoch_seconds,train_prediction_h96_l1,train_prediction_h192_l1,train_prediction_h336_l1,train_prediction_h720_l1
ETTh2,multi-prefix,4,0.5734476760952874,0.3979190340084312,0.48684706176276754,0.08402980908553685,0.9149883120460848,0.4240584708750248,0.0003969463130731183,4.241922378540039,0.33237406552101656,0.3671138970989042,0.4053411085521225,0.48684706176276754
ETTh2,multi-prefix,5,0.5449555340857632,0.39175206060166906,0.4789251685142517,0.06200629233720556,0.9119718167106662,0.4467433765530586,0.00032725424859373687,4.145890235900879,0.3277202057363713,0.3616903761846829,0.39867248874058764,0.4789251685142517
ETTh2,multi-prefix,6,0.5245821576202865,0.38776750677982263,0.4742475790260112,0.04579032538870795,0.9102432559021806,0.45035872608423233,0.00025,3.931363105773926,0.324746973021368,0.3579002021424538,0.3941752728635231,0.4742475790260112
ETTh2,multi-prefix,7,0.5089134244264755,0.3835457173068966,0.46935146110775194,0.03448059050514635,0.9088711540783401,0.4492211900651455,0.00017274575140626317,3.890960454940796,0.32138881819174353,0.35389175226466846,0.3895508356194581,0.46935146110775194
ETTh2,multi-prefix,8,0.5006143086779434,0.3822388821734791,0.4673305221099769,0.027606530279844207,0.9076889552901276,0.45662836730480194,0.00010305368692688174,4.025933742523193,0.32064733449864175,0.35281411841907334,0.388163552215669,0.4673305221099769
ETTh2,multi-prefix,9,0.4942634067440455,0.37952756683910843,0.46421300639620927,0.02404909677374943,0.9068674205151279,0.449878741055727,4.7745751406263163e-05,4.4913623332977295,0.31811271311171285,0.35017313735674965,0.3856114142500194,0.46421300639620927
ETTh2,multi-prefix,10,0.49224985608484895,0.3791463112672873,0.46571710204656147,0.022454478810912212,0.9064906374015639,0.4549475274980068,1.2235870926211617e-05,4.321018934249878,0.3170598076771846,0.3491021270773052,0.38470620576259307,0.46571710204656147
ETTm2,full,1,1.4780475669846111,0.39903181720827074,0.39903181720827074,0.1392768839208776,0.9397388652945117,0.18605116941034794,0.0001,19.11836051940918,,,,
ETTm2,full,2,1.3567803874899522,0.3815172870704566,0.3815172870704566,0.07840986311809667,0.8968532381140587,0.1869916319847107,9.755282581475769e-05,19.574164628982544,,,,
ETTm2,full,3,1.323021236648891,0.37745072534415713,0.37745072534415713,0.06000173448236178,0.8855687781995788,0.184626754373312,9.045084971874738e-05,19.611295700073242,,,,
ETTm2,full,4,1.304693980911984,0.37479175759558514,0.37479175759558514,0.04855097818069706,0.8813512461065786,0.1871446631848812,7.938926261462366e-05,19.679901361465454,,,,
ETTm2,full,5,1.2927324392160393,0.3731314966519827,0.3731314966519827,0.040088323646127945,0.8795126189251203,0.1853060331195593,6.545084971874738e-05,17.996100902557373,,,,
ETTm2,full,6,1.284392006954171,0.37197628916460573,0.37197628916460573,0.03366421564737457,0.8787515034546723,0.18598057515919209,5e-05,18.70867943763733,,,,
ETTm2,full,7,1.2783305875122777,0.37106301730433944,0.37106301730433944,0.028829308820018208,0.8784382618877419,0.1873847171664238,3.4549150281252636e-05,17.464303970336914,,,,
ETTm2,full,8,1.2740910243113528,0.3702210684569416,0.3702210684569416,0.025518347248506938,0.8783516108874648,0.1880420409142971,2.061073738537635e-05,17.441587209701538,,,,
ETTm2,full,9,1.271733927565652,0.3698207407930873,0.3698207407930873,0.023585418602415725,0.878327768799421,0.18753166869282722,9.549150281252633e-06,17.68171453475952,,,,
ETTm2,full,10,1.2705979016987052,0.369552788529617,0.369552788529617,0.022730198012787174,0.878314917094459,0.1864786073565483,2.4471741852423237e-06,17.597256660461426,,,,
ETTm2,multi-prefix,1,1.4167774842052385,0.3377438972642983,0.3992178753651247,0.1392768839208776,0.9397567028474624,0.18300640024244785,0.0001,19.561748504638672,0.28393100850773134,0.3178686266297539,0.3499580790436176,0.3992178753651247
ETTm2,multi-prefix,2,1.2928970939404256,0.31765964592745866,0.3830612987625093,0.07840986311809667,0.8968275858513637,0.1822046246379614,9.755282581475769e-05,18.969680786132812,0.259105287722409,0.29681050068335646,0.3316614948155567,0.3830612987625093
ETTm2,multi-prefix,3,1.2596482609229658,0.3141044811363616,0.3796129447325316,0.06000173448236178,0.88554204356026,0.1801447533071041,9.045084971874738e-05,19.138288736343384,0.2550887505894232,0.2932900670469958,0.3284261610833604,0.3796129447325316
ETTm2,multi-prefix,4,1.2416325106814101,0.3117559388653882,0.3772434723854755,0.04855097818069706,0.881325593383616,0.1829010210931301,7.938926261462366e-05,18.77616262435913,0.2526368107862454,0.29088462615910643,0.3262588475402948,0.3772434723854755
ETTm2,multi-prefix,5,1.2299945776757126,0.31041836958651836,0.3757906559006128,0.040088323646127945,0.8794878826523379,0.18207668140530586,6.545084971874738e-05,17.98504614830017,0.2514266344542439,0.2895671843216686,0.32488900315174724,0.3757906559006128
ETTm2,multi-prefix,6,1.2217498716240225,0.30936065823932873,0.3746376858024523,0.03366421564737457,0.8787249984888497,0.1827203743159771,5e-05,18.786388874053955,0.2503825638975416,0.28853069806766324,0.3238916848156903,0.3746376858024523
ETTm2,multi-prefix,7,1.2157693810214407,0.30852942610281775,0.37380355481475475,0.028829308820018208,0.8784106476771786,0.18394457921385765,3.4549150281252636e-05,17.77654194831848,0.24946713030453355,0.28770162426942103,0.3231453949650282,0.37380355481475475
ETTm2,multi-prefix,8,1.2117349390357617,0.30789304465688333,0.37309666052748336,0.025518347248506938,0.8783235467078603,0.18463817052543163,2.061073738537635e-05,17.840496063232422,0.24888291913282456,0.28708191530987565,0.3225106839018669,0.37309666052748336
ETTm2,multi-prefix,9,1.2093907701692985,0.3075069165770612,0.3726509490327255,0.023585418602415725,0.8782984350869094,0.18433244340121746,9.549150281252633e-06,17.706688165664673,0.24849804857580357,0.2867463195703665,0.3221323500786509,0.3726509490327255
ETTm2,multi-prefix,10,1.2082666169032166,0.30724970855422923,0.3724244700234139,0.022730198012787174,0.878286710116854,0.1831627432256937,2.4471741852423237e-06,17.62022089958191,0.24821060135040043,0.28649614805995727,0.3218676154160131,0.3724244700234139
Weather,full,1,0.552956910608908,0.42086769508648436,0.42086769508648436,0.08181997331108104,0.5026924148040558,0.5056743249297142,0.0001,34.66916489601135,,,,
Weather,full,2,0.4812988341123619,0.4044678217667535,0.4044678217667535,0.027884414419531822,0.48946597986595725,0.49357210099697113,9.755282581475769e-05,32.807820081710815,,,,
Weather,full,3,0.4583798889003506,0.4001806209717847,0.4001806209717847,0.010478229021118947,0.47721039272495125,0.49163466691970825,9.045084971874738e-05,32.761207818984985,,,,
Weather,full,4,0.45165177418544405,0.3976023985805925,0.3976023985805925,0.007034736660658802,0.47014639090867677,0.49639277905225754,7.938926261462366e-05,33.204829692840576,,,,
Weather,full,5,0.44751792336521595,0.3957110220290694,0.3957110220290694,0.0052305390782627385,0.4657636238564653,0.4895046278834343,6.545084971874738e-05,32.93614935874939,,,,
Weather,full,6,0.4443437019463911,0.39414644892250156,0.39414644892250156,0.00387257946670284,0.46324673757656387,0.49445690959692,5e-05,32.73051357269287,,,,
Weather,full,7,0.44195795726259696,0.39296768035484136,0.39296768035484136,0.0027983415145208445,0.46191935378399135,0.49053286761045456,3.4549150281252636e-05,32.737475872039795,,,,
Weather,full,8,0.44003429557011875,0.3919398804003581,0.3919398804003581,0.001961453510566013,0.4613296171441836,0.49190572649240494,2.061073738537635e-05,32.88213753700256,,,,
Weather,full,9,0.43879204154660123,0.3912979572850014,0.3912979572850014,0.001381412563599236,0.4611267215347032,0.49137791246175766,9.549150281252633e-06,32.996370792388916,,,,
Weather,full,10,0.43813285729192225,0.3909413162282658,0.3909413162282658,0.0010835544635614865,0.46107986332707457,0.4907093271613121,2.4471741852423237e-06,32.86765480041504,,,,
Weather,multi-prefix,1,0.49986406846059356,0.3677644836396947,0.42205313781431003,0.08181997331108104,0.5027961177946428,0.5076608806848526,0.0001,34.73267650604248,0.3120293912178558,0.3511079077740008,0.3858674975777791,0.42205313781431003
Weather,multi-prefix,2,0.4237824833888009,0.346937579099452,0.40615239513479845,0.027884414419531822,0.4896048987923116,0.49293844401836395,9.755282581475769e-05,32.84257650375366,0.2854580501302915,0.3292460736922839,0.36689379972671343,0.40615239513479845
Weather,multi-prefix,3,0.39983605305640707,0.34161258733659877,0.4016354293545661,0.010478229021118947,0.4774523742416275,0.4905678629875183,9.045084971874738e-05,32.731231451034546,0.2792113776779347,0.3237452338372327,0.361858309444968,0.4016354293545661
Weather,multi-prefix,4,0.3927373385547731,0.33866077596960514,0.39905558674451674,0.007034736660658802,0.47041825549374416,0.4956776648759842,7.938926261462366e-05,33.179577112197876,0.2758827941216502,0.3206898953079747,0.3590148285784446,0.39905558674451674
Weather,multi-prefix,5,0.388385072216015,0.3365502365552131,0.3971675959035808,0.0052305390782627385,0.466042970895552,0.48952963948249817,6.545084971874738e-05,32.89085268974304,0.2735701845387259,0.31850617411227,0.35695699153178867,0.3971675959035808
Weather,multi-prefix,6,0.3851118688387561,0.33488663745916275,0.39563835713514783,0.00387257946670284,0.4635265155927369,0.49303146451711655,5e-05,32.63868165016174,0.27177238912197227,0.3168073549920471,0.3553284495154443,0.39563835713514783
Weather,multi-prefix,7,0.38265601841443714,0.33363834730877345,0.39445854669658714,0.0027983415145208445,0.46219329277746085,0.48943012952804565,3.4549150281252636e-05,32.785996437072754,0.2704846984992604,0.31554095011325517,0.3540691941277215,0.39445854669658714
Weather,multi-prefix,8,0.38067578217720727,0.33255481666175896,0.3934725454944566,0.001961453510566013,0.46159511514088736,0.4905228391289711,2.061073738537635e-05,32.771084785461426,0.26929510057994605,0.31443809672168016,0.3530135227078135,0.3934725454944566
Weather,multi-prefix,9,0.3794596446980638,0.3319393659972112,0.39282758020214226,0.001381412563599236,0.46138866105880116,0.49044647067785263,9.549150281252633e-06,32.95105576515198,0.26872609762831284,0.31382372865070074,0.35238005710422776,0.39282758020214226
Weather,multi-prefix,10,0.37872506132087125,0.33150756975050866,0.39244558315199635,0.0010835544635614865,0.46133937008867193,0.4897739887237549,2.4471741852423237e-06,35.93375086784363,0.26824265258514496,0.31337617114455263,0.3519658719858538,0.39244558315199635
