dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ETTm2,H4M,ETTm2__h4m_p6_lr5e5,h4m_p6_lr5e5,0.24873275082480867,0.30569279133343635,True,0,1,1,1.0209026751006194,0.1805358638919498,1740229,1.0209026751006194,1.007007339472443,1.000232436578841,1.0014116502083565,True,True
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,0.39883606636750457,0.42508120289714263,False,,,,,0.7142016496495108,5312645,1.0,1.0,1.0,1.0,True,True
Solar,H4J,Solar__h4j_patch4_lr2e4,h4j_patch4_lr2e4,0.1909131539488108,0.21099267579100783,True,2,4,6,0.9997267783716879,0.12765376390017327,3893061,0.9997267783716879,1.006349700408034,1.0046857957413629,1.0015893216949265,True,False
Solar,H4J,Solar__h4j_patch4_lr2e4_dropout4,h4j_patch4_lr2e4_dropout4,0.1923772228836395,0.21153136361474056,True,0,4,4,1.0048369309469267,0.12823593025280547,3893061,1.0048369309469267,1.01406716410012,1.0072508705849046,1.0067089947519265,True,False
Solar,H4J,Solar__h4j_patch4_lr3e4,h4j_patch4_lr3e4,0.19048453204853955,0.210791918450881,True,2,4,6,0.998140412160059,0.1268700007209739,3893061,0.998140412160059,1.0040903300503374,1.0037298476390881,1.0,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4_dropout4,h4j_patch4_lr3e4_dropout4,0.1914789577566985,0.21000861830172016,True,2,4,6,0.998872307121709,0.12747809814774508,3893061,0.998872307121709,1.0093321899891876,1.0,1.000733258520278,True,True
Solar,H4J,Solar__h4j_patch4_lr3e4_rank64,h4j_patch4_lr3e4_rank64,0.1897867890868019,0.21278090191689036,True,2,4,6,1.000828081014487,0.1281076896907175,2488901,1.000828081014487,1.0004123570768526,1.0132008087934146,1.0026926761222017,True,True
Solar,H4K,Solar__h4k_patch2_lr3e4,h4k_patch2_lr3e4,0.18970856141896128,0.21402167706970365,True,1,3,4,1.003966045555615,0.13038040856116578,2243397,1.003966045555615,1.0,1.0191090194318497,1.0058364868555405,True,True
Weather,H1,Weather__h1_current,h1_conservative_anchor,0.21721319627192756,0.24865119770257765,True,0,0,0,1.0141777859998835,0.4842246044312589,2570133,1.0141777859998835,1.0114594303259683,1.010432846080893,1.0085205015264394,True,False
Weather,H1,Weather__h1_timealign,h1_timealign_source_prior,0.21657432174247032,0.2490305498664157,True,1,0,1,1.0148532971146835,0.48978661656340894,19115989,1.0148532971146835,1.008484492897187,1.011974402647342,1.009192244506506,True,False
Weather,H4J,Weather__h4j_current_patch24,h4j_current_patch24,0.21650824661008258,0.24917884821806058,True,1,0,1,1.0153381631462168,0.48909900858240674,4927509,1.0153381631462168,1.0081768121627257,1.012577036082878,1.0096744058593234,True,False
Weather,H4J,Weather__h4j_table5_dropout3,h4j_table5_dropout3,0.21655968841035864,0.2488773258733455,True,1,1,2,1.0148181745647702,0.48824183848272595,19181781,1.0148181745647702,1.0084163523697445,1.0113517531011653,1.0091573178771294,True,False
Weather,H4J,Weather__h4j_timealign_dropout3,h4j_timealign_dropout3,0.21658125939386774,0.24857747178227163,True,1,1,2,1.0138659938188117,0.48853639728807297,19115989,1.0138659938188117,1.0085167982683647,1.0101332493277986,1.0082104485838812,True,False
