split,comparison,metric,dataset,horizon,candidate_value,reference_value,gain_percent
validation,transfer_spec_vs_a6,mae,ETTh1,720,0.8168176133599546,0.8226312273078494,0.7067096111729843
validation,transfer_spec_vs_a6,mae,ETTh2,96,0.34003790576631826,0.34010349540039897,0.01928519846686738
validation,transfer_spec_vs_a6,mae,ETTh2,192,0.3885268122733881,0.3877565228225042,-0.19865286733975474
validation,transfer_spec_vs_a6,mae,ETTh2,336,0.44442711242785055,0.4444543732152808,0.006133540150154992
validation,transfer_spec_vs_a6,mae,ETTh2,720,0.5558229028557737,0.5545940778528651,-0.22157196623269204
validation,transfer_spec_vs_a6,mae,ETTm2,96,0.2257431601950278,0.2252465132623911,-0.220490397584161
validation,transfer_spec_vs_a6,mae,ETTm2,192,0.2639631706212337,0.26328608486801386,-0.25716731423890415
validation,transfer_spec_vs_a6,mae,ETTm2,336,0.3014153633931918,0.30069979431018945,-0.23796793231731783
validation,transfer_spec_vs_a6,mae,ETTm2,720,0.35471605905849074,0.3529551226231787,-0.4989122759360143
validation,specificity_spec_vs_random,mse,Weather,96,0.389521490316838,0.3939238619059324,1.117569158617171
validation,specificity_spec_vs_random,mse,Weather,192,0.4478090398479253,0.4501601884452005,0.5222915436826625
validation,specificity_spec_vs_random,mse,Weather,336,0.510473699575024,0.5120226660122474,0.3025191148835593
validation,specificity_spec_vs_random,mse,Weather,720,0.5927621668204666,0.5939063861552212,0.19265988065256812
validation,specificity_spec_vs_random,mse,ETTm1,96,0.384823988036563,0.38747954927384853,0.685342295422342
validation,specificity_spec_vs_random,mse,ETTm1,192,0.507055958500132,0.5100398560365041,0.5850322285712917
validation,specificity_spec_vs_random,mse,ETTm1,336,0.6585059430716294,0.6604491037627062,0.2942180828176211
validation,specificity_spec_vs_random,mse,ETTm1,720,0.9450653614476323,0.9455206310583486,0.04815015090751107
validation,specificity_spec_vs_random,mse,ETTh1,96,0.763981904524068,0.7862100781251987,2.827256253714805
validation,specificity_spec_vs_random,mse,ETTh1,192,1.008455496126165,1.0215939963236451,1.2860784465023256
validation,specificity_spec_vs_random,mse,ETTh1,336,1.2317668886943942,1.237250311211461,0.4431942726041971
validation,specificity_spec_vs_random,mse,ETTh1,720,1.4011295988741848,1.4000127276612653,-0.07977578995193024
validation,specificity_spec_vs_random,mse,ETTh2,96,0.236752016392226,0.2455507505995532,3.5832650422951695
validation,specificity_spec_vs_random,mse,ETTh2,192,0.3161522332811728,0.3236060861963779,2.3033722890742347
validation,specificity_spec_vs_random,mse,ETTh2,336,0.41482747610037524,0.42202852697422105,1.7062948150625035
validation,specificity_spec_vs_random,mse,ETTh2,720,0.6360772922531598,0.6437235679684414,1.1878197561436044
validation,specificity_spec_vs_random,mse,ETTm2,96,0.11034275544807315,0.11011008359491825,-0.2113083975223029
validation,specificity_spec_vs_random,mse,ETTm2,192,0.15036454214714468,0.1493746149353683,-0.6627144861291789
validation,specificity_spec_vs_random,mse,ETTm2,336,0.19671830712329774,0.19534372680243992,-0.7036726202362287
validation,specificity_spec_vs_random,mse,ETTm2,720,0.27713731970224115,0.2747955799102783,-0.8521752033738839
validation,specificity_spec_vs_random,mae,Weather,96,0.256934716211011,0.2571774610163023,0.09438805575420206
validation,specificity_spec_vs_random,mae,Weather,192,0.29770285193808377,0.29727106374533224,-0.14525066359012406
validation,specificity_spec_vs_random,mae,Weather,336,0.34217306621195304,0.34170817036092993,-0.1360505517126187
validation,specificity_spec_vs_random,mae,Weather,720,0.3935157650253839,0.3932010829138259,-0.08003083542549305
validation,specificity_spec_vs_random,mae,ETTm1,96,0.4066440179012716,0.40778409922495484,0.2795796417393692
validation,specificity_spec_vs_random,mae,ETTm1,192,0.4667703606343518,0.4679223824447642,0.2461993385299066
validation,specificity_spec_vs_random,mae,ETTm1,336,0.5290557598872554,0.5298332574200773,0.14674381457436825
validation,specificity_spec_vs_random,mae,ETTm1,720,0.633165832877987,0.6334126598512133,0.03896779917286208
validation,specificity_spec_vs_random,mae,ETTh1,96,0.5897245189795891,0.5969448039929072,1.2095398041866323
validation,specificity_spec_vs_random,mae,ETTh1,192,0.6756416509548823,0.6799601654832562,0.6351128709583653
validation,specificity_spec_vs_random,mae,ETTh1,336,0.753651542500371,0.7555267374430384,0.24819703257805692
validation,specificity_spec_vs_random,mae,ETTh1,720,0.8168176133599546,0.8171326302819781,0.038551504413031346
validation,specificity_spec_vs_random,mae,ETTh2,96,0.34003790576631826,0.3461469278360407,1.7648638709328868
validation,specificity_spec_vs_random,mae,ETTh2,192,0.3885268122733881,0.3930428687793513,1.148998459121886
validation,specificity_spec_vs_random,mae,ETTh2,336,0.44442711242785055,0.4484990067957413,0.9078937313556135
validation,specificity_spec_vs_random,mae,ETTh2,720,0.5558229028557737,0.5594846247384946,0.6544812351961138
validation,specificity_spec_vs_random,mae,ETTm2,96,0.2257431601950278,0.22539910945730904,-0.15264068192066826
validation,specificity_spec_vs_random,mae,ETTm2,192,0.2639631706212337,0.2630249244393781,-0.356713791993446
validation,specificity_spec_vs_random,mae,ETTm2,336,0.3014153633931918,0.3002760860669826,-0.37940994274019424
validation,specificity_spec_vs_random,mae,ETTm2,720,0.35471605905849074,0.35333412719062635,-0.391111914054898
validation,capacity_random_vs_a6,mse,Weather,96,0.3939238619059324,0.39752307906746864,0.9054108682141071
validation,capacity_random_vs_a6,mse,Weather,192,0.4501601884452005,0.4511818513274193,0.22644148456170132
validation,capacity_random_vs_a6,mse,Weather,336,0.5120226660122474,0.5111292526125908,-0.1747920697338312
validation,capacity_random_vs_a6,mse,Weather,720,0.5939063861552212,0.5915443831847773,-0.39929429432281616
validation,capacity_random_vs_a6,mse,ETTm1,96,0.38747954927384853,0.385598277207464,-0.4878839397335799
validation,capacity_random_vs_a6,mse,ETTm1,192,0.5100398560365041,0.5066415629504869,-0.6707489741321071
validation,capacity_random_vs_a6,mse,ETTm1,336,0.6604491037627062,0.6581350204401782,-0.3516122453079973
validation,capacity_random_vs_a6,mse,ETTm1,720,0.9455206310583486,0.9476426164102223,0.22392253314988952
validation,capacity_random_vs_a6,mse,ETTh1,96,0.7862100781251987,0.8035110860752562,2.1531760108705056
validation,capacity_random_vs_a6,mse,ETTh1,192,1.0215939963236451,1.0393715937777113,1.7104178679206994
validation,capacity_random_vs_a6,mse,ETTh1,336,1.237250311211461,1.2506356836695756,1.0702855062346917
validation,capacity_random_vs_a6,mse,ETTh1,720,1.4000127276612653,1.4098810522713594,0.6999402250421061
validation,capacity_random_vs_a6,mse,ETTh2,96,0.2455507505995532,0.23794827315335473,-3.1950126577715343
validation,capacity_random_vs_a6,mse,ETTh2,192,0.3236060861963779,0.31730930825384956,-1.9844290031009182
validation,capacity_random_vs_a6,mse,ETTh2,336,0.42202852697422105,0.4176896775496148,-1.0387734382281577
validation,capacity_random_vs_a6,mse,ETTh2,720,0.6437235679684414,0.6381410531906618,-0.8748089078217669
validation,capacity_random_vs_a6,mse,ETTm2,96,0.11011008359491825,0.10954067499066393,-0.5198147668004083
validation,capacity_random_vs_a6,mse,ETTm2,192,0.1493746149353683,0.1488501001149416,-0.3523778754745077
validation,capacity_random_vs_a6,mse,ETTm2,336,0.19534372680243992,0.19542567378708295,0.04193255832511955
validation,capacity_random_vs_a6,mse,ETTm2,720,0.2747955799102783,0.27440466980139416,-0.14245752784276533
validation,capacity_random_vs_a6,mae,Weather,96,0.2571774610163023,0.253185704893743,-1.5766119671861256
validation,capacity_random_vs_a6,mae,Weather,192,0.29727106374533224,0.2927322205699359,-1.550510280883799
validation,capacity_random_vs_a6,mae,Weather,336,0.34170817036092993,0.336645853373089,-1.503751475658488
validation,capacity_random_vs_a6,mae,Weather,720,0.3932010829138259,0.38757561882957814,-1.4514494232727548
validation,capacity_random_vs_a6,mae,ETTm1,96,0.40778409922495484,0.4053711254770557,-0.5952505238401962
validation,capacity_random_vs_a6,mae,ETTm1,192,0.4679223824447642,0.4649615415061514,-0.6367926536508195
validation,capacity_random_vs_a6,mae,ETTm1,336,0.5298332574200773,0.5280596475516047,-0.3358730167502877
validation,capacity_random_vs_a6,mae,ETTm1,720,0.6334126598512133,0.6325434183080991,-0.1374200597074049
validation,capacity_random_vs_a6,mae,ETTh1,96,0.5969448039929072,0.6048070310304562,1.299956289223947
validation,capacity_random_vs_a6,mae,ETTh1,192,0.6799601654832562,0.6880569768448671,1.1767646625341133
validation,capacity_random_vs_a6,mae,ETTh1,336,0.7555267374430384,0.7616743241392431,0.8071148654186233
validation,capacity_random_vs_a6,mae,ETTh1,720,0.8171326302819781,0.8226312273078494,0.6684157911031496
validation,capacity_random_vs_a6,mae,ETTh2,96,0.3461469278360407,0.34010349540039897,-1.7769392309616938
validation,capacity_random_vs_a6,mae,ETTh2,192,0.3930428687793513,0.3877565228225042,-1.3633158040430748
validation,capacity_random_vs_a6,mae,ETTh2,336,0.4484990067957413,0.4444543732152808,-0.9100222259488033
validation,capacity_random_vs_a6,mae,ETTh2,720,0.5594846247384946,0.5545940778528651,-0.8818245778179801
validation,capacity_random_vs_a6,mae,ETTm2,96,0.22539910945730904,0.2252465132623911,-0.0677463072381368
validation,capacity_random_vs_a6,mae,ETTm2,192,0.2630249244393781,0.26328608486801386,0.09919264391305971
validation,capacity_random_vs_a6,mae,ETTm2,336,0.3002760860669826,0.30069979431018945,0.14090739376089179
validation,capacity_random_vs_a6,mae,ETTm2,720,0.35333412719062635,0.3529551226231787,-0.10738038440436526
test,transfer_spec_vs_a6,mse,Weather,96,0.14203532406829728,0.14280098390433107,0.5361726614900308
test,transfer_spec_vs_a6,mse,Weather,192,0.18313282406027978,0.18398657557923903,0.4640292457596007
test,transfer_spec_vs_a6,mse,Weather,336,0.23272216409564772,0.23405307602961206,0.5686368051817214
test,transfer_spec_vs_a6,mse,Weather,720,0.3034458184795286,0.3045573192155346,0.3649561727391504
test,transfer_spec_vs_a6,mse,ETTm1,96,0.2889699634776345,0.287551725814144,-0.49321132031985293
test,transfer_spec_vs_a6,mse,ETTm1,192,0.32547125893188766,0.3274844699633159,0.6147500770506076
test,transfer_spec_vs_a6,mse,ETTm1,336,0.36306928531618005,0.3651728281194414,0.5760403407050085
test,transfer_spec_vs_a6,mse,ETTm1,720,0.42007613139034566,0.4214201815437537,0.318933504438379
test,transfer_spec_vs_a6,mse,ETTh1,96,0.367321184762223,0.3580029001691447,-2.602851705579945
test,transfer_spec_vs_a6,mse,ETTh1,192,0.40114268294567834,0.3895088559213071,-2.9867939707952873
test,transfer_spec_vs_a6,mse,ETTh1,336,0.42394945429706743,0.4092353839706897,-3.59550295568567
test,transfer_spec_vs_a6,mse,ETTh1,720,0.47513409840709386,0.4613577129774465,-2.9860529134192237
test,transfer_spec_vs_a6,mse,ETTh2,96,0.25283484119938826,0.2471837242444889,-2.286201072571381
test,transfer_spec_vs_a6,mse,ETTh2,192,0.2969192977409706,0.29248092182901353,-1.5174924518843502
test,transfer_spec_vs_a6,mse,ETTh2,336,0.33130839283114927,0.328793732314789,-0.764814006233161
test,transfer_spec_vs_a6,mse,ETTh2,720,0.4109275089766352,0.4082652449088857,-0.652091771452068
test,transfer_spec_vs_a6,mse,ETTm2,96,0.1601618012073919,0.16118568345568354,0.6352191003198837
test,transfer_spec_vs_a6,mse,ETTm2,192,0.21756078990036962,0.21725004419200847,-0.14303597014990732
test,transfer_spec_vs_a6,mse,ETTm2,336,0.2728522478907431,0.2717103614477961,-0.42025870373971763
test,transfer_spec_vs_a6,mse,ETTm2,720,0.3533666208464491,0.35036079535943987,-0.8579228974307851
test,transfer_spec_vs_a6,mae,Weather,96,0.18569002292770884,0.18364199391137656,-1.1152291328968111
test,transfer_spec_vs_a6,mae,Weather,192,0.22707136625056973,0.2255833944320902,-0.6596105277276942
test,transfer_spec_vs_a6,mae,Weather,336,0.266953064224121,0.2664903742512376,-0.17362352174385975
test,transfer_spec_vs_a6,mae,Weather,720,0.3167781474181492,0.3157985113764761,-0.31020920187467826
test,transfer_spec_vs_a6,mae,ETTm1,96,0.3383227865155668,0.33716027000297877,-0.3447964116821245
test,transfer_spec_vs_a6,mae,ETTm1,192,0.35933968082084017,0.3596378126452837,0.08289779716172951
test,transfer_spec_vs_a6,mae,ETTm1,336,0.37937386776701854,0.3798183875429982,0.11703482257802156
test,transfer_spec_vs_a6,mae,ETTm1,720,0.40892674265012574,0.40877454614309705,-0.03723238358765979
test,transfer_spec_vs_a6,mae,ETTh1,96,0.3979751446306859,0.39327628242961,-1.194799282592629
test,transfer_spec_vs_a6,mae,ETTh1,192,0.41925918341005,0.4134015232724623,-1.4169420787854659
test,transfer_spec_vs_a6,mae,ETTh1,336,0.43669410712626694,0.4299287161840598,-1.573607597616422
test,transfer_spec_vs_a6,mae,ETTh1,720,0.47921898995455814,0.47247343605935826,-1.4277107198789496
test,transfer_spec_vs_a6,mae,ETTh2,96,0.323980350799272,0.32003032202248805,-1.2342670381422227
test,transfer_spec_vs_a6,mae,ETTh2,192,0.35607767974885046,0.3523946608196656,-1.0451403890791688
test,transfer_spec_vs_a6,mae,ETTh2,336,0.3844598437492855,0.38228575798902126,-0.5687069724231497
test,transfer_spec_vs_a6,mae,ETTh2,720,0.43922311820901616,0.43770682928499244,-0.3464165561457344
test,transfer_spec_vs_a6,mae,ETTm2,96,0.24562072320543507,0.24593661566010439,0.12844466197985405
test,transfer_spec_vs_a6,mae,ETTm2,192,0.28534024024052185,0.28531496226177055,-0.008859675129158084
test,transfer_spec_vs_a6,mae,ETTm2,336,0.3232048638855052,0.32255349401833605,-0.2019416559574161
test,transfer_spec_vs_a6,mae,ETTm2,720,0.37912025244567743,0.37786953028200376,-0.33099312419824223
test,specificity_spec_vs_random,mse,Weather,96,0.14203532406829728,0.14242529636314719,0.273808308501311
test,specificity_spec_vs_random,mse,Weather,192,0.18313282406027978,0.1832516318005208,0.06483311448507445
test,specificity_spec_vs_random,mse,Weather,336,0.23272216409564772,0.23267857014393184,-0.01873569692685262
test,specificity_spec_vs_random,mse,Weather,720,0.3034458184795286,0.3029839040467458,-0.15245510623282943
test,specificity_spec_vs_random,mse,ETTm1,96,0.2889699634776345,0.29093974320704785,0.6770404440797129
test,specificity_spec_vs_random,mse,ETTm1,192,0.32547125893188766,0.32817645678983015,0.8243119827681444
test,specificity_spec_vs_random,mse,ETTm1,336,0.36306928531618005,0.3650973698097556,0.5554914007275258
test,specificity_spec_vs_random,mse,ETTm1,720,0.42007613139034566,0.42130995672566857,0.2928545399002558
test,specificity_spec_vs_random,mse,ETTh1,96,0.367321184762223,0.36627932200538427,-0.28444487423819886
test,specificity_spec_vs_random,mse,ETTh1,192,0.40114268294567834,0.3996569160426344,-0.3717605884957065
test,specificity_spec_vs_random,mse,ETTh1,336,0.42394945429706743,0.42267393730157604,-0.3017732779159621
test,specificity_spec_vs_random,mse,ETTh1,720,0.47513409840709386,0.47583879142250146,0.14809490695387728
test,specificity_spec_vs_random,mse,ETTh2,96,0.25283484119938826,0.2535929462646866,0.2989456435854687
test,specificity_spec_vs_random,mse,ETTh2,192,0.2969192977409706,0.29787426198174743,0.3205930698488402
test,specificity_spec_vs_random,mse,ETTh2,336,0.33130839283114927,0.33162563108827237,0.09566156152708283
test,specificity_spec_vs_random,mse,ETTh2,720,0.4109275089766352,0.4113473801630226,0.10207216737857516
test,specificity_spec_vs_random,mse,ETTm2,96,0.1601618012073919,0.16074574962186536,0.36327455988548474
test,specificity_spec_vs_random,mse,ETTm2,192,0.21756078990036962,0.21850319831430945,0.431301885377533
test,specificity_spec_vs_random,mse,ETTm2,336,0.2728522478907431,0.2728671008203376,0.0054432833968887095
test,specificity_spec_vs_random,mse,ETTm2,720,0.3533666208464491,0.35160943837091746,-0.4997540690810265
test,specificity_spec_vs_random,mae,Weather,96,0.18569002292770884,0.18525357061401593,-0.2355972477325663
test,specificity_spec_vs_random,mae,Weather,192,0.22707136625056973,0.22651522146281705,-0.24552203783971827
test,specificity_spec_vs_random,mae,Weather,336,0.266953064224121,0.26646642204027127,-0.1826279574453027
test,specificity_spec_vs_random,mae,Weather,720,0.3167781474181492,0.3160178532764226,-0.24058581939088164
test,specificity_spec_vs_random,mae,ETTm1,96,0.3383227865155668,0.33925264055925036,0.2740889627714349
test,specificity_spec_vs_random,mae,ETTm1,192,0.35933968082084017,0.36052177253813983,0.3278835863303131
test,specificity_spec_vs_random,mae,ETTm1,336,0.37937386776701854,0.38016142486694965,0.20716386472056092
test,specificity_spec_vs_random,mae,ETTm1,720,0.40892674265012574,0.4093010327306459,0.09144616079345136
test,specificity_spec_vs_random,mae,ETTh1,96,0.3979751446306859,0.3975009158905311,-0.11930255282364133
test,specificity_spec_vs_random,mae,ETTh1,192,0.41925918341005,0.418918693841947,-0.08127819863570362
test,specificity_spec_vs_random,mae,ETTh1,336,0.43669410712626694,0.43684470435839295,0.03447386007510156
test,specificity_spec_vs_random,mae,ETTh1,720,0.47921898995455814,0.48024985495188205,0.21465180815665175
test,specificity_spec_vs_random,mae,ETTh2,96,0.323980350799272,0.32531576068096885,0.41049652156460725
test,specificity_spec_vs_random,mae,ETTh2,192,0.35607767974885046,0.3571650576597307,0.3044468901871711
test,specificity_spec_vs_random,mae,ETTh2,336,0.3844598437492855,0.3851369276485045,0.1758034222667293
test,specificity_spec_vs_random,mae,ETTh2,720,0.43922311820901616,0.4398860010323296,0.15069423026824458
test,specificity_spec_vs_random,mae,ETTm2,96,0.24562072320543507,0.24571114777282863,0.03680116600861538
test,specificity_spec_vs_random,mae,ETTm2,192,0.28534024024052185,0.28547990850312366,0.048924025278751504
test,specificity_spec_vs_random,mae,ETTm2,336,0.3232048638855052,0.32258668727835543,-0.19163115885694193
test,specificity_spec_vs_random,mae,ETTm2,720,0.37912025244567743,0.3774791866512761,-0.434743385180969
test,capacity_random_vs_a6,mse,Weather,96,0.14242529636314719,0.14280098390433107,0.26308470075778745
test,capacity_random_vs_a6,mse,Weather,192,0.1832516318005208,0.18398657557923903,0.39945511046359794
test,capacity_random_vs_a6,mse,Weather,336,0.23267857014393184,0.23405307602961206,0.5872624743912036
test,capacity_random_vs_a6,mse,Weather,720,0.3029839040467458,0.3045573192155346,0.5166236598225682
test,capacity_random_vs_a6,mse,ETTm1,96,0.29093974320704785,0.287551725814144,-1.1782288502395044
test,capacity_random_vs_a6,mse,ETTm1,192,0.32817645678983015,0.3274844699633159,-0.21130370749846694
test,capacity_random_vs_a6,mse,ETTm1,336,0.3650973698097556,0.3651728281194414,0.020663725194014493
test,capacity_random_vs_a6,mse,ETTm1,720,0.42130995672566857,0.4214201815437537,0.02615556228972027
test,capacity_random_vs_a6,mse,ETTh1,96,0.36627932200538427,0.3580029001691447,-2.3118309467127895
test,capacity_random_vs_a6,mse,ETTh1,192,0.3996569160426344,0.3895088559213071,-2.6053477262600655
test,capacity_random_vs_a6,mse,ETTh1,336,0.42267393730157604,0.4092353839706897,-3.283819986555425
test,capacity_random_vs_a6,mse,ETTh1,720,0.47583879142250146,0.4613577129774465,-3.138796217711204
test,capacity_random_vs_a6,mse,ETTh2,96,0.2535929462646866,0.2471837242444889,-2.592898071985661
test,capacity_random_vs_a6,mse,ETTh2,192,0.29787426198174743,0.29248092182901353,-1.8439972491220757
test,capacity_random_vs_a6,mse,ETTh2,336,0.33162563108827237,0.328793732314789,-0.8612995003116852
test,capacity_random_vs_a6,mse,ETTh2,720,0.4113473801630226,0.4082652449088857,-0.7549345168542887
test,capacity_random_vs_a6,mse,ETTm2,96,0.16074574962186536,0.16118568345568354,0.27293604766029933
test,capacity_random_vs_a6,mse,ETTm2,192,0.21850319831430945,0.21725004419200847,-0.5768257157146683
test,capacity_random_vs_a6,mse,ETTm2,336,0.2728671008203376,0.2717103614477961,-0.42572516056358367
test,capacity_random_vs_a6,mse,ETTm2,720,0.35160943837091746,0.35036079535943987,-0.3563877659875203
test,capacity_random_vs_a6,mae,Weather,96,0.18525357061401593,0.18364199391137656,-0.8775643676669498
test,capacity_random_vs_a6,mae,Weather,192,0.22651522146281705,0.2255833944320902,-0.4130743014452598
test,capacity_random_vs_a6,mae,Weather,336,0.26646642204027127,0.2664903742512376,0.008988021062161788
test,capacity_random_vs_a6,mae,Weather,720,0.3160178532764226,0.3157985113764761,-0.06945628052219543
test,capacity_random_vs_a6,mae,ETTm1,96,0.33925264055925036,0.33716027000297877,-0.6205863330970507
test,capacity_random_vs_a6,mae,ETTm1,192,0.36052177253813983,0.3596378126452837,-0.2457916998088283
test,capacity_random_vs_a6,mae,ETTm1,336,0.38016142486694965,0.3798183875429982,-0.09031614455807802
test,capacity_random_vs_a6,mae,ETTm1,720,0.4093010327306459,0.40877454614309705,-0.12879632367435168
test,capacity_random_vs_a6,mae,ETTh1,96,0.3975009158905311,0.39327628242961,-1.0742151636559116
test,capacity_random_vs_a6,mae,ETTh1,192,0.418918693841947,0.4134015232724623,-1.3345791582505706
test,capacity_random_vs_a6,mae,ETTh1,336,0.43684470435839295,0.4299287161840598,-1.6086360166210234
test,capacity_random_vs_a6,mae,ETTh1,720,0.48024985495188205,0.47247343605935826,-1.6458954724275277
test,capacity_random_vs_a6,mae,ETTh2,96,0.32531576068096885,0.32003032202248805,-1.651543086629581
test,capacity_random_vs_a6,mae,ETTh2,192,0.3571650576597307,0.3523946608196656,-1.3537086030104062
test,capacity_random_vs_a6,mae,ETTh2,336,0.3851369276485045,0.38228575798902126,-0.7458215745419272
test,capacity_random_vs_a6,mae,ETTh2,720,0.4398860010323296,0.43770682928499244,-0.49786103426736616
test,capacity_random_vs_a6,mae,ETTm2,96,0.24571114777282863,0.24593661566010439,0.09167723426241059
test,capacity_random_vs_a6,mae,ETTm2,192,0.28547990850312366,0.28531496226177055,-0.05781198435774737
test,capacity_random_vs_a6,mae,ETTm2,336,0.32258668727835543,0.32255349401833605,-0.010290776765686793
test,capacity_random_vs_a6,mae,ETTm2,720,0.3774791866512761,0.37786953028200376,0.10330116599672756
