origin,channel,eligible,score,mean_nchpd,disagreement_percentile,min_gain,uvhf_corr720,target_std_scaled,uvhf_common96_mse,dlinear_mse_h96,uvhf_mse_h96,relative_gain_h96,dlinear_common96_mse_h96,dlinear_mse_h192,uvhf_mse_h192,relative_gain_h192,dlinear_common96_mse_h192,dlinear_mse_h336,uvhf_mse_h336,relative_gain_h336,dlinear_common96_mse_h336,dlinear_mse_h720,uvhf_mse_h720,relative_gain_h720,dlinear_common96_mse_h720
1063,0,False,0.4267534173916252,0.03357396370154761,0.7251272559000462,-0.2653024902955161,0.43780536530256914,0.5834715288526059,0.17121468008823518,0.13531521624386225,0.17121468008823518,-0.2653024902955161,0.13531521624386225,0.10410484647161088,0.11725719477304193,-0.12633752171199508,0.13627093691892747,0.2307288918130133,0.22173424513416917,0.03898361669475503,0.13579858196250782,0.2798946907520765,0.2755933495015351,0.015367712902962682,0.1399504305541073
1064,0,False,0.4270690418102278,0.030318247775236767,0.6038870893105044,-0.06301305830020265,0.44029414645036424,0.5827918102377583,0.1619906849271414,0.15238823612023214,0.1619906849271414,-0.06301305830020265,0.15238823612023214,0.11226758752682901,0.11129548406250535,0.008658807815669523,0.1536492013354002,0.24607444394968286,0.22749179052297258,0.07551638897743507,0.15372583901018458,0.28555355294155427,0.2740033728121374,0.040448385286878,0.1583789956070677
1065,0,False,0.48601332186670304,0.03359610027456213,0.7274409995372513,-0.06656819278821735,0.42263279934542625,0.581433884680562,0.14720817619688617,0.138020407126576,0.14720817619688617,-0.06656819278821735,0.138020407126576,0.10841580591979198,0.10774073602828106,0.006226674107005725,0.13742835332668749,0.25745164446672303,0.23026761114649735,0.10558888981476033,0.13638059932722602,0.28399724873642324,0.2793516955627545,0.016357740063813964,0.14579418926453555
1066,0,False,0.46673789751105704,0.0327268246679552,0.6899583526145303,-0.07344554008039395,0.4379238322791003,0.5816366799015531,0.1426747053398557,0.1329128493366979,0.1426747053398557,-0.07344554008039395,0.1329128493366979,0.10372730526629637,0.1073244332123956,-0.03467869850532046,0.13253219437249272,0.25215154453925653,0.2317232296201276,0.0810160213630916,0.1326752804925262,0.2888899106709528,0.27499132924355657,0.04811030400859795,0.1399383009483973
1067,0,False,0.5731130454224826,0.04133993425288252,0.8917167977788061,-0.053622502055804544,0.4334139714982097,0.5815030572903332,0.14934268518554658,0.1417421181629592,0.14934268518554658,-0.053622502055804544,0.1417421181629592,0.11106867909183345,0.11134427051748043,-0.0024812703986434315,0.14250183730459995,0.25651352324425086,0.2308762543058131,0.09994509690635722,0.1411856523890758,0.2925162617012076,0.2790162165546524,0.04615143468620175,0.1468846920881525
1068,0,False,0.5442676488222115,0.03708412148250592,0.8195279962980102,-0.029645400998981497,0.43397270972900803,0.5817585376703146,0.1483120385041869,0.14404185980949533,0.1483120385041869,-0.029645400998981497,0.14404185980949533,0.11865642696284902,0.11237578525649715,0.05293132337718476,0.14339647070083208,0.2577886814265537,0.2281279599646568,0.11505827679384562,0.14477076924669297,0.2816812038665212,0.2861211903927835,-0.015762452252107817,0.14782593436606667
1069,0,False,0.6261776343347646,0.05465791384608204,0.977325312355391,-0.01772452515286882,0.4283233570292971,0.5820165789145955,0.1431604871342603,0.16903339875192547,0.1431604871342603,0.1530639022151854,0.16903339875192547,0.14448030431184142,0.11091558919513766,0.23231343037774066,0.16715391033030902,0.2769828701096301,0.22520240814194917,0.18694463649389637,0.1715973431281239,0.28643767990276814,0.29151465176493413,-0.01772452515286882,0.15244030522601368
1070,0,True,0.629740875171562,0.048083783665095414,0.955576122165664,0.0296014346748652,0.43072383686270393,0.5823492511990143,0.16371830672548277,0.19916503462607196,0.16371830672548277,0.1779766612505035,0.19916503462607196,0.16592246971254057,0.12634669603387488,0.23851967576923372,0.19583882988843246,0.29433998671866085,0.23906636373131013,0.18778835863773735,0.20065931950065505,0.30187111527396615,0.29293529717495514,0.0296014346748652,0.17318782812352018
1071,0,True,0.5346185834382675,0.035278822735158935,0.7820453493752892,0.0011445079055116825,0.4325255637896942,0.5827647339070727,0.14287477927039874,0.1430384879506507,0.14287477927039874,0.0011445079055116825,0.1430384879506507,0.1304454320106342,0.1105357464587608,0.15262846115033224,0.14629661949025788,0.274222508929732,0.23802508048994536,0.13200020881240648,0.14884519101656446,0.2852697612392513,0.28136170083982387,0.01369952560849863,0.14457581591182822
1072,0,False,0.4506987090362399,0.03174435001953194,0.6589541878759834,-0.06707369359362403,0.4134372317633541,0.5831303414308819,0.15190872310321307,0.14236010503794203,0.15190872310321307,-0.06707369359362403,0.14236010503794203,0.13049593317355523,0.11792035110305665,0.09636761671165239,0.1456881067119758,0.27116844204935653,0.24505557291047703,0.09629759621558986,0.14656464122020477,0.27445893954229567,0.28884278463064406,-0.05240800358820796,0.1521069289013877
