dataset,component,eigenvalue,variance_ratio,peak_step,signed_sum,total_abs_loading,energy_1_96,energy_97_192,energy_193_336,energy_337_720
ETTm1,4,27.24444890868949,0.037993324420134436,615,0.04627824629639932,24.730748704471917,0.2033524011311011,0.19157628393555357,0.10377144496777554,0.5012998699655682
ETTm1,5,15.018631721320432,0.02094400034469615,394,-0.4127698966376192,24.21136796405712,0.1980360833228223,0.042663727432711546,0.19025143976055336,0.5690487494839135
ETTm1,6,13.76561953544369,0.019196631600334683,277,-0.0004496142530113212,24.08371622276852,0.13756388452526064,0.13151523174430768,0.19267045021066923,0.538250433519762
ETTm1,7,13.724632505426257,0.019139473772195482,265,-0.009399818531847182,24.151646566606196,0.12980107350862646,0.13112551331163236,0.20198085715284975,0.5370925560268921
ETTm1,8,9.824686386883958,0.01370086429253877,686,-0.011695917811147538,24.599040435261905,0.2037165866527656,0.04418498900229396,0.2458720076834524,0.5062264166614882
ETTm1,9,7.936927169110999,0.011068318902161218,556,-0.07474034124705553,23.43769939032976,0.08949173129803502,0.24737737765642037,0.14853862005213733,0.514592270993407
ETTm1,10,7.791503493747209,0.010865520567168926,502,0.0004731424578061638,23.853580722072916,0.05378622230833285,0.1344804416648615,0.2888065326043464,0.5229268034224581
ETTm1,11,6.9328313271311925,0.009668072591395158,361,-0.13260826884934263,21.811133900246872,0.0934041393358589,0.02026636958337651,0.22463458656069787,0.6616949045200677
ETTm1,12,6.235595939505954,0.008695753776357762,156,-0.001880204459554502,23.729169223294658,0.06212922206927471,0.21555864018458465,0.22249741798758071,0.499814719758557
ETTm1,13,6.013175626870909,0.008385580972940338,114,-0.04955801025156936,23.118302008854815,0.1446606342226408,0.2220870611978052,0.13764272000517722,0.4956095845743775
ETTm1,14,4.6320730620263255,0.0064595857737170526,17,0.0019252928326993768,21.70023122174502,0.3597170244056562,0.0502407272140673,0.09013827993170047,0.4999039684485785
ETTm1,15,3.786474218941918,0.005280368998869775,121,0.007490756377209529,21.30891035448147,0.11047840499159528,0.3133932384799417,0.10472083700407511,0.4714075195243881
ETTm1,16,3.7846344876895612,0.005277803430134988,149,0.01144484567456372,21.213128334951364,0.10968321244652914,0.24895654456944488,0.16730361795172655,0.47405662503229773
Weather,1,298.326820965518,0.4125149234878679,356,-26.817520335100347,26.817520335100347,0.12200339897233523,0.13357468144376514,0.21185918540204585,0.5325627341818527
Weather,2,63.47689944668506,0.08777342993750796,685,-0.020402810837578222,24.142280591718674,0.13901931778585683,0.1497752475464927,0.18643314424028667,0.5247722904273625
Weather,3,62.351014397575206,0.0862165991323308,433,-0.054371648211971824,24.158333221955388,0.14226085553450635,0.10653912558833407,0.20152033448024365,0.5496796843969152
Weather,4,39.687680223515905,0.054878607018397974,613,0.09045905720177316,24.063269353094086,0.15000710249074803,0.21190435169988767,0.13521313931614704,0.5028754064932173
Weather,5,24.154059563482754,0.03339931019445003,362,0.8245761678562324,24.38946446437356,0.1957631155449369,0.05241242513514513,0.17710680972345633,0.574717649596462
Weather,6,14.451853954057796,0.01998347117708556,513,0.011890006454668978,25.191000856470154,0.17630537674554309,0.05852103917791783,0.25716540319193476,0.5080081808846044
Weather,7,10.864107433878234,0.015022472442624465,532,0.3008619575665681,24.299557538698835,0.14657300568039727,0.1459141373790996,0.1571459032761597,0.5503669536643436
Weather,8,8.322500455323087,0.011508035474129125,578,0.00696199177095469,23.79632335693359,0.10976519915104854,0.20340571206419272,0.1719715702929432,0.5148575184918154
Weather,9,7.5895012791751135,0.010494472234703523,364,0.06592750500456934,22.939761223299932,0.028328954552871814,0.10450040721863414,0.23190872145498453,0.6352619167735098
Weather,10,7.471039911921573,0.010330668384648384,321,-0.003646968011773666,23.10577239026449,0.03220783133098745,0.09322418812728911,0.3715260051958563,0.5030419753458664
Weather,11,6.9787389548459755,0.009649933441059395,97,-0.11572789571396969,22.751258157289136,0.20085061303773982,0.2248907461283201,0.09102964419664047,0.48322899663730123
Weather,12,6.43495814578726,0.008898014126138144,664,-0.001141668934176998,22.652594824016685,0.2125398324075507,0.11783440170026505,0.13403703699843456,0.5355887288937484
Weather,13,6.129853719752345,0.008476127389456998,612,-0.03821148986704853,24.014085825940484,0.10745292279777478,0.1510867736103625,0.21287310241573376,0.5285872011761281
Weather,14,5.700608821596469,0.007882583953612871,633,0.0027976840883563447,22.113881030988274,0.17257440908072658,0.1072701347847489,0.21867413243255232,0.5014813237019711
Weather,15,5.18728745217354,0.0071727827874057525,361,0.08746494746055428,23.96996450504325,0.13769832391983883,0.1023774515107174,0.20485118146770448,0.5550730431017381
Weather,16,4.094669623543536,0.005661952622957069,4,0.003774922474568232,23.460701890377152,0.18601587972206374,0.1397662693934133,0.12794064376157438,0.5462772071229495
