dataset,unit_size,unit_count,arm,seed,train_rows,val_rows,test_rows,state_dim,trainable_parameters,epochs,best_epoch,final_epoch_train_mse,best_train_mse,best_val_mse,test_mse,test_val_ratio,prefix_max_abs,test_unit_0_mse,test_unit_1_mse,test_unit_2_mse,test_unit_3_mse
Weather,180,4,parallel_no_transition,2022,8192,2048,2048,64,57396,20,20,1018.0253621419271,1017.6599584155613,11907.328932444254,10.448316616482204,0.0008774693867751788,0.0,4.637613932291667,12.132611253526475,16.289335378011067,8.733706325954861
Weather,180,4,prefix_causal_composed,2022,8192,2048,2048,64,57396,20,20,1017.498132832845,1017.041688156128,11904.730787828234,9.717131720648872,0.0008162411980440556,0.0,4.407704586452908,11.438531833224827,14.982496388753255,8.03979352315267
Weather,180,4,parallel_no_transition,2023,8192,2048,2048,64,57396,20,20,1018.1681452433269,1017.8466920004951,11906.663385264079,10.54097162882487,0.000885300212809458,0.0,4.7181854248046875,12.346450042724609,16.406084272596573,8.693166732788086
Weather,180,4,prefix_causal_composed,2023,8192,2048,2048,64,57396,20,20,1017.5264036390516,1017.1967263327705,11905.341284688313,10.573369428846572,0.0008881198090847832,0.0,4.895949088202583,12.287394036187067,16.14074961344401,8.969384765625
Weather,240,3,parallel_no_transition,2021,8192,2048,2048,64,61296,20,20,1018.9398259586758,1018.6032380104065,11913.467724609374,10.493805525037978,0.0008808355188943994,0.0,6.165881856282552,15.032435099283854,10.283100891113282,
Weather,240,3,prefix_causal_composed,2021,8192,2048,2048,64,61296,20,20,1018.0167968326144,1017.6492009745704,11909.978306918674,9.87419408162435,0.0008290690232314102,0.0,5.777868938446045,14.204104487101237,9.640608088175457,
Weather,240,3,parallel_no_transition,2022,8192,2048,2048,64,61296,20,20,1018.7706631130642,1018.4121237330967,11913.99777238634,10.878726365831163,0.0009131046164072083,0.0,6.210268719991048,15.649950663248697,10.775960159301757,
Weather,240,3,prefix_causal_composed,2022,8192,2048,2048,64,61296,20,20,1017.9775303310818,1017.6240879588657,11909.922164408366,9.953033532036676,0.0008356925758742857,0.0,5.485451984405517,14.403884124755859,9.969764900207519,
Weather,240,3,parallel_no_transition,2023,8192,2048,2048,64,61296,20,20,1018.6346605088976,1018.3252408769396,11912.704525883992,10.575694274902343,0.0008877660192044061,0.0,6.090548578898112,15.39214693705241,10.244387880961101,
Weather,240,3,prefix_causal_composed,2023,8192,2048,2048,64,61296,20,20,1017.791968451606,1017.4706261210971,11908.321457417806,10.618775261773003,0.000891710498389214,0.0,5.7455702463785805,15.333352406819662,10.777403513590494,
