dataset,unit_size,unit_count,arm,seed,train_rows,val_rows,test_rows,state_dim,memory_source,memory_dim,trainable_parameters,epochs,best_epoch,final_epoch_train_mse,best_train_mse,best_val_mse,test_mse,test_val_ratio,prefix_max_abs,test_unit_0_mse,test_unit_1_mse,test_unit_2_mse,test_unit_3_mse
ETTm1,180,4,parallel_no_transition,2021,4096,1024,1024,64,hidden,256,57396,20,12,1.2344904634687635,1.40240568584866,2.5838614569769964,1.0504014333089193,0.40652389874565587,0.0,1.021847915649414,1.1690564473470053,0.9479069391886393,1.062794558207194
ETTm1,180,4,prefix_causal_composed,2021,4096,1024,1024,64,hidden,256,57396,20,10,1.1784737639957004,1.4078906589084201,2.5636177910698783,1.0278173022800021,0.4009245472785792,0.0,0.9989500893486871,1.1499277538723416,0.9379176669650607,1.0244736989339194
ETTm1,180,4,parallel_no_transition,2022,4096,1024,1024,64,hidden,256,57396,20,19,1.2263370831807454,1.223403681649102,2.5535602145724825,1.033534092373318,0.4047424010114257,0.0,0.9219708336724175,1.108176506890191,0.9566985448201497,1.1472906748453775
ETTm1,180,4,prefix_causal_composed,2022,4096,1024,1024,64,hidden,256,57396,20,14,1.1716055393218994,1.2852141274346245,2.546166441175673,1.017581706576877,0.39965246973682383,0.0,0.9133483462863499,1.0608476003011067,0.9228688346015083,1.173262087504069
ETTm1,180,4,parallel_no_transition,2023,4096,1024,1024,64,hidden,256,57396,20,20,1.2299947473737929,1.2077050050099691,2.5274165683322485,1.044513871934679,0.41327333413182304,0.0,0.9200383716159397,1.133510250515408,0.9885909186469184,1.1359159257676867
ETTm1,180,4,prefix_causal_composed,2023,4096,1024,1024,64,hidden,256,57396,20,8,1.1828032122717964,1.4773428387112089,2.5793930477566187,1.0095997916327581,0.3914098289560172,0.0,0.9728058497111003,1.0681280983818902,0.9200532489352756,1.0774119906955295
ETTm1,240,3,parallel_no_transition,2021,4096,1024,1024,64,hidden,256,61296,20,4,1.3912735780080159,1.6941441218058269,2.7234335157606337,1.133939594692654,0.4163639714832376,0.0,1.0151281038920084,1.3695034662882486,1.017187229792277,
ETTm1,240,3,prefix_causal_composed,2021,4096,1024,1024,64,hidden,256,61296,20,17,1.1488250573476155,1.1787414656745063,2.5522596571180554,0.9484476937188042,0.37161097268205323,0.0,0.8159574190775554,0.9535460313161214,1.0758396148681642,
ETTm1,240,3,parallel_no_transition,2022,4096,1024,1024,64,hidden,256,61296,20,11,1.4082283284929065,1.5734156131744386,2.7136034223768446,1.1588241577148437,0.4270425619893381,0.0,1.0246047973632812,1.4354756673177083,1.0163920084635416,
ETTm1,240,3,prefix_causal_composed,2022,4096,1024,1024,64,hidden,256,61296,20,15,1.1535110420650907,1.24062287012736,2.5491636912027995,0.9342689302232531,0.3665001715846764,0.0,0.8295205275217692,0.9119928359985352,1.0612933794657389,
ETTm1,240,3,parallel_no_transition,2023,4096,1024,1024,64,hidden,256,61296,20,8,1.3971430195702448,1.6413434876335993,2.7124760945638022,1.1127030690511068,0.4102167282805279,0.0,0.9833055019378663,1.3641302744547525,0.9906733353932698,
ETTm1,240,3,prefix_causal_composed,2023,4096,1024,1024,64,hidden,256,61296,20,20,1.154503091176351,1.1289938608805339,2.5216908772786457,0.9730613284640842,0.3858765311925112,0.0,0.8399903774261475,0.9666544596354166,1.112539037068685,
Weather,180,4,parallel_no_transition,2021,4096,1024,1024,64,hidden,6144,434228,20,16,918.6726243760851,918.9031596713596,9464.739116923014,15.489232381184896,0.0016365197381394327,0.0,6.546676296657986,15.328182644314236,24.977724202473958,15.104344346788194
Weather,180,4,prefix_causal_composed,2021,4096,1024,1024,64,hidden,6144,434228,20,16,918.6463372124566,918.7918085310195,9464.686849594116,14.87848646375868,0.001571999866471729,0.0,6.168450249565972,15.713682386610243,23.97242431640625,13.659388902452257
Weather,180,4,parallel_no_transition,2022,4096,1024,1024,64,hidden,6144,434228,20,13,918.9703047010634,919.2732669830323,9465.271493615044,15.256438869900174,0.0016118332031143173,0.0,6.313129001193577,15.114476182725694,24.684340074327256,14.913808186848959
Weather,180,4,prefix_causal_composed,2022,4096,1024,1024,64,hidden,6144,434228,20,20,918.2695156521268,918.0813774956597,9461.948860677083,14.43610568576389,0.0015257010895248977,0.0,6.235642835828993,15.153382025824653,23.053794691297743,13.301603529188368
Weather,180,4,parallel_no_transition,2023,4096,1024,1024,64,hidden,6144,434228,20,19,918.8167140536838,918.5997207641601,9465.02601928711,14.245799085828994,0.0015050987769922647,0.0,6.055730862087674,14.441217041015625,23.181701999240452,13.30454610188802
Weather,180,4,prefix_causal_composed,2023,4096,1024,1024,64,hidden,6144,434228,20,20,917.7112802293566,917.4193190256755,9460.697586313883,14.785706244574653,0.001562855815829488,0.0,5.832330661349826,15.065172322591145,24.185906643337674,14.059417724609375
Weather,240,3,parallel_no_transition,2021,4096,1024,1024,64,hidden,6144,438128,20,20,918.8800971137152,918.8021043989394,9464.5083984375,15.964620632595485,0.0016867881521697517,0.0,7.9478914896647135,22.124590555826824,17.821380869547525,
Weather,240,3,prefix_causal_composed,2021,4096,1024,1024,64,hidden,6144,438128,20,20,917.9385481092665,917.7175118340386,9461.235945892335,15.17485860188802,0.001603898125854931,0.0,6.996307245890299,21.391481018066408,17.13678766886393,
Weather,240,3,parallel_no_transition,2022,4096,1024,1024,64,hidden,6144,438128,20,20,918.8790649414062,918.7859555986192,9465.061737653945,15.037819078233507,0.0015887713672706433,0.0,7.626517232259115,21.046890767415366,16.440046946207683,
Weather,240,3,prefix_causal_composed,2022,4096,1024,1024,64,hidden,6144,438128,20,20,917.6258633083768,917.2343251970079,9458.702674187554,13.7520263671875,0.001453901961070863,0.0,6.504323069254557,19.497557067871092,15.25419921875,
Weather,240,3,parallel_no_transition,2023,4096,1024,1024,64,hidden,6144,438128,20,19,918.8952690972222,918.8740472581651,9464.645008765327,16.315874565972223,0.0017238760197410348,0.0,8.146465301513672,23.143377176920573,17.65778096516927,
Weather,240,3,prefix_causal_composed,2023,4096,1024,1024,64,hidden,6144,438128,20,20,918.5707655164931,918.3879492865668,9463.48755332099,15.362811279296874,0.0016233773429443201,0.0,7.230654525756836,21.523045857747395,17.334731801350912,
