backbone,arm_id,dataset,horizon,mse,mae,profile_id,checkpoint_sha256,evidence_role
dlinear_style,dlinear_iscf,ETTm2,336,0.3014909372974581,0.35084033838060946,v1_shared_backbone_dataset_profile,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,strict_matched_v2p1
dlinear_style,dlinear_iscf,ETTm2,720,0.3886151079094913,0.4034646359890294,v1_shared_backbone_dataset_profile,4b3d50a1a50a7290353c706e543ffb3e938829ae9c5e2fdf05516a4576fedd17,strict_matched_v2p1
dlinear_style,dlinear_original,Weather,96,0.1733513100899715,0.21613652742220807,v1_shared_backbone_dataset_profile,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,strict_matched_v2p1
dlinear_style,dlinear_original,Weather,192,0.2135975924853503,0.2528639530416881,v1_shared_backbone_dataset_profile,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,strict_matched_v2p1
dlinear_style,dlinear_original,Weather,336,0.2620455887433562,0.2894292081137579,v1_shared_backbone_dataset_profile,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,strict_matched_v2p1
dlinear_style,dlinear_original,Weather,720,0.3360576406643569,0.339320510601376,v1_shared_backbone_dataset_profile,8ba76df2899187646843eebf80d27b62417835bac9c8e275444130d2a48a0793,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm1,96,0.2876235683940704,0.335804737279607,v1_shared_backbone_dataset_profile,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm1,192,0.3261718479863596,0.3574610554540516,v1_shared_backbone_dataset_profile,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm1,336,0.36796823559899294,0.38004049197567696,v1_shared_backbone_dataset_profile,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,strict_matched_v2p1
dlinear_style,dlinear_original,ETTm1,720,0.43155488916614604,0.41347711089520683,v1_shared_backbone_dataset_profile,49c2bb4838801fdbbac4c5569db7ab37733f4111c6b31e822634d9b281bacb70,strict_matched_v2p1
