split,control,dataset,horizon,ordered_mse,control_mse,mse_gain,ordered_mae,control_mae,mae_gain
validation,ORDER_SHUFFLED,ETTm2,720,0.29302416377597384,0.33013414768945604,0.11240880161354913,0.37926674040537034,0.39916821434384303,0.049857361441433774
validation,ORDER_SHUFFLED,Weather,96,0.4264797481989104,0.6417406948785933,0.3354329067761656,0.30969224491762737,0.4812776966700478,0.3565206801387583
validation,ORDER_SHUFFLED,Weather,192,0.48167480161738774,0.6773998302126688,0.28893575089003704,0.34706699375122313,0.5000495456513905,0.3059347883235937
validation,ORDER_SHUFFLED,Weather,336,0.542418879175943,0.7155631777921231,0.2419692683885977,0.3872755387472728,0.5188521263010107,0.25359168997103454
validation,ORDER_SHUFFLED,Weather,720,0.6142449807868433,0.7478704992425504,0.17867467508217558,0.42926642453228986,0.5303219013113193,0.19055497525022258
validation,TARGET_SHUFFLED_QUERY,ETTh1,96,1.3114316867930549,1.303277613151641,-0.006256589969112816,0.8296151168289638,0.8386774822359994,0.010805542772979126
validation,TARGET_SHUFFLED_QUERY,ETTh1,192,1.572896381219228,1.5361281761101313,-0.023935636153880863,0.9063060006925038,0.9051676250639415,-0.0012576406811741765
validation,TARGET_SHUFFLED_QUERY,ETTh1,336,1.7594608125232516,1.734936524410637,-0.014135553530378073,0.9577513738554351,0.961806286759928,0.004215935121564681
validation,TARGET_SHUFFLED_QUERY,ETTh1,720,1.8545549105084131,1.932773042103601,0.04046938253549746,0.9793074085598901,1.0165341263725645,0.036621217966892564
validation,TARGET_SHUFFLED_QUERY,ETTh2,96,0.28015661310581935,0.3188588282182103,0.1213772732235759,0.3856023695497286,0.406617599938597,0.051683031900345365
validation,TARGET_SHUFFLED_QUERY,ETTh2,192,0.34419348356979235,0.38021812747631756,0.09474730767214422,0.42220241469996317,0.4405328056641987,0.04160959349349367
validation,TARGET_SHUFFLED_QUERY,ETTh2,336,0.44721428309979083,0.4703470470548487,0.04918233057889333,0.47662091092998476,0.4884101675481212,0.024138024556941487
validation,TARGET_SHUFFLED_QUERY,ETTh2,720,0.7195389225369409,0.6861427019512842,-0.04867241244522881,0.6051887746841188,0.5922747638490465,-0.02180408760141546
validation,TARGET_SHUFFLED_QUERY,ETTm1,96,0.49951186243976864,0.8658181797890436,0.4230753360232346,0.4941526793298267,0.6551018222456887,0.24568568953773998
validation,TARGET_SHUFFLED_QUERY,ETTm1,192,0.6086349338293076,0.9487819582933471,0.3585091616580592,0.541037841921761,0.6877473486321313,0.21331889828752165
validation,TARGET_SHUFFLED_QUERY,ETTm1,336,0.740257427805946,1.0579176618128407,0.30026933614337653,0.5916597612050115,0.7259101514913597,0.1849407809086772
validation,TARGET_SHUFFLED_QUERY,ETTm1,720,0.993336030036684,1.2967464284291343,0.23397820247710158,0.6776518840638418,0.7995903408716596,0.15250116287659088
validation,TARGET_SHUFFLED_QUERY,ETTm2,96,0.14902098778457867,0.1758816596120596,0.15272014084201407,0.2817703088124593,0.3038349227891082,0.07262040115106824
