control,dataset,bin,start,end,mse_gain,mae_gain
TARGET_SHUFFLED_QUERY,ETTm2,h193_336,192,336,-3.913658779937782e-05,0.010402150452916734
TARGET_SHUFFLED_QUERY,ETTm2,h337_720,336,720,0.00686868012580209,0.003578343117044896
TARGET_SHUFFLED_QUERY,Weather,h1_48,0,48,0.28900621042232433,0.2885167116546499
TARGET_SHUFFLED_QUERY,Weather,h49_96,48,96,0.1327611408228808,0.1359300367386004
TARGET_SHUFFLED_QUERY,Weather,h97_192,96,192,0.08798782805650142,0.09513793295048402
TARGET_SHUFFLED_QUERY,Weather,h193_336,192,336,0.0380762207554059,0.055022759484698924
TARGET_SHUFFLED_QUERY,Weather,h337_720,336,720,0.020727478039396875,0.031516483146457504
GENERIC_MATCHED,ETTh1,h1_48,0,48,0.005047472748929566,0.0026457175407951384
GENERIC_MATCHED,ETTh1,h49_96,48,96,0.0017038749435156673,-0.0016836094023981196
GENERIC_MATCHED,ETTh1,h97_192,96,192,-0.0011207946335571005,-0.00194048888217192
GENERIC_MATCHED,ETTh1,h193_336,192,336,0.01065585137447405,0.0054310051146495165
GENERIC_MATCHED,ETTh1,h337_720,336,720,0.011327913393214052,0.00856052558125302
GENERIC_MATCHED,ETTh2,h1_48,0,48,0.046532874815728806,0.0344221799654138
GENERIC_MATCHED,ETTh2,h49_96,48,96,0.04988132495020713,0.029038262546444225
GENERIC_MATCHED,ETTh2,h97_192,96,192,0.07570811399196821,0.03964169801706217
GENERIC_MATCHED,ETTh2,h193_336,192,336,0.06036617327284172,0.035902209586023144
GENERIC_MATCHED,ETTh2,h337_720,336,720,0.03133730771788064,0.016606795326819936
GENERIC_MATCHED,ETTm1,h1_48,0,48,0.1117732736812107,0.05447416389875752
GENERIC_MATCHED,ETTm1,h49_96,48,96,0.044850146869864604,0.026290020894886683
GENERIC_MATCHED,ETTm1,h97_192,96,192,0.037127546034550124,0.02589752952666841
GENERIC_MATCHED,ETTm1,h193_336,192,336,0.031146198512190557,0.02334543189795385
GENERIC_MATCHED,ETTm1,h337_720,336,720,0.015666230467654772,0.014179633739457955
GENERIC_MATCHED,ETTm2,h1_48,0,48,0.11477383453305602,0.0656792526161183
GENERIC_MATCHED,ETTm2,h49_96,48,96,0.045546959338669854,0.0321109885977777
GENERIC_MATCHED,ETTm2,h97_192,96,192,-0.01705985650560027,-0.002040848062991108
GENERIC_MATCHED,ETTm2,h193_336,192,336,-0.015975434477327306,-0.002758839138752926
GENERIC_MATCHED,ETTm2,h337_720,336,720,-0.00338300796197225,0.002982282365216227
GENERIC_MATCHED,Weather,h1_48,0,48,-0.03875216178497307,-0.04383380628673409
GENERIC_MATCHED,Weather,h49_96,48,96,0.0036144065952121254,0.025544085719784095
GENERIC_MATCHED,Weather,h97_192,96,192,-0.01106124656375258,-0.011170581303895494
GENERIC_MATCHED,Weather,h193_336,192,336,-0.0082776796067583,0.0001678739916968635
GENERIC_MATCHED,Weather,h337_720,336,720,-0.007915877685825603,0.00078674570650721
