comparison,candidate,reference,dataset,horizon,candidate_mse,reference_mse,mse_gain_percent,candidate_mae,reference_mae,mae_gain_percent
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm2,192,0.1519174833180538,0.15232707387379682,0.268888875317308,0.2649094054164986,0.266599954959626,0.6341147144542592
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm2,336,0.1933955452903839,0.1968963770528457,1.7780072009766834,0.2991581890909445,0.3010709736762302,0.6353268008302604
shuffled_vs_new_equal,iscf_rscc_shuffled,iscf_equal_contemporaneous,ETTm2,720,0.27399602657856625,0.2759780432149354,0.7181791034098772,0.353559999830193,0.35231309593137766,-0.35391925909509236
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,Weather,96,0.393700101878494,0.3963439625998338,0.6670621911324837,0.249698244035244,0.2508964849015077,0.47758375998534497
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,Weather,192,0.44672996061854064,0.4484884347766638,0.39208907560767114,0.29037511891995865,0.2908098398086925,0.14948630659121775
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,Weather,336,0.5074876854196191,0.5102254888486295,0.5365869578935589,0.33546836984654266,0.33742304802650497,0.5792959880466686
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,Weather,720,0.5893623614683747,0.5919227002395524,0.43254613653801455,0.38742980195416343,0.3887668860455354,0.3439295216144833
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm1,96,0.36653933965135366,0.3829467575221012,4.284516724182119,0.3955313633196056,0.40524715759480995,2.3974984384514286
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm1,192,0.4907232849509455,0.5068081244438266,3.173753283953895,0.4574659889719139,0.4651590226373325,1.653850251426081
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm1,336,0.6474697646973211,0.6607657060514958,2.012202091059867,0.5235690462536046,0.5292197929340459,1.0677504424226103
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm1,720,0.9527894769433058,0.951679669889725,-0.11661561013587285,0.6323432864621281,0.6340783126859202,0.2736296430708385
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh1,96,0.78951052762568,0.7900539766997099,0.06878632220801428,0.6070982534438372,0.6074814728150765,0.06308330185996747
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh1,192,1.0378973965222638,1.0392014648144443,0.12548753406669277,0.6920443152387937,0.6927823517471552,0.10653223288673574
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh1,336,1.2532194783645016,1.2555938737378234,0.18910536463938588,0.7665195897931144,0.7677548320165702,0.16089019201759314
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh1,720,1.4078167374763224,1.4094799532658524,0.11800208904541032,0.8262256189352937,0.827192162639565,0.11684633243950193
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh2,96,0.23211076661633948,0.2315120849913607,-0.2585962737112091,0.3356891665607691,0.33545199083164334,-0.07070333031493625
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh2,192,0.31538647642203915,0.3154315770370886,0.01429806599360095,0.38719820432985824,0.3873500438251843,0.03919955547870835
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh2,336,0.4183365473568085,0.41925755899310824,0.2196768111973113,0.44568425186333205,0.4465432483259411,0.19236579342076787
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTh2,720,0.6367744033431841,0.6391220960041715,0.3673308551942145,0.554086163557238,0.5556088126574953,0.2740505667961468
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm2,96,0.11475052304255466,0.11255172760381053,-1.9535865735300195,0.23026931914500892,0.23064050590619445,0.16093736862357044
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm2,192,0.15189207325844714,0.15232707387379682,0.28557012505214807,0.26489779201801866,0.266599954959626,0.6384708286485408
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm2,336,0.1932258136082618,0.1968963770528457,1.8642107587377055,0.299074021411971,0.3010709736762302,0.6632828930253298
armerr_vs_historical,iscf_equal_armerr,iscf_equal_historical,ETTm2,720,0.27395708073551456,0.2759780432149354,0.7322910387645987,0.3534932902807163,0.35231309593137766,-0.3349845245515626
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,Weather,96,0.3936569709330797,0.3963439625998338,0.6779443918178196,0.24968110234476626,0.2508964849015077,0.4844159364044254
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,Weather,192,0.44665356089050573,0.4484884347766638,0.40912401388271125,0.2903409674375628,0.2908098398086925,0.16122988528797233
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,Weather,336,0.5073326860687563,0.5102254888486295,0.5669655560331055,0.33536697593739345,0.33742304802650497,0.6093454792542863
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,Weather,720,0.589248553953237,0.5919227002395524,0.4517728894724127,0.3873979623429477,0.3887668860455354,0.3521194195606814
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm1,96,0.3665696290554479,0.3829467575221012,4.276607164041113,0.39550470809141797,0.40524715759480995,2.4040759622385943
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm1,192,0.49078345025191084,0.5068081244438266,3.1618818679162497,0.4574362118728459,0.4651590226373325,1.6602517394374572
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm1,336,0.6477059745340652,0.6607657060514958,1.9764541951595715,0.5235501523351386,0.5292197929340459,1.071320588270941
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm1,720,0.9533532349754953,0.951679669889725,-0.17585382337359512,0.6324511383556657,0.6340783126859202,0.25662040440428413
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh1,96,0.7886335784569383,0.7900539766997099,0.179784962124363,0.6064888170609871,0.6074814728150765,0.16340510756474025
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh1,192,1.037343489471823,1.0392014648144443,0.17878875324267574,0.6916883153220018,0.6927823517471552,0.1579192111915484
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh1,336,1.2527771679950612,1.2555938737378234,0.22433254905720457,0.7662557798127333,0.7677548320165702,0.195251418984832
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh1,720,1.407566573181086,1.4094799532658524,0.13575078384995276,0.8260832967029678,0.827192162639565,0.1340517943326236
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh2,96,0.2321417983621359,0.2315120849913607,-0.2720002157980961,0.33571467843527597,0.33545199083164334,-0.0783085540739803
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh2,192,0.3154054335318506,0.3154315770370886,0.0082881699681292,0.3872294299459706,0.3873500438251843,0.031138212357639805
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh2,336,0.41832265364272253,0.41925755899310824,0.22299069637073954,0.4457084536995916,0.4465432483259411,0.18694597432142857
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTh2,720,0.6368357605404324,0.6391220960041715,0.35773062424743207,0.5541545088299447,0.5556088126574953,0.26174959691417365
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm2,96,0.11483727451801921,0.11255172760381053,-2.0306635560974673,0.2303618167837461,0.23064050590619445,0.12083268780276324
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm2,192,0.1519174833180538,0.15232707387379682,0.268888875317308,0.2649094054164986,0.266599954959626,0.6341147144542592
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm2,336,0.1933955452903839,0.1968963770528457,1.7780072009766834,0.2991581890909445,0.3010709736762302,0.6353268008302604
shuffled_vs_historical,iscf_rscc_shuffled,iscf_equal_historical,ETTm2,720,0.27399602657856625,0.2759780432149354,0.7181791034098772,0.353559999830193,0.35231309593137766,-0.35391925909509236
