dataset,batch_index,checkpoint_loaded,left_group,right_group,parameter_group,gradient_cosine
ETTh2,2,False,full_1_720,learnable_hard,all_shared,0.7906261086463928
ETTh2,2,False,full_1_720,learnable_hard,encoder,0.9142847657203674
ETTh2,2,False,full_1_720,learnable_hard,readout_head,0.7558801174163818
ETTh2,2,False,full_1_720,learnable_hard,target_path,0.7035667300224304
ETTh2,2,False,full_1_720,middle_193_336,all_shared,0.8973514437675476
ETTh2,2,False,full_1_720,middle_193_336,encoder,0.9240185022354126
ETTh2,2,False,full_1_720,middle_193_336,readout_head,0.8920984864234924
ETTh2,2,False,full_1_720,middle_193_336,target_path,0.8431028723716736
ETTh2,2,False,full_1_720,middle_97_192,all_shared,0.8371290564537048
ETTh2,2,False,full_1_720,middle_97_192,encoder,0.8622264862060547
ETTh2,2,False,full_1_720,middle_97_192,readout_head,0.8445828557014465
ETTh2,2,False,full_1_720,middle_97_192,target_path,0.7196155786514282
ETTh2,2,False,full_1_720,noisy_hard,all_shared,0.7904537916183472
ETTh2,2,False,full_1_720,noisy_hard,encoder,0.9159098863601685
ETTh2,2,False,full_1_720,noisy_hard,readout_head,0.7520741820335388
ETTh2,2,False,full_1_720,noisy_hard,target_path,0.7670836448669434
ETTh2,2,False,full_1_720,predictable_easy,all_shared,0.9710308313369751
ETTh2,2,False,full_1_720,predictable_easy,encoder,0.9795297384262085
ETTh2,2,False,full_1_720,predictable_easy,readout_head,0.970650851726532
ETTh2,2,False,full_1_720,predictable_easy,target_path,0.9709415435791016
ETTh2,2,False,late_337_720,learnable_hard,all_shared,0.8669160604476929
ETTh2,2,False,late_337_720,learnable_hard,encoder,0.9591295719146729
ETTh2,2,False,late_337_720,learnable_hard,readout_head,0.8320073485374451
ETTh2,2,False,late_337_720,learnable_hard,target_path,0.789465606212616
ETTh2,2,False,late_337_720,middle_193_336,all_shared,0.8359458446502686
ETTh2,2,False,late_337_720,middle_193_336,encoder,0.916561484336853
ETTh2,2,False,late_337_720,middle_193_336,readout_head,0.8144693970680237
ETTh2,2,False,late_337_720,middle_193_336,target_path,0.7810542583465576
ETTh2,2,False,late_337_720,middle_97_192,all_shared,0.630948007106781
ETTh2,2,False,late_337_720,middle_97_192,encoder,0.6969585418701172
ETTh2,2,False,late_337_720,middle_97_192,readout_head,0.6424092650413513
ETTh2,2,False,late_337_720,middle_97_192,target_path,0.5222175121307373
ETTh2,2,False,late_337_720,noisy_hard,all_shared,0.8393467664718628
ETTh2,2,False,late_337_720,noisy_hard,encoder,0.945705771446228
ETTh2,2,False,late_337_720,noisy_hard,readout_head,0.7994882464408875
ETTh2,2,False,late_337_720,noisy_hard,target_path,0.7949222326278687
ETTh2,2,False,late_337_720,predictable_easy,all_shared,0.8316850662231445
ETTh2,2,False,late_337_720,predictable_easy,encoder,0.8853588700294495
ETTh2,2,False,late_337_720,predictable_easy,readout_head,0.8310227394104004
ETTh2,2,False,late_337_720,predictable_easy,target_path,0.8283171653747559
ETTh2,2,False,learnable_hard,middle_193_336,all_shared,0.6703051924705505
ETTh2,2,False,learnable_hard,middle_193_336,encoder,0.8419908285140991
ETTh2,2,False,learnable_hard,middle_193_336,readout_head,0.6190217137336731
ETTh2,2,False,learnable_hard,middle_193_336,target_path,0.546830952167511
ETTh2,2,False,learnable_hard,middle_97_192,all_shared,0.5189816951751709
ETTh2,2,False,learnable_hard,middle_97_192,encoder,0.670599102973938
ETTh2,2,False,learnable_hard,middle_97_192,readout_head,0.49811887741088867
ETTh2,2,False,learnable_hard,middle_97_192,target_path,0.4448698163032532
ETTh2,2,False,learnable_hard,noisy_hard,all_shared,0.8459566831588745
ETTh2,2,False,learnable_hard,noisy_hard,encoder,0.9566354155540466
ETTh2,2,False,learnable_hard,noisy_hard,readout_head,0.8118168115615845
ETTh2,2,False,learnable_hard,noisy_hard,target_path,0.696744441986084
ETTh2,2,False,learnable_hard,predictable_easy,all_shared,0.6513249278068542
ETTh2,2,False,learnable_hard,predictable_easy,encoder,0.8244207501411438
ETTh2,2,False,learnable_hard,predictable_easy,readout_head,0.6114715337753296
ETTh2,2,False,learnable_hard,predictable_easy,target_path,0.564203679561615
ETTh2,2,False,middle_193_336,middle_97_192,all_shared,0.7930644154548645
ETTh2,2,False,middle_193_336,middle_97_192,encoder,0.793181300163269
ETTh2,2,False,middle_193_336,middle_97_192,readout_head,0.8079892992973328
ETTh2,2,False,middle_193_336,middle_97_192,target_path,0.6569034457206726
ETTh2,2,False,middle_193_336,noisy_hard,all_shared,0.596778392791748
ETTh2,2,False,middle_193_336,noisy_hard,encoder,0.7959445714950562
ETTh2,2,False,middle_193_336,noisy_hard,readout_head,0.535588264465332
ETTh2,2,False,middle_193_336,noisy_hard,target_path,0.507495641708374
ETTh2,2,False,middle_193_336,predictable_easy,all_shared,0.9097222089767456
ETTh2,2,False,middle_193_336,predictable_easy,encoder,0.9237917065620422
ETTh2,2,False,middle_193_336,predictable_easy,readout_head,0.9106686115264893
ETTh2,2,False,middle_193_336,predictable_easy,target_path,0.8649746775627136
ETTh2,2,False,middle_97_192,noisy_hard,all_shared,0.45704299211502075
ETTh2,2,False,middle_97_192,noisy_hard,encoder,0.6452857255935669
ETTh2,2,False,middle_97_192,noisy_hard,readout_head,0.4240100085735321
ETTh2,2,False,middle_97_192,noisy_hard,target_path,0.406161367893219
ETTh2,2,False,middle_97_192,predictable_easy,all_shared,0.8925744891166687
ETTh2,2,False,middle_97_192,predictable_easy,encoder,0.9168758988380432
ETTh2,2,False,middle_97_192,predictable_easy,readout_head,0.8965023756027222
ETTh2,2,False,middle_97_192,predictable_easy,target_path,0.7491728067398071
ETTh2,2,False,noisy_hard,predictable_easy,all_shared,0.626166820526123
ETTh2,2,False,noisy_hard,predictable_easy,encoder,0.8184251189231873
ETTh2,2,False,noisy_hard,predictable_easy,readout_head,0.577407717704773
ETTh2,2,False,noisy_hard,predictable_easy,target_path,0.6047492623329163
ETTh2,3,False,early_1_96,full_1_720,all_shared,0.7443470358848572
ETTh2,3,False,early_1_96,full_1_720,encoder,0.8539869785308838
ETTh2,3,False,early_1_96,full_1_720,readout_head,0.7308189272880554
ETTh2,3,False,early_1_96,full_1_720,target_path,0.7798737287521362
ETTh2,3,False,early_1_96,late_337_720,all_shared,0.6523961424827576
ETTh2,3,False,early_1_96,late_337_720,encoder,0.8022572994232178
ETTh2,3,False,early_1_96,late_337_720,readout_head,0.6315380930900574
ETTh2,3,False,early_1_96,late_337_720,target_path,0.6790350079536438
ETTh2,3,False,early_1_96,learnable_hard,all_shared,0.5275634527206421
ETTh2,3,False,early_1_96,learnable_hard,encoder,0.7087019681930542
ETTh2,3,False,early_1_96,learnable_hard,readout_head,0.49553602933883667
ETTh2,3,False,early_1_96,learnable_hard,target_path,0.6189042329788208
ETTh2,3,False,early_1_96,middle_193_336,all_shared,0.5714036822319031
ETTh2,3,False,early_1_96,middle_193_336,encoder,0.783532977104187
ETTh2,3,False,early_1_96,middle_193_336,readout_head,0.53415846824646
ETTh2,3,False,early_1_96,middle_193_336,target_path,0.629039466381073
ETTh2,3,False,early_1_96,middle_97_192,all_shared,0.7592006325721741
ETTh2,3,False,early_1_96,middle_97_192,encoder,0.8410621881484985
ETTh2,3,False,early_1_96,middle_97_192,readout_head,0.7510676980018616
ETTh2,3,False,early_1_96,middle_97_192,target_path,0.6967767477035522
ETTh2,3,False,early_1_96,noisy_hard,all_shared,0.6624179482460022
ETTh2,3,False,early_1_96,noisy_hard,encoder,0.8049126267433167
ETTh2,3,False,early_1_96,noisy_hard,readout_head,0.6416509747505188
ETTh2,3,False,early_1_96,noisy_hard,target_path,0.665864109992981
ETTh2,3,False,early_1_96,predictable_easy,all_shared,0.7747088670730591
ETTh2,3,False,early_1_96,predictable_easy,encoder,0.8743748068809509
ETTh2,3,False,early_1_96,predictable_easy,readout_head,0.7621177434921265
ETTh2,3,False,early_1_96,predictable_easy,target_path,0.7995097041130066
ETTh2,3,False,full_1_720,late_337_720,all_shared,0.9796387553215027
ETTh2,3,False,full_1_720,late_337_720,encoder,0.9872578382492065
ETTh2,3,False,full_1_720,late_337_720,readout_head,0.9778890609741211
ETTh2,3,False,full_1_720,late_337_720,target_path,0.9726197123527527
ETTh2,3,False,full_1_720,learnable_hard,all_shared,0.8816560506820679
ETTh2,3,False,full_1_720,learnable_hard,encoder,0.9221027493476868
ETTh2,3,False,full_1_720,learnable_hard,readout_head,0.8696644306182861
ETTh2,3,False,full_1_720,learnable_hard,target_path,0.8883004784584045
ETTh2,3,False,full_1_720,middle_193_336,all_shared,0.9108172655105591
ETTh2,3,False,full_1_720,middle_193_336,encoder,0.9515575766563416
ETTh2,3,False,full_1_720,middle_193_336,readout_head,0.9020543098449707
ETTh2,3,False,full_1_720,middle_193_336,target_path,0.8789647221565247
ETTh2,3,False,full_1_720,middle_97_192,all_shared,0.8744348287582397
ETTh2,3,False,full_1_720,middle_97_192,encoder,0.8982725143432617
ETTh2,3,False,full_1_720,middle_97_192,readout_head,0.874634325504303
ETTh2,3,False,full_1_720,middle_97_192,target_path,0.7988911271095276
ETTh2,3,False,full_1_720,noisy_hard,all_shared,0.9403468370437622
ETTh2,3,False,full_1_720,noisy_hard,encoder,0.9764333963394165
ETTh2,3,False,full_1_720,noisy_hard,readout_head,0.9309905171394348
ETTh2,3,False,full_1_720,noisy_hard,target_path,0.9129398465156555
ETTh2,3,False,full_1_720,predictable_easy,all_shared,0.985906183719635
ETTh2,3,False,full_1_720,predictable_easy,encoder,0.9887769222259521
ETTh2,3,False,full_1_720,predictable_easy,readout_head,0.9854578971862793
ETTh2,3,False,full_1_720,predictable_easy,target_path,0.9828432202339172
ETTh2,3,False,late_337_720,learnable_hard,all_shared,0.9396554827690125
ETTh2,3,False,late_337_720,learnable_hard,encoder,0.9660194516181946
ETTh2,3,False,late_337_720,learnable_hard,readout_head,0.930888831615448
ETTh2,3,False,late_337_720,learnable_hard,target_path,0.9320196509361267
ETTh2,3,False,late_337_720,middle_193_336,all_shared,0.8565916419029236
ETTh2,3,False,late_337_720,middle_193_336,encoder,0.9053683280944824
ETTh2,3,False,late_337_720,middle_193_336,readout_head,0.8482705354690552
ETTh2,3,False,late_337_720,middle_193_336,target_path,0.7917801737785339
ETTh2,3,False,late_337_720,middle_97_192,all_shared,0.7889755964279175
ETTh2,3,False,late_337_720,middle_97_192,encoder,0.8270061612129211
ETTh2,3,False,late_337_720,middle_97_192,readout_head,0.7890810966491699
ETTh2,3,False,late_337_720,middle_97_192,target_path,0.678986668586731
ETTh2,3,False,late_337_720,noisy_hard,all_shared,0.9585350751876831
ETTh2,3,False,late_337_720,noisy_hard,encoder,0.9868532419204712
ETTh2,3,False,late_337_720,noisy_hard,readout_head,0.9514992833137512
ETTh2,3,False,late_337_720,noisy_hard,target_path,0.9402372241020203
ETTh2,3,False,late_337_720,predictable_easy,all_shared,0.937665581703186
ETTh2,3,False,late_337_720,predictable_easy,encoder,0.9543483853340149
ETTh2,3,False,late_337_720,predictable_easy,readout_head,0.9349027276039124
ETTh2,3,False,late_337_720,predictable_easy,target_path,0.9230139255523682
ETTh2,3,False,learnable_hard,middle_193_336,all_shared,0.7354030013084412
ETTh2,3,False,learnable_hard,middle_193_336,encoder,0.8011806011199951
ETTh2,3,False,learnable_hard,middle_193_336,readout_head,0.7235487103462219
ETTh2,3,False,learnable_hard,middle_193_336,target_path,0.6854029893875122
ETTh2,3,False,learnable_hard,middle_97_192,all_shared,0.6319039463996887
ETTh2,3,False,learnable_hard,middle_97_192,encoder,0.6907173991203308
ETTh2,3,False,learnable_hard,middle_97_192,readout_head,0.6251732110977173
ETTh2,3,False,learnable_hard,middle_97_192,target_path,0.5818787813186646
ETTh2,3,False,learnable_hard,noisy_hard,all_shared,0.8973121643066406
ETTh2,3,False,learnable_hard,noisy_hard,encoder,0.9493042230606079
ETTh2,3,False,learnable_hard,noisy_hard,readout_head,0.8861383199691772
ETTh2,3,False,learnable_hard,noisy_hard,target_path,0.8500450253486633
ETTh2,3,False,learnable_hard,predictable_easy,all_shared,0.7969176769256592
ETTh2,3,False,learnable_hard,predictable_easy,encoder,0.8560898303985596
ETTh2,3,False,learnable_hard,predictable_easy,readout_head,0.7814375162124634
ETTh2,3,False,learnable_hard,predictable_easy,target_path,0.8022685050964355
ETTh2,3,False,middle_193_336,middle_97_192,all_shared,0.7939446568489075
ETTh2,3,False,middle_193_336,middle_97_192,encoder,0.9167619943618774
ETTh2,3,False,middle_193_336,middle_97_192,readout_head,0.767969012260437
ETTh2,3,False,middle_193_336,middle_97_192,target_path,0.7452989220619202
ETTh2,3,False,middle_193_336,noisy_hard,all_shared,0.7894645929336548
ETTh2,3,False,middle_193_336,noisy_hard,encoder,0.8912385702133179
ETTh2,3,False,middle_193_336,noisy_hard,readout_head,0.766079843044281
ETTh2,3,False,middle_193_336,noisy_hard,target_path,0.718048095703125
ETTh2,3,False,middle_193_336,predictable_easy,all_shared,0.9303018450737
ETTh2,3,False,middle_193_336,predictable_easy,encoder,0.9722287058830261
ETTh2,3,False,middle_193_336,predictable_easy,readout_head,0.9202125072479248
ETTh2,3,False,middle_193_336,predictable_easy,target_path,0.9128308892250061
ETTh2,3,False,middle_97_192,noisy_hard,all_shared,0.7843087911605835
ETTh2,3,False,middle_97_192,noisy_hard,encoder,0.829594612121582
ETTh2,3,False,middle_97_192,noisy_hard,readout_head,0.7819731831550598
ETTh2,3,False,middle_97_192,noisy_hard,target_path,0.636409342288971
ETTh2,3,False,middle_97_192,predictable_easy,all_shared,0.9056214094161987
ETTh2,3,False,middle_97_192,predictable_easy,encoder,0.9398497343063354
ETTh2,3,False,middle_97_192,predictable_easy,readout_head,0.9012404680252075
ETTh2,3,False,middle_97_192,predictable_easy,target_path,0.8456469774246216
ETTh2,3,False,noisy_hard,predictable_easy,all_shared,0.8825175166130066
ETTh2,3,False,noisy_hard,predictable_easy,encoder,0.9399937391281128
ETTh2,3,False,noisy_hard,predictable_easy,readout_head,0.8682684302330017
ETTh2,3,False,noisy_hard,predictable_easy,target_path,0.843701958656311
ETTh2,4,False,early_1_96,full_1_720,all_shared,0.12793301045894623
ETTh2,4,False,early_1_96,full_1_720,encoder,-0.2522394359111786
ETTh2,4,False,early_1_96,full_1_720,readout_head,0.22376738488674164
ETTh2,4,False,early_1_96,full_1_720,target_path,0.18286672234535217
ETTh2,4,False,early_1_96,late_337_720,all_shared,-0.2672566771507263
ETTh2,4,False,early_1_96,late_337_720,encoder,-0.6673362851142883
ETTh2,4,False,early_1_96,late_337_720,readout_head,-0.13055822253227234
ETTh2,4,False,early_1_96,late_337_720,target_path,-0.27481621503829956
ETTh2,4,False,early_1_96,learnable_hard,all_shared,-0.5036212801933289
ETTh2,4,False,early_1_96,learnable_hard,encoder,-0.79965740442276
ETTh2,4,False,early_1_96,learnable_hard,readout_head,-0.38834261894226074
ETTh2,4,False,early_1_96,learnable_hard,target_path,-0.5183326601982117
ETTh2,4,False,early_1_96,middle_193_336,all_shared,-0.05890796333551407
ETTh2,4,False,early_1_96,middle_193_336,encoder,-0.31173017621040344
ETTh2,4,False,early_1_96,middle_193_336,readout_head,0.006790125742554665
ETTh2,4,False,early_1_96,middle_193_336,target_path,-0.1019638329744339
ETTh2,4,False,early_1_96,middle_97_192,all_shared,0.529569149017334
ETTh2,4,False,early_1_96,middle_97_192,encoder,0.766411304473877
ETTh2,4,False,early_1_96,middle_97_192,readout_head,0.4810800552368164
ETTh2,4,False,early_1_96,middle_97_192,target_path,0.46557173132896423
ETTh2,4,False,early_1_96,noisy_hard,all_shared,0.3098548352718353
ETTh2,4,False,early_1_96,noisy_hard,encoder,0.11322378367185593
ETTh2,4,False,early_1_96,noisy_hard,readout_head,0.3466509282588959
ETTh2,4,False,early_1_96,noisy_hard,target_path,0.5621639490127563
ETTh2,4,False,early_1_96,predictable_easy,all_shared,0.18708817660808563
ETTh2,4,False,early_1_96,predictable_easy,encoder,-0.1279449313879013
ETTh2,4,False,early_1_96,predictable_easy,readout_head,0.2646763324737549
ETTh2,4,False,early_1_96,predictable_easy,target_path,0.1801995486021042
ETTh2,4,False,full_1_720,late_337_720,all_shared,0.8939979076385498
ETTh2,4,False,full_1_720,late_337_720,encoder,0.8739662170410156
ETTh2,4,False,full_1_720,late_337_720,readout_head,0.9079995155334473
ETTh2,4,False,full_1_720,late_337_720,target_path,0.852042555809021
ETTh2,4,False,full_1_720,learnable_hard,all_shared,0.6843351721763611
ETTh2,4,False,full_1_720,learnable_hard,encoder,0.7327258586883545
ETTh2,4,False,full_1_720,learnable_hard,readout_head,0.6916238069534302
ETTh2,4,False,full_1_720,learnable_hard,target_path,0.5529382824897766
ETTh2,4,False,full_1_720,middle_193_336,all_shared,0.8742588758468628
ETTh2,4,False,full_1_720,middle_193_336,encoder,0.8944326639175415
ETTh2,4,False,full_1_720,middle_193_336,readout_head,0.8751907348632812
