dataset,left_group,right_group,parameter_group,batches,mean_gradient_cosine,min_gradient_cosine,negative_share,low_conflict_share_lt_0p1
ETTh2,middle_193_336,noisy_hard,readout_head,12,0.5761526028315226,0.3172091543674469,0.0,0.0
ETTh2,middle_193_336,noisy_hard,target_path,12,0.4562857688094179,-0.04806366190314293,0.08333333333333333,0.08333333333333333
ETTh2,middle_193_336,predictable_easy,all_shared,16,0.843144316226244,0.29934847354888916,0.0,0.0
ETTh2,middle_193_336,predictable_easy,encoder,16,0.8221447709947824,0.08233277499675751,0.0,0.0625
ETTh2,middle_193_336,predictable_easy,readout_head,16,0.8464443497359753,0.33708441257476807,0.0,0.0
ETTh2,middle_193_336,predictable_easy,target_path,16,0.7896878723986447,0.11650369316339493,0.0,0.0
ETTh2,middle_97_192,noisy_hard,all_shared,12,0.5369412830720345,-0.053623639047145844,0.08333333333333333,0.08333333333333333
ETTh2,middle_97_192,noisy_hard,encoder,12,0.5299860462546349,-0.4833512306213379,0.08333333333333333,0.08333333333333333
ETTh2,middle_97_192,noisy_hard,readout_head,12,0.5419529052451253,0.019228514283895493,0.0,0.08333333333333333
ETTh2,middle_97_192,noisy_hard,target_path,12,0.44131294389565784,-0.1481930911540985,0.08333333333333333,0.08333333333333333
ETTh2,middle_97_192,predictable_easy,all_shared,16,0.7377783730626106,0.2617417871952057,0.0,0.0
ETTh2,middle_97_192,predictable_easy,encoder,16,0.6443176666798536,-0.45776957273483276,0.0625,0.125
ETTh2,middle_97_192,predictable_easy,readout_head,16,0.7554929107427597,0.3844330906867981,0.0,0.0
ETTh2,middle_97_192,predictable_easy,target_path,16,0.6479080421850085,0.16479532420635223,0.0,0.0
ETTh2,noisy_hard,predictable_easy,all_shared,12,0.6481742678831021,0.09889443963766098,0.0,0.08333333333333333
ETTh2,noisy_hard,predictable_easy,encoder,12,0.680366059144338,-0.303433358669281,0.08333333333333333,0.08333333333333333
ETTh2,noisy_hard,predictable_easy,readout_head,12,0.645506139844656,0.16611380875110626,0.0,0.0
ETTh2,noisy_hard,predictable_easy,target_path,12,0.53830772259001,-0.001202189247123897,0.08333333333333333,0.08333333333333333
Weather,early_1_96,full_1_720,all_shared,16,0.308542407117784,-0.17811919748783112,0.0625,0.1875
Weather,early_1_96,full_1_720,encoder,16,0.34465334471315145,-0.3713137209415436,0.125,0.25
Weather,early_1_96,full_1_720,readout_head,16,0.3017851593904197,-0.16661900281906128,0.0625,0.25
Weather,early_1_96,full_1_720,target_path,16,0.4128158612875268,0.01181916706264019,0.0,0.0625
Weather,early_1_96,late_337_720,all_shared,16,-0.014869582373648882,-0.47007790207862854,0.5625,0.625
Weather,early_1_96,late_337_720,encoder,16,0.01283997599966824,-0.6306312084197998,0.5,0.5625
Weather,early_1_96,late_337_720,readout_head,16,-0.021889101015403867,-0.4616572856903076,0.5625,0.625
Weather,early_1_96,late_337_720,target_path,16,0.1276670133229345,-0.282369464635849,0.375,0.4375
Weather,early_1_96,learnable_hard,all_shared,16,0.36764396785292774,-0.12354631721973419,0.0625,0.125
Weather,early_1_96,learnable_hard,encoder,16,0.33621984091587365,-0.14812283217906952,0.1875,0.25
Weather,early_1_96,learnable_hard,readout_head,16,0.3714729492785409,-0.1348913460969925,0.0625,0.125
Weather,early_1_96,learnable_hard,target_path,16,0.2973589366301894,-0.11494401842355728,0.125,0.1875
Weather,early_1_96,middle_193_336,all_shared,16,0.20612401724793017,-0.21119488775730133,0.1875,0.375
Weather,early_1_96,middle_193_336,encoder,16,0.26480174344033003,-0.2910984456539154,0.25,0.25
Weather,early_1_96,middle_193_336,readout_head,16,0.20025439700111747,-0.21236759424209595,0.1875,0.375
Weather,early_1_96,middle_193_336,target_path,16,0.2333156199165387,-0.028505703434348106,0.0625,0.25
Weather,early_1_96,middle_97_192,all_shared,16,0.11408137634862214,-0.2664540112018585,0.25,0.4375
Weather,early_1_96,middle_97_192,encoder,16,0.3376281837699935,-0.23409906029701233,0.125,0.25
Weather,early_1_96,middle_97_192,readout_head,16,0.09174270590301603,-0.29412052035331726,0.3125,0.4375
Weather,early_1_96,middle_97_192,target_path,16,0.3259204926143866,-0.011953409761190414,0.0625,0.125
Weather,early_1_96,noisy_hard,all_shared,15,0.3392239349583785,-0.2924453914165497,0.2,0.26666666666666666
Weather,early_1_96,noisy_hard,encoder,15,0.3117166681836049,-0.3338964581489563,0.26666666666666666,0.26666666666666666
Weather,early_1_96,noisy_hard,readout_head,15,0.34083547393480934,-0.30415695905685425,0.2,0.26666666666666666
Weather,early_1_96,noisy_hard,target_path,15,0.3414956065515677,0.031205687671899796,0.0,0.13333333333333333
Weather,early_1_96,predictable_easy,all_shared,16,0.12867784453555942,-0.4011610448360443,0.4375,0.5
Weather,early_1_96,predictable_easy,encoder,16,0.2610226078541018,-0.5221429467201233,0.3125,0.3125
Weather,early_1_96,predictable_easy,readout_head,16,0.11205038090702146,-0.3992677628993988,0.5,0.5
Weather,early_1_96,predictable_easy,target_path,16,0.3518464514054358,-0.08134477585554123,0.0625,0.1875
Weather,full_1_720,late_337_720,all_shared,16,0.8802226707339287,0.7644370794296265,0.0,0.0
Weather,full_1_720,late_337_720,encoder,16,0.8913486376404762,0.7606295943260193,0.0,0.0
Weather,full_1_720,late_337_720,readout_head,16,0.8783876150846481,0.7578893303871155,0.0,0.0
Weather,full_1_720,late_337_720,target_path,16,0.8983233198523521,0.7802339196205139,0.0,0.0
