dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,mean_mse_target_ratio,mean_mae_target_ratio,primary_joint_score,mse_lead_cells,mae_lead_cells,combined_lead_cells,validation_mean_mse_4h,trainable_parameters,near_tie_eligible,selected
Weather,H4M,Weather__h4m_seq512_p16_lr2e5,h4m_seq512_p16_lr2e5,0.2155953194171789,0.2460838428471586,1.00047585590135,1.0075473780468605,1.0040116169741053,2,1,3,0.49829436646763325,3354773,False,False
Weather,H4M,Weather__h4m_seq512_p16_lr2e5_r16,h4m_seq512_p16_lr2e5_r16,0.21651114148153944,0.2494039836720253,1.005683873651556,1.022198003935397,1.0139409387934766,1,0,1,0.5010779468972784,1160773,False,False
Weather,H4M,Weather__h4m_seq512_p16_lr2e5_r64,h4m_seq512_p16_lr2e5_r64,0.21561628798940752,0.24696710092926916,1.0006639798710364,1.0114373549137317,1.0060506673923841,2,1,3,0.49950505158723524,2213893,False,False
Weather,H4M,Weather__h4m_seq512_p32_lr2e5_r64,h4m_seq512_p32_lr2e5_r64,0.21665560053768612,0.24763701187675097,1.0062998411081128,1.0142153388458939,1.0102575899770034,1,1,2,0.5011690143384926,4293637,False,False
Weather,H4M,Weather__h4m_seq512_p8_lr2e5_r64,h4m_seq512_p8_lr2e5_r64,0.21599786290740813,0.24802177920890894,1.0025281798018673,1.0158796363315385,1.009203908066703,2,0,2,0.500065550793125,1175557,False,False
Weather,H4M,Weather__h4m_seq640_p20,h4m_seq640_p20,0.21475225773704548,0.24732382147925186,0.9967093991978035,1.013172049895941,1.0049407245468722,3,1,4,0.491397054869652,4141205,False,False
Weather,H4M,Weather__h4m_seq768_p24,h4m_seq768_p24,0.22527940468883895,0.25435340968217934,1.0439514196684299,1.0415302307935526,1.0427408252309913,0,0,0,0.4859816964111468,4927637,False,False
Weather,H4M,Weather__h4m_seq960_p30,h4m_seq960_p30,0.21543016374905466,0.24983972815128844,1.0015996209613331,1.0245267051645859,1.0130631630629594,2,0,2,0.4828334314855821,6107285,False,False
Weather,H4N,Weather__h4n_seq448_p14_lr2e5,h4n_seq448_p14_lr2e5,0.21897407681904058,0.247290997680358,1.016028705064215,1.01238068377495,1.0142046944195826,0,1,1,0.501667399807567,2961557,False,False
Weather,H4N,Weather__h4n_seq448_p14_lr4e5,h4n_seq448_p14_lr4e5,0.21732132247644165,0.2466522107408855,1.0086440914395418,1.0099467113619793,1.0092954014007605,0,1,1,0.5015274055984005,2961557,False,False
Weather,H4N,Weather__h4n_seq480_p15_lr2e5,h4n_seq480_p15_lr2e5,0.21626948537319055,0.24648787366368166,1.0034627277511956,1.0092897171940853,1.0063762224726405,1,1,2,0.49976643829011463,3158165,False,False
Weather,H4N,Weather__h4n_seq480_p15_lr4e5,h4n_seq480_p15_lr4e5,0.21639006731822835,0.24637852347707417,1.0041687662489325,1.0088646045322625,1.0065166853905976,2,1,3,0.4985744832270217,3158165,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr15e6,h4n_seq512_p16_lr15e6,0.21574907634854718,0.24578295555690052,1.001333989975098,1.0062479494195244,1.0037909696973113,2,1,3,0.49840395915791363,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr1e4,h4n_seq512_p16_lr1e4,0.21643205833036572,0.24698240908600444,1.004671498600589,1.0116720454429933,1.008171772021791,2,1,3,0.49840174107812346,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr25e6,h4n_seq512_p16_lr25e6,0.21713358949977937,0.24720140961022904,1.0075734671231162,1.0121763775885013,1.0098749223558088,0,1,1,0.4979357325791618,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e4,h4n_seq512_p16_lr2e4,0.21585470213574898,0.24796963610246653,1.0009740476641078,1.0155964478060393,1.0082852477350737,2,0,2,0.497363431131955,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_d128_ff256_r128,h4n_seq512_p16_lr2e5_d128_ff256_r128,0.2152787469859166,0.24587421943781823,0.998762104191427,1.0066724473308768,1.0027172757611518,3,1,4,0.49771666796009484,7110597,True,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_d32_ff64_r64,h4n_seq512_p16_lr2e5_d32_ff64_r64,0.2165125005671688,0.24717158525537677,1.0045572221606553,1.011834885944429,1.0081960540525423,0,0,0,0.501045878655425,1147557,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_d96_ff192_r128,h4n_seq512_p16_lr2e5_d96_ff192_r128,0.2151946203343315,0.24639595449151128,0.998663909448619,1.0091973892836732,1.0039306493661462,3,1,4,0.497717268269376,5356133,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_r128,h4n_seq512_p16_lr2e5_r128,0.21698188946411223,0.2466254685549159,1.0068899532653277,1.009437918427517,1.0081639358464223,0,1,1,0.49794337488840235,3618053,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_r160,h4n_seq512_p16_lr2e5_r160,0.2173664083822348,0.24644893096908507,1.0085892912934382,1.008695295095153,1.0086422931942955,0,1,1,0.49676655964622835,4320133,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_r192,h4n_seq512_p16_lr2e5_r192,0.21782996526705428,0.24685691959984118,1.0107169470659627,1.0104580676713018,1.0105875073686321,0,1,1,0.4973740939396463,5022213,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_r80,h4n_seq512_p16_lr2e5_r80,0.21526584926290965,0.24656242667284461,0.9989137189536483,1.0096776145162436,1.0042956667349459,2,1,3,0.49903363911065435,2564933,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr2e5_r96,h4n_seq512_p16_lr2e5_r96,0.21645522263785535,0.24605191355057107,1.0044262656231422,1.0071502219117892,1.0057882437674657,1,1,2,0.4986319517184581,2915973,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr3e5,h4n_seq512_p16_lr3e5,0.21765349138736378,0.24687130928562104,1.0098121867718455,1.0106895746117477,1.0102508806917965,0,1,1,0.4987469489713909,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr4e5,h4n_seq512_p16_lr4e5,0.21614166181053268,0.24664008930708112,1.002938160314357,1.0101995603906375,1.0065688603524974,2,1,3,0.49802295454751905,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr5e6,h4n_seq512_p16_lr5e6,0.21734319590713624,0.24948007969841768,1.007794711709827,1.0213788991855004,1.0145868054476637,0,0,0,0.5020577246842477,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p16_lr75e6,h4n_seq512_p16_lr75e6,0.21753861703579835,0.24688653891593082,1.0093835520219316,1.0107850842909718,1.0100843181564518,0,1,1,0.49804931789108126,3354773,False,False
Weather,H4N,Weather__h4n_seq512_p32_lr2e5,h4n_seq512_p32_lr2e5,0.21645658121550565,0.24662279308384535,1.0046580773914542,1.0098562259656323,1.0072571516785431,1,1,2,0.5002582050329591,6499477,False,False
Weather,H4N,Weather__h4n_seq512_p4_lr2e5,h4n_seq512_p4_lr2e5,0.21526914334668246,0.24755550763810968,0.998458562523552,1.0137383155234447,1.0060984390234984,3,1,4,0.4971488966730364,1001621,False,False
Weather,H4N,Weather__h4n_seq512_p64_lr2e5,h4n_seq512_p64_lr2e5,0.21733820716810684,0.24721016308430946,1.0091669171724562,1.0124826115722538,1.0108247643723551,1,1,2,0.49949011093556206,12790421,False,False
Weather,H4N,Weather__h4n_seq512_p8_lr2e5,h4n_seq512_p8_lr2e5,0.21584119621116327,0.24680042658764306,1.0010432711538422,1.01022516414232,1.005634217648081,1,1,2,0.4965278928059094,1783957,False,False
Weather,H4N,Weather__h4n_seq544_p17_lr2e5,h4n_seq544_p17_lr2e5,0.2165112287583243,0.2470040778595304,1.0051813880838023,1.0115440319424451,1.0083627100131238,1,1,2,0.4971357370545674,3551381,False,False
