origin,channel,visibility96,persistent_fraction96,gain_h96,gain_h192,gain_h336,gain_h720,mse_gain_1_96_h96,mae_gain_1_96_h96,mse_gain_1_96_h192,mae_gain_1_96_h192,mse_gain_1_96_h336,mae_gain_1_96_h336,mse_gain_1_96_h720,mae_gain_1_96_h720,mse_gain_97_192_h192,mae_gain_97_192_h192,mse_gain_97_192_h336,mae_gain_97_192_h336,mse_gain_97_192_h720,mae_gain_97_192_h720,mse_gain_193_336_h336,mae_gain_193_336_h336,mse_gain_193_336_h720,mae_gain_193_336_h720,mse_gain_337_720_h720,mae_gain_337_720_h720,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,min_segment_mse_gain,min_segment_mae_gain,min_prefix_mse_gain,fit_eligible,segment_eligible,prefix_eligible,eligible
8995,4,0.1863583459131347,0.8958333333333334,0.9046087413651492,0.6744489002368739,0.8206490995394822,0.7987294475231642,0.9046087413651492,0.6609633072370393,0.8885176321720777,0.6483006786497507,0.921557855394828,0.7037763293194639,0.9360087487720724,0.7433253065103884,0.13780400483240607,0.15455077752487067,0.16793197942450633,0.13545675490870857,0.5660067666966975,0.36247717959403614,0.8846634678332944,0.6362766778933729,0.914457493839685,0.6947092430393836,0.7633606374148599,0.4971024354500331,0.7343807730960803,0.8805788571012286,0.7005549170386197,0.09289634805502144,0.6848453722327419,0.8788613574204012,0.6142900103231259,0.1324911907608259,0.5854364750195673,0.9306976465824655,0.5657140054135751,0.3841205227707462,0.13780400483240607,0.13545675490870857,0.8885176321720777,True,True,True,True
9000,4,0.18538357410987327,0.7916666666666666,0.9485379194349901,0.7198309404361412,0.8544332890277107,0.7131946865422757,0.9485379194349901,0.7584107587149984,0.9010931661438519,0.6563529609020533,0.9138723204125436,0.6970828635371206,0.8287558601582012,0.5722294816540252,0.2316426508093239,0.1402344713011966,0.6140228943025106,0.40483013323524064,0.4153776887208078,0.22976116794685664,0.911088694274833,0.6806139809980065,0.8715950942480329,0.6552212895832226,0.6926944050189117,0.42333021490005995,0.7180227581561074,0.8641344384422417,0.701218304036312,0.0465177675303761,0.6685496420981518,0.8629964682129391,0.6164468916669608,0.12420373728215006,0.5704375092095978,0.9186288335370563,0.5798477713236961,0.3983325450947268,0.2316426508093239,0.1402344713011966,0.8287558601582012,True,True,True,True
8994,4,0.18492849929998992,0.9166666666666666,0.8930226187424698,0.6105412208499432,0.796692450035011,0.7917443857808215,0.8930226187424698,0.6526549391852849,0.8546102493978013,0.6014774659748077,0.9082950336201463,0.6891052245389555,0.926870404379476,0.7229221155116188,0.09486440818070663,0.13986593733447006,0.1564897778633545,0.13653357846902325,0.49081034401328716,0.31132484514445247,0.8634106139513191,0.6012014389141598,0.9022106072173779,0.6673264784647126,0.7627085630111967,0.4979540001388265,0.7407740898268136,0.8828035013501909,0.7060935405196436,0.08568268152088364,0.695817211836963,0.880722926220577,0.6257113246610637,0.121756905363207,0.6044848009947275,0.9319921819204906,0.5755730680608467,0.3702567236954594,0.09486440818070663,0.13653357846902325,0.8546102493978013,True,True,True,True
9001,4,0.18482613668617331,0.7604166666666666,0.9550221964575641,0.7424347349526823,0.851317182724257,0.7252158921915336,0.9550221964575641,0.7741986309375104,0.9110738582683645,0.6741693025481372,0.9169872446498014,0.6966756595696899,0.8418990928235932,0.5765135854576272,0.25226187873058337,0.1584293753613466,0.5947700332399237,0.39598169612513556,0.3729570039825181,0.22512629279050467,0.9061870563239693,0.6726993376101623,0.8754895688970712,0.6554398693794352,0.7071497156471716,0.43637122780963,0.711743545411498,0.8612375944455768,0.6983887015295425,0.05888027471851593,0.6609802110978777,0.8588174611944183,0.6172770854579634,0.13507578407560922,0.5520437328743992,0.9174090193437692,0.5755855289067773,0.4156347883471359,0.25226187873058337,0.1584293753613466,0.8418990928235932,True,True,True,True
8835,4,0.18473520076650438,0.9375,0.21441926757146257,0.7181972821571074,0.8470580852409069,0.7493038482035046,0.21441926757146257,0.09850760496067346,0.43938542293015437,0.25245150950964435,0.8268388970476188,0.6197519181089193,0.687823763361699,0.46402599909244446,0.844981360974865,0.6692794576356791,0.9359726576010733,0.7750509693441191,0.8292131606997817,0.646028689636432,0.7577161274166764,0.579929430761138,0.7377156018768379,0.5531684903178417,0.7492899946917909,0.5327189750089227,0.8138401729679008,0.9042962457855056,0.8555232603267344,0.039150007194090015,0.7902677136146778,0.8980417866427798,0.7822978215828712,0.05305347768137847,0.7939116251233649,0.9107583785438849,0.7464472571124237,0.09257998886615168,0.21441926757146257,0.09850760496067346,0.21441926757146257,True,True,True,True
8690,4,0.18453157824079744,0.7083333333333334,0.8552752284083351,0.857142449020406,0.9003358125456628,0.5920064556141542,0.8552752284083351,0.6076023403591139,0.884444019523118,0.6255948154148843,0.9116435627500653,0.6722356203111581,0.7950839628895221,0.5454831508996295,0.7663430817751581,0.48540717405078404,0.8488629770943075,0.5831496190718548,0.5621704777608976,0.2522416702216821,0.9120778918079493,0.6451790859216024,0.7628764726838912,0.4545977944557156,0.4039303740414576,0.21163134486081447,0.7751635129311628,0.9145359458158653,0.7602299373459824,0.19339632625323777,0.7141330240428518,0.884983425460765,0.732982964570183,0.21437933479341667,0.73490063185232,0.905232358991163,0.6775828384430683,0.18088860579541502,0.4039303740414576,0.21163134486081447,0.7950839628895221,True,True,True,True
8691,4,0.1842394071502139,0.8958333333333334,0.887652584330941,0.8514888499220015,0.8959224111508592,0.6204414604283922,0.887652584330941,0.6549608395243223,0.8827003873508019,0.6189775428178735,0.9126903047366653,0.6619021337005322,0.8147516763794012,0.5770902866594431,0.749637268622531,0.475547249438278,0.8261900834297513,0.56215483412443,0.5647726269134985,0.27203451570975945,0.9064611076018011,0.6438789797999179,0.7815865721403907,0.4864945997932384,0.4323773741072342,0.23452282437766592,0.7858467746452661,0.9184676317386111,0.7609744615313802,0.18147153287593926,0.731325054629852,0.8901480584901389,0.7387752885589196,0.19525571932023356,0.7562350389052139,0.9128513513585104,0.6877162343209854,0.16240914336435827,0.4323773741072342,0.23452282437766592,0.8147516763794012,True,True,True,True
8904,4,0.18301336015571343,1.0,0.9660242409765399,0.8783750490493836,0.7954247763022051,0.7657496337898921,0.9660242409765399,0.8168235665554706,0.9420868890690098,0.7379748739303379,0.935753705182742,0.7353913885912727,0.9044830317613066,0.680259680951042,0.6216163698054966,0.41387529820956603,0.7437687503599582,0.5062303923302979,0.7489343493171754,0.5486105550357119,0.7101803120480968,0.48238379786101115,0.6857846271049817,0.4857136423205888,0.76950104614853,0.5058535703033671,0.8050983232691122,0.9016065423627577,0.8275171025126059,0.04802904189035805,0.7978357481882541,0.9091932081967224,0.7463736872145108,0.047815742490496936,0.7904976255945176,0.9316681883691773,0.6550416729391156,0.03139679260066553,0.6216163698054966,0.41387529820956603,0.9044830317613066,True,True,True,True
8905,4,0.18257418903605863,0.8958333333333334,0.9721321314117307,0.9055831928385704,0.8023929415885303,0.7589928979019813,0.9721321314117307,0.8240525262762265,0.9575303731511413,0.772597554574938,0.9430397003381659,0.7448490677838011,0.899472266362595,0.6614135358861866,0.701763051713993,0.46850763363534953,0.7442666713465624,0.5106299330020798,0.6895030698059533,0.4810423658295023,0.7166626544533812,0.4848687565456927,0.6611076599690701,0.4634383469063136,0.7726112353041525,0.50605926091346,0.805713877014048,0.9024944962282885,0.8318379996892296,0.06156377348027139,0.8034653981851657,0.9115978957177409,0.7563394288323088,0.058652653411694636,0.8022146943385997,0.9360033383125976,0.6650268286657277,0.021430963891693914,0.6611076599690701,0.4634383469063136,0.899472266362595,True,True,True,True
9257,4,0.18128966319990564,0.9895833333333334,0.9280705225370304,0.7408912740185034,0.7886150399118714,0.6737892736539504,0.9280705225370304,0.764885340501186,0.8931900471903844,0.6914310777098034,0.9438276167135756,0.7636343927169602,0.8972507843396741,0.7010298106072548,0.41554996464261174,0.225584590006069,0.5513743157727098,0.29351210805973893,0.4754313073490375,0.3137224699001513,0.7161746601064463,0.45864829822745634,0.5297719273859556,0.2789973839080383,0.6817967991667484,0.4122490198883483,0.7120048912882642,0.8765725624343018,0.652287808106178,0.07791607600711954,0.6670497561565638,0.907941920264592,0.6172911974246789,0.26987206548627257,0.8011289591947108,0.9408564390937616,0.6531552973951955,0.03619299455452732,0.41554996464261174,0.225584590006069,0.8931900471903844,True,True,True,True
