model,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,value_origin,system_role
TVNet,ETTm2,96,0.161,0.254,0.161,0.254,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm2,96,0.175,0.266,0.175,0.266,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm2,96,0.165,0.256,0.165,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm2,96,0.174,0.26,0.174,0.260,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm2,96,0.166,0.256,0.166,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm2,96,0.166,0.256,0.166,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm2,96,0.263,0.359,0.263,0.359,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm2,96,0.189,0.265,0.189,0.265,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm2,96,0.164,0.255,0.164,0.255,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm2,192,0.21,0.28,0.210,0.280,best,best,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm2,192,0.22,0.293,0.220,0.293,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm2,192,0.242,0.312,0.242,0.312,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm2,192,0.225,0.298,0.225,0.298,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm2,192,0.231,0.301,0.231,0.301,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm2,192,0.222,0.293,0.222,0.293,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm2,192,0.223,0.296,0.223,0.296,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm2,192,0.345,0.4,0.345,0.400,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm2,192,0.254,0.31,0.254,0.310,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm2,192,0.224,0.304,0.224,0.304,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm2,336,0.265,0.318,0.265,0.318,best,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm2,336,0.272,0.316,0.272,0.316,normal,best,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm2,336,0.282,0.34,0.282,0.340,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm2,336,0.277,0.332,0.277,0.332,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm2,336,0.288,0.336,0.288,0.336,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm2,336,0.272,0.324,0.272,0.324,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm2,336,0.274,0.329,0.274,0.329,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm2,336,0.469,0.496,0.469,0.496,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm2,336,0.313,0.345,0.313,0.345,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm2,336,0.277,0.337,0.277,0.337,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTm2,720,0.346,0.374,0.346,0.374,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTm2,720,0.349,0.379,0.349,0.379,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTm2,720,0.378,0.398,0.378,0.398,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTm2,720,0.36,0.387,0.360,0.387,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTm2,720,0.368,0.386,0.368,0.386,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTm2,720,0.351,0.381,0.351,0.381,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTm2,720,0.362,0.385,0.362,0.385,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTm2,720,0.996,0.75,0.996,0.750,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTm2,720,0.413,0.402,0.413,0.402,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTm2,720,0.371,0.401,0.371,0.401,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh1,96,0.38,0.407,0.380,0.407,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh1,96,0.371,0.408,0.371,0.408,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTh1,96,0.386,0.405,0.386,0.405,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh1,96,0.372,0.401,0.372,0.401,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh1,96,0.377,0.394,0.377,0.394,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh1,96,0.368,0.394,0.368,0.394,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh1,96,0.377,0.397,0.377,0.397,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh1,96,0.386,0.426,0.386,0.426,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh1,96,0.384,0.402,0.384,0.402,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh1,96,0.379,0.403,0.379,0.403,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh1,192,0.406,0.419,0.406,0.419,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh1,192,0.398,0.409,0.398,0.409,second,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTh1,192,0.424,0.44,0.424,0.440,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh1,192,0.413,0.43,0.413,0.430,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh1,192,0.408,0.427,0.408,0.427,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh1,192,0.405,0.413,0.405,0.413,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh1,192,0.409,0.428,0.409,0.428,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh1,192,0.413,0.442,0.413,0.442,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh1,192,0.557,0.436,0.557,0.436,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh1,192,0.408,0.419,0.408,0.419,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh1,336,0.427,0.432,0.427,0.432,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh1,336,0.401,0.409,0.401,0.409,normal,best,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTh1,336,0.449,0.46,0.449,0.460,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh1,336,0.438,0.45,0.438,0.450,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh1,336,0.424,0.437,0.424,0.437,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh1,336,0.391,0.412,0.391,0.412,best,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh1,336,0.431,0.444,0.431,0.444,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh1,336,0.44,0.461,0.440,0.461,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh1,336,0.491,0.469,0.491,0.469,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh1,336,0.44,0.44,0.440,0.440,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh1,720,0.459,0.464,0.459,0.464,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh1,720,0.458,0.459,0.458,0.459,normal,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ETTh1,720,0.495,0.487,0.495,0.487,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh1,720,0.486,0.484,0.486,0.484,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh1,720,0.451,0.465,0.451,0.465,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh1,720,0.45,0.461,0.450,0.461,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh1,720,0.457,0.477,0.457,0.477,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh1,720,0.519,0.524,0.519,0.524,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh1,720,0.521,0.5,0.521,0.500,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh1,720,0.471,0.493,0.471,0.493,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh2,96,0.27,0.331,0.270,0.331,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh2,96,0.263,0.329,0.263,0.329,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_published_context
iTransformer,ETTh2,96,0.297,0.348,0.297,0.348,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh2,96,0.281,0.351,0.281,0.351,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh2,96,0.283,0.345,0.283,0.345,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh2,96,0.263,0.332,0.263,0.332,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh2,96,0.274,0.337,0.274,0.337,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh2,96,0.611,0.557,0.611,0.557,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh2,96,0.334,0.37,0.334,0.370,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh2,96,0.289,0.353,0.289,0.353,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh2,192,0.334,0.374,0.334,0.374,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh2,192,0.319,0.372,0.319,0.372,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_published_context
iTransformer,ETTh2,192,0.371,0.403,0.371,0.403,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh2,192,0.349,0.387,0.349,0.387,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh2,192,0.339,0.381,0.339,0.381,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh2,192,0.32,0.374,0.320,0.374,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh2,192,0.348,0.384,0.348,0.384,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh2,192,0.703,0.624,0.703,0.624,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh2,192,0.404,0.413,0.404,0.413,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh2,192,0.383,0.418,0.383,0.418,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh2,336,0.376,0.405,0.376,0.405,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh2,336,0.311,0.373,0.311,0.373,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_published_context
iTransformer,ETTh2,336,0.404,0.428,0.404,0.428,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh2,336,0.366,0.413,0.366,0.413,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh2,336,0.366,0.405,0.366,0.405,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh2,336,0.313,0.376,0.313,0.376,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh2,336,0.377,0.416,0.377,0.416,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh2,336,0.827,0.675,0.827,0.675,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh2,336,0.389,0.435,0.389,0.435,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh2,336,0.448,0.465,0.448,0.465,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ETTh2,720,0.406,0.436,0.406,0.436,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ETTh2,720,0.401,0.434,0.401,0.434,normal,normal,author_corrected_screenshot_20260815_three_decimal,horizon_specific_published_context
iTransformer,ETTh2,720,0.424,0.444,0.424,0.444,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ETTh2,720,0.401,0.436,0.401,0.436,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ETTh2,720,0.395,0.436,0.395,0.436,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ETTh2,720,0.392,0.433,0.392,0.433,best,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ETTh2,720,0.406,0.441,0.406,0.441,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ETTh2,720,1.094,0.775,1.094,0.775,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ETTh2,720,0.434,0.448,0.434,0.448,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ETTh2,720,0.605,0.551,0.605,0.551,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Weather,96,0.143,0.182,0.143,0.182,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Weather,96,0.147,0.198,0.147,0.198,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Weather,96,0.159,0.208,0.159,0.208,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Weather,96,0.147,0.198,0.147,0.198,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Weather,96,0.149,0.2,0.149,0.200,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Weather,96,0.149,0.2,0.149,0.200,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Weather,96,0.149,0.198,0.149,0.198,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Weather,96,0.146,0.212,0.146,0.212,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Weather,96,0.172,0.22,0.172,0.220,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Weather,96,0.17,0.23,0.170,0.230,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Weather,192,0.185,0.224,0.185,0.224,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Weather,192,0.194,0.238,0.194,0.238,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Weather,192,0.2,0.248,0.200,0.248,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Weather,192,0.192,0.243,0.192,0.243,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Weather,192,0.193,0.24,0.193,0.240,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Weather,192,0.196,0.245,0.196,0.245,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Weather,192,0.194,0.241,0.194,0.241,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Weather,192,0.195,0.261,0.195,0.261,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Weather,192,0.219,0.261,0.219,0.261,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Weather,192,0.216,0.273,0.216,0.273,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Weather,336,0.235,0.263,0.235,0.263,second,best,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Weather,336,0.235,0.277,0.235,0.277,second,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Weather,336,0.253,0.289,0.253,0.289,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Weather,336,0.247,0.284,0.247,0.284,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Weather,336,0.241,0.279,0.241,0.279,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Weather,336,0.238,0.277,0.238,0.277,normal,second,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Weather,336,0.245,0.282,0.245,0.282,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Weather,336,0.252,0.311,0.252,0.311,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Weather,336,0.28,0.306,0.280,0.306,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Weather,336,0.258,0.307,0.258,0.307,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,Weather,720,0.308,0.319,0.308,0.319,second,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,Weather,720,0.308,0.331,0.308,0.331,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,Weather,720,0.321,0.338,0.321,0.338,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,Weather,720,0.318,0.33,0.318,0.330,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,Weather,720,0.324,0.338,0.324,0.338,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,Weather,720,0.314,0.334,0.314,0.334,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,Weather,720,0.314,0.334,0.314,0.334,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,Weather,720,0.318,0.363,0.318,0.363,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,Weather,720,0.365,0.359,0.365,0.359,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,Weather,720,0.323,0.362,0.323,0.362,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ECL,96,0.128,0.218,0.128,0.218,normal,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ECL,96,0.142,0.223,0.142,0.223,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ECL,96,0.138,0.237,0.138,0.237,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ECL,96,0.142,0.247,0.142,0.247,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ECL,96,0.134,0.228,0.134,0.228,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ECL,96,0.129,0.226,0.129,0.226,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ECL,96,0.129,0.222,0.129,0.222,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ECL,96,0.135,0.237,0.135,0.237,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ECL,96,0.168,0.272,0.168,0.272,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ECL,96,0.14,0.237,0.140,0.237,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ECL,192,0.145,0.235,0.145,0.235,normal,second,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
TVNet,ECL,192,0.165,0.241,0.165,0.241,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
iTransformer,ECL,192,0.157,0.256,0.157,0.256,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeMixer,ECL,192,0.168,0.269,0.168,0.269,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Leddam,ECL,192,0.155,0.248,0.155,0.248,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
ModernTCN,ECL,192,0.143,0.239,0.143,0.239,second,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
PatchTST,ECL,192,0.147,0.24,0.147,0.240,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
Crossformer,ECL,192,0.16,0.262,0.160,0.262,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimesNet,ECL,192,0.184,0.289,0.184,0.289,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
DLinear,ECL,192,0.152,0.249,0.152,0.249,normal,normal,timealign_table6_published_three_run_mean,horizon_specific_published_context
TimeAlign,ECL,336,0.162,0.251,0.162,0.251,normal,best,author_corrected_screenshot_20260815_three_decimal,horizon_specific_official_native
