dataset,block_size,residual_label,proxy,num_units,spearman_proxy_residual,pearson_proxy_residual,top_quartile_overlap,proxy_mean,residual_mean
ETTm1,48,linear_step_residual,label_novelty,15,-0.167857,0.410452,0.000000,0.9392068462,-0.0000000000
ETTm1,48,linear_step_residual,local_variation,15,-0.292857,-0.178701,0.250000,0.0465413271,-0.0000000000
ETTm1,48,linear_step_residual,step_index,15,-0.210714,-0.000000,0.000000,336.0000000000,-0.0000000000
ETTm1,48,linear_step_residual,shuffled_seasonal,15,-0.253571,-0.216622,0.000000,0.4698313534,-0.0000000000
ETTm1,48,rank_step_residual,seasonal_residual,15,-0.264286,0.128854,0.000000,0.4698313534,0.0000000000
ETTm1,48,rank_step_residual,label_novelty,15,0.517857,0.053527,0.500000,0.9392068462,0.0000000000
ETTm1,48,rank_step_residual,local_variation,15,0.471429,0.118377,0.750000,0.0465413271,0.0000000000
ETTm1,48,rank_step_residual,step_index,15,0.482143,-0.000000,0.750000,336.0000000000,0.0000000000
ETTm1,48,rank_step_residual,shuffled_seasonal,15,0.057143,0.023333,0.250000,0.4698313534,0.0000000000
ETTm1,48,prefix_normalized_residual,seasonal_residual,15,0.228571,-0.021401,0.750000,0.4698313534,-0.0049073274
ETTm1,48,prefix_normalized_residual,label_novelty,15,0.257143,0.597821,0.250000,0.9392068462,-0.0049073274
ETTm1,48,prefix_normalized_residual,local_variation,15,0.185714,0.215159,0.250000,0.0465413271,-0.0049073274
ETTm1,48,prefix_normalized_residual,step_index,15,0.153571,0.316650,0.250000,336.0000000000,-0.0049073274
ETTm1,48,prefix_normalized_residual,shuffled_seasonal,15,-0.085714,-0.216474,0.250000,0.4698313534,-0.0049073274
ETTm1,96,linear_step_residual,seasonal_residual,8,0.428571,0.254720,0.500000,0.4697590893,-0.0000000000
ETTm1,96,linear_step_residual,label_novelty,8,-0.071429,0.370612,0.000000,0.9455220469,-0.0000000000
ETTm1,96,linear_step_residual,local_variation,8,-0.261905,-0.176689,0.000000,0.0465548309,-0.0000000000
ETTm1,96,linear_step_residual,step_index,8,-0.071429,-0.000000,0.000000,336.0000000000,-0.0000000000
ETTm1,96,linear_step_residual,shuffled_seasonal,8,-0.619048,-0.676582,0.000000,0.4697590893,-0.0000000000
ETTm1,96,rank_step_residual,seasonal_residual,8,nan,nan,0.500000,0.4697590893,0.0000000000
ETTm1,96,rank_step_residual,label_novelty,8,nan,nan,0.000000,0.9455220469,0.0000000000
ETTm1,96,rank_step_residual,local_variation,8,nan,nan,0.000000,0.0465548309,0.0000000000
ETTm1,96,rank_step_residual,step_index,8,nan,nan,0.000000,336.0000000000,0.0000000000
ETTm1,96,rank_step_residual,shuffled_seasonal,8,nan,nan,0.500000,0.4697590893,0.0000000000
ETTm1,96,prefix_normalized_residual,seasonal_residual,8,0.261905,-0.211077,0.500000,0.4697590893,-0.0125831898
ETTm1,96,prefix_normalized_residual,label_novelty,8,0.190476,0.740973,0.500000,0.9455220469,-0.0125831898
ETTm1,96,prefix_normalized_residual,local_variation,8,-0.119048,0.290908,0.500000,0.0465548309,-0.0125831898
ETTm1,96,prefix_normalized_residual,step_index,8,0.190476,0.507812,0.500000,336.0000000000,-0.0125831898
ETTm1,96,prefix_normalized_residual,shuffled_seasonal,8,-0.571429,-0.509648,0.000000,0.4697590893,-0.0125831898
Weather,24,linear_step_residual,seasonal_residual,30,0.828699,0.706442,0.625000,0.8068097684,-0.0000000000
Weather,24,linear_step_residual,label_novelty,30,0.100334,0.356414,0.375000,1.2536436664,-0.0000000000
Weather,24,linear_step_residual,local_variation,30,0.768632,0.550055,0.625000,0.2240353954,-0.0000000000
Weather,24,linear_step_residual,step_index,30,-0.097219,-0.000000,0.000000,348.0000000000,-0.0000000000
Weather,24,linear_step_residual,shuffled_seasonal,30,0.034483,-0.093773,0.375000,0.8068097684,-0.0000000000
Weather,24,rank_step_residual,seasonal_residual,30,nan,nan,0.000000,0.8068097684,0.0000000000
Weather,24,rank_step_residual,label_novelty,30,nan,nan,0.000000,1.2536436664,0.0000000000
Weather,24,rank_step_residual,local_variation,30,nan,nan,0.125000,0.2240353954,0.0000000000
Weather,24,rank_step_residual,step_index,30,nan,nan,0.000000,348.0000000000,0.0000000000
Weather,24,rank_step_residual,shuffled_seasonal,30,nan,nan,0.250000,0.8068097684,0.0000000000
Weather,24,prefix_normalized_residual,seasonal_residual,30,-0.081201,0.055735,0.250000,0.8068097684,-0.0068537746
Weather,24,prefix_normalized_residual,label_novelty,30,0.454060,0.500809,0.125000,1.2536436664,-0.0068537746
Weather,24,prefix_normalized_residual,local_variation,30,0.025139,0.001130,0.375000,0.2240353954,-0.0068537746
Weather,24,prefix_normalized_residual,step_index,30,-0.218242,0.216514,0.000000,348.0000000000,-0.0068537746
Weather,24,prefix_normalized_residual,shuffled_seasonal,30,-0.088765,-0.251132,0.250000,0.8068097684,-0.0068537746
Weather,48,linear_step_residual,seasonal_residual,15,0.810714,0.723163,0.500000,0.8068097684,-0.0000000000
Weather,48,linear_step_residual,label_novelty,15,-0.021429,0.352568,0.500000,1.2536436664,-0.0000000000
Weather,48,linear_step_residual,local_variation,15,0.753571,0.573710,0.750000,0.2240353954,-0.0000000000
Weather,48,linear_step_residual,step_index,15,-0.121429,-0.000000,0.000000,336.0000000000,-0.0000000000
Weather,48,linear_step_residual,shuffled_seasonal,15,0.325000,0.231047,0.500000,0.8068097684,-0.0000000000
Weather,48,rank_step_residual,seasonal_residual,15,nan,nan,0.000000,0.8068097684,0.0000000000
Weather,48,rank_step_residual,label_novelty,15,nan,nan,0.000000,1.2536436664,0.0000000000
Weather,48,rank_step_residual,local_variation,15,nan,nan,0.000000,0.2240353954,0.0000000000
Weather,48,rank_step_residual,step_index,15,nan,nan,0.000000,336.0000000000,0.0000000000
Weather,48,rank_step_residual,shuffled_seasonal,15,nan,nan,0.250000,0.8068097684,0.0000000000
Weather,48,prefix_normalized_residual,seasonal_residual,15,0.064286,0.091348,0.250000,0.8068097684,-0.0140517160
Weather,48,prefix_normalized_residual,label_novelty,15,0.642857,0.618999,0.750000,1.2536436664,-0.0140517160
Weather,48,prefix_normalized_residual,local_variation,15,0.103571,-0.001839,0.250000,0.2240353954,-0.0140517160
Weather,48,prefix_normalized_residual,step_index,15,-0.028571,0.333883,0.000000,336.0000000000,-0.0140517160
Weather,48,prefix_normalized_residual,shuffled_seasonal,15,-0.475000,-0.365854,0.250000,0.8068097684,-0.0140517160
Weather,96,linear_step_residual,seasonal_residual,8,0.809524,0.740197,0.500000,0.8066702870,-0.0000000000
Weather,96,linear_step_residual,label_novelty,8,0.285714,0.482971,0.000000,1.2524176679,-0.0000000000
Weather,96,linear_step_residual,local_variation,8,0.738095,0.544447,1.000000,0.2240275515,-0.0000000000
Weather,96,linear_step_residual,step_index,8,-0.071429,0.000000,0.000000,336.0000000000,-0.0000000000
Weather,96,linear_step_residual,shuffled_seasonal,8,0.690476,0.769258,0.000000,0.8066702870,-0.0000000000
Weather,96,rank_step_residual,seasonal_residual,8,nan,nan,0.000000,0.8066702870,0.0000000000
Weather,96,rank_step_residual,label_novelty,8,nan,nan,0.000000,1.2524176679,0.0000000000
Weather,96,rank_step_residual,local_variation,8,nan,nan,0.000000,0.2240275515,0.0000000000
Weather,96,rank_step_residual,step_index,8,nan,nan,0.000000,336.0000000000,0.0000000000
Weather,96,rank_step_residual,shuffled_seasonal,8,nan,nan,0.000000,0.8066702870,0.0000000000
Weather,96,prefix_normalized_residual,seasonal_residual,8,-0.071429,0.095085,0.000000,0.8066702870,-0.0268821202
Weather,96,prefix_normalized_residual,label_novelty,8,-0.047619,0.499389,0.000000,1.2524176679,-0.0268821202
Weather,96,prefix_normalized_residual,local_variation,8,0.476190,0.001879,0.500000,0.2240275515,-0.0268821202
Weather,96,prefix_normalized_residual,step_index,8,-0.095238,0.504106,0.000000,336.0000000000,-0.0268821202
Weather,96,prefix_normalized_residual,shuffled_seasonal,8,-0.023810,0.422770,0.000000,0.8066702870,-0.0268821202
