dataset,variant,horizon,output_shape,expected_shape,full_prefix_max_abs,pass
ETTh2,plgo-paf-geo-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-geo-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-geo-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-geo-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-perm-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTh2,plgo-paf-perm-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,plgo-paf-perm-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-perm-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-perm-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-perm-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-random-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTh2,plgo-paf-random-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,plgo-paf-random-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-random-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-random-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-random-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-geo-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTh2,plgo-paf-geo-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,plgo-paf-geo-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-geo-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-geo-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-geo-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-perm-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTh2,plgo-paf-perm-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,plgo-paf-perm-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-perm-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-perm-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-perm-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,plgo-paf-random-m694,1,"[1, 1, 7]","[1, 1, 7]",5.960464477539062e-07,True
ETTh2,plgo-paf-random-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,plgo-paf-random-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,plgo-paf-random-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,plgo-paf-random-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,plgo-paf-random-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,learned-basis-forecast-operator,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTm1,learned-basis-forecast-operator,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,learned-basis-forecast-operator,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,learned-basis-forecast-operator,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,learned-basis-forecast-operator,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,learned-basis-forecast-operator,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-geo-c256,1,"[1, 1, 7]","[1, 1, 7]",1.9073486328125e-06,True
ETTm1,plgo-paf-geo-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-geo-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-geo-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-geo-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-geo-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-perm-c256,1,"[1, 1, 7]","[1, 1, 7]",1.9073486328125e-06,True
ETTm1,plgo-paf-perm-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-perm-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-perm-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-perm-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-perm-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-random-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTm1,plgo-paf-random-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-random-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-random-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-random-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-random-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-geo-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTm1,plgo-paf-geo-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-geo-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-geo-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-geo-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-geo-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-perm-m694,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTm1,plgo-paf-perm-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-perm-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-perm-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-perm-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-perm-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,plgo-paf-random-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTm1,plgo-paf-random-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,plgo-paf-random-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,plgo-paf-random-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,plgo-paf-random-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,plgo-paf-random-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,learned-basis-forecast-operator,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTm2,learned-basis-forecast-operator,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,learned-basis-forecast-operator,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,learned-basis-forecast-operator,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,learned-basis-forecast-operator,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,learned-basis-forecast-operator,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-geo-c256,1,"[1, 1, 7]","[1, 1, 7]",7.152557373046875e-07,True
ETTm2,plgo-paf-geo-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-geo-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-geo-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-geo-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-geo-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-perm-c256,1,"[1, 1, 7]","[1, 1, 7]",1.9073486328125e-06,True
ETTm2,plgo-paf-perm-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-perm-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-perm-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-perm-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-perm-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-random-c256,1,"[1, 1, 7]","[1, 1, 7]",9.5367431640625e-07,True
ETTm2,plgo-paf-random-c256,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-random-c256,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-random-c256,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-random-c256,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-random-c256,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-geo-m694,1,"[1, 1, 7]","[1, 1, 7]",4.76837158203125e-07,True
ETTm2,plgo-paf-geo-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-geo-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-geo-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-geo-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-geo-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-perm-m694,1,"[1, 1, 7]","[1, 1, 7]",1.430511474609375e-06,True
ETTm2,plgo-paf-perm-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-perm-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-perm-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-perm-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-perm-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,plgo-paf-random-m694,1,"[1, 1, 7]","[1, 1, 7]",7.152557373046875e-07,True
ETTm2,plgo-paf-random-m694,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,plgo-paf-random-m694,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,plgo-paf-random-m694,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,plgo-paf-random-m694,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,plgo-paf-random-m694,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
Weather,learned-basis-forecast-operator,1,"[1, 1, 21]","[1, 1, 21]",2.980232238769531e-07,True
Weather,learned-basis-forecast-operator,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,learned-basis-forecast-operator,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,learned-basis-forecast-operator,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,learned-basis-forecast-operator,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,learned-basis-forecast-operator,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-geo-c256,1,"[1, 1, 21]","[1, 1, 21]",1.9073486328125e-06,True
Weather,plgo-paf-geo-c256,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-geo-c256,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-geo-c256,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-geo-c256,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-geo-c256,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-perm-c256,1,"[1, 1, 21]","[1, 1, 21]",1.430511474609375e-06,True
Weather,plgo-paf-perm-c256,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-perm-c256,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-perm-c256,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-perm-c256,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-perm-c256,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-random-c256,1,"[1, 1, 21]","[1, 1, 21]",9.5367431640625e-07,True
Weather,plgo-paf-random-c256,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-random-c256,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-random-c256,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-random-c256,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-random-c256,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-geo-m694,1,"[1, 1, 21]","[1, 1, 21]",2.384185791015625e-06,True
Weather,plgo-paf-geo-m694,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-geo-m694,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-geo-m694,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-geo-m694,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-geo-m694,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-perm-m694,1,"[1, 1, 21]","[1, 1, 21]",1.9073486328125e-06,True
Weather,plgo-paf-perm-m694,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-perm-m694,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-perm-m694,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-perm-m694,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-perm-m694,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,plgo-paf-random-m694,1,"[1, 1, 21]","[1, 1, 21]",1.9073486328125e-06,True
Weather,plgo-paf-random-m694,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,plgo-paf-random-m694,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,plgo-paf-random-m694,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,plgo-paf-random-m694,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,plgo-paf-random-m694,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
