system,dataset,main_ii_mse,main_i_h720_mse,mse_delta,main_ii_mae,main_i_h720_mae,mae_delta,mse_tolerance,mae_tolerance,numeric_tolerance_rule,exact_required,pass,reference_role
QDF,ETTm1,0.4228467643260956,0.4228467345237732,2.9802322387695312e-08,0.4241206645965576,0.4241206645965576,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,ETTm2,0.3638134300708771,0.3638134300708771,0.0,0.3853282332420349,0.38532817363739014,5.960464477539063e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,Weather,0.3410804271697998,0.3410804271697998,0.0,0.35111936926841736,0.35111936926841736,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,ECL,0.22251303493976593,0.22251302003860474,1.4901161193847656e-08,0.31353291869163513,0.31353291869163513,0.0,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
QDF,Solar,0.22260445356369019,0.2226044237613678,2.9802322387695312e-08,0.27768146991729736,0.27768149971961975,-2.9802322387695312e-08,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,ETTh1,0.4515272080898285,0.4515272080898285,0.0,0.46108269691467285,0.46108269691467285,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,ETTh2,0.44193533062934875,0.44193533062934875,0.0,0.4665042757987976,0.4665042757987976,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,ETTm1,0.42269816994667053,0.42269816994667053,0.0,0.41704830527305603,0.41704830527305603,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,ETTm2,0.3553587794303894,0.3553587794303894,0.0,0.3814344108104706,0.3814344108104706,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,Weather,0.31507608294487,0.31507608294487,0.0,0.3323940336704254,0.3323940336704254,0.0,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,ECL,0.2002936750650406,0.2002936750650406,0.0,0.29212602972984314,0.29212602972984314,0.0,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
AMD,Solar,0.21470476686954498,0.21470476686954498,0.0,0.25669339299201965,0.25669339299201965,0.0,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,ETTh1,0.469748079416951,0.4697480897108714,-1.0293920382764554e-08,0.46545722247915283,0.4654572208722432,1.6069096053783483e-09,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,ETTh2,0.41443220475293713,0.4144321878751119,1.6877825248506895e-08,0.4364249857033586,0.43642499049504596,-4.791687380212295e-09,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,ETTm1,0.4542526424651314,0.4542526602745056,-1.7809374197597094e-08,0.43794770642892394,0.43794772028923035,-1.3860306402602163e-08,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,ETTm2,0.40076594485542777,0.40076593557993573,9.275492041105338e-09,0.3991514995540233,0.3991514941056569,5.448366369176227e-09,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,Weather,0.3457577038919015,0.3457577129205068,-9.028605252314748e-09,0.34370551336397764,0.34370551506678265,-1.7028050081080437e-09,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,ECL,0.20076404152045482,0.20076404015223184,1.3682229793587908e-09,0.293490285213377,0.29349027077356976,1.4439807238808555e-08,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
SimpleTM,Solar,0.19978683358714652,0.1997868319352468,1.6518997281167458e-09,0.254363545820319,0.2543635368347168,8.985602206745824e-09,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",True,True,exact_local_anchor
iTransformer,ETTh1,0.5093046218759192,0.495,0.014304621875919188,0.49383628933682067,0.487,0.006836289336820678,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,ETTh2,0.42967171498841433,0.424,0.005671714988414345,0.4464756393635063,0.444,0.00247563936350631,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,ETTm1,0.4869880086753695,0.429,0.05798800867536952,0.45648442910596215,0.43,0.02648442910596216,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,ETTm2,0.4157624951761465,0.378,0.03776249517614649,0.4086312517228196,0.398,0.01063125172281959,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,Weather,0.358874337491641,0.321,0.037874337491640986,0.35073530336167696,0.338,0.012735303361676942,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,ECL,0.21074225625845938,0.194,0.016742256258459376,0.30073663998813077,0.286,0.014736639988130795,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
iTransformer,Solar,0.2496772504471715,0.223,0.026677250447171508,0.27560493668066155,0.261,0.01460493668066154,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,ETTh1,0.4552059014759845,0.457,-0.0017940985240155194,0.4691205727876147,0.477,-0.00787942721238527,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,ETTh2,0.3782814496619074,0.406,-0.027718550338092618,0.42092310585845294,0.441,-0.020076894141547064,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,ETTm1,0.4152368112856822,0.416,-0.0007631887143177973,0.42110117902138766,0.42,0.001101179021387677,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,ETTm2,0.3648001207539756,0.362,0.002800120753975621,0.382927654821998,0.385,-0.002072345178002033,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,Weather,0.3194580104923887,0.314,0.0054580104923886985,0.335489913230442,0.334,0.0014899132304420082,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,ECL,0.2011319342064936,0.197,0.004131934206493604,0.291238910460888,0.29,0.001238910460888032,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
PatchTST,Solar,0.20603524980251256,0.209,-0.0029647501974874313,0.2574213268835301,0.256,0.001421326883530083,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,ETTh1,0.537790435427071,0.471,0.06679043542707097,0.5380031065415225,0.493,0.04500310654152251,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,ETTh2,0.5843532290643729,0.605,-0.020646770935627057,0.5433148744187083,0.551,-0.007685125581291752,2.384185791015625e-07,2.384185791015625e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,ETTm1,0.4271246087250689,0.419,0.008124608725068927,0.42267383501247413,0.416,0.00667383501247415,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,ETTm2,0.4029211847615784,0.371,0.0319211847615784,0.427979419254925,0.401,0.026979419254924975,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,Weather,0.3282086409788405,0.323,0.005208640978840495,0.36948836082227016,0.362,0.007488360822270168,1.1920928955078125e-07,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,ECL,0.20390152018671379,0.203,0.0009015201867137723,0.3011989567696195,0.301,0.00019895676961950715,5.960464477539063e-08,1.1920928955078125e-07,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
DLinear,Solar,0.2708660834846778,0.243,0.027866083484677784,0.3274722590788681,0.241,0.08647225907886813,5.960464477539063e-08,5.960464477539063e-08,"max(1e-8, four_float32_ULPs_of_anchor)",False,True,published_three_run_mean
