dataset,arm,epochs_ran,best_epoch,last_epoch,best_h720_val_mse,last_h720_val_mse,last_over_best_fraction,stop_triggered,all_finite
ETTm1,independent_scope_matched_mcca,7,2,7,0.9529182327186896,0.9626075681712892,0.010168065968216178,1,True
ETTm1,dense_siff_matched,6,1,6,0.9721902094781398,1.029051909957909,0.05848824635900396,1,True
ETTm1,pcsd_pointwise_mcca,9,4,9,0.9503963723882205,0.9817817197905646,0.03302342929137758,1,True
ETTm1,pcsd_uniform_balanced_ot,9,4,9,0.945940393773425,0.9699645338424792,0.025397097139725933,1,True
ETTm2,pcsd_mcca,6,1,6,0.2792160301727967,0.30734542089307476,0.1007441825702835,1,True
ETTm2,siff_equal,6,1,6,0.2768943949809505,0.29484867905783985,0.06484163060839343,1,True
ETTm2,siff_pcc,6,1,6,0.27730602841410373,0.2885963350120518,0.040714248667858444,1,True
ETTm2,siff_mcca,6,1,6,0.2775372749297983,0.2866545961290184,0.03285079887566922,1,True
ETTm2,siff_const_mcca,7,2,7,0.2821183713256485,0.30134131233207884,0.06813785616336676,1,True
ETTm2,siff_permuted_mcca,6,1,6,0.2807186740657522,0.296151195689001,0.05497504458728697,1,True
ETTm2,pcsd_q1_wide_mcca,8,3,8,0.2789014077021016,0.3169185256326778,0.13631024039571304,1,True
ETTm2,independent_scope_matched_mcca,10,5,10,0.27409749371517034,0.2893027386912662,0.05547385629106283,1,True
ETTm2,dense_siff_matched,6,1,6,0.2838518749663813,0.32588384315474994,0.14807712012945773,1,True
ETTm2,pcsd_pointwise_mcca,6,1,6,0.28028329538388386,0.3078589657890714,0.0983849942516879,1,True
ETTm2,pcsd_uniform_balanced_ot,6,1,6,0.2793533341545198,0.30697601582441064,0.09888080181141423,1,True
Weather,pcsd_mcca,14,9,14,0.5888220528968506,0.5957996136819322,0.011850033046068464,1,True
Weather,siff_equal,9,4,9,0.5943726203507848,0.5952213093845381,0.001427873701942195,1,True
Weather,siff_pcc,14,9,14,0.5900374446892076,0.595573387025959,0.009382357656415152,1,True
Weather,siff_mcca,14,9,14,0.5903671029334266,0.5957207749287288,0.009068377910457226,1,True
Weather,siff_const_mcca,14,9,14,0.5897360744575659,0.5928614802244637,0.005299668618326425,1,True
Weather,siff_permuted_mcca,14,9,14,0.5914628255077534,0.5964767837276062,0.008477216155636569,1,True
Weather,pcsd_q1_wide_mcca,11,6,11,0.5895591822556323,0.5977105306461453,0.013826174938580849,1,True
Weather,independent_scope_matched_mcca,15,10,15,0.5889913443889883,0.5922152081711425,0.00547353337679124,1,True
Weather,dense_siff_matched,9,4,9,0.5891671806159947,0.6352683429088858,0.07824801484137445,1,True
Weather,pcsd_pointwise_mcca,14,9,14,0.5871693433572849,0.5941732824676567,0.01192831197610733,1,True
Weather,pcsd_uniform_balanced_ot,14,9,14,0.5890295933725105,0.5960681370149056,0.011949388827980023,1,True
