effect,candidate,reference,dataset,horizon_bin,start_horizon,end_horizon,mse_gain_percent,mae_gain_percent
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm2,h193_336,193,336,-7.822251765716182,-6.623698710876913
ordered_over_constant,siff_mcca,siff_const_mcca,ETTm2,h337_720,337,720,-0.9560099679799983,-2.75962835756014
ordered_over_constant,siff_mcca,siff_const_mcca,Weather,h1_48,1,48,-0.0884021792238121,0.15847643586224258
ordered_over_constant,siff_mcca,siff_const_mcca,Weather,h49_96,49,96,0.22839571552000226,0.2583661885614541
ordered_over_constant,siff_mcca,siff_const_mcca,Weather,h97_192,97,192,0.3949678075452323,0.5209664579201689
ordered_over_constant,siff_mcca,siff_const_mcca,Weather,h193_336,193,336,0.3523016314523897,0.5127539600199738
ordered_over_constant,siff_mcca,siff_const_mcca,Weather,h337_720,337,720,0.04742323324480324,0.17983381884303373
ordered_over_constant,siff_mcca,siff_const_mcca,macro,h1_48,1,48,-16.23265255525807,-7.619654030521025
ordered_over_constant,siff_mcca,siff_const_mcca,macro,h49_96,49,96,-7.769751610494149,-4.322606302305914
ordered_over_constant,siff_mcca,siff_const_mcca,macro,h97_192,97,192,-3.055201984256908,-2.0952968188336563
ordered_over_constant,siff_mcca,siff_const_mcca,macro,h193_336,193,336,-0.6017468659290603,-0.7424131236683973
ordered_over_constant,siff_mcca,siff_const_mcca,macro,h337_720,337,720,0.2392044208627664,-0.2690590029306028
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh1,h1_48,1,48,-1.4255671990256902,-1.8299960470597343
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh1,h49_96,49,96,-1.1551299491035838,-1.8579494730501356
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh1,h97_192,97,192,0.4003727686917813,-1.0126590193519025
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh1,h193_336,193,336,1.5407001809944698,0.11619230525526936
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh1,h337_720,337,720,0.5213820159762239,-0.08749415194027055
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh2,h1_48,1,48,1.6186646094928259,1.2126464079433075
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh2,h49_96,49,96,0.8799894624243132,0.3654028837572376
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh2,h97_192,97,192,1.083953852506625,0.35641288669603366
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh2,h193_336,193,336,1.3923446263724437,0.5517029419926156
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTh2,h337_720,337,720,0.9127449658337561,0.49676246398168145
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm1,h1_48,1,48,0.4245670387931555,0.43250036979258777
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm1,h49_96,49,96,0.2526174593584285,0.26501268810323886
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm1,h97_192,97,192,0.5282785984983773,0.33135966113365667
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm1,h193_336,193,336,0.6114437466472222,0.3095265349209342
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm1,h337_720,337,720,0.5043289191096645,0.21013640921755394
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm2,h1_48,1,48,12.412043862485344,6.803477474297059
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm2,h49_96,49,96,7.875276252734132,4.490851351320202
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm2,h97_192,97,192,5.230355404180065,3.1514448677119167
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm2,h193_336,193,336,2.8956216178718353,1.7370662433105144
ordered_over_permuted,siff_mcca,siff_permuted_mcca,ETTm2,h337_720,337,720,1.6944775284360558,0.9717614926870399
ordered_over_permuted,siff_mcca,siff_permuted_mcca,Weather,h1_48,1,48,-0.36906140283148314,0.6595275203049811
ordered_over_permuted,siff_mcca,siff_permuted_mcca,Weather,h49_96,49,96,0.20966527923973466,0.1284297402319834
ordered_over_permuted,siff_mcca,siff_permuted_mcca,Weather,h97_192,97,192,0.3347069551027926,0.3144617521695703
ordered_over_permuted,siff_mcca,siff_permuted_mcca,Weather,h193_336,193,336,0.3500280915105236,0.41426641393303987
ordered_over_permuted,siff_mcca,siff_permuted_mcca,Weather,h337_720,337,720,0.25821332433006994,0.34782610268846437
ordered_over_permuted,siff_mcca,siff_permuted_mcca,macro,h1_48,1,48,2.5321293817828305,1.4556311450556403
ordered_over_permuted,siff_mcca,siff_permuted_mcca,macro,h49_96,49,96,1.6124837009306048,0.6783494380725054
ordered_over_permuted,siff_mcca,siff_permuted_mcca,macro,h97_192,97,192,1.5155335157959282,0.628204029671855
ordered_over_permuted,siff_mcca,siff_permuted_mcca,macro,h193_336,193,336,1.358027652679299,0.6257508878824747
ordered_over_permuted,siff_mcca,siff_permuted_mcca,macro,h337_720,337,720,0.778229350737154,0.3877984633268938
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh1,h1_48,1,48,0.17596950529799038,-0.014332490766144623
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh1,h49_96,49,96,-0.33171393163922147,-0.2667541582292765
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh1,h97_192,97,192,-0.2732659769815182,-0.179707471624857
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh1,h193_336,193,336,-0.23691906110701044,-0.15326386110623424
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh1,h337_720,337,720,-0.18680267912807302,-0.1212265433826909
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh2,h1_48,1,48,-0.49690105832920217,-0.4802625372256175
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh2,h49_96,49,96,-0.020829024632829096,-0.13724017166096836
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh2,h97_192,97,192,0.04909995029006575,-0.07058954702008347
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh2,h193_336,193,336,0.13442006269157591,-0.04397202868577921
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTh2,h337_720,337,720,-0.031286553618570245,-0.08984470409056922
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm1,h1_48,1,48,-0.23558265164054237,-0.28083966280449957
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm1,h49_96,49,96,-0.056472861028700194,-0.07766324769316046
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm1,h97_192,97,192,-0.19994699754342093,-0.149180058616194
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm1,h193_336,193,336,-0.1430496647899071,-0.11092799551359889
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm1,h337_720,337,720,-0.1023837998379129,-0.08642153859714785
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm2,h1_48,1,48,1.2354928888978711,0.9781564016778099
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm2,h49_96,49,96,-0.08658214794963204,-0.02708795041252987
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm2,h97_192,97,192,-0.1742857540512066,-0.09282940962036523
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm2,h193_336,193,336,-0.18165822547577815,-0.09427294464652292
mcca_over_pcc,pcsd_mcca,pcc_transport_full,ETTm2,h337_720,337,720,-0.21480220828973273,-0.11232031848809054
mcca_over_pcc,pcsd_mcca,pcc_transport_full,Weather,h1_48,1,48,-0.06373897263325379,0.1525710081393461
mcca_over_pcc,pcsd_mcca,pcc_transport_full,Weather,h49_96,49,96,-0.10914901972476354,-0.020621900389161674
mcca_over_pcc,pcsd_mcca,pcc_transport_full,Weather,h97_192,97,192,-0.07156241379344674,-0.07575065833629324
mcca_over_pcc,pcsd_mcca,pcc_transport_full,Weather,h193_336,193,336,-0.06161386253478174,-0.09867999778052639
mcca_over_pcc,pcsd_mcca,pcc_transport_full,Weather,h337_720,337,720,-0.048941543770064655,-0.022797526150752923
mcca_over_pcc,pcsd_mcca,pcc_transport_full,macro,h1_48,1,48,0.12304794231857263,0.07105854380417886
mcca_over_pcc,pcsd_mcca,pcc_transport_full,macro,h49_96,49,96,-0.12094939699502927,-0.10587348567701937
mcca_over_pcc,pcsd_mcca,pcc_transport_full,macro,h97_192,97,192,-0.13399223841590535,-0.11361142904355859
mcca_over_pcc,pcsd_mcca,pcc_transport_full,macro,h193_336,193,336,-0.0977641502431803,-0.10022336554653233
mcca_over_pcc,pcsd_mcca,pcc_transport_full,macro,h337_720,337,720,-0.11684335692887071,-0.08652212614185029
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,h1_48,1,48,2.2354300803851923,1.2426688415216658
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,h49_96,49,96,1.2662088388870285,0.6236978176433094
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,h97_192,97,192,0.8314883876711421,0.48216923140849133
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,h193_336,193,336,0.6764644441884737,0.4665474173780826
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh1,h337_720,337,720,0.510849938073632,0.410656330415482
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,h1_48,1,48,-1.2693581026617107,-0.9211304678271359
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,h49_96,49,96,0.6555100454734841,0.3124665882800137
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,h97_192,97,192,1.2210204047836792,0.5450095931224919
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,h193_336,193,336,2.139634484627817,0.9445294829057094
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTh2,h337_720,337,720,0.8894841178626822,0.4432349459905449
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,h1_48,1,48,1.6764287521128574,1.6648118026078351
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,h49_96,49,96,0.6363382961266928,0.6405770600005134
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,h97_192,97,192,0.4544910417990322,0.48305345388410803
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,h193_336,193,336,0.5313352132773619,0.49969084456320534
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm1,h337_720,337,720,0.6097136060414177,0.494549056927851
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,h1_48,1,48,0.8011013146045687,0.6390758861831825
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,h49_96,49,96,0.21811596072407458,0.17086696322660133
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,h97_192,97,192,0.11724359924319971,0.0709071045852161
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,h193_336,193,336,0.31411725111328836,0.12216346688389557
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,ETTm2,h337_720,337,720,0.33799409036076034,0.12462890863156328
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,h1_48,1,48,-1.8760581016970201,0.4887609557239436
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,h49_96,49,96,-0.06352663328563768,0.29333414973803373
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,h97_192,97,192,-0.16867654579002522,0.05665779987685804
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,h193_336,193,336,-0.20739723179037384,0.14776085830843222
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,Weather,h337_720,337,720,-0.30024047086119054,0.128809127304641
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,h1_48,1,48,0.3135087885487775,0.6228374036418982
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,h49_96,49,96,0.5425293015851285,0.4081885157776943
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,h97_192,97,192,0.4911133775414056,0.32755943657543307
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,h193_336,193,336,0.6908308322833134,0.436138414007865
transport_over_pointwise,pcsd_mcca,pcsd_pointwise_mcca,macro,h337_720,337,720,0.40956025629546033,0.32037567385401644
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,h1_48,1,48,0.7671457943175142,0.6224022394600626
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,h49_96,49,96,0.6530982726765222,0.46666385909460706
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,h97_192,97,192,0.4783851948375384,0.3589644543115944
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,h193_336,193,336,0.3483791567080008,0.27234464858105767
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh1,h337_720,337,720,0.22285149481546807,0.17846212944502282
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,h1_48,1,48,0.19398105221158923,0.2169209406317374
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,h49_96,49,96,0.019713247967134695,0.12977246059844294
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,h97_192,97,192,0.052355959527006224,0.08479670594990774
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,h193_336,193,336,0.16708919763862573,0.07181706472867422
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTh2,h337_720,337,720,0.11804884848077846,0.04831778176864754
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,h1_48,1,48,-0.21171733413718474,-0.19845124771133982
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,h49_96,49,96,0.003912666732353021,0.03274700718092216
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,h97_192,97,192,0.11138015738363372,0.09997628893528843
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,h193_336,193,336,0.05426042872934689,0.05533296055737491
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm1,h337_720,337,720,0.024419998551461486,0.030170878273294566
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,h1_48,1,48,0.9070572474766392,0.5855948727741311
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,h49_96,49,96,0.2976858982724262,0.2117210032558381
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,h97_192,97,192,0.1566630695946314,0.1151779414749976
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,h193_336,193,336,0.0816545368685917,0.06326249736744449
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,ETTm2,h337_720,337,720,0.0484707302491838,0.03511872290467011
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,h1_48,1,48,0.13280863439989465,0.014541999139106032
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,h49_96,49,96,0.029884430504345527,0.04565356447151503
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,h97_192,97,192,0.015316995165826075,0.06966905830839698
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,h193_336,193,336,0.017732604848830213,0.09573481826189445
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,Weather,h337_720,337,720,0.03492100776590901,0.08900417213704159
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,h1_48,1,48,0.3578550788536905,0.24820176085873946
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,h49_96,49,96,0.20085890323055633,0.17731157892026506
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,h97_192,97,192,0.16282027530172716,0.14571688979603703
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,h193_336,193,336,0.13382318495867906,0.11169839789928915
capability_over_uniform_ot,pcsd_mcca,pcsd_uniform_balanced_ot,macro,h337_720,337,720,0.08974241597256016,0.07621473690573533
