meta_type,dataset,horizon,matrix_dim,param_key,source,covariance_trace,precision_trace,covariance_diag_mean,covariance_diag_std,covariance_diag_min,covariance_diag_max,covariance_offdiag_abs_mean,covariance_offdiag_abs_max,covariance_offdiag_fro_share,covariance_weighted_bandwidth,covariance_weighted_bandwidth_ratio,covariance_condition_number,precision_diag_mean,precision_diag_std,precision_diag_min,precision_diag_max,precision_offdiag_abs_mean,precision_offdiag_abs_max,precision_offdiag_fro_share,precision_weighted_bandwidth,precision_weighted_bandwidth_ratio,precision_condition_number
diag,Weather,96,96,diag_param,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_96_TQNet_custom_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,113.05133819580078,81.54202270507812,1.177618145942688,0.019240016117691994,1.143349051475525,1.2319815158843994,0.0,0.0,0.0,0.0,0.0,1.0775200128555298,0.8493961691856384,0.013735095039010048,0.8117004632949829,0.8746235370635986,0.0,0.0,0.0,0.0,0.0,1.0775200128555298
diag,Weather,192,192,diag_param,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_192_TQNet_custom_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,195.09939575195312,188.95120239257812,1.016142725944519,0.0027282931841909885,1.0112324953079224,1.0236961841583252,0.0,0.0,0.0,0.0,0.0,1.0123252868652344,0.9841208457946777,0.0026399281341582537,0.976852297782898,0.9888922572135925,0.0,0.0,0.0,0.0,0.0,1.0123252868652344
diag,Weather,336,336,diag_param,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_336_TQNet_custom_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,346.5329284667969,325.7919006347656,1.0313478708267212,0.003906082361936569,1.0226150751113892,1.0419121980667114,0.0,0.0,0.0,0.0,0.0,1.0188703536987305,0.9696188569068909,0.0036689559929072857,0.9597737789154053,0.9778850674629211,0.0,0.0,0.0,0.0,0.0,1.0188703536987305
diag,Weather,720,720,diag_param,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/Weather/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_Weather_96_720_TQNet_custom_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,753.9707641601562,687.5907592773438,1.0471816062927246,0.0070190285332500935,1.028825283050537,1.0665524005889893,0.0,0.0,0.0,0.0,0.0,1.0366700887680054,0.9549872279167175,0.0064091989770531654,0.9376004338264465,0.9719823598861694,0.0,0.0,0.0,0.0,0.0,1.0366700887680054
off_diag,ETTh2,96,96,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_96_TQNet_ETTh2_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,96.0,113.94819641113281,1.0,1.0745380052412656e-07,0.9999998211860657,1.000000238418579,0.08251163363456726,0.2926865816116333,0.4775306306688609,20.21461490170378,0.21278542001793452,13.374865531921387,1.1869603395462036,0.03337372839450836,1.093698263168335,1.2669309377670288,0.015846852213144302,0.16893497109413147,0.04386634676023125,18.115928885024186,0.1906939882634125,13.374855995178223
off_diag,ETTh2,192,192,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_192_TQNet_ETTh2_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,192.0,192.1698760986328,1.0,1.1282977396831484e-07,0.9999997019767761,1.000000238418579,0.0022269312757998705,0.007043304853141308,0.001223915065366595,46.85225448983285,0.24529976172687357,1.462396264076233,1.0008848905563354,0.00032312722760252655,1.0001673698425293,1.0013844966888428,0.001550821354612708,0.005928422324359417,0.0006453768026316207,43.418232454063364,0.22732058876472966,1.4623966217041016
off_diag,ETTh2,336,336,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_336_TQNet_ETTh2_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,336.0,363.846923828125,1.0,1.0988629384200976e-07,0.9999996423721313,1.0000003576278687,0.03173702582716942,0.1577472984790802,0.34404544261364495,70.22868187757129,0.20963785635095908,14.786290168762207,1.0828777551651,0.01618960127234459,1.0283138751983643,1.1253944635391235,0.004555463325232267,0.08108063042163849,0.01990021420814746,62.308428840576745,0.1859953099718709,14.786291122436523
off_diag,ETTh2,720,720,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTh2/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTh2_96_720_TQNet_ETTh2_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,720.0,745.537353515625,1.0,1.1535975374954432e-07,0.9999997019767761,1.0000003576278687,0.01709963008761406,0.07186570018529892,0.22125348461015013,169.93584970436603,0.23635027775294304,15.102008819580078,1.035468578338623,0.004869979340583086,1.0130711793899536,1.0472893714904785,0.002040156861767173,0.0364212766289711,0.008511644168350973,143.649137860889,0.19979017783155634,15.101998329162598
off_diag,ETTm1,96,96,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h96/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_96_TQNet_ETTm1_ftM_sl96_ll48_pl96_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,96.0,102.92796325683594,1.0,1.2105761015845928e-07,0.9999997019767761,1.000000238418579,0.031786300241947174,0.15731601417064667,0.1619833454433567,16.719655127037683,0.1759963697582914,4.424064636230469,1.0721662044525146,0.014428840018808842,1.0364328622817993,1.1070904731750488,0.011261068284511566,0.08521667867898941,0.02569487831075586,16.515338805151213,0.17384567163317066,4.424061298370361
off_diag,ETTm1,192,192,L_param,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h192/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_192_TQNet_ETTm1_ftM_sl96_ll48_pl192_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,192.0,192.39382934570312,1.0,1.1175870895385742e-07,0.9999997019767761,1.0000003576278687,0.00291642383672297,0.013861387968063354,0.002825781221767795,47.38277453732958,0.24807735359858418,1.5589627027511597,1.0020513534545898,0.0005196312558837235,1.000693678855896,1.0040267705917358,0.0020219399593770504,0.011097587645053864,0.0014964042514460795,45.1446574233473,0.23635946294946228,1.558963418006897
