dataset,control_family,horizon,checkpoint_count,mean_mse_log_effect,mse_reduction,std_mse_log_effect,positive_mse_checkpoints,mean_mae_log_effect,mae_reduction
ETTh2,random_interval_tree,288,3,0.012961783899416643,0.0128781417523115,0.009411208218776638,3,0.005197325631127973,0.005183842902426905
ETTh2,random_interval_tree,336,3,0.011175143146796128,0.011112933185340346,0.00847374606696479,3,0.004500143461184005,0.0044900329874781875
ETTh2,random_interval_tree,512,3,0.011766108426696993,0.011697158462140811,0.007273547254514756,3,0.005638717269817094,0.005622849542145092
ETTh2,random_interval_tree,720,3,0.00664221285196791,0.006620202116475404,0.0056260227225569176,3,0.0026675088273002048,0.0026639541870089323
ETTh2,random_orthogonal,48,3,0.0508897570585169,0.04961656217688393,0.018568101230668408,3,0.030577154276044485,0.03011440164081003
ETTh2,random_orthogonal,96,3,0.019927346315926884,0.019730109061425027,0.003526773028098756,3,0.022520720995339315,0.02226902257559049
ETTh2,random_orthogonal,144,3,0.02238186290527304,0.022133247292936642,0.017236243151530054,3,0.022516513909997926,0.022264909169274816
ETTh2,random_orthogonal,192,3,0.03934628211494432,0.03858227026751049,0.028769425962383452,3,0.02748156278616622,0.027107380182634255
ETTh2,random_orthogonal,288,3,0.051448230980572864,0.0501471783614198,0.03520049560609378,3,0.0278879356482515,0.02750265702072141
ETTh2,random_orthogonal,336,3,0.051556726548228994,0.05025022759219977,0.034334328346016574,3,0.026136897838174623,0.0257982856290766
ETTh2,random_orthogonal,512,3,0.06501397348544492,0.06294563062967229,0.03334717157140321,3,0.03099628910043681,0.03052082929081823
ETTh2,random_orthogonal,720,3,0.05797446601194941,0.05632595710909449,0.03079967219612377,3,0.03428691696844632,0.03370578134746127
ETTm1,dct2,48,3,-0.014665499099086548,-0.014773565165677516,0.004360798218634412,0,-0.0043802065476713165,-0.004389813674316123
ETTm1,dct2,96,3,-0.020598883843606645,-0.02081250511670585,0.0016415802922923105,0,-0.010546761990429324,-0.010602575128055403
ETTm1,dct2,144,3,-0.02241547999222848,-0.02266859455399972,0.00228889970899121,0,-0.012668520100324765,-0.012749105741802325
ETTm1,dct2,192,3,-0.022084710090040868,-0.02233038250127617,0.001986752275715745,0,-0.014059008240343328,-0.014158300869655305
ETTm1,dct2,288,3,-0.02033461633937714,-0.020542773185954433,0.0007220765490383737,0,-0.01370425093403914,-0.013798584612430664
ETTm1,dct2,336,3,-0.017588000872441802,-0.017743580533105208,0.0006002458181543559,0,-0.01218394713575432,-0.012258473788357538
ETTm1,dct2,512,3,-0.014451068260348449,-0.014555989747243148,0.0005274689522267108,0,-0.010182651922300274,-0.010234671538339457
ETTm1,dct2,720,3,-0.00806744467123129,-0.008100074189582251,0.0014934659849534086,0,-0.006784363385348287,-0.006807429311658453
ETTm1,identity,48,3,0.04803011166661727,0.04689491293722858,0.003290750448767543,3,0.03236646144772051,0.03184827322063333
ETTm1,identity,96,3,0.0394966027273004,0.03872678030768295,0.004063914816974357,3,0.024167794389412998,0.02387809176377964
ETTm1,identity,144,3,0.021937910969279356,0.021699025075163303,0.0013197226295774721,3,0.01560252747274384,0.015481438622983013
ETTm1,identity,192,3,0.021747788243371643,0.02151301014477991,0.0011430634914236554,3,0.014964335220195796,0.014852925970001873
ETTm1,identity,288,3,0.017267196706323578,0.01711897302727383,0.0014589768158165624,3,0.012235422680648237,0.012160874250169207
ETTm1,identity,336,3,0.01723864636229686,0.01709091103522853,0.0017634860394452672,3,0.0119809769535884,0.011909490825236735
ETTm1,identity,512,3,0.00803083576758593,0.00799867475687388,0.001942110573155046,3,0.007281987278197633,0.007255537849246707
ETTm1,identity,720,3,0.00503339757070503,0.005020751252032718,0.00048786976458571623,3,0.0045570488674079946,0.004546681274738895
ETTm1,pca_fit,48,3,-0.005471573745567255,-0.005486570144018099,0.007154714350030463,1,-0.003854244284522473,-0.003861681435821218
ETTm1,pca_fit,96,3,-0.014778465354862226,-0.014888206810991234,0.004005474177700531,0,-0.012624120887133342,-0.012704141476543418
ETTm1,pca_fit,144,3,-0.021241689545440604,-0.02146890016013492,0.0038637413117374535,0,-0.015739329917487842,-0.015863845577236635
ETTm1,pca_fit,192,3,-0.021464105079549798,-0.02169611597836707,0.003390151189143502,0,-0.01634333824536668,-0.01647762114407314
ETTm1,pca_fit,288,3,-0.01998272093727003,-0.020183712056102143,0.0014482468057603485,0,-0.015183369585434805,-0.015299222544876478
ETTm1,pca_fit,336,3,-0.01528200779051473,-0.01539937477714437,0.0011920660335482034,0,-0.0129465480130925,-0.013030717407966907
ETTm1,pca_fit,512,3,-0.007173685217106775,-0.007199477735819304,0.0011620159148437292,0,-0.008589786701323038,-0.008626784778433594
ETTm1,pca_fit,720,3,-0.006154334389814693,-0.006173311215642352,0.001301235453459389,0,-0.006125394898772876,-0.006144193493443861
ETTm1,permuted_interval,48,3,0.021159815402572956,0.020937517199138722,0.008848498730933902,3,0.012632264865074133,0.012552812712691597
ETTm1,permuted_interval,96,3,0.016739272443366465,0.016599949294978544,0.005843613014672732,3,0.008094285320835698,0.008061614801003758
ETTm1,permuted_interval,144,3,0.005239191196583503,0.005225490571560409,0.004785102171580796,3,0.0034403236733828928,0.0034344125405737502
ETTm1,permuted_interval,192,3,0.004947429674554371,0.004935211302512288,0.004047928084773504,3,0.0029457688344284466,0.002941434314624569
ETTm1,permuted_interval,288,3,0.003601492724933745,0.0035950151286817666,0.0023900345877042295,3,0.002798004624475442,0.0027940938578341346
ETTm1,permuted_interval,336,3,0.005308151162140569,0.005294087822208415,0.0018236900849138787,3,0.003549989541717306,0.003543695778644551
ETTm1,permuted_interval,512,3,0.0001971310384766611,0.00019711160943025607,0.0007327014951488672,1,0.001712666577367469,0.0017112008008797197
ETTm1,permuted_interval,720,3,-0.0003335456926311726,-0.0003336013251808989,0.0010107002537883387,2,0.0010263630359400083,0.0010258365055517693
ETTm1,random_interval_tree,48,3,-0.0014740696466654147,-0.0014751566213535572,0.00389243300277771,1,0.00039301833220338115,0.00039294111061549675
ETTm1,random_interval_tree,96,3,0.003575320424232939,0.0035689365765315673,0.0046678257295008525,2,0.0022330910651517104,0.002230599572221048
ETTm1,random_interval_tree,144,3,-0.0033914911309410466,-0.003397248744111403,0.004488073040709124,1,-0.001488937061203768,-0.0014900460783404679
ETTm1,random_interval_tree,192,3,-0.0009957529034035097,-0.0009962488299188887,0.0045482752062318684,1,-0.0009325047206890546,-0.0009329396383932487
ETTm1,random_interval_tree,288,3,-0.0035606096512905247,-0.0035669561520701443,0.0029648693330491032,0,-0.0021848729507071697,-0.0021872615248728078
ETTm1,random_interval_tree,336,3,-0.0025724287269274083,-0.002575740260657655,0.002284900252595807,0,-0.0017551101740471652,-0.0017566512813811386
ETTm1,random_interval_tree,512,3,0.0005878405592993427,0.0005876678148881709,0.0030508339140894033,2,-0.00010640266933897907,-0.00010640833030373109
ETTm1,random_interval_tree,720,3,-0.001534405593625171,-0.0015355833962200638,0.00210276520774592,1,-0.0005671716913930118,-0.0005673325636694759
ETTm1,random_orthogonal,48,3,0.02997637474285385,0.029531539155384867,0.0019231490066570684,3,0.022125511659356178,0.021882537799066903
ETTm1,random_orthogonal,96,3,0.024202169802485986,0.02391164578086502,0.0028158776613302827,3,0.016476385354868023,0.016341392134639032
ETTm1,random_orthogonal,144,3,0.010940443890163139,0.010880814887934576,0.004017456217875332,3,0.010394491515894418,0.010340655483149996
ETTm1,random_orthogonal,192,3,0.013335732889027313,0.013247205963930586,0.0034372175980903427,3,0.01066325613818777,0.010606605162544636
ETTm1,random_orthogonal,288,3,0.010633135643059772,0.010576803694800518,0.002466566816998587,3,0.008885245845380987,0.008845888700741766
ETTm1,random_orthogonal,336,3,0.01259065986161153,0.012511729114409675,0.0017685028536435108,3,0.009479071041787175,0.009434286265612601
ETTm1,random_orthogonal,512,3,0.007231296124871817,0.0072052132120062895,0.002425602067243021,3,0.006626161896828524,0.0066042572939386535
ETTm1,random_orthogonal,720,3,0.00592773328796629,0.005910198940419331,0.0033106049951028838,3,0.004723988626395867,0.004712848141536385
ETTm2,dct2,48,3,-0.012766358263325823,-0.012848196101219456,0.011873899251120633,0,-0.010028444664019457,-0.010078898030432715
ETTm2,dct2,96,3,-0.0017804035298684007,-0.001781989389249894,0.0019514504604517507,1,-0.0048804733308343414,-0.0048924022391452215
ETTm2,dct2,144,3,-0.004391915833414995,-0.00440157443049749,0.002088573959538804,0,-0.00617991899129997,-0.006199054088144029
ETTm2,dct2,192,3,-0.00618570606165188,-0.006204877049706958,0.00221091515940294,0,-0.006575709622574322,-0.006597377068001231
ETTm2,dct2,288,3,-0.006256392634996764,-0.006276004738405172,0.0033067525344394636,0,-0.006649586502802582,-0.006671744088832865
ETTm2,dct2,336,3,-0.006976996049815332,-0.0070013919905458355,0.002663552227525636,0,-0.006903158196850102,-0.0069270399148608774
ETTm2,dct2,512,3,-0.0076177508160423105,-0.007646839696824781,0.0016704692618311895,0,-0.006835442289477828,-0.006858857245247041
ETTm2,dct2,720,3,-0.002983291695948721,-0.0029877461391532023,0.0032405543538427286,1,-0.0036904316883851294,-0.0036972497159835083
ETTm2,identity,48,3,0.09650215862157292,0.09199206244788805,0.0269831769709958,3,0.05726079863690747,0.055652247358269125
ETTm2,identity,96,3,0.059706864438763226,0.057959361274505516,0.018031577910490506,3,0.04283841707185396,0.04193381529990958
ETTm2,identity,144,3,0.052911872528468185,0.05153640550226868,0.01414031722066269,3,0.04057195305677815,0.039759930182608594
ETTm2,identity,192,3,0.051505685010311386,0.050201749665995776,0.013366873862768566,3,0.040032906625556725,0.03924217666580199
ETTm2,identity,288,3,0.04618011895830402,0.04513004348144556,0.013628869441391436,3,0.03658879738569069,0.03592751702073749
ETTm2,identity,336,3,0.040870672588376636,0.040046729808029036,0.012041910341621874,3,0.03384062114508836,0.033274432026001
ETTm2,identity,512,3,0.038243013666695226,0.03752098308602847,0.012044192635958269,3,0.030968392361870323,0.030493783606605818
ETTm2,identity,720,3,0.030808119038235313,0.030338385170240345,0.016695381090074887,3,0.028495565220222563,0.028093395671666355
ETTm2,pca_fit,48,3,-0.05451246166872803,-0.05602563617337464,0.018365424773146174,0,-0.028946168108359677,-0.029369180093453018
ETTm2,pca_fit,96,3,-0.04034179588917531,-0.0411665798394063,0.007005991654523283,0,-0.02144135651054975,-0.02167287411813623
ETTm2,pca_fit,144,3,-0.03183516820731095,-0.0323473276194679,0.006415134411042717,0,-0.015964873519349287,-0.016092993008366197
ETTm2,pca_fit,192,3,-0.020045335223451508,-0.020247592130888226,0.0052866585878239124,0,-0.01033299615691234,-0.010386565914746182
ETTm2,pca_fit,288,3,-0.010369160106701511,-0.01042310614449904,0.0024859233514514657,0,-0.005830037750379609,-0.005847065495180326
ETTm2,pca_fit,336,3,-0.007861461503881362,-0.007892443928198656,0.0017388007952109884,0,-0.004357604621078712,-0.004367112786020089
ETTm2,pca_fit,512,3,-0.002706597044369147,-0.00271026318499179,0.002407165873772733,0,-0.0016180875733849455,-0.0016193973834497388
ETTm2,pca_fit,720,3,-0.003456091234997013,-0.003462070404510076,0.0035292270740273544,0,-0.0014687312303458039,-0.0014698103443040456
ETTm2,permuted_interval,48,3,0.1364538109112496,0.12755338315680098,0.014898886583075541,3,0.06635935078633522,0.06420547463512871
ETTm2,permuted_interval,96,3,0.09174301027470545,0.08766041868109986,0.013096252739017253,3,0.04630391460199989,0.04524824490579693
ETTm2,permuted_interval,144,3,0.07096371467292768,0.06850430885979619,0.014616950330980231,3,0.035626077809971325,0.03499893866039783
ETTm2,permuted_interval,192,3,0.05800351163267047,0.05635336630936805,0.015031093250356568,3,0.028083574904389702,0.027692897067680855
ETTm2,permuted_interval,288,3,0.040769281251464236,0.039949393928166765,0.015885369163602853,3,0.017921648180690173,0.017762010523133087
ETTm2,permuted_interval,336,3,0.03367348147685783,0.03311284033148498,0.014299102846878157,3,0.014491480683924923,0.014386984554578541
ETTm2,permuted_interval,512,3,0.02355549057063111,0.023280225572573143,0.010974075116971337,3,0.008920773939674628,0.008881101891935028
ETTm2,permuted_interval,720,3,0.017697229796923335,0.017541553524683895,0.00998887297565233,3,0.00757578554651413,0.007547161611731523
ETTm2,random_interval_tree,48,3,-0.008874883899702717,-0.008914382443681035,0.00789560877488536,0,-0.011745990829965476,-0.01181524587098881
ETTm2,random_interval_tree,96,3,0.0037919230751275192,0.003784742813357611,0.005221916297504478,3,-0.002485214842059966,-0.0024883055482916028
ETTm2,random_interval_tree,144,3,0.0014765261736387782,0.0014754366451731338,0.005701661507953535,2,-0.0020289685640652927,-0.0020310283136024676
ETTm2,random_interval_tree,192,3,-0.0017318874425251262,-0.0017333880257373036,0.004546086326699547,1,-0.0027527486586688007,-0.0027565409502010585
ETTm2,random_interval_tree,288,3,-0.004780941822717713,-0.004792388760184174,0.003947822943912665,0,-0.0041842786794154055,-0.004193044996088302
ETTm2,random_interval_tree,336,3,-0.003513902094168238,-0.0035200830858113097,0.0036819198920321873,1,-0.003595573256144903,-0.0036020450839839846
ETTm2,random_interval_tree,512,3,-0.0017648455834416126,-0.001766403839967623,0.0028249103591879744,1,-0.0033460701910521602,-0.0033516745330111064
ETTm2,random_interval_tree,720,3,-0.001557615736635908,-0.001558829450112098,0.0026943247424324533,1,-0.002198801552142395,-0.0022012206890176245
ETTm2,random_orthogonal,48,3,0.09933879691876903,0.09456410283890526,0.017032532453937488,3,0.05552791492395979,0.05401438381468793
ETTm2,random_orthogonal,96,3,0.059149439319221585,0.05743409777491726,0.010711397205748718,3,0.03961252150061308,0.03883820346198552
ETTm2,random_orthogonal,144,3,0.05547854340262268,0.053967677912692635,0.0062712608881731035,3,0.038628352570065465,0.037891792246737
ETTm2,random_orthogonal,192,3,0.053194316022272196,0.051804255045683534,0.003856170588860206,3,0.037267189712839266,0.03658131460529923
ETTm2,random_orthogonal,288,3,0.046636714624198106,0.04556593344477744,0.004672956369862719,3,0.03303310733087079,0.03249347249993917
ETTm2,random_orthogonal,336,3,0.041485657648187534,0.04063690523417818,0.00477923052664778,3,0.03061174155486718,0.03014794676430599
ETTm2,random_orthogonal,512,3,0.036555559034216784,0.03589547230814816,0.008700085436565858,3,0.02693115453538872,0.026571744661983754
ETTm2,random_orthogonal,720,3,0.02766285566869515,0.027283742702954195,0.014608717555853957,3,0.02426065596334009,0.02396873177197112
Weather,dct2,48,3,0.006629415402007506,0.006607489306874714,0.015619896935002542,2,0.01318285617040473,0.013096342903255676
Weather,dct2,96,3,0.0006542447916373361,0.000654030820179452,0.008740333608916342,2,0.0046313943083988625,0.00462068593971654
Weather,dct2,144,3,-0.0019862389043864724,-0.0019882127835280095,0.006003759612484801,2,-4.804915587800837e-05,-4.805031025711948e-05
Weather,dct2,192,3,-0.002577627106458837,-0.0025809520434110222,0.00475302857184495,1,-0.0018175760912923263,-0.001819228883923163
Weather,dct2,288,3,-0.0027232328348424212,-0.0027269442015860346,0.0035428978262734977,0,-0.003528803753366784,-0.0035350373115095035
Weather,dct2,336,3,-0.0025412062943701917,-0.0025444378958943137,0.0032231685931968577,0,-0.003781469272620053,-0.0037886280482690715
Weather,dct2,512,3,-0.0011980696843521294,-0.0011987876565346944,0.0032978114335647075,2,-0.002455367453369856,-0.0024583843367158575
Weather,dct2,720,3,0.00020185891360469566,0.00020183854146493818,0.001503571638558906,2,0.0001664333262001846,0.00016641947694251424
Weather,identity,48,3,0.07150485492807968,0.06900824231413649,0.008121023573090622,3,0.06847185940748708,0.06618026202548954
Weather,identity,96,3,0.04057111243985396,0.03975912298821538,0.005193779184654703,3,0.04303511147523719,0.04212224302456391
Weather,identity,144,3,0.025794732203025708,0.02546489024574694,0.00397086953357964,3,0.033699483767266725,0.033137981285340734
Weather,identity,192,3,0.01766365515836812,0.017508567283700427,0.003171524582327841,3,0.025321533505939357,0.025003632376842
Weather,identity,288,3,0.011066917541369658,0.011005904492317864,0.002428119807360757,3,0.017732350559059182,0.017576057608182483
Weather,identity,336,3,0.010074090670152082,0.010023516989162151,0.002202365165227713,3,0.01643868031317608,0.016304302546590987
Weather,identity,512,3,0.010093073585951148,0.010042309451013809,0.0022765508410374654,3,0.016262967214379125,0.016131439140580572
Weather,identity,720,3,0.009155613179223959,0.009113828172568783,0.0013705625368386945,3,0.015398141562660806,0.01528019633597899
Weather,pca_fit,48,3,0.03188842094230308,0.03138534683987815,0.00889157947531029,3,0.02696501823380747,0.0266047079847217
Weather,pca_fit,96,3,0.0162241116180687,0.01609320959824634,0.00525466970859222,3,0.014646069148852964,0.014539337181366574
Weather,pca_fit,144,3,0.0068795825226914895,0.006855972368541852,0.0037462993197356826,3,0.006958747787720814,0.006934591766697751
Weather,pca_fit,192,3,0.004535591721547699,0.004525321458522358,0.0031790775138859128,3,0.005620917047997643,0.0056051492507606104
