dataset,checkpoint_seed,control_family,mean_horizon_mse_log_effect,mean_horizon_mse_reduction,mean_horizon_mae_log_effect,mean_horizon_mae_reduction,h720_mse_log_effect,h720_mse_reduction
ETTh2,2021,dct2,-0.015317780948476512,-0.015435699469093178,-0.007192918569818252,-0.0072188497449192646,-0.0010533166756029188,-0.0010538716084353972
ETTh2,2021,identity,0.0608526637462965,0.05903813264026081,0.04147378081618091,0.04062551097220457,0.08746688027411072,0.08375078292872551
ETTh2,2021,pca_fit,-0.026689201976782085,-0.027048548495640423,-0.014099055254086982,-0.014198915694314307,0.005248910079062575,0.005235158621129332
ETTh2,2021,permuted_interval,-0.0019423691695333147,-0.0019442567904830454,0.0035511668632754742,0.003544868927442768,0.005540499908288606,0.00552517964570165
ETTh2,2021,random_interval_tree,0.006058242248458255,0.006039928101398084,0.003580759942998158,0.0035743566672579163,0.003410109936763538,0.003404302115518454
ETTh2,2021,random_orthogonal,0.03448746515852712,0.0338995504734243,0.023976048338085455,0.023690906296797487,0.04754699024992487,0.046434336209027816
ETTh2,2022,dct2,-0.015781119448351453,-0.01590629893781159,-0.008350796951561547,-0.008385762117656625,-0.0025022027807711958,-0.002505335902839745
ETTh2,2022,identity,0.04072083428269199,0.03990288125974484,0.023657220222124062,0.023379581881004863,0.03832557170202988,0.037600440182759653
ETTh2,2022,pca_fit,-0.03317492138675237,-0.03373134514785714,-0.01652712198034093,-0.016664450365365013,-0.0015050643644406961,-0.001506197542241683
ETTh2,2022,permuted_interval,-0.003105016423313709,-0.003109841979993311,0.001180243768780689,0.0011795475550313572,0.004493757239526459,0.004483675419866162
ETTh2,2022,random_interval_tree,0.0026038164216796653,0.0026004294320383092,0.0007962652089452823,0.0007959482739308132,0.0033779708005819025,0.0033722718759566783
ETTh2,2022,random_orthogonal,0.03161894475967819,0.031124293088405586,0.018587901131749192,0.01841621152639017,0.03374214100990425,0.033179224073412006
ETTh2,2023,dct2,-0.014679907743733619,-0.014788186782713764,-0.007015859430069018,-0.007040528229037113,-0.0022522295554631647,-0.002254767729607643
ETTh2,2023,identity,0.07339981845475907,0.07077076725093634,0.045675125737614446,0.04464771885167951,0.10468383284847514,0.09939077937026719
ETTh2,2023,pca_fit,-0.01964823348263815,-0.0198425304666614,-0.011869588262513355,-0.011940311366319234,0.006010971140356251,0.005992941396842255
ETTh2,2023,permuted_interval,0.015329214894923913,0.015212320542058566,0.011204847374204015,0.011142306875390195,0.016020047816704047,0.015892409351074388
ETTh2,2023,random_interval_tree,0.018333707740236134,0.01816666769929165,0.008791777635111402,0.008753242970209407,0.013138557818558291,0.013052623729478463
ETTh2,2023,random_orthogonal,0.06834558211461621,0.0660623343513117,0.0408375473512368,0.04001493060163552,0.09263426677601912,0.08847318501891388
ETTm1,2021,dct2,-0.01615300803783996,-0.016284173157576243,-0.010113423030481399,-0.010164736532341179,-0.007453433739254463,-0.007481279716229805
ETTm1,2021,identity,0.02207049455915901,0.02182872313229456,0.01474097274061303,0.014632856500076508,0.004746838480838623,0.004735590048259408
ETTm1,2021,pca_fit,-0.016530251058759892,-0.016667631593133114,-0.01260999530838551,-0.012689836545477728,-0.005367938148535359,-0.005382371342459447
ETTm1,2021,permuted_interval,0.005840419225388086,0.005823397131867081,0.004153065510027288,0.004144453459723363,0.00017859826204210763,0.00017858231432188454
ETTm1,2021,random_interval_tree,-0.004896656948576984,-0.00490866516525168,-0.0022816987087513107,-0.0022843037641904207,-0.0034190216295937,-0.003424873150970953
ETTm1,2021,random_orthogonal,0.013360239333697514,0.013271387470378149,0.010538544219639278,0.010483208319706727,0.00447698635545316,0.004466979590992071
ETTm1,2022,dct2,-0.01903584280616078,-0.019218179602364716,-0.011049335062965335,-0.011110604419578118,-0.009770044483644396,-0.009817927179898156
ETTm1,2022,identity,0.024204293318552755,0.023913718517966975,0.015832353702752,0.01570768081312668,0.004756641613319533,0.004745346709300713
ETTm1,2022,pca_fit,-0.014226000939976108,-0.014327672043653816,-0.012076247565265865,-0.012149459855989475,-0.007656315365262263,-0.007685699892278741
ETTm1,2022,permuted_interval,0.004383788287193305,0.004374193512926561,0.002372076752228426,0.002369265601363746,-0.0014978007078387708,-0.0014989229715580699
ETTm1,2022,random_interval_tree,-0.0005245246936696898,-0.0005246622808017243,-0.00048058135904218574,-0.0004806968567647729,-0.001917913670216033,-0.0019197540430098137
ETTm1,2022,random_orthogonal,0.012295821327112022,0.012220536594507836,0.009781550379569074,0.009733866616015385,0.003590166102340586,0.0035837291615523625
ETTm1,2023,dct2,-0.01738828784413472,-0.01754034417574646,-0.010528383252632303,-0.010584001698988876,-0.006978855790795009,-0.00700326475404256
ETTm1,2023,identity,0.020768645877343252,0.020554462877867108,0.015610381422853254,0.015489170952281195,0.005596712617956937,0.005581080198875155
ETTm1,2023,pca_fit,-0.011074466273811296,-0.011136015172666713,-0.009591056826273708,-0.009637198409333303,-0.005438749655646456,-0.005453566504085794
ETTm1,2023,permuted_interval,0.01109789421866752,0.011036539768771947,0.00704973266520231,0.007024941590900835,0.00031856536790314527,0.0003185146313441356
ETTm1,2023,random_interval_tree,0.0019090828912513766,0.0019072617515950574,0.0011089463665344748,0.0011083317127396075,0.0007337185189342207,0.0007334494133216518
ETTm1,2023,random_orthogonal,0.01740801917995535,0.01725737501949376,0.013195197430303748,0.013108522462627503,0.009716047406105122,0.00966899911527408
ETTm2,2021,dct2,-0.006307781127591837,-0.006327717074121386,-0.007070985762479439,-0.007096044210129326,-0.0061624956597922135,-0.006181522901188119
ETTm2,2021,identity,0.060063289728052485,0.05829506855084998,0.043812881256835745,0.042866961751002575,0.05008622256816118,0.048852589407401226
ETTm2,2021,pca_fit,-0.015429915753513464,-0.015549571537672557,-0.006889259337776852,-0.00691304487509381,-0.0030881457532313064,-0.0030929189875443797
ETTm2,2021,permuted_interval,0.07117460507855838,0.06870073165137491,0.032828720298139574,0.03229570650192104,0.027289782254440915,0.026920780426165747
ETTm2,2021,random_interval_tree,-0.0013015137375369011,-0.0013023610741083047,-0.004408490569071199,-0.004418222259052529,0.0004548345526528821,0.0004547311310982849
ETTm2,2021,random_orthogonal,0.05427934995281388,0.052832521648795705,0.03861534061879935,0.03787927326017693,0.04452431306697602,0.0435476544790091
ETTm2,2022,dct2,-0.00424110064093221,-0.00425010683581406,-0.0051619060209956175,-0.005175251610892939,-0.0031026920947802706,-0.003107510425874871
ETTm2,2022,identity,0.05860573173677099,0.05692147820197202,0.042734752049678165,0.041834492199550044,0.02121141063078007,0.02098803084822498
ETTm2,2022,pca_fit,-0.02339349966127583,-0.023669273816626868,-0.01200530835241355,-0.012077661316714394,-0.007154876322490113,-0.007180533605144257
ETTm2,2022,permuted_interval,0.061595260559378334,0.059736628541679715,0.030352348925833383,0.029896341659599313,0.018447554900155833,0.018278440273072794
ETTm2,2022,random_interval_tree,0.0015037824127303902,0.001502652298510876,-0.0015535578760693493,-0.0015547652722789351,-0.0005091100734760779,-0.0005092396920052256
ETTm2,2022,random_orthogonal,0.05521089190168038,0.05371443705310974,0.03876092431057343,0.03801933215211539,0.018804260832561898,0.018628563728129155
ETTm2,2023,dct2,-0.007810673813375036,-0.007841256698544408,-0.007170795198866343,-0.007196566915163238,0.0003153126667263216,0.00031526296091188843
ETTm2,2023,identity,0.03760416785419912,0.03690591094924689,0.02992641100747418,0.0294830497146662,0.02112672391576469,0.020905118029839187
ETTm2,2023,pca_fit,-0.02534961116469127,-0.02567364480628509,-0.014840378111194645,-0.01495104328241359,-0.00012525162926961845,-0.0001252594735823287
ETTm2,2023,permuted_interval,0.044552458332349415,0.04357457370526463,0.021299908196089533,0.021074667190294494,0.007354352236173256,0.007327375161247374
ETTm2,2023,random_interval_tree,-0.0065606289241028695,-0.006582196990938982,-0.0061645690199273505,-0.006183609080009145,-0.004618571689084528,-0.004629253730234373
ETTm2,2023,random_orthogonal,0.04782296413482439,0.04669745912057499,0.02982597435510636,0.029385569345894313,0.019659993106547535,0.01946799572316482
Weather,2021,dct2,0.002478515226324798,0.002475446243491719,0.0022146922572680605,0.002212241635828782,0.00020767162023653066,0.0002076500579782925
Weather,2021,identity,0.02622313033677879,0.025882289855052143,0.030405622149858515,0.02994802083254733,0.010680246826217793,0.010623415494245392
Weather,2021,pca_fit,0.009046084371773651,0.009005291648019997,0.008294927701049325,0.008260619714557937,-0.0007168962985242014,-0.0007171533300935895
Weather,2021,permuted_interval,0.007904564046616462,0.00787340513349244,0.01031014866798839,0.010257181275399874,0.0021939690315886007,0.00219156404067955
Weather,2021,random_interval_tree,0.0019232351519819432,0.001921386920308299,0.003423786735065819,0.0034179322606586737,0.0009650507728665847,0.0009645852611289696
Weather,2021,random_orthogonal,0.015130912928464284,0.015017015844664083,0.018544830326083478,0.018373933011313848,0.008447985595898764,0.008412401640336409
Weather,2022,dct2,0.0033086881810341674,0.0033032205042360374,0.0060951735940973735,0.006076635706530054,0.0017025157719995204,0.0017010673141466537
Weather,2022,identity,0.02668775455615134,0.02633478340783313,0.033175173037492935,0.03263091223546222,0.008760802613124691,0.008722538604584495
Weather,2022,pca_fit,0.009706227864837774,0.009659274471396917,0.012696506938933214,0.012616246330253933,0.00042833268970874256,0.00042824096835847314
Weather,2022,permuted_interval,0.007303659759378536,0.007277052851777488,0.0093958968916371,0.009351893377773313,0.0025121849168099884,0.00250903202105357
Weather,2022,random_interval_tree,0.005527218870418987,0.005511971900245993,0.006049428541700199,0.006031167590188957,0.00246439034077788,0.0024613562238299247
Weather,2022,random_orthogonal,0.021718938933527117,0.021484781063237923,0.02750347862679353,0.027128701708597158,0.007570672975238421,0.007542087612886883
Weather,2023,dct2,-0.007115024301294159,-0.007140396224954104,-0.005928834071936653,-0.005946444394354211,-0.0013046106514219642,-0.00130546202609505
Weather,2023,identity,0.020560633746828982,0.020350705133661107,0.025054252739600637,0.024742999771036556,0.008025790098329391,0.007993669433657091
Weather,2023,pca_fit,0.003558950881073281,0.00355262532172973,0.0019295914921962924,0.0019277310273709825,-0.0013413675918851748,-0.0013422676277747847
Weather,2023,permuted_interval,0.003890707253349065,0.003883148258340019,0.0032171822708747925,0.0032120126853117936,0.0028502341226171904,0.002846176061730432
Weather,2023,random_interval_tree,-0.003744333914187614,-0.003751352689897347,-0.0034460358616560357,-0.0034519802694887858,-0.00041299063563791255,-0.0004130759280116525
Weather,2023,random_orthogonal,0.009617533771299045,0.009571433203008461,0.011360356220045628,0.011296071037796063,0.005079191693743833,0.005066314410900552
