comparison,layer,metric,dataset,horizon,candidate_value,reference_value,gain_percent
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTh2,720,0.4427253235342772,0.4420629680706389,-0.1498328318540576
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm2,96,0.25930802172641,0.25903790640244123,-0.10427636932377471
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm2,192,0.29852491197414394,0.2995802997826917,0.35228878845281475
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm2,336,0.33427349542036827,0.33639140389939337,0.6295964922036212
decomposition_fcmi_vs_standard_dual,matched_mechanism_attribution,mae,ETTm2,720,0.3914023432158329,0.39510188759126785,0.9363519870758341
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,Weather,96,0.1538336327509359,0.15328826364128936,-0.3557800817176382
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,Weather,192,0.19342007852230328,0.1921700060019814,-0.6505034507356955
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,Weather,336,0.2431521033024491,0.24119410374973335,-0.8117941202855361
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,Weather,720,0.3130578139237586,0.3101550794033679,-0.9358977857059525
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm1,96,0.3487971045006524,0.4720435424239571,26.109124868106605
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm1,192,0.38779916474590553,0.5107526090734177,24.072993880651584
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm1,336,0.4262716285891783,0.5680887351782503,24.9639004977935
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTm1,720,0.5031864526965052,0.6672121517048533,24.583739757921286
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh1,96,0.6926750958472709,0.6942887608772702,0.23241986921411772
interaction_fcmi_vs_generic_dual,matched_mechanism_attribution,mse,ETTh1,192,0.6844134228163549,0.6872437166103457,0.41183261855787245
