dataset,window_len,stride,rank,left_window,right_window,left_start,left_end,right_start,right_end,center_distance,subspace_overlap,projection_cosine
ETTh2,96,48,16,3,9,144,240,432,528,288.0,0.07244739961399399,0.2196103159511857
ETTh2,96,48,16,3,10,144,240,480,576,336.0,0.07224816681462722,0.2036356888169321
ETTh2,96,48,16,3,11,144,240,528,624,384.0,0.06610757643181822,0.16199434011803673
ETTh2,96,48,16,3,12,144,240,576,672,432.0,0.05810879507918607,0.1304210364259112
ETTh2,96,48,16,3,13,144,240,624,720,480.0,0.05600582115662364,0.168595740853087
ETTh2,96,48,16,4,5,192,288,240,336,48.0,0.3919110635831051,0.5809843293370941
ETTh2,96,48,16,4,6,192,288,288,384,96.0,0.08794219827750882,0.3112220323013279
ETTh2,96,48,16,4,7,192,288,336,432,144.0,0.07700862547896085,0.228770476292907
ETTh2,96,48,16,4,8,192,288,384,480,192.0,0.06544268617942843,0.17918474674487392
ETTh2,96,48,16,4,9,192,288,432,528,240.0,0.06499765862753587,0.21005493602889488
ETTh2,96,48,16,4,10,192,288,480,576,288.0,0.06592192537932443,0.1886233999534401
ETTh2,96,48,16,4,11,192,288,528,624,336.0,0.06395771810057338,0.19475011249866908
ETTh2,96,48,16,4,12,192,288,576,672,384.0,0.07213339688478806,0.15291157564370952
ETTh2,96,48,16,4,13,192,288,624,720,432.0,0.06257790239970423,0.17498159635731309
ETTh2,96,48,16,5,6,240,336,288,384,48.0,0.40612938696803924,0.577020036870752
ETTh2,96,48,16,5,7,240,336,336,432,96.0,0.08695960481263973,0.29032790071572084
ETTh2,96,48,16,5,8,240,336,384,480,144.0,0.07529066999106121,0.20853758959465016
ETTh2,96,48,16,5,9,240,336,432,528,192.0,0.06646503129057175,0.19040529183615718
ETTh2,96,48,16,5,10,240,336,480,576,240.0,0.06529113258175122,0.19047162494328984
ETTh2,96,48,16,5,11,240,336,528,624,288.0,0.06646526061845295,0.21494266876649468
ETTh2,96,48,16,5,12,240,336,576,672,336.0,0.07462264254019593,0.1942672866460682
ETTh2,96,48,16,5,13,240,336,624,720,384.0,0.06839463902093777,0.16102686271495417
ETTh2,96,48,16,6,7,288,384,336,432,48.0,0.3569563254511077,0.5962054170841575
ETTh2,96,48,16,6,8,288,384,384,480,96.0,0.10249727964169335,0.31189888817203437
ETTh2,96,48,16,6,9,288,384,432,528,144.0,0.08373169738162232,0.2726317283655379
ETTh2,96,48,16,6,10,288,384,480,576,192.0,0.07335313409942296,0.23480800755906936
ETTh2,96,48,16,6,11,288,384,528,624,240.0,0.07314422884680193,0.2220844962084991
ETTh2,96,48,16,6,12,288,384,576,672,288.0,0.07138348641823147,0.21144921742815947
ETTh2,96,48,16,6,13,288,384,624,720,336.0,0.0786167966817603,0.19368276113451005
ETTh2,96,48,16,7,8,336,432,384,480,48.0,0.39937448566336264,0.6180747841701204
ETTh2,96,48,16,7,9,336,432,432,528,96.0,0.09824725772518872,0.34768553358816917
ETTh2,96,48,16,7,10,336,432,480,576,144.0,0.07603628581080624,0.2537933120665986
ETTh2,96,48,16,7,11,336,432,528,624,192.0,0.06864150689032981,0.21249157022534965
ETTh2,96,48,16,7,12,336,432,576,672,240.0,0.07033958666475967,0.21004638090602934
ETTh2,96,48,16,7,13,336,432,624,720,288.0,0.06769004716481945,0.18217116874998723
ETTh2,96,48,16,8,9,384,480,432,528,48.0,0.41077650925802944,0.5580156448637169
ETTh2,96,48,16,8,10,384,480,480,576,96.0,0.09422155398380426,0.3154769623136261
ETTh2,96,48,16,8,11,384,480,528,624,144.0,0.07482630342741586,0.2596215119194371
ETTh2,96,48,16,8,12,384,480,576,672,192.0,0.06938989770777246,0.21386072586604393
ETTh2,96,48,16,8,13,384,480,624,720,240.0,0.06605402095473226,0.18715164301132248
ETTh2,96,48,16,9,10,432,528,480,576,48.0,0.37912021199850143,0.582395072772628
ETTh2,96,48,16,9,11,432,528,528,624,96.0,0.10529987649626205,0.31734776888717225
ETTh2,96,48,16,9,12,432,528,576,672,144.0,0.0777393880324031,0.25024848988649673
ETTh2,96,48,16,9,13,432,528,624,720,192.0,0.06825843779829484,0.22768043925110007
ETTh2,96,48,16,10,11,480,576,528,624,48.0,0.39547115327051124,0.5762080446907277
ETTh2,96,48,16,10,12,480,576,576,672,96.0,0.09517844154319818,0.3021944079758385
ETTh2,96,48,16,10,13,480,576,624,720,144.0,0.07395319540457221,0.2392141332986282
ETTh2,96,48,16,11,12,528,624,576,672,48.0,0.3876883757641403,0.6045560500839368
ETTh2,96,48,16,11,13,528,624,624,720,96.0,0.09151552463310134,0.2780855598896574
ETTh2,96,48,16,12,13,576,672,624,720,48.0,0.40576240930393404,0.5527722794618631
ETTm1,96,48,16,0,1,0,96,48,144,48.0,0.34696501848606526,0.4226788447614791
ETTm1,96,48,16,0,2,0,96,96,192,96.0,0.05705173437333424,0.14519954893483622
ETTm1,96,48,16,0,3,0,96,144,240,144.0,0.06512179052316305,0.1639428301629606
ETTm1,96,48,16,0,4,0,96,192,288,192.0,0.07626651133878769,0.19311465072494327
ETTm1,96,48,16,0,5,0,96,240,336,240.0,0.07529351422333268,0.15962601923901756
ETTm1,96,48,16,0,6,0,96,288,384,288.0,0.06459800416098126,0.13342285234879042
ETTm1,96,48,16,0,7,0,96,336,432,336.0,0.0754615657686515,0.1568094339093795
ETTm1,96,48,16,0,8,0,96,384,480,384.0,0.07963677073037377,0.14406852851671134
ETTm1,96,48,16,0,9,0,96,432,528,432.0,0.07507403923475893,0.17147524361796407
ETTm1,96,48,16,0,10,0,96,480,576,480.0,0.06629437919698543,0.188355208166818
ETTm1,96,48,16,0,11,0,96,528,624,528.0,0.07272640927075558,0.18369626385093427
ETTm1,96,48,16,0,12,0,96,576,672,576.0,0.07831898015851219,0.1392685820812013
ETTm1,96,48,16,0,13,0,96,624,720,624.0,0.07147091453001146,0.13204431846232284
ETTm1,96,48,16,1,2,48,144,96,192,48.0,0.4102099067833232,0.5100544859369872
ETTm1,96,48,16,1,3,48,144,144,240,96.0,0.06524130041150708,0.20152725217666856
ETTm1,96,48,16,1,4,48,144,192,288,144.0,0.07582361557233841,0.2135012356913237
ETTm1,96,48,16,1,5,48,144,240,336,192.0,0.09050145277572608,0.2638865695540987
ETTm1,96,48,16,1,6,48,144,288,384,240.0,0.08550921742937571,0.22929864260310046
ETTm1,96,48,16,1,7,48,144,336,432,288.0,0.09202372065537028,0.22279683874924755
ETTm1,96,48,16,1,8,48,144,384,480,336.0,0.08637248587358198,0.22689803533887917
ETTm1,96,48,16,1,9,48,144,432,528,384.0,0.06819206640393619,0.18839272639571777
ETTm1,96,48,16,1,10,48,144,480,576,432.0,0.07798311069488179,0.2424643580097477
ETTm1,96,48,16,1,11,48,144,528,624,480.0,0.08988732224187182,0.3046177388629253
ETTm1,96,48,16,1,12,48,144,576,672,528.0,0.07250787575179096,0.22094834352798998
ETTm1,96,48,16,1,13,48,144,624,720,576.0,0.07156617324691651,0.19703361941886835
ETTm1,96,48,16,2,3,96,192,144,240,48.0,0.37317086840029995,0.5519171264685696
ETTm1,96,48,16,2,4,96,192,192,288,96.0,0.07046193600149109,0.22039434932713062
ETTm1,96,48,16,2,5,96,192,240,336,144.0,0.08709904734141333,0.284415124870683
ETTm1,96,48,16,2,6,96,192,288,384,192.0,0.09327599678559567,0.31806119233010915
ETTm1,96,48,16,2,7,96,192,336,432,240.0,0.09424430903857514,0.3278334601443612
ETTm1,96,48,16,2,8,96,192,384,480,288.0,0.0937416595623919,0.3278321379954964
ETTm1,96,48,16,2,9,96,192,432,528,336.0,0.07843846700325095,0.2663079075642581
ETTm1,96,48,16,2,10,96,192,480,576,384.0,0.07720793374601556,0.20771094062748094
ETTm1,96,48,16,2,11,96,192,528,624,432.0,0.08215612503559425,0.26035449814947703
ETTm1,96,48,16,2,12,96,192,576,672,480.0,0.08584347470981335,0.2982507931006612
ETTm1,96,48,16,2,13,96,192,624,720,528.0,0.08218576383889269,0.2513113791754366
ETTm1,96,48,16,3,4,144,240,192,288,48.0,0.3942784591569344,0.5309725525482406
ETTm1,96,48,16,3,5,144,240,240,336,96.0,0.07844452400834787,0.21253095458966254
ETTm1,96,48,16,3,6,144,240,288,384,144.0,0.090268439454618,0.2943855274382551
ETTm1,96,48,16,3,7,144,240,336,432,192.0,0.09230050855706506,0.3326471014518563
ETTm1,96,48,16,3,8,144,240,384,480,240.0,0.09472876526114281,0.33377128186912736
ETTm1,96,48,16,3,9,144,240,432,528,288.0,0.09617957719668335,0.34615335947493325
ETTm1,96,48,16,3,10,144,240,480,576,336.0,0.07851588572806772,0.24717048356323262
ETTm1,96,48,16,3,11,144,240,528,624,384.0,0.06791042058159508,0.1818453954390917
ETTm1,96,48,16,3,12,144,240,576,672,432.0,0.07122909961204946,0.2423707109747554
ETTm1,96,48,16,3,13,144,240,624,720,480.0,0.09044779860738922,0.29035987357467785
ETTm1,96,48,16,4,5,192,288,240,336,48.0,0.4127799204859249,0.5251048597768806
ETTm1,96,48,16,4,6,192,288,288,384,96.0,0.08474392175004555,0.22979261536697482
ETTm1,96,48,16,4,7,192,288,336,432,144.0,0.0843738105071805,0.2609031753632837
ETTm1,96,48,16,4,8,192,288,384,480,192.0,0.0896673177075197,0.2845279084071423
ETTm1,96,48,16,4,9,192,288,432,528,240.0,0.09412478701171657,0.31029026579492786
ETTm1,96,48,16,4,10,192,288,480,576,288.0,0.0868796687858385,0.2795238837973249
ETTm1,96,48,16,4,11,192,288,528,624,336.0,0.0758364644741848,0.2391186856729407
ETTm1,96,48,16,4,12,192,288,576,672,384.0,0.07665805391934648,0.22281449658791527
ETTm1,96,48,16,4,13,192,288,624,720,432.0,0.07985693098943175,0.23560098622092077
ETTm1,96,48,16,5,6,240,336,288,384,48.0,0.4223412435323285,0.5733107226796973
ETTm1,96,48,16,5,7,240,336,336,432,96.0,0.08685472210807482,0.2668233185574012
ETTm1,96,48,16,5,8,240,336,384,480,144.0,0.08935255585306424,0.27748727861626776
ETTm1,96,48,16,5,9,240,336,432,528,192.0,0.09486052809554293,0.28912727049683423
ETTm1,96,48,16,5,10,240,336,480,576,240.0,0.09560618110493317,0.2876176289229151
ETTm1,96,48,16,5,11,240,336,528,624,288.0,0.08385648372217308,0.28521896884678277
ETTm1,96,48,16,5,12,240,336,576,672,336.0,0.07628370210988111,0.23451414162627057
ETTm1,96,48,16,5,13,240,336,624,720,384.0,0.07219884210838796,0.17946834304478715
ETTm1,96,48,16,6,7,288,384,336,432,48.0,0.40899253080295117,0.5727756461885982
ETTm1,96,48,16,6,8,288,384,384,480,96.0,0.08904220983114947,0.2660132706513021
ETTm1,96,48,16,6,9,288,384,432,528,144.0,0.08786351245746343,0.265994898437379
ETTm1,96,48,16,6,10,288,384,480,576,192.0,0.09106253507419435,0.2702377376101854
ETTm1,96,48,16,6,11,288,384,528,624,240.0,0.08820221170909272,0.2501144208529165
ETTm1,96,48,16,6,12,288,384,576,672,288.0,0.08608942002768233,0.24772345382429073
ETTm1,96,48,16,6,13,288,384,624,720,336.0,0.0837113427460217,0.26135997749202433
ETTm1,96,48,16,7,8,336,432,384,480,48.0,0.4143888947862321,0.5626328504975605
ETTm1,96,48,16,7,9,336,432,432,528,96.0,0.09105610559518748,0.2571805421596093
ETTm1,96,48,16,7,10,336,432,480,576,144.0,0.09268174399674883,0.30734407880836073
ETTm1,96,48,16,7,11,336,432,528,624,192.0,0.08127315362831425,0.2615401467937343
ETTm1,96,48,16,7,12,336,432,576,672,240.0,0.08683781861061908,0.2683481100680833
ETTm1,96,48,16,7,13,336,432,624,720,288.0,0.0870819802149072,0.29102871991909485
ETTm1,96,48,16,8,9,384,480,432,528,48.0,0.43148642342132987,0.5831178425957817
ETTm1,96,48,16,8,10,384,480,480,576,96.0,0.08679998144510792,0.29245225298912936
ETTm1,96,48,16,8,11,384,480,528,624,144.0,0.09616299276002035,0.30107472609724406
ETTm1,96,48,16,8,12,384,480,576,672,192.0,0.08414758783695844,0.26449722258756764
ETTm1,96,48,16,8,13,384,480,624,720,240.0,0.08239277009681692,0.2881468382981572
ETTm1,96,48,16,9,10,432,528,480,576,48.0,0.3863468912133954,0.5759953481142454
ETTm1,96,48,16,9,11,432,528,528,624,96.0,0.08665464955071012,0.2793171711879042
ETTm1,96,48,16,9,12,432,528,576,672,144.0,0.07945167856490182,0.25807745769791296
ETTm1,96,48,16,9,13,432,528,624,720,192.0,0.08104346191386698,0.27251394358279013
ETTm1,96,48,16,10,11,480,576,528,624,48.0,0.4100117991052241,0.5393682817211223
ETTm1,96,48,16,10,12,480,576,576,672,96.0,0.08362473283411267,0.25049520456863095
ETTm1,96,48,16,10,13,480,576,624,720,144.0,0.07782340797891124,0.24575437536487493
ETTm1,96,48,16,11,12,528,624,576,672,48.0,0.3836486305268207,0.5418240237010186
ETTm1,96,48,16,11,13,528,624,624,720,96.0,0.08082252482599449,0.25592321971138327
ETTm1,96,48,16,12,13,576,672,624,720,48.0,0.4331847714550874,0.5179137109144943
Weather,96,48,16,0,1,0,96,48,144,48.0,0.3794881605940444,0.13127349271275424
Weather,96,48,16,0,2,0,96,96,192,96.0,0.07120321135446132,0.012053786250030873
Weather,96,48,16,0,3,0,96,144,240,144.0,0.06416025517052096,-0.05240203056829942
Weather,96,48,16,0,4,0,96,192,288,192.0,0.06076713526669948,0.007529758141796534
Weather,96,48,16,0,5,0,96,240,336,240.0,0.072882377551004,-0.010929788731008885
Weather,96,48,16,0,6,0,96,288,384,288.0,0.060064325876218225,0.005726515352921422
Weather,96,48,16,0,7,0,96,336,432,336.0,0.06429296588086907,0.0092232710933965
Weather,96,48,16,0,8,0,96,384,480,384.0,0.0628576032917054,0.011331914539408286
Weather,96,48,16,0,9,0,96,432,528,432.0,0.06663282107596687,0.025266086234844692
Weather,96,48,16,0,10,0,96,480,576,480.0,0.059231221391956745,0.029718746486004637
Weather,96,48,16,0,11,0,96,528,624,528.0,0.07231615922823348,0.033977513560744875
Weather,96,48,16,0,12,0,96,576,672,576.0,0.07472451973037017,-0.0038742651686676033
Weather,96,48,16,0,13,0,96,624,720,624.0,0.07136689948766553,-0.01895889242118283
Weather,96,48,16,1,2,48,144,96,192,48.0,0.365766757996169,0.46393754942763327
Weather,96,48,16,1,3,48,144,144,240,96.0,0.06078072647192492,-0.02032114756024657
Weather,96,48,16,1,4,48,144,192,288,144.0,0.060876268475086454,0.01864976136655504
Weather,96,48,16,1,5,48,144,240,336,192.0,0.07471583389607112,0.02641396329788276
Weather,96,48,16,1,6,48,144,288,384,240.0,0.07228509384206838,0.03479175327442556
Weather,96,48,16,1,7,48,144,336,432,288.0,0.07532049212413267,0.09278260059272046
Weather,96,48,16,1,8,48,144,384,480,336.0,0.06852849572915329,0.05801523049847085
Weather,96,48,16,1,9,48,144,432,528,384.0,0.06383098857716872,-0.020345102328252096
Weather,96,48,16,1,10,48,144,480,576,432.0,0.06333798919951587,0.020145903783271617
Weather,96,48,16,1,11,48,144,528,624,480.0,0.07577036378467224,0.022601828389050498
Weather,96,48,16,1,12,48,144,576,672,528.0,0.07612507340797754,-0.02758256856320268
Weather,96,48,16,1,13,48,144,624,720,576.0,0.07523226167260981,0.050014799361908634
Weather,96,48,16,2,3,96,192,144,240,48.0,0.39276064160751384,0.13926628130157226
Weather,96,48,16,2,4,96,192,192,288,96.0,0.05618172310553162,0.01689076611431656
Weather,96,48,16,2,5,96,192,240,336,144.0,0.06728667580965295,0.04286622993118377
Weather,96,48,16,2,6,96,192,288,384,192.0,0.07575690306558047,0.017525247027541744
Weather,96,48,16,2,7,96,192,336,432,240.0,0.07517010921248779,0.03866476069806253
Weather,96,48,16,2,8,96,192,384,480,288.0,0.07668184296910291,0.03728823741946766
Weather,96,48,16,2,9,96,192,432,528,336.0,0.07751550518248775,-0.007367088260589656
Weather,96,48,16,2,10,96,192,480,576,384.0,0.06824734906939846,0.0037188922065780547
Weather,96,48,16,2,11,96,192,528,624,432.0,0.0733154870003038,0.03542542916986257
Weather,96,48,16,2,12,96,192,576,672,480.0,0.07020896465138234,0.004429975914627648
Weather,96,48,16,2,13,96,192,624,720,528.0,0.06773611637531954,0.07089487337694274
Weather,96,48,16,3,4,144,240,192,288,48.0,0.3512360854829747,0.43560728982560176
Weather,96,48,16,3,5,144,240,240,336,96.0,0.06375619216535301,0.02534847069354873
Weather,96,48,16,3,6,144,240,288,384,144.0,0.06079981592386106,0.11153125031395932
Weather,96,48,16,3,7,144,240,336,432,192.0,0.06487152862987287,0.09140985122706964
Weather,96,48,16,3,8,144,240,384,480,240.0,0.0651026480539399,-0.02104250858074265
Weather,96,48,16,3,9,144,240,432,528,288.0,0.06675434842331576,0.03719423252864611
Weather,96,48,16,3,10,144,240,480,576,336.0,0.06533626954862146,0.06400194271067514
Weather,96,48,16,3,11,144,240,528,624,384.0,0.06952541396379565,0.006097453588594859
Weather,96,48,16,3,12,144,240,576,672,432.0,0.0702186376478835,0.0758091619740368
Weather,96,48,16,3,13,144,240,624,720,480.0,0.07536839617042634,0.059262951732245446
Weather,96,48,16,4,5,192,288,240,336,48.0,0.4134252199834917,0.4508478931786264
Weather,96,48,16,4,6,192,288,288,384,96.0,0.057528254471860316,0.0880113826283823
Weather,96,48,16,4,7,192,288,336,432,144.0,0.07650417483504113,0.2126203992158626
Weather,96,48,16,4,8,192,288,384,480,192.0,0.07202328261284704,0.11381652637910188
Weather,96,48,16,4,9,192,288,432,528,240.0,0.06078308697580341,0.057393269541083064
Weather,96,48,16,4,10,192,288,480,576,288.0,0.07450673443124793,0.14023508918020203
Weather,96,48,16,4,11,192,288,528,624,336.0,0.0750458990425626,0.06089766876731606
Weather,96,48,16,4,12,192,288,576,672,384.0,0.07678118703603112,0.04064753047247684
Weather,96,48,16,4,13,192,288,624,720,432.0,0.0701705532200042,0.1210858002958244
Weather,96,48,16,5,6,240,336,288,384,48.0,0.39271278849587005,0.4012396286834312
Weather,96,48,16,5,7,240,336,336,432,96.0,0.06944425537940455,0.1271453336590324
Weather,96,48,16,5,8,240,336,384,480,144.0,0.0781171646607664,0.17219246018034481
Weather,96,48,16,5,9,240,336,432,528,192.0,0.0800548918126809,0.0830054312590299
Weather,96,48,16,5,10,240,336,480,576,240.0,0.07535851014190975,0.07898545373683599
Weather,96,48,16,5,11,240,336,528,624,288.0,0.07236423197386094,0.12261022652194584
Weather,96,48,16,5,12,240,336,576,672,336.0,0.06775520343828828,0.06597511067941295
Weather,96,48,16,5,13,240,336,624,720,384.0,0.06381157623058403,0.04762375734222033
Weather,96,48,16,6,7,288,384,336,432,48.0,0.3552350892394895,0.40712720315252343
Weather,96,48,16,6,8,288,384,384,480,96.0,0.0771681172296419,0.11649732983366566
Weather,96,48,16,6,9,288,384,432,528,144.0,0.08565592533529079,0.21407567471416228
Weather,96,48,16,6,10,288,384,480,576,192.0,0.0735029460509776,0.12181087988370952
Weather,96,48,16,6,11,288,384,528,624,240.0,0.062154265055043026,0.07302164657389355
Weather,96,48,16,6,12,288,384,576,672,288.0,0.06290751174401649,0.1735396799241445
Weather,96,48,16,6,13,288,384,624,720,336.0,0.0688759037374931,0.061793259234183155
Weather,96,48,16,7,8,336,432,384,480,48.0,0.3801084506457911,0.48393488766772874
Weather,96,48,16,7,9,336,432,432,528,96.0,0.06324806371463529,0.1564305428868662
Weather,96,48,16,7,10,336,432,480,576,144.0,0.07820407153559895,0.28992152167789775
Weather,96,48,16,7,11,336,432,528,624,192.0,0.06503228700616459,0.14523239892461132
Weather,96,48,16,7,12,336,432,576,672,240.0,0.07081504559042028,0.07251104329430769
Weather,96,48,16,7,13,336,432,624,720,288.0,0.07962688227856643,0.2149797171209977
Weather,96,48,16,8,9,384,480,432,528,48.0,0.3744587712193393,0.49137288795652534
Weather,96,48,16,8,10,384,480,480,576,96.0,0.07345501586067801,0.1909993343532353
Weather,96,48,16,8,11,384,480,528,624,144.0,0.062443056449808715,0.26933673365777594
Weather,96,48,16,8,12,384,480,576,672,192.0,0.0682661701634797,0.1291588887578664
Weather,96,48,16,8,13,384,480,624,720,240.0,0.0725261603459938,0.13243317076546107
Weather,96,48,16,9,10,432,528,480,576,48.0,0.3772815791554397,0.45185309764617376
Weather,96,48,16,9,11,432,528,528,624,96.0,0.05732026825131204,0.18255078177309034
Weather,96,48,16,9,12,432,528,576,672,144.0,0.0704308156000792,0.25006131920242824
Weather,96,48,16,9,13,432,528,624,720,192.0,0.07159868268304856,0.1459010322992351
Weather,96,48,16,10,11,480,576,528,624,48.0,0.3804454038155921,0.4997252861209957
Weather,96,48,16,10,12,480,576,576,672,96.0,0.0645982808226759,0.16587359791458983
Weather,96,48,16,10,13,480,576,624,720,144.0,0.066888526360641,0.26339323355164146
Weather,96,48,16,11,12,528,624,576,672,48.0,0.3947172665163903,0.4724316659695463
Weather,96,48,16,11,13,528,624,624,720,96.0,0.07658864316310586,0.17366261569618144
Weather,96,48,16,12,13,576,672,624,720,48.0,0.3957688670894964,0.46313251256908755
