dataset,clusters,cluster,size,start,end,span,runs,locality,max_stage_share,row_norm_mean,row_norm_std,share_early_0_96,share_mid_96_192,share_late_192_336,share_tail_336_720
ETTm1,8,3,110,67,660,593,8,0.18549747048903878,0.5909090909090909,0.9183499535031386,0.03913416703760596,0.14545454545454545,0.13636363636363635,0.12727272727272726,0.5909090909090909
ETTm1,8,4,88,54,644,590,8,0.14915254237288136,0.5681818181818182,0.9219111850412247,0.03675931882750473,0.14772727272727273,0.14772727272727273,0.13636363636363635,0.5681818181818182
ETTm1,8,5,61,38,718,680,10,0.08970588235294118,0.5245901639344263,0.9183537920012603,0.046866196919034014,0.13114754098360656,0.13114754098360656,0.21311475409836064,0.5245901639344263
ETTm1,8,6,125,16,703,687,9,0.1819505094614265,0.496,0.9266438497596055,0.04393468154607046,0.128,0.128,0.248,0.496
ETTm1,8,7,68,46,720,674,9,0.10089020771513353,0.5441176470588235,0.9217854792169535,0.04710368820964442,0.11764705882352941,0.1323529411764706,0.20588235294117646,0.5441176470588235
Weather,4,0,189,0,712,712,143,0.2654494382022472,0.4444444444444444,0.8813605088237747,0.039231073683678834,0.15343915343915343,0.14814814814814814,0.25396825396825395,0.4444444444444444
Weather,4,1,165,10,718,708,123,0.2330508474576271,0.5757575757575758,0.8796888536601959,0.03946589586860738,0.12727272727272726,0.12727272727272726,0.1696969696969697,0.5757575757575758
Weather,4,2,181,1,719,718,133,0.2520891364902507,0.5580110497237569,0.8876578508847558,0.040268199436377716,0.14917127071823205,0.13812154696132597,0.15469613259668508,0.5580110497237569
Weather,4,3,185,3,720,717,129,0.2580195258019526,0.5621621621621622,0.8806425604966719,0.04142971894492205,0.10270270270270271,0.11891891891891893,0.21621621621621623,0.5621621621621622
Weather,8,0,91,0,714,714,81,0.12745098039215685,0.37362637362637363,0.8821155939114167,0.0419532990339682,0.23076923076923078,0.13186813186813187,0.26373626373626374,0.37362637362637363
Weather,8,1,91,2,716,714,78,0.12745098039215685,0.4835164835164835,0.8831261205404948,0.03992389049783285,0.14285714285714285,0.17582417582417584,0.1978021978021978,0.4835164835164835
Weather,8,2,88,1,715,714,78,0.12324929971988796,0.5909090909090909,0.8882405756274081,0.04326355094913316,0.1590909090909091,0.125,0.125,0.5909090909090909
Weather,8,3,92,3,701,698,79,0.1318051575931232,0.532608695652174,0.883792406506347,0.038454621857721756,0.13043478260869565,0.08695652173913043,0.25,0.532608695652174
Weather,8,4,98,6,720,714,87,0.13725490196078433,0.4387755102040816,0.8826697527543526,0.03830717060010541,0.15306122448979592,0.14285714285714285,0.2653061224489796,0.4387755102040816
Weather,8,5,98,7,717,710,86,0.13802816901408452,0.7040816326530612,0.8768657244589019,0.037629783768820264,0.09183673469387756,0.09183673469387756,0.11224489795918367,0.7040816326530612
Weather,8,6,87,5,719,714,75,0.12184873949579832,0.6206896551724138,0.880294031564549,0.04578440836490806,0.05747126436781609,0.1724137931034483,0.14942528735632185,0.6206896551724138
Weather,8,7,75,8,709,701,65,0.10699001426533523,0.52,0.8823948818895523,0.034323831764615335,0.09333333333333334,0.14666666666666667,0.24,0.52
