dataset,reference,target_horizon,pcc_mse,reference_mse,pcc_mse_gain_percent,pcc_mae_gain_percent
ETTh1,a6,161,1.0023501471888205,0.9879375736905921,-1.4588546768585786,-1.8717133645683726
ETTh1,a6,162,1.0046960296638219,0.9903107038986536,-1.4526073189491173,-1.8713672829619776
ETTh1,a6,163,1.0068762292342683,0.992574177271018,-1.440905102183132,-1.8610589907327668
ETTh1,a6,164,1.0095855590955514,0.9948889471408797,-1.4772113005081522,-1.8871048064405205
ETTh1,a6,165,1.0120401191892046,0.9970096165483648,-1.5075584419010024,-1.9056192945843264
ETTh1,a6,166,1.0140431204653648,0.9990870812571192,-1.4969705332819272,-1.9044047822628363
ETTh1,a6,167,1.0161077730848405,1.0011763140826881,-1.4913915553258938,-1.9034102119997787
ETTh1,a6,168,1.0182269035528104,1.003510298828284,-1.4665125750786823,-1.8929980066701546
ETTh1,a6,169,1.020147210483015,1.0058423474695555,-1.4221774465398962,-1.870443766966834
ETTh1,a6,170,1.0223008735214962,1.0079776788459105,-1.4209833189942511,-1.864864462993232
ETTh1,a6,171,1.0244198986138517,1.010256854762808,-1.4019250435443942,-1.8550823185984777
ETTh1,a6,172,1.026422009651744,1.0123915474775225,-1.3858731050431894,-1.8483988649190763
ETTh1,a6,173,1.0287533678932685,1.0149035443460321,-1.3646443176194456,-1.8310962272647835
ETTh1,a6,174,1.0309002636664215,1.0173650120181599,-1.330422364477779,-1.815151871988907
ETTh1,a6,175,1.0333869849784034,1.0196194454601832,-1.3502625493775788,-1.826811403702222
ETTh1,a6,176,1.0357674350962043,1.0219892469996756,-1.3481734897875075,-1.817560525148565
ETTh1,a6,177,1.0381651737090558,1.0243312352794711,-1.3505336899943599,-1.8230174398172538
ETTh1,a6,178,1.04045504775275,1.0268095051974393,-1.3289263963997877,-1.8114007656591324
ETTh1,a6,179,1.0426935347931345,1.029044055072955,-1.3264232617535399,-1.8120164085173807
ETTh1,a6,180,1.044830914752351,1.0314007371664047,-1.3021299192439217,-1.795043911995764
ETTh1,a6,181,1.0469610589808522,1.0334225626281612,-1.3100639411491422,-1.7983570923046477
ETTh1,a6,182,1.0491570709989622,1.0355204530469664,-1.3168854281796927,-1.8024694896351834
ETTh1,a6,183,1.0514817261467866,1.037791445932753,-1.3191745092607565,-1.799529771549646
ETTh1,a6,184,1.0534522375496833,1.0396709704528684,-1.3255412037533443,-1.8001426714758795
ETTh1,a6,185,1.0558629697239077,1.0416170213673566,-1.3676762249766439,-1.8171286432344447
ETTh1,a6,186,1.058269305014482,1.043701926546712,-1.3957412645551948,-1.8259126248130642
ETTh1,a6,187,1.0603938042958152,1.0457336000580202,-1.4019062060338872,-1.8325070525086806
ETTh1,a6,188,1.0627968346977488,1.0479545089158606,-1.416313938783742,-1.8312288177906533
ETTh1,a6,189,1.06505454761326,1.050120697765754,-1.4221079423802907,-1.8279153469296539
ETTh1,a6,190,1.0669766963312501,1.0521371775551847,-1.410416730121411,-1.8193093221027468
ETTh1,a6,191,1.06906460319202,1.0542704194628132,-1.4032627166704392,-1.813214156136933
ETTh1,a6,192,1.0711684938675414,1.0564278609429796,-1.3953279224768078,-1.8054068095295417
ETTh1,a6,193,1.0730810861050155,1.0587139348909644,-1.3570380761570577,-1.784128132815943
ETTh1,a6,194,1.075259466530736,1.0606197908367079,-1.3802944109197801,-1.7948981332415848
ETTh1,a6,195,1.0771748503813376,1.0628547268036084,-1.3473265175942828,-1.7781863281964627
ETTh1,a6,196,1.0795625415535606,1.064817264676094,-1.3847706424962913,-1.7981838122221205
ETTh1,a6,197,1.081460252404213,1.066861239484119,-1.3684078472241845,-1.791035824134335
ETTh1,a6,198,1.0835438567129048,1.0688991098090856,-1.3700775657334852,-1.7888182376047057
ETTh1,a6,199,1.0860041251883434,1.0710378343136466,-1.3973634166049465,-1.8012967935018942
ETTh1,a6,200,1.0886826471239328,1.073061279952526,-1.4557758688392708,-1.8369430949501497
ETTh1,a6,201,1.0909120583563894,1.0751099316634942,-1.4698149675210326,-1.8428340736424964
ETTh1,a6,202,1.0931244537529379,1.0773471821062635,-1.4644556470486236,-1.8423071879520414
ETTh1,a6,203,1.0952097410198502,1.0792499848187262,-1.478782156647851,-1.8500475387282167
ETTh1,a6,204,1.0970425597738986,1.081186667084694,-1.4665268423960987,-1.8452720637251119
ETTh1,a6,205,1.0989237190019794,1.0831436683491962,-1.4568751232081123,-1.8370343490358376
ETTh1,a6,206,1.100728594924061,1.0850475757446103,-1.4451918542548459,-1.8289661506253552
ETTh1,a6,207,1.102386610303524,1.0870506541740492,-1.4107857872664775,-1.806770805059088
ETTh1,a6,208,1.1042160492820234,1.0890708499802992,-1.3906532620901801,-1.7948515248237706
ETTh1,a6,209,1.1063150176733876,1.0910897714099246,-1.3954164599846441,-1.7965501322484867
ETTh1,a6,210,1.1081851866273653,1.0928990656421298,-1.3986763705625682,-1.7946496088186326
ETTh1,a6,211,1.1099596897148973,1.0948138364118423,-1.3834181483031172,-1.7844701261344742
ETTh1,a6,212,1.1119874663088682,1.0967370358840474,-1.3905275308340403,-1.7866975177246447
ETTh1,a6,213,1.113932243325341,1.0984603516372717,-1.4085070676431943,-1.796086065496172
ETTh1,a6,214,1.1156973313087615,1.1003463471604285,-1.3951047493317104,-1.78406622459788
ETTh1,a6,215,1.1173787702654683,1.1022989103960437,-1.368037265319133,-1.765966366114391
ETTh1,a6,216,1.1190857697554208,1.1041662657150515,-1.3512008565763844,-1.7574899487386775
ETTh1,a6,217,1.1208134673295482,1.106032309718945,-1.3364128227284056,-1.7507379416544122
ETTh1,a6,218,1.1225261686181804,1.1079617916444027,-1.314519786116608,-1.7346379345641871
ETTh1,a6,219,1.124265053841077,1.1097388096051672,-1.3089786632836553,-1.726499332894793
ETTh1,a6,220,1.1260258098217575,1.1113009563901208,-1.325010416572292,-1.7338958913929892
