dataset,unit_size,metric,batches,bootstrap_iterations,mean,p05,p50,p95
ETTm1,240,first_last_cosine,8,1000,0.18722816184163094,0.15257929135113954,0.1866034739650786,0.22247279165312647
ETTm1,240,adjacent_minus_far_cosine,8,1000,0.06416533794254065,0.01606824793852866,0.06564863817766309,0.11259996090084314
ETTm1,240,shared_alignment_efficiency,8,1000,0.4856057036354395,0.47329867204852216,0.4857941342760448,0.4960970221152993
ETTm1,360,mean_pairwise_cosine,8,1000,0.32679619640111923,0.2911648890003562,0.32546608708798885,0.36641866303980347
ETTm1,360,first_last_cosine,8,1000,0.32679619640111923,0.2902212180197239,0.32543016970157623,0.3618964836001396
ETTm1,360,adjacent_minus_far_cosine,8,1000,nan,nan,nan,nan
ETTm1,360,shared_alignment_efficiency,8,1000,0.6607956990101971,0.6424770483206634,0.6606403868456483,0.6817528479454504
Weather,120,mean_pairwise_cosine,8,1000,0.06446106784205767,0.05763427427430239,0.06425954371722278,0.07253221056501691
Weather,120,first_last_cosine,8,1000,0.02552114796708338,0.014394303037261125,0.025059868639800698,0.03770822344231419
Weather,120,adjacent_minus_far_cosine,8,1000,0.1159601342901927,0.10845575896877563,0.11622806060386211,0.12226576853131216
Weather,120,shared_alignment_efficiency,8,1000,0.2231315006714861,0.2155839555723701,0.2227966550502195,0.2309411310002613
Weather,144,mean_pairwise_cosine,8,1000,0.06859008896935848,0.061265283133980115,0.06811763634395902,0.0770074952739742
Weather,144,first_last_cosine,8,1000,0.026159248023759574,0.016950546836596914,0.025999783887527883,0.03498895787633956
Weather,144,adjacent_minus_far_cosine,8,1000,0.11492055749355738,0.10873287891602862,0.11551676807115048,0.11971285132276534
Weather,144,shared_alignment_efficiency,8,1000,0.2581888764591198,0.25072796224533983,0.25778318631773006,0.26517848167451874
Weather,180,mean_pairwise_cosine,8,1000,0.07734483124901695,0.06880266836063433,0.07691296927805524,0.08635529106104513
Weather,180,first_last_cosine,8,1000,0.02780114352935925,0.01894494619918987,0.027863039897056296,0.03773882577661425
Weather,180,adjacent_minus_far_cosine,8,1000,0.11186392385085733,0.1076151341801354,0.11211496104563898,0.11648236882319907
Weather,180,shared_alignment_efficiency,8,1000,0.3115373788683399,0.3036242233550068,0.3113995910479539,0.3194516571263979
Weather,240,mean_pairwise_cosine,8,1000,0.08386624720878899,0.07085296005243436,0.08339309773873538,0.09833372780121863
Weather,240,first_last_cosine,8,1000,0.03358475700952113,0.02380741889355704,0.0328792481450364,0.04370304743060842
Weather,240,adjacent_minus_far_cosine,8,1000,0.0754222352989018,0.06855624740710482,0.07536076079122722,0.08278143173083663
Weather,240,shared_alignment_efficiency,8,1000,0.39010616256420405,0.3819042883819896,0.3897468232846809,0.3993442263698378
Weather,360,mean_pairwise_cosine,8,1000,0.10010877717286348,0.0843788749538362,0.0998380035161972,0.119286355888471
Weather,360,first_last_cosine,8,1000,0.10010877717286348,0.0838102207519114,0.09947458421811461,0.12064294964075088
Weather,360,adjacent_minus_far_cosine,8,1000,nan,nan,nan,nan
Weather,360,shared_alignment_efficiency,8,1000,0.5466904800894612,0.5397347569357311,0.5466946856870027,0.5545855288761198
