dataset,arm,readout,policy,fixed_scale,partition,output_shape,prefix_max_abs,fixed_fast_path_max_abs,decoder_parameters,dense_parameter_gap,encoder_hash,operator_hash,pcsd_hash,readout_hash,pass
Weather,pcsd_random,pcsd-coupling-field,direct,720,random,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
Weather,dense_matched,pcsd-dense-nonlinear-matched,control,720,control,"(1, 720, 1)",0.0,,1184475,0.0003023349888566755,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,,f07ec2057636dd7cb876918689576bca3fa9ab80268e0408edee4914b89973ab,True
ETTm1,a6,learned-basis-forecast-operator,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,20678d3dae2bae9cb6b883f6806d94a5154dbf41b4338d52336827f989906673,,20678d3dae2bae9cb6b883f6806d94a5154dbf41b4338d52336827f989906673,True
ETTm1,pcsd_m0,pcsd-coupling-field-m0,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,20678d3dae2bae9cb6b883f6806d94a5154dbf41b4338d52336827f989906673,,f4436df3ab2708ce6d9623168b814229d918a81e97e06b71f3206c60c4fc4c32,True
ETTm1,pcsd_fixed_1,pcsd-coupling-field,fixed,1,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_fixed_48,pcsd-coupling-field,fixed,48,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_fixed_144,pcsd-coupling-field,fixed,144,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_fixed_360,pcsd-coupling-field,fixed,360,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_fixed_720,pcsd-coupling-field,fixed,720,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_equal,pcsd-coupling-field,equal,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_static,pcsd-coupling-field,static-target,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_direct,pcsd-coupling-field,direct,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,pcsd_random,pcsd-coupling-field,direct,720,random,"(1, 720, 1)",0.0,,1184117,0.0,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,f207b0b53e6cd195aed7d2b75536706970b95d2a52212f43363f39facfa6bb37,True
ETTm1,dense_matched,pcsd-dense-nonlinear-matched,control,720,control,"(1, 720, 1)",0.0,,1184475,0.0003023349888566755,43f924bf4a49ddb9564e5b4b8f87f0034d1e369206e6ee48cf7dcd53c43eeac7,,,7b12b6148f28cc88642d823834f4bf74b734431507b241478a0d2c900ef392b4,True
ETTm2,a6,learned-basis-forecast-operator,control,720,control,"(1, 720, 1)",0.0,,971728,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,9c99cf0d3eef00eaac66505f85aa89feba482c5a1265950c95b6346e54cab445,,9c99cf0d3eef00eaac66505f85aa89feba482c5a1265950c95b6346e54cab445,True
ETTm2,pcsd_m0,pcsd-coupling-field-m0,control,720,control,"(1, 720, 1)",0.0,,971728,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,9c99cf0d3eef00eaac66505f85aa89feba482c5a1265950c95b6346e54cab445,,dc029aae7c6ff77d6d2f30e4e58765800721a8dcf71f270fa9d8f7f31468e472,True
ETTm2,pcsd_fixed_1,pcsd-coupling-field,fixed,1,canonical,"(1, 720, 1)",0.0,0.0,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_fixed_48,pcsd-coupling-field,fixed,48,canonical,"(1, 720, 1)",0.0,0.0,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_fixed_144,pcsd-coupling-field,fixed,144,canonical,"(1, 720, 1)",0.0,0.0,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_fixed_360,pcsd-coupling-field,fixed,360,canonical,"(1, 720, 1)",0.0,0.0,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_fixed_720,pcsd-coupling-field,fixed,720,canonical,"(1, 720, 1)",0.0,0.0,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_equal,pcsd-coupling-field,equal,720,canonical,"(1, 720, 1)",0.0,,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_static,pcsd-coupling-field,static-target,720,canonical,"(1, 720, 1)",0.0,,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_direct,pcsd-coupling-field,direct,720,canonical,"(1, 720, 1)",0.0,,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,pcsd_random,pcsd-coupling-field,direct,720,random,"(1, 720, 1)",0.0,,3617141,0.0,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,04dd91f57973a8aa7809bdd445b1a83697f3442c7ebe45a84833b74783612378,True
ETTm2,dense_matched,pcsd-dense-nonlinear-matched,control,720,control,"(1, 720, 1)",0.0,,3615449,0.00046777275201602593,db0f79f320db76b3967efd6827230dddba88e722979c7a5389bce1fae851aeb5,,,e41bd1c53b0ac4dbd393d6700bcea56c6cfe96529a96550d0c8d19976808e8b8,True
ETTh1,a6,learned-basis-forecast-operator,control,720,control,"(1, 720, 1)",0.0,,578512,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,d2c859f1a0eeeca699d0a243b98d25c349ff2639d8d002d94024839acdf55a33,,d2c859f1a0eeeca699d0a243b98d25c349ff2639d8d002d94024839acdf55a33,True
ETTh1,pcsd_m0,pcsd-coupling-field-m0,control,720,control,"(1, 720, 1)",0.0,,578512,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,d2c859f1a0eeeca699d0a243b98d25c349ff2639d8d002d94024839acdf55a33,,e28679390e37e302140a5edd35a21f04192d5fb599be203037cf6fb5a76016f5,True
ETTh1,pcsd_fixed_1,pcsd-coupling-field,fixed,1,canonical,"(1, 720, 1)",0.0,0.0,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_fixed_48,pcsd-coupling-field,fixed,48,canonical,"(1, 720, 1)",0.0,0.0,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_fixed_144,pcsd-coupling-field,fixed,144,canonical,"(1, 720, 1)",0.0,0.0,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_fixed_360,pcsd-coupling-field,fixed,360,canonical,"(1, 720, 1)",0.0,0.0,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_fixed_720,pcsd-coupling-field,fixed,720,canonical,"(1, 720, 1)",0.0,0.0,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_equal,pcsd-coupling-field,equal,720,canonical,"(1, 720, 1)",0.0,,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_static,pcsd-coupling-field,static-target,720,canonical,"(1, 720, 1)",0.0,,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_direct,pcsd-coupling-field,direct,720,canonical,"(1, 720, 1)",0.0,,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,pcsd_random,pcsd-coupling-field,direct,720,random,"(1, 720, 1)",0.0,,1995125,0.0,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,913ad88c773f8bbee0dd5b43b050e731e57cbe723f254c968604c64ef10a9365,True
ETTh1,dense_matched,pcsd-dense-nonlinear-matched,control,720,control,"(1, 720, 1)",0.0,,1995908,0.0003924566129941733,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,,9caffb178020ac236fc359a3961b3fd93e314d4a40e631abd43f0ea099b93249,True
ETTh2,a6,learned-basis-forecast-operator,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,True
ETTh2,pcsd_m0,pcsd-coupling-field-m0,control,720,control,"(1, 720, 1)",0.0,,381904,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,27a124b7f05d93eccbe02e946fda197878af9ffdef48b7027008cc76f0a2c509,,c16103c048bb057d63a0659460c4cd545d882c66da28965faacf04bc7db09f53,True
ETTh2,pcsd_fixed_1,pcsd-coupling-field,fixed,1,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_fixed_48,pcsd-coupling-field,fixed,48,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_fixed_144,pcsd-coupling-field,fixed,144,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_fixed_360,pcsd-coupling-field,fixed,360,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_fixed_720,pcsd-coupling-field,fixed,720,canonical,"(1, 720, 1)",0.0,0.0,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_equal,pcsd-coupling-field,equal,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_static,pcsd-coupling-field,static-target,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_direct,pcsd-coupling-field,direct,720,canonical,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,pcsd_random,pcsd-coupling-field,direct,720,random,"(1, 720, 1)",0.0,,1184117,0.0,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,98517c571c60b26354193f30092648f920d458a99fedae3da0a82c87a3960fde,True
ETTh2,dense_matched,pcsd-dense-nonlinear-matched,control,720,control,"(1, 720, 1)",0.0,,1184475,0.0003023349888566755,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,,f07ec2057636dd7cb876918689576bca3fa9ab80268e0408edee4914b89973ab,True
