dataset,reference_arm,segment,start_horizon,end_horizon,pmfo_mean_mse,reference_mean_mse,pmfo_improvement_pct,pmfo_winning_horizons,segment_horizon_count
Weather,a6,H1-48,1,48,0.09244647214299768,0.0929376242183002,0.5284749631095043,48,48
Weather,a6,H49-96,49,96,0.13206072785645012,0.13226401556432327,0.15369842432636505,42,48
Weather,a6,H97-192,97,192,0.16760670315078421,0.1667218161824551,-0.5307565551953441,0,96
Weather,a6,H193-336,193,336,0.21538219418124221,0.21377603529854877,-0.7513278466645623,0,144
Weather,a6,H337-720,337,720,0.2804669461368907,0.27810495205066804,-0.8493175216068627,0,384
Weather,dense_mlp_matched,H1-48,1,48,0.09244647214299768,0.09980217669561799,7.370284693343033,48,48
Weather,dense_mlp_matched,H49-96,49,96,0.13206072785645012,0.13424492942293398,1.6270272373585137,48,48
Weather,dense_mlp_matched,H97-192,97,192,0.16760670315078421,0.1680663049351811,0.2734645618431064,69,96
Weather,dense_mlp_matched,H193-336,193,336,0.21538219418124221,0.2139598681956776,-0.6647629752060791,0,144
Weather,dense_mlp_matched,H337-720,337,720,0.2804669461368907,0.2769856586817839,-1.2568475464306728,0,384
Weather,pmfo_no_transition,H1-48,1,48,0.09244647214299768,0.09967088853906961,7.24827128759874,48,48
Weather,pmfo_no_transition,H49-96,49,96,0.13206072785645012,0.1364210135061145,3.1961979592454393,48,48
Weather,pmfo_no_transition,H97-192,97,192,0.16760670315078421,0.17100954405958987,1.989854383577505,96,96
Weather,pmfo_no_transition,H193-336,193,336,0.21538219418124221,0.21734272275531838,0.9020447288144551,144,144
Weather,pmfo_no_transition,H337-720,337,720,0.2804669461368907,0.2804717535035866,0.0017140288231631828,181,384
Weather,pmfo_no_conservation,H1-48,1,48,0.09244647214299768,0.09814930385125388,5.810363888977643,48,48
Weather,pmfo_no_conservation,H49-96,49,96,0.13206072785645012,0.1318306580129506,-0.1745192256242145,17,48
Weather,pmfo_no_conservation,H97-192,97,192,0.16760670315078421,0.16671802227401808,-0.5330442771840804,0,96
Weather,pmfo_no_conservation,H193-336,193,336,0.21538219418124221,0.2153411865983464,-0.019043074640578972,61,144
Weather,pmfo_no_conservation,H337-720,337,720,0.2804669461368907,0.2823149004709365,0.6545720154916168,384,384
