seed,dataset,candidate,reference,dense_mse_improvement_pct,dense_mae_improvement_pct,short_h1_96_mse_improvement_pct,middle_h97_336_mse_improvement_pct,long_h337_720_mse_improvement_pct
2021,Weather,joint_geo,a6,-0.10317241285002776,-0.2793351471933381,-3.0130619484131316,-0.11341399975690614,0.3379071774287423
2021,Weather,joint_geo,uniform,0.15792569553449987,-0.5532470883235829,-1.2238189022282242,-0.05276238009523926,0.4773694526380212
2021,Weather,joint_geo,history,0.05130425590357257,-0.04171732555500185,-1.5706775655125682,-0.3268963584697637,0.49265206667483685
2021,Weather,joint_geo,atom,0.1699645366772362,-0.5490560565251323,-1.1820663439946477,-0.04066012544643449,0.48492754519416925
2021,Weather,joint_geo,joint_perm,1.1570818061676924,2.034154791375953,0.15124054770868645,0.9469948566689368,1.4197023085595006
2021,Weather,joint_geo,joint_random,0.5617288252527497,0.4661778537226713,0.021500544506980468,0.21722212260469886,0.823031858604073
2022,ETTh1,joint_geo,a6,-0.3610611546510878,-0.38486148114056373,-1.563062043682284,-1.1951132429617095,0.20129106209206826
2022,ETTh1,joint_geo,uniform,-0.4264523774243134,-0.2749945468326631,-0.12056500041244256,-0.676475685117528,-0.3392197550425635
2022,ETTh1,joint_geo,history,-0.40567511834765924,-0.26430743445349236,-0.10781749313246713,-0.6416562560532801,-0.324464858011142
2022,ETTh1,joint_geo,atom,-0.4521826047136468,-0.29110274082526644,-0.1717412725324774,-0.7076306906074414,-0.35903747564751676
2022,ETTh1,joint_geo,joint_perm,-0.3352149788024006,-0.2175828371847599,-0.02762810826051343,-0.5479624286517382,-0.26686825657631363
2022,ETTh1,joint_geo,joint_random,-0.38145377410481185,-0.24156126217351748,-0.10094615361526671,-0.5949657470294412,-0.30932024946856984
2022,ETTh2,joint_geo,a6,-2.745449326155658,-1.3474522332851846,-3.8807985113523458,-3.0151132788289736,-2.522660049936598
2022,ETTh2,joint_geo,uniform,-0.04768326601491957,-0.013742431927266097,0.027951225926292622,-0.04400066299896643,-0.05679340839093161
2022,ETTh2,joint_geo,history,-0.021381382638563373,0.0034561963992874034,0.08914576281886522,-0.01643113774247862,-0.03452140437867346
2022,ETTh2,joint_geo,atom,-0.04425753623999995,-0.012481133335273675,0.027086249980567967,-0.036288103048720544,-0.05469974489249463
2022,ETTh2,joint_geo,joint_perm,-0.01979198784773928,-0.00056852489411785,0.058008237643636384,-0.0077478966680644135,-0.03255940244060174
2022,ETTh2,joint_geo,joint_random,-0.03729498155300437,-0.006674539711970517,0.06504931683315451,-0.029335926387696887,-0.05084968711388527
2022,ETTm1,joint_geo,a6,-0.8465267618385619,-0.43564382830765247,-1.0192511819927974,-1.0011395307159665,-0.7649526728711109
2022,ETTm1,joint_geo,uniform,0.33311351939090406,0.37461950342299044,1.1886967259581271,0.6415556569475012,0.11983404144769727
2022,ETTm1,joint_geo,history,0.3303933475678922,0.3705108241898847,1.1707637475742882,0.6367791638250075,0.11946989549106446
2022,ETTm1,joint_geo,atom,0.3398119943922473,0.37875130711519933,1.1979649629834443,0.6493644075457272,0.12580854091113203
2022,ETTm1,joint_geo,joint_perm,0.326421954820022,0.36521792237793615,1.1339367190869032,0.6239872256243562,0.12245452085716257
2022,ETTm1,joint_geo,joint_random,0.3249995823098262,0.359543416680852,1.105037543415266,0.6148637833840231,0.1269849852491678
2022,ETTm2,joint_geo,a6,-0.3400581368760536,-0.6011415071996984,0.62142506814441,-0.05878413348940903,-0.5452131458344889
2022,ETTm2,joint_geo,uniform,-1.412617078316547,-0.80363344557568,-1.0987602325064572,-0.883328794215954,-1.661028554894295
2022,ETTm2,joint_geo,history,-0.14584244993884887,0.02462467855433026,0.2872189441084583,0.6558973923778577,-0.519698596136875
2022,ETTm2,joint_geo,atom,-1.40019413285426,-0.7933380945452928,-1.0567298513877388,-0.8625794560801703,-1.6548209581139783
2022,ETTm2,joint_geo,joint_perm,1.595931301272191,-0.019325246638857152,4.298139500599573,2.294588724696567,1.049611053518662
2022,ETTm2,joint_geo,joint_random,1.4416313565475902,0.9266302704057594,5.227648597994983,2.549902597783238,0.613892526202986
2022,Weather,joint_geo,a6,-1.2713881302675256,-1.6131666046649062,-3.4205700950968643,-1.1352669608740262,-1.0167513023832786
2022,Weather,joint_geo,uniform,-0.5635070250409102,-1.1721935291345797,-2.0154425203994464,-0.4892927574666972,-0.3806514631631286
2022,Weather,joint_geo,history,-0.7460308594525733,-0.97039660241105,-2.4335186477117743,-0.9092207846137956,-0.40537621804177526
