origin,channel,min_gain,visibility96,persistent_fraction96,accuracy_eligible,gain_h96,gain_h192,gain_h336,gain_h720,fit_eligible,full_r2,full_corr,full_amplitude_ratio,full_bias_sigma,tail_r2,tail_corr,tail_amplitude_ratio,tail_bias_sigma,last192_r2,last192_corr,last192_amplitude_ratio,last192_bias_sigma,audited_eligible,channel_name,dominant_period,prominent_peaks,high_frequency_share,normalized_mae_advantage,visible_win_fraction,visible_loss_fraction,visible_net,tail_visible_net,less_dense,clearer_same_density
636,0,0.0520413970334125,0.1018931995150966,0.5104166666666666,True,0.1601237890062188,0.2749787184276203,0.0520413970334125,0.2859911546453522,True,0.6557262470353036,0.8139520527910313,0.8925788215837818,0.0246886297036008,0.6464900114131201,0.8070713922874518,0.8768247706647353,0.002947378605057,0.6602460479062846,0.8189289020166988,0.7705616313260663,0.0897725223992857,True,HUFL,24.0,27,0.8693978169005303,0.026343774542942972,0.2916666666666667,0.11527777777777778,0.1763888888888889,0.1953125,False,False
637,0,0.0300342495770653,0.1041042791839376,0.5208333333333334,True,0.1962780948346768,0.3100335490081672,0.0300342495770653,0.308460173373887,True,0.6479635111864162,0.808175192171053,0.8782640946633985,0.0164674163644714,0.643227129040538,0.802922145272801,0.8409707940358873,0.0030236825630352,0.6678269905571326,0.8298464633741869,0.7263500581249402,0.100531867176516,True,HUFL,24.0,27,0.8706376122494868,0.028537776480109023,0.29583333333333334,0.13333333333333333,0.1625,0.17447916666666666,False,False
644,0,0.0035561970977765,0.0825719342408126,0.2916666666666667,True,0.0035561970977765,0.2081538872109481,0.1300122738504351,0.2511862697521763,True,0.660338783365521,0.8168719197619739,0.8937827039920602,0.0320262579644419,0.6513485429899454,0.8121655166023647,0.8934544048290364,0.0406988945662172,0.6598597178920149,0.8230936807594574,0.7955809514996028,0.1298712406301355,True,HUFL,24.0,26,0.8731069446781177,0.02178481628865057,0.2652777777777778,0.1388888888888889,0.12638888888888888,0.14583333333333334,False,False
645,0,0.0869105581525455,0.0805783950016006,0.2395833333333333,True,0.0869105581525455,0.2487671511329731,0.1633753873884262,0.1968043594464344,True,0.659819040649734,0.8163918674104811,0.8794913823758367,0.0519142729446868,0.641891914385437,0.8083934491360998,0.8967514738586445,0.0616515505713633,0.6463320353840152,0.8167289894029122,0.7962637765602804,0.1424618608975497,True,HUFL,24.0,26,0.8734853376930144,0.017256239971989135,0.2361111111111111,0.10833333333333334,0.12777777777777777,0.13541666666666663,False,False
646,0,0.1154213055087309,0.085453307947933,0.3020833333333333,True,0.2095443029931666,0.2891485878587099,0.1681486538273097,0.1154213055087309,True,0.6525673716235281,0.8134850741334464,0.9002730596221246,0.0407239461396789,0.6345429750634242,0.8046192524071314,0.9105714156496032,0.0405377032529927,0.6523612918945143,0.8159191932704773,0.7931077556393646,0.1133246503009556,True,HUFL,24.0,26,0.8739057364513978,0.009896382611522965,0.18333333333333332,0.10138888888888889,0.08194444444444443,0.08333333333333333,False,False
647,0,0.102401428942595,0.0840181308280628,0.25,True,0.3570819128537514,0.3686559679854726,0.163421436349208,0.102401428942595,True,0.6498849057616937,0.8108227532674902,0.8935392211428215,0.0265822759900036,0.635549015620801,0.8038526988815639,0.9029979236942924,0.0282908160929758,0.6581536343320507,0.818901955477963,0.780640605118221,0.1047990812089018,True,HUFL,24.0,26,0.8742675179552251,0.007418459608585509,0.14722222222222223,0.08333333333333333,0.0638888888888889,0.054687499999999986,False,False
648,0,0.1046368708441252,0.0791592455956102,0.2395833333333333,True,0.3103079470536981,0.3060035377580479,0.1691136875939197,0.1046368708441252,True,0.6426517718680693,0.8080189023745806,0.9030776898914018,0.0347361719592801,0.6327832390692879,0.8021501244263339,0.9033145648331022,0.0206721804626529,0.6601340412247914,0.8195234715606902,0.7730575937039964,0.0965691535072196,True,HUFL,24.0,26,0.8745524434323508,0.005763356171722825,0.15416666666666667,0.09861111111111111,0.055555555555555566,0.04427083333333334,False,False
649,0,0.1275968522857394,0.0798765217087301,0.2916666666666667,True,0.2398435936821317,0.3535078555265164,0.1882278744152586,0.1275968522857394,True,0.647666404560499,0.8104715779317079,0.9043303197825284,0.0197055995289324,0.6373855618628037,0.8049659348431215,0.9078466246644362,0.0003975637650924,0.6697703716523047,0.824874636732193,0.7772026052190681,0.0915159662746037,True,HUFL,24.0,25,0.8746702026625564,0.008796651941050051,0.17222222222222222,0.10138888888888889,0.07083333333333333,0.04947916666666666,False,False
650,0,0.1762658201201825,0.0826753642440771,0.25,True,0.2424018864687287,0.2948437595954701,0.1762658201201825,0.1911913646123134,True,0.6433103635793991,0.809222987852845,0.9140955788968363,0.0230915598824824,0.6318424662945368,0.8043959589253651,0.9272967931003632,0.0102848140484027,0.6733570036162264,0.8269738407270638,0.7998298924988653,0.0989542101440336,True,HUFL,24.0,26,0.8747489606900575,0.01602205362887765,0.22083333333333333,0.12083333333333333,0.09999999999999999,0.0859375,False,False
651,0,0.1675022326865043,0.0896539238932964,0.3229166666666667,True,0.1675022326865043,0.2803199990752397,0.1804570354150332,0.1965061308262479,True,0.6350291314051728,0.8068585893645497,0.919905322348608,0.0566752855114887,0.6218514457508031,0.800571550248601,0.931444962794958,0.0439944451620459,0.6520158687311204,0.8177548809796077,0.8085557139607323,0.1289284761447628,True,HUFL,24.0,26,0.8747714223183936,0.017049389222623355,0.22777777777777777,0.09861111111111111,0.12916666666666665,0.11718750000000001,False,False
