source,dataset,arm,source_arm,seed,status,protocol_pass,checkpoint_sha256
seed2022_2023_fcc,ETTh2,iscf_v0,siff_independent_equal,2022,ok,True,8cbf406ab53ad7c0e9861a044fb5bae5cef6f067eb6bb76b7f6f6f829d17ced7
seed2022_2023_fcc,Weather,a6_full,a6_full,2023,ok,True,a4db097e48f0923c3a5ff303b27ecd5c0d0d6e771c1cea9991d1f5e7b1b0d493
seed2022_2023_fcc,Weather,iscf_v0,siff_independent_equal,2023,ok,True,f6db9fb750ced7265606e68d3420e46413776a94e5581eea0a1e34b6c9e0b862
seed2022_2023_fcc,ETTm1,a6_full,a6_full,2023,ok,True,57017c1d08c18d3933d5c756b775d6b5dffa7f5bb20becf24ae5a44bf81a6a91
seed2022_2023_fcc,ETTm1,iscf_v0,siff_independent_equal,2023,ok,True,0b3f474ff0dff021e400445c4d0023b263aa00a5e0fcf7f19473984f68d92cf6
seed2022_2023_fcc,ETTh1,a6_full,a6_full,2023,ok,True,5972554fa0a50778e0e151731c75db9f4a78b7485d7927117aa822d403a21239
seed2022_2023_fcc,ETTh1,iscf_v0,siff_independent_equal,2023,ok,True,e5b4fcbeb038e2fe205e5709cbc2119f15f2aadb268e35a3dd14e19e332eaef1
seed2022_2023_fcc,ETTm2,a6_full,a6_full,2023,ok,True,c096ceaebc0eaa6d6e229028fbb9faf52dd39309cfc2be659d8bca5ec966a57e
seed2022_2023_fcc,ETTm2,iscf_v0,siff_independent_equal,2023,ok,True,8225ec46c60db6d19afc91a754f9b489c641c80f6916651ea4cb35bd115c8373
seed2022_2023_fcc,ETTh2,a6_full,a6_full,2023,ok,True,463f952607407c76945973a7590ad7296bdda38837be04f2d74f863105673d3d
seed2022_2023_fcc,ETTh2,iscf_v0,siff_independent_equal,2023,ok,True,2570c77be1f2bffd07ec01c0168854b1f1eddc0b0401183489662f1266203e72
