dataset,family,split,future_group_index,history_group_index,replicate_count,mean_r2
ETTh1,future_perm,validation,4,1,9,-0.0017131245430230073
ETTh1,future_perm,validation,4,2,9,0.000763612312166743
ETTh1,future_perm,validation,4,3,9,0.02359541719010705
ETTh1,future_perm,validation,4,4,9,-0.016860053245429274
ETTh1,future_perm,validation,4,5,9,-0.011650454882936466
ETTh1,future_perm,validation,4,6,9,-0.018825982616970573
ETTh1,future_perm,validation,5,0,9,-0.017880273345078492
ETTh1,future_perm,validation,5,1,9,-0.0028552707605059816
ETTh1,future_perm,validation,5,2,9,0.017915949133979956
ETTh1,future_perm,validation,5,3,9,0.015188814100845974
ETTh1,future_perm,validation,5,4,9,-0.019207215426737905
ETTh1,future_perm,validation,5,5,9,-0.014732425231880612
ETTh1,future_perm,validation,5,6,9,-0.018610982452512446
ETTh1,future_perm,validation,6,0,9,-0.015641591988492045
ETTh1,future_perm,validation,6,1,9,-0.0004801028852662685
ETTh1,future_perm,validation,6,2,9,0.026290662322654486
ETTh1,future_perm,validation,6,3,9,0.029064376288612928
ETTh1,future_perm,validation,6,4,9,-0.014342237089914864
ETTh1,future_perm,validation,6,5,9,-0.01183122603874155
ETTh1,future_perm,validation,6,6,9,-0.01873604486552496
ETTh1,history_perm,holdout,0,0,9,-0.026068521853818534
ETTh1,history_perm,holdout,0,1,9,-0.01903495899799042
ETTh1,history_perm,holdout,0,2,9,-0.02846572498337305
ETTh1,history_perm,holdout,0,3,9,-0.025399001806042917
ETTh1,history_perm,holdout,0,4,9,-0.021066703688570283
ETTh1,history_perm,holdout,0,5,9,-0.022553629855495336
ETTh1,history_perm,holdout,0,6,9,-0.02273460125099791
ETTh1,history_perm,holdout,1,0,9,-0.025421563020616957
ETTh1,history_perm,holdout,1,1,9,-0.0058278451594466025
ETTh1,history_perm,holdout,1,2,9,-0.0316317822837623
ETTh1,history_perm,holdout,1,3,9,-0.020444143171377698
ETTh1,history_perm,holdout,1,4,9,-3.651052760971712e-05
ETTh1,history_perm,holdout,1,5,9,-0.015599768222581986
ETTh1,history_perm,holdout,1,6,9,-0.01852877527889178
ETTh1,history_perm,holdout,2,0,9,-0.008889874916884692
ETTh1,history_perm,holdout,2,1,9,0.008342337990935176
ETTh1,history_perm,holdout,2,2,9,-0.026624701484317947
ETTh1,history_perm,holdout,2,3,9,-0.0045107151681566355
ETTh1,history_perm,holdout,2,4,9,0.036477741439659726
ETTh1,history_perm,holdout,2,5,9,0.0005228978297313244
ETTh1,history_perm,holdout,2,6,9,0.006102830060286779
ETTh1,history_perm,holdout,3,0,9,-0.022630111563079442
ETTh1,history_perm,holdout,3,1,9,-0.02600081342309182
ETTh1,history_perm,holdout,3,2,9,-0.01595517804140958
ETTh1,history_perm,holdout,3,3,9,-0.00817348011733913
ETTh1,history_perm,holdout,3,4,9,-0.01534493735879288
ETTh1,history_perm,holdout,3,5,9,-0.01583852003399766
ETTh1,history_perm,holdout,3,6,9,-0.018041294301836295
ETTh1,history_perm,holdout,4,0,9,-0.022770608700898014
ETTh1,history_perm,holdout,4,1,9,-0.023755859389661085
ETTh1,history_perm,holdout,4,2,9,-0.01947376197324571
ETTh1,history_perm,holdout,4,3,9,-0.0016569057215941225
ETTh1,history_perm,holdout,4,4,9,-0.010877495006970649
ETTh1,history_perm,holdout,4,5,9,-0.01450377221120933
ETTh1,history_perm,holdout,4,6,9,-0.013223634926859986
ETTh1,history_perm,holdout,5,0,9,-0.023238003933885063
ETTh1,history_perm,holdout,5,1,9,-0.021702998571837058
ETTh1,history_perm,holdout,5,2,9,-0.020004495837422906
ETTh1,history_perm,holdout,5,3,9,-0.010468046808156446
ETTh1,history_perm,holdout,5,4,9,-0.018259676972389654
ETTh1,history_perm,holdout,5,5,9,-0.02209667846401242
ETTh1,history_perm,holdout,5,6,9,-0.0198695815321598
ETTh1,history_perm,holdout,6,0,9,-0.0267234978128843
ETTh1,history_perm,holdout,6,1,9,-0.024994244065322677
ETTh1,history_perm,holdout,6,2,9,-0.024488867442546327
ETTh1,history_perm,holdout,6,3,9,-0.016834766710929896
ETTh1,history_perm,holdout,6,4,9,-0.02046815534144946
ETTh1,history_perm,holdout,6,5,9,-0.025230468737332392
ETTh1,history_perm,holdout,6,6,9,-0.025495889959965348
ETTh1,history_perm,validation,0,0,9,-0.0038898340125673846
ETTh1,history_perm,validation,0,1,9,-0.0033962040500497993
ETTh1,history_perm,validation,0,2,9,-0.010002492206600063
ETTh1,history_perm,validation,0,3,9,-0.0051649616536387655
ETTh1,history_perm,validation,0,4,9,-0.00470938653471209
ETTh1,history_perm,validation,0,5,9,-0.004524370648268914
ETTh1,history_perm,validation,0,6,9,-0.0072311271942149995
ETTh1,history_perm,validation,1,0,9,0.00044918703687917775
ETTh1,history_perm,validation,1,1,9,0.011218976742548546
ETTh1,history_perm,validation,1,2,9,-0.013101150740757992
ETTh1,history_perm,validation,1,3,9,-0.0013691943123572445
ETTh1,history_perm,validation,1,4,9,0.014823827305619893
ETTh1,history_perm,validation,1,5,9,-0.004185470044005601
ETTh1,history_perm,validation,1,6,9,0.0002781464745008375
ETTh1,history_perm,validation,2,0,9,0.021803035986930255
ETTh1,history_perm,validation,2,1,9,0.061782139295267685
ETTh1,history_perm,validation,2,2,9,-0.008369120127442176
ETTh1,history_perm,validation,2,3,9,0.026513931145813265
ETTh1,history_perm,validation,2,4,9,0.06712162177523429
ETTh1,history_perm,validation,2,5,9,0.01194109657400486
ETTh1,history_perm,validation,2,6,9,0.037343005956895534
ETTh1,history_perm,validation,3,0,9,-0.020788689704233358
ETTh1,history_perm,validation,3,1,9,-0.01863943622656645
ETTh1,history_perm,validation,3,2,9,-0.0063375341310187355
ETTh1,history_perm,validation,3,3,9,0.007252362560376745
ETTh1,history_perm,validation,3,4,9,-0.008428163229093653
ETTh1,history_perm,validation,3,5,9,-0.007835050195216168
ETTh1,history_perm,validation,3,6,9,-0.00459136350530815
ETTh1,history_perm,validation,4,0,9,-0.016764005553783115
ETTh1,history_perm,validation,4,1,9,-0.002423986822322884
ETTh1,history_perm,validation,4,2,9,-0.006056742553401138
ETTh1,history_perm,validation,4,3,9,0.01569783975065327
ETTh1,history_perm,validation,4,4,9,0.00019955977702331337
ETTh1,history_perm,validation,4,5,9,-0.00654539436186663
ETTh1,history_perm,validation,4,6,9,-0.004675240125342508
ETTh1,history_perm,validation,5,0,9,-0.0116030757971504
ETTh1,history_perm,validation,5,1,9,-0.004165352479548474
ETTh1,history_perm,validation,5,2,9,-0.011737786373786148
ETTh1,history_perm,validation,5,3,9,0.002707083804569003
ETTh1,history_perm,validation,5,4,9,-0.005139466484407674
ETTh1,history_perm,validation,5,5,9,-0.010167609396125253
ETTh1,history_perm,validation,5,6,9,-0.011036334079004654
ETTh1,history_perm,validation,6,0,9,-0.016461366223847234
ETTh1,history_perm,validation,6,1,9,-0.010554804140681391
ETTh1,history_perm,validation,6,2,9,-0.013995602851411215
ETTh1,history_perm,validation,6,3,9,0.00038033505324515843
ETTh1,history_perm,validation,6,4,9,-0.00758962928835722
ETTh1,history_perm,validation,6,5,9,-0.011981707165025989
ETTh1,history_perm,validation,6,6,9,-0.013352895778686098
ETTh2,canonical,holdout,0,0,9,3.682220885435782e-05
ETTh2,canonical,holdout,0,1,9,-2.966487517408467e-06
ETTh2,canonical,holdout,0,2,9,1.3491348632093607e-07
ETTh2,canonical,holdout,0,3,9,2.0822061978571013e-06
ETTh2,canonical,holdout,0,4,9,1.7021952321918635e-05
ETTh2,canonical,holdout,0,5,9,-1.4166653390132765e-06
ETTh2,canonical,holdout,0,6,9,8.090981428658198e-06
ETTh2,canonical,holdout,1,0,9,-1.1501554062240712e-05
ETTh2,canonical,holdout,1,1,9,-0.00011855855683171355
ETTh2,canonical,holdout,1,2,9,1.0763118558706116e-05
ETTh2,canonical,holdout,1,3,9,9.224368174705807e-06
ETTh2,canonical,holdout,1,4,9,-1.529913739395372e-05
ETTh2,canonical,holdout,1,5,9,2.7737967444830937e-05
ETTh2,canonical,holdout,1,6,9,-9.177309478000969e-06
ETTh2,canonical,holdout,2,0,9,-5.0144618667122584e-05
ETTh2,canonical,holdout,2,1,9,-8.79156553479859e-05
ETTh2,canonical,holdout,2,2,9,5.828688884375784e-05
ETTh2,canonical,holdout,2,3,9,5.589056190835606e-05
ETTh2,canonical,holdout,2,4,9,5.6110554831049576e-05
ETTh2,canonical,holdout,2,5,9,-1.037349890091003e-05
ETTh2,canonical,holdout,2,6,9,3.476779344893346e-06
ETTh2,canonical,holdout,3,0,9,-0.0009140519377835875
ETTh2,canonical,holdout,3,1,9,-0.0013293236430772391
ETTh2,canonical,holdout,3,2,9,-0.0008960763881070823
ETTh2,canonical,holdout,3,3,9,-0.0006134877248415993
ETTh2,canonical,holdout,3,4,9,-1.0026721588180582e-05
ETTh2,canonical,holdout,3,5,9,-0.0008023932995540668
ETTh2,canonical,holdout,3,6,9,-0.0002963517983170331
ETTh2,canonical,holdout,4,0,9,-0.00017068588093651884
ETTh2,canonical,holdout,4,1,9,-0.0001620304920939317
ETTh2,canonical,holdout,4,2,9,-5.3832050408677804e-05
ETTh2,canonical,holdout,4,3,9,-0.0001386075768607695
ETTh2,canonical,holdout,4,4,9,-6.703358139387778e-05
ETTh2,canonical,holdout,4,5,9,-6.672795723138158e-05
ETTh2,canonical,holdout,4,6,9,-6.303581508309502e-05
ETTh2,canonical,holdout,5,0,9,-0.00014465535749123384
ETTh2,canonical,holdout,5,1,9,-0.00011224659465771915
ETTh2,canonical,holdout,5,2,9,-2.087465853147415e-05
ETTh2,canonical,holdout,5,3,9,-3.3158958203882705e-05
ETTh2,canonical,holdout,5,4,9,-6.553245238088362e-05
ETTh2,canonical,holdout,5,5,9,-7.369703397931538e-05
ETTh2,canonical,holdout,5,6,9,2.0312620461587156e-05
ETTh2,canonical,holdout,6,0,9,-0.0001953188436807856
ETTh2,canonical,holdout,6,1,9,-0.0001975122960779569
ETTh2,canonical,holdout,6,2,9,-0.00014108114433448234
ETTh2,canonical,holdout,6,3,9,-0.00010847108254689412
ETTh2,canonical,holdout,6,4,9,-0.00013753281343276136
ETTh2,canonical,holdout,6,5,9,-0.00014682660479303777
ETTh2,canonical,holdout,6,6,9,-8.699644110205579e-05
ETTh2,canonical,validation,0,0,9,-0.012809732576353082
ETTh2,canonical,validation,0,1,9,-0.0008937079024733644
ETTh2,canonical,validation,0,2,9,0.00039106196003431865
ETTh2,canonical,validation,0,3,9,-0.027905550117804982
ETTh2,canonical,validation,0,4,9,-0.009781659346143032
ETTh2,canonical,validation,0,5,9,-0.01630082461328581
ETTh2,canonical,validation,0,6,9,-0.013309099169079111
ETTh2,canonical,validation,1,0,9,-0.004454632313799722
ETTh2,canonical,validation,1,1,9,-0.05612702315181103
ETTh2,canonical,validation,1,2,9,0.06010128843646339
ETTh2,canonical,validation,1,3,9,-0.003104629719049617
ETTh2,canonical,validation,1,4,9,-0.021461994114011087
ETTh2,canonical,validation,1,5,9,-0.020996973829385243
ETTh2,canonical,validation,1,6,9,-0.022311550606292925
ETTh2,canonical,validation,2,0,9,-0.0053684682345723645
ETTh2,canonical,validation,2,1,9,-0.003442879980809277
ETTh2,canonical,validation,2,2,9,0.21593423757360192
ETTh2,canonical,validation,2,3,9,0.021512953393197327
ETTh2,canonical,validation,2,4,9,-0.028883725131194787
ETTh2,canonical,validation,2,5,9,-0.04009251183538303
ETTh2,canonical,validation,2,6,9,-0.030852376378176085
ETTh2,canonical,validation,3,0,9,-0.015177873045170352
ETTh2,canonical,validation,3,1,9,-0.021233564918449313
ETTh2,canonical,validation,3,2,9,-0.014415097525251473
ETTh2,canonical,validation,3,3,9,-0.010405425944157795
ETTh2,canonical,validation,3,4,9,-0.015116814229351109
ETTh2,canonical,validation,3,5,9,-0.025318253258463857
ETTh2,canonical,validation,3,6,9,-0.020957649101140802
ETTh2,canonical,validation,4,0,9,-0.018555999034913832
ETTh2,canonical,validation,4,1,9,-0.026641580773848855
ETTh2,canonical,validation,4,2,9,0.014296676910023712
ETTh2,canonical,validation,4,3,9,-0.006047004545640839
ETTh2,canonical,validation,4,4,9,-0.021510652989873917
ETTh2,canonical,validation,4,5,9,-0.02382673145391097
ETTh2,canonical,validation,4,6,9,-0.017989211022757672
ETTh2,canonical,validation,5,0,9,-0.01969362307364486
ETTh2,canonical,validation,5,1,9,-0.01896117737090086
ETTh2,canonical,validation,5,2,9,0.006316585132695975
ETTh2,canonical,validation,5,3,9,-0.012077303822522985
ETTh2,canonical,validation,5,4,9,-0.02299120722761204
ETTh2,canonical,validation,5,5,9,-0.023573820739886193
ETTh2,canonical,validation,5,6,9,-0.020722340507814074
ETTh2,canonical,validation,6,0,9,-0.017456496173136
ETTh2,canonical,validation,6,1,9,-0.0205815727255579
ETTh2,canonical,validation,6,2,9,-0.007027287913854059
ETTh2,canonical,validation,6,3,9,-0.018985816160236462
ETTh2,canonical,validation,6,4,9,-0.022924123661446534
ETTh2,canonical,validation,6,5,9,-0.028902827126075687
ETTh2,canonical,validation,6,6,9,-0.020441621368822896
ETTh2,future_perm,holdout,0,0,9,-4.47439444500011e-05
ETTh2,future_perm,holdout,0,1,9,-7.726473932266763e-05
ETTh2,future_perm,holdout,0,2,9,-5.755387115733177e-05
ETTh2,future_perm,holdout,0,3,9,-6.287120384216059e-05
ETTh2,future_perm,holdout,0,4,9,-8.083759335385398e-05
ETTh2,future_perm,holdout,0,5,9,-0.00011536755538263697
ETTh2,future_perm,holdout,0,6,9,-1.3725770521561604e-05
ETTh2,future_perm,holdout,1,0,9,-0.00012056631085378811
ETTh2,future_perm,holdout,1,1,9,-0.0001402179338678453
ETTh2,future_perm,holdout,1,2,9,-7.457802035536353e-05
ETTh2,future_perm,holdout,1,3,9,1.9486740310270534e-07
ETTh2,future_perm,holdout,1,4,9,-6.148280250566845e-05
ETTh2,future_perm,holdout,1,5,9,-5.9759228114162096e-05
ETTh2,future_perm,holdout,1,6,9,-0.00012623848344977477
ETTh2,future_perm,holdout,2,0,9,-0.00016098782301902462
ETTh2,future_perm,holdout,2,1,9,-0.00016706423600020158
ETTh2,future_perm,holdout,2,2,9,3.4363200794948786e-05
ETTh2,future_perm,holdout,2,3,9,-8.258001928691034e-05
ETTh2,future_perm,holdout,2,4,9,-9.785907057676309e-05
ETTh2,future_perm,holdout,2,5,9,-8.762863010367304e-05
ETTh2,future_perm,holdout,2,6,9,-9.731041136391067e-05
ETTh2,future_perm,holdout,3,0,9,-0.00011521041331175041
ETTh2,future_perm,holdout,3,1,9,-7.811171704487208e-05
ETTh2,future_perm,holdout,3,2,9,-8.743303814679532e-06
ETTh2,future_perm,holdout,3,3,9,-1.1227655229811222e-05
ETTh2,future_perm,holdout,3,4,9,-4.4027689892509355e-05
ETTh2,future_perm,holdout,3,5,9,-9.437037416354994e-05
ETTh2,future_perm,holdout,3,6,9,-0.00011593052640406714
ETTh2,future_perm,holdout,4,0,9,-7.551499914320519e-05
ETTh2,future_perm,holdout,4,1,9,-0.00012167925488637543
ETTh2,future_perm,holdout,4,2,9,-4.571201433104891e-05
ETTh2,future_perm,holdout,4,3,9,-8.37086928560598e-05
ETTh2,future_perm,holdout,4,4,9,2.0770903166026738e-05
ETTh2,future_perm,holdout,4,5,9,-5.584850458818636e-05
ETTh2,future_perm,holdout,4,6,9,-5.502143309016944e-05
ETTh2,future_perm,holdout,5,0,9,-9.720436609729334e-05
ETTh2,future_perm,holdout,5,1,9,-0.00010988985284221542
ETTh2,future_perm,holdout,5,2,9,-1.3869933402268745e-05
ETTh2,future_perm,holdout,5,3,9,-9.064323831937177e-05
ETTh2,future_perm,holdout,5,4,9,-7.783821262252744e-05
ETTh2,future_perm,holdout,5,5,9,-1.406585211816136e-05
ETTh2,future_perm,holdout,5,6,9,-9.42280692345242e-05
ETTh2,future_perm,holdout,6,0,9,-0.00014475609855578596
ETTh2,future_perm,holdout,6,1,9,-0.00012967965990045508
ETTh2,future_perm,holdout,6,2,9,-2.931399494051264e-05
ETTh2,future_perm,holdout,6,3,9,-1.5920730379222665e-05
ETTh2,future_perm,holdout,6,4,9,-2.077755155026494e-06
ETTh2,future_perm,holdout,6,5,9,-2.8037591090774366e-05
ETTh2,future_perm,holdout,6,6,9,-0.00010560807304339626
ETTh2,future_perm,validation,0,0,9,-0.024139696696904252
ETTh2,future_perm,validation,0,1,9,-0.021642802221159316
ETTh2,future_perm,validation,0,2,9,0.007706692536923687
ETTh2,future_perm,validation,0,3,9,-0.018964801943127316
ETTh2,future_perm,validation,0,4,9,-0.017658264511807496
ETTh2,future_perm,validation,0,5,9,-0.02881536450230879
ETTh2,future_perm,validation,0,6,9,-0.017283783664096566
ETTh2,future_perm,validation,1,0,9,-0.019941445941991962
ETTh2,future_perm,validation,1,1,9,-0.021292181306521836
ETTh2,future_perm,validation,1,2,9,0.012889116256722892
ETTh2,future_perm,validation,1,3,9,-0.009249432756799878
ETTh2,future_perm,validation,1,4,9,-0.017973214768744732
ETTh2,future_perm,validation,1,5,9,-0.024014752783897197
ETTh2,future_perm,validation,1,6,9,-0.01974981646126343
ETTh2,future_perm,validation,2,0,9,-0.013686641739558962
ETTh2,future_perm,validation,2,1,9,-0.018596662902907932
ETTh2,future_perm,validation,2,2,9,0.030662993467651913
