dataset,horizon,is_specialist_gap,residual_mse,residual_mae,matrix_family,matrix_source,normalized_quadratic_loss,ratio_to_residual_mse
ETTm1,336,False,0.3607288571103958,0.39244198870795755,qdf_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.360470608689834,0.9992840927043362
ETTm1,336,False,0.3607288571103958,0.39244198870795755,qdf_off_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.17958153351584444,0.4978296855826151
ETTm1,336,False,0.3607288571103958,0.39244198870795755,qdf_all_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h336/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_336_TQNet_ETTm1_ftM_sl96_ll48_pl336_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.18628997133398395,0.5164265837400766
ETTm1,720,True,0.41729283015001933,0.42424758375825566,identity,identity,0.41729283015001933,1.0
ETTm1,720,True,0.41729283015001933,0.42424758375825566,prefix_risk,analytic_prefix_risk_alpha_0.5,0.3607510880828649,0.8645034422306577
ETTm1,720,True,0.41729283015001933,0.42424758375825566,static_train_target_offdiag,analysis/phase2_offdiag_block_quadratic_gate_20260623/raw/PatchEncoderOffdiagBlockQuadratic/ETTm1/mixed_h96_h192_h336_h720/seed2021/offdiag_block_matrix.csv,0.1297428027601616,0.31091548520859624
ETTm1,720,True,0.41729283015001933,0.42424758375825566,qdf_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/diag/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.41707844195021465,0.9994862403944789
ETTm1,720,True,0.41729283015001933,0.42424758375825566,qdf_off_diag_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/off_diag/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.22996323490339515,0.5510835995450053
ETTm1,720,True,0.41729283015001933,0.42424758375825566,qdf_all_precision,analysis/phase2_qdf_upstream_gate_20260623/raw/all/ETTm1/h720/seed2023/checkpoints/long_term_forecast_meta_ml3_ETTm1_96_720_TQNet_ETTm1_ftM_sl96_ll48_pl720_dm512_nh8_el2_dl1_df2048_fc3_ebtimeF_dtTrue_ax0.0_rl1.0_axlMSE_mf1_TQNet_0/A.pth,0.2342177057243176,0.5612790079333856
Weather,96,True,0.1480263604420251,0.19702931579619176,identity,identity,0.1480263604420251,1.0
