model,strategy,dataset,target_horizon,segment,mse,mae,baseline_model,baseline_mse,relative_mse_pct,mse_win
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,720,97-192,0.34656065702438354,0.39214029908180237,PatchEncoderR3PrefixRisk,0.33811911940574646,2.4966164686200942,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,720,193-336,0.3699650168418884,0.4222896099090576,PatchEncoderR3PrefixRisk,0.36967068910598755,0.0796188998951175,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTh2,720,337-720,0.4998193383216858,0.5039951205253601,PatchEncoderR3PrefixRisk,0.4840433597564697,3.2592077232818983,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,96,1-96,0.3260294198989868,0.3722500503063202,PatchEncoderR3PrefixRisk,0.2986849546432495,9.154952343815781,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,720,1-96,0.31403648853302,0.3704546093940735,PatchEncoderR3PrefixRisk,0.2841739356517792,10.508547454483574,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,720,97-192,0.37118738889694214,0.4043262004852295,PatchEncoderR3PrefixRisk,0.3520488142967224,5.43634116150975,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,720,193-336,0.4166436195373535,0.4277755618095398,PatchEncoderR3PrefixRisk,0.40565091371536255,2.7098930263236953,False
PatchEncoderCurriculumUnits,D6_curriculum_units,ETTm1,720,337-720,0.4653394818305969,0.45420899987220764,PatchEncoderR3PrefixRisk,0.4712492525577545,-1.2540647428259444,True
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,96,1-96,0.15334199368953705,0.2033962458372116,PatchEncoderR3PrefixRisk,0.14802636206150055,3.5910033550834664,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,720,1-96,0.1523027867078781,0.2037428617477417,PatchEncoderR3PrefixRisk,0.14746259152889252,3.282320708460662,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,720,97-192,0.23899446427822113,0.2857978045940399,PatchEncoderR3PrefixRisk,0.2326873242855072,2.71056449339504,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,720,193-336,0.3258058726787567,0.3407321274280548,PatchEncoderR3PrefixRisk,0.3130928874015808,4.060451638708074,False
PatchEncoderCurriculumUnits,D6_curriculum_units,Weather,720,337-720,0.4103146195411682,0.3892248570919037,PatchEncoderR3PrefixRisk,0.3891408443450928,5.441159802104556,False
