model,strategy,dataset,horizon,segment,segment_start,segment_end,future_region,mse,mae,baseline_model,baseline_mse,baseline_mae,r3_residual_bucket,relative_mse_pct,relative_mae_pct,mse_win
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,336,193-336,193,336,middle_97_336,0.4160732924938202,0.4242711067199707,PatchEncoderR3PrefixRisk,0.4064895808696747,0.4184590280056,high_r3_residual,2.3576770660742152,1.388924201748365,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,1-96,1,96,early_1_96,0.31378740072250366,0.36879825592041016,PatchEncoderR3PrefixRisk,0.2841739356517792,0.3501632809638977,low_r3_residual,10.420894162162785,5.321795850557431,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,97-192,97,192,middle_97_336,0.366832435131073,0.4022101163864136,PatchEncoderR3PrefixRisk,0.3520488142967224,0.3932366371154785,mid_r3_residual,4.199309934868944,2.281954025636712,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,193-336,193,336,middle_97_336,0.41655418276786804,0.4260497987270355,PatchEncoderR3PrefixRisk,0.40565091371536255,0.42062100768089294,high_r3_residual,2.687845308332304,1.290660938709265,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,ETTm1,720,337-720,337,720,late_337_720,0.47066837549209595,0.4540010392665863,PatchEncoderR3PrefixRisk,0.4712492525577545,0.4518813490867615,high_r3_residual,-0.12326323331142142,0.4690811391327987,True
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,96,1-96,1,96,early_1_96,0.15470075607299805,0.204793781042099,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,low_r3_residual,4.508922544975125,3.940763010445747,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,192,1-96,1,96,early_1_96,0.15561041235923767,0.20537154376506805,PatchEncoderR3PrefixRisk,0.14898328483104706,0.1976671665906906,low_r3_residual,4.448235609589379,3.8976514447292665,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,192,97-192,97,192,middle_97_336,0.24580314755439758,0.2872154414653778,PatchEncoderR3PrefixRisk,0.23583491146564484,0.2821427881717682,low_r3_residual,4.226785604727934,1.7979028726835322,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,336,1-96,1,96,early_1_96,0.1569167673587799,0.20621000230312347,PatchEncoderR3PrefixRisk,0.15019100904464722,0.19839726388454437,low_r3_residual,4.478136445659886,3.9379264943520953,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,336,97-192,97,192,middle_97_336,0.24739544093608856,0.2884344458580017,PatchEncoderR3PrefixRisk,0.23710891604423523,0.28319600224494934,low_r3_residual,4.338312140878875,1.8497590260901253,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,336,193-336,193,336,middle_97_336,0.32984283566474915,0.3398382067680359,PatchEncoderR3PrefixRisk,0.31298476457595825,0.33328187465667725,mid_r3_residual,5.386227381269104,1.9672033224466423,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,1-96,1,96,early_1_96,0.15296243131160736,0.20479021966457367,PatchEncoderR3PrefixRisk,0.14746259152889252,0.1975940763950348,low_r3_residual,3.729650839370513,3.6418820851451983,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,97-192,97,192,middle_97_336,0.24120700359344482,0.2874808609485626,PatchEncoderR3PrefixRisk,0.2326873242855072,0.2828315794467926,low_r3_residual,3.6614281994510334,1.6438339420455916,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,193-336,193,336,middle_97_336,0.32862523198127747,0.34143078327178955,PatchEncoderR3PrefixRisk,0.3130928874015808,0.3351799249649048,mid_r3_residual,4.960938176718943,1.8649262206080097,False
PatchEncoderFullTimeMSE720,D0_full_time_mse,Weather,720,337-720,337,720,late_337_720,0.4128761291503906,0.38973480463027954,PatchEncoderR3PrefixRisk,0.3891408443450928,0.3799934387207031,high_r3_residual,6.099407232680321,2.563561608424614,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,96,1-96,1,96,early_1_96,0.3293387293815613,0.3772241175174713,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,mid_r3_residual,8.052210300047303,5.117143261226076,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,192,1-96,1,96,early_1_96,0.32448694109916687,0.372371643781662,PatchEncoderR3PrefixRisk,0.30273088812828064,0.35670754313468933,mid_r3_residual,7.186598336694083,4.391300646271468,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,192,97-192,97,192,middle_97_336,0.4377374053001404,0.44439396262168884,PatchEncoderR3PrefixRisk,0.4353557229042053,0.4440152645111084,high_r3_residual,0.5470658293055486,0.08528943503720576,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,336,1-96,1,96,early_1_96,0.29257482290267944,0.35393115878105164,PatchEncoderR3PrefixRisk,0.27497684955596924,0.3399970233440399,low_r3_residual,6.39980179245172,4.098311008714894,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,336,97-192,97,192,middle_97_336,0.3888896107673645,0.4184783697128296,PatchEncoderR3PrefixRisk,0.3836177885532379,0.4158962666988373,high_r3_residual,1.3742382056912694,0.6208526550352644,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,336,193-336,193,336,middle_97_336,0.45138129591941833,0.46411561965942383,PatchEncoderR3PrefixRisk,0.4543939232826233,0.4657894968986511,high_r3_residual,-0.6629990430860544,-0.3593634571780635,True
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,1-96,1,96,early_1_96,0.26462793350219727,0.3317621648311615,PatchEncoderR3PrefixRisk,0.2497519701719284,0.3200547695159912,low_r3_residual,5.956294687096286,3.657934963092413,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,97-192,97,192,middle_97_336,0.34449973702430725,0.39102619886398315,PatchEncoderR3PrefixRisk,0.33811911940574646,0.386177659034729,mid_r3_residual,1.8870916349761346,1.2555205397881686,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,193-336,193,336,middle_97_336,0.36808788776397705,0.4197637438774109,PatchEncoderR3PrefixRisk,0.36967068910598755,0.41950738430023193,high_r3_residual,-0.42816522614718133,0.06110966976340393,True
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTh2,720,337-720,337,720,late_337_720,0.4920293688774109,0.4996325373649597,PatchEncoderR3PrefixRisk,0.4840433597564697,0.4898116886615753,high_r3_residual,1.649854080212787,2.0050253864337453,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,96,1-96,1,96,early_1_96,0.32095444202423096,0.36792057752609253,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,mid_r3_residual,7.455845041669473,4.439004057899698,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,192,1-96,1,96,early_1_96,0.31968778371810913,0.3679600954055786,PatchEncoderR3PrefixRisk,0.2984122335910797,0.35257115960121155,mid_r3_residual,7.129583754325486,4.364774425047502,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,192,97-192,97,192,middle_97_336,0.36876964569091797,0.39892706274986267,PatchEncoderR3PrefixRisk,0.3609120845794678,0.3935297429561615,high_r3_residual,2.1771399316278917,1.3715150862948722,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,336,1-96,1,96,early_1_96,0.31658485531806946,0.36768847703933716,PatchEncoderR3PrefixRisk,0.2952735424041748,0.3523743450641632,mid_r3_residual,7.217481370113221,4.3459838066206125,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,336,97-192,97,192,middle_97_336,0.36537376046180725,0.398621529340744,PatchEncoderR3PrefixRisk,0.35754311084747314,0.39348411560058594,mid_r3_residual,2.1901273935255983,1.3056216341329918,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,336,193-336,193,336,middle_97_336,0.40556204319000244,0.41926252841949463,PatchEncoderR3PrefixRisk,0.4064895808696747,0.4184590280056,high_r3_residual,-0.22818239958027897,0.19201411849665284,True
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,1-96,1,96,early_1_96,0.31151083111763,0.36674749851226807,PatchEncoderR3PrefixRisk,0.2841739356517792,0.3501632809638977,low_r3_residual,9.619775790890571,4.736138381705479,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,97-192,97,192,middle_97_336,0.36180391907691956,0.39841148257255554,PatchEncoderR3PrefixRisk,0.3520488142967224,0.3932366371154785,mid_r3_residual,2.770952317985964,1.31596218883272,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,193-336,193,336,middle_97_336,0.4063204824924469,0.42094361782073975,PatchEncoderR3PrefixRisk,0.40565091371536255,0.42062100768089294,high_r3_residual,0.16506033992422786,0.07669853239749003,False
PatchEncoderRandomFutureMask,D2_random_future_mask,ETTm1,720,337-720,337,720,late_337_720,0.45716413855552673,0.44868743419647217,PatchEncoderR3PrefixRisk,0.4712492525577545,0.4518813490867615,high_r3_residual,-2.9888883485287954,-0.706803876005091,True
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,96,1-96,1,96,early_1_96,0.15553639829158783,0.21009062230587006,PatchEncoderR3PrefixRisk,0.14802636206150055,0.19702932238578796,low_r3_residual,5.073445111734265,6.629114774352107,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,192,1-96,1,96,early_1_96,0.1564490795135498,0.21073396503925323,PatchEncoderR3PrefixRisk,0.14898328483104706,0.1976671665906906,low_r3_residual,5.011162622014442,6.610505261918398,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,192,97-192,97,192,middle_97_336,0.2417769879102707,0.2883656620979309,PatchEncoderR3PrefixRisk,0.23583491146564484,0.2821427881717682,low_r3_residual,2.5195915259948576,2.20557610792953,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,336,1-96,1,96,early_1_96,0.15735948085784912,0.21114514768123627,PatchEncoderR3PrefixRisk,0.15019100904464722,0.19839726388454437,low_r3_residual,4.772903423979891,6.425433268127345,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,336,97-192,97,192,middle_97_336,0.2430240362882614,0.2893238365650177,PatchEncoderR3PrefixRisk,0.23710891604423523,0.28319600224494934,low_r3_residual,2.494684865803465,2.163813850298668,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,336,193-336,193,336,middle_97_336,0.32072681188583374,0.3396069407463074,PatchEncoderR3PrefixRisk,0.31298476457595825,0.33328187465667725,mid_r3_residual,2.473617947622686,1.897812803695298,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,1-96,1,96,early_1_96,0.15403476357460022,0.21013958752155304,PatchEncoderR3PrefixRisk,0.14746259152889252,0.1975940763950348,low_r3_residual,4.456840190835787,6.349133210571023,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,97-192,97,192,middle_97_336,0.23792362213134766,0.2887461483478546,PatchEncoderR3PrefixRisk,0.2326873242855072,0.2828315794467926,low_r3_residual,2.250358012375231,2.0911982009331087,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,193-336,193,336,middle_97_336,0.32018178701400757,0.3413003385066986,PatchEncoderR3PrefixRisk,0.3130928874015808,0.3351799249649048,mid_r3_residual,2.2641522365004496,1.8260083871176613,False
PatchEncoderRandomFutureMask,D2_random_future_mask,Weather,720,337-720,337,720,late_337_720,0.40058448910713196,0.3872808814048767,PatchEncoderR3PrefixRisk,0.3891408443450928,0.3799934387207031,high_r3_residual,2.940746243509418,1.9177811881983198,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,96,1-96,1,96,early_1_96,0.3099328875541687,0.36720460653305054,PatchEncoderR3PrefixRisk,0.30479592084884644,0.35886070132255554,mid_r3_residual,1.6853790861163676,2.325109765361355,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,192,1-96,1,96,early_1_96,0.3043181300163269,0.3628970980644226,PatchEncoderR3PrefixRisk,0.30273088812828064,0.35670754313468933,mid_r3_residual,0.524307875506147,1.7351903678123781,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,192,97-192,97,192,middle_97_336,0.42006590962409973,0.43533024191856384,PatchEncoderR3PrefixRisk,0.4353557229042053,0.4440152645111084,high_r3_residual,-3.5120276306715548,-1.9560189224817282,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,336,1-96,1,96,early_1_96,0.2828481197357178,0.34955844283103943,PatchEncoderR3PrefixRisk,0.27497684955596924,0.3399970233440399,low_r3_residual,2.862521042211008,2.8122068225651553,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,336,97-192,97,192,middle_97_336,0.3850939869880676,0.41477125883102417,PatchEncoderR3PrefixRisk,0.3836177885532379,0.4158962666988373,high_r3_residual,0.3848096931054812,-0.27050203569818354,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,336,193-336,193,336,middle_97_336,0.4492093324661255,0.4627331495285034,PatchEncoderR3PrefixRisk,0.4543939232826233,0.4657894968986511,high_r3_residual,-1.140990350188531,-0.6561649394195568,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,1-96,1,96,early_1_96,0.263223260641098,0.3363736867904663,PatchEncoderR3PrefixRisk,0.2497519701719284,0.3200547695159912,low_r3_residual,5.393867547829956,5.098788966386492,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,97-192,97,192,middle_97_336,0.3409213423728943,0.388774573802948,PatchEncoderR3PrefixRisk,0.33811911940574646,0.386177659034729,mid_r3_residual,0.8287679714985785,0.6724663396401764,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,193-336,193,336,middle_97_336,0.3664858639240265,0.4172208905220032,PatchEncoderR3PrefixRisk,0.36967068910598755,0.41950738430023193,high_r3_residual,-0.8615303500700167,-0.5450425579618279,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTh2,720,337-720,337,720,late_337_720,0.47042396664619446,0.4856882691383362,PatchEncoderR3PrefixRisk,0.4840433597564697,0.4898116886615753,high_r3_residual,-2.81367212993634,-0.8418377141032551,True
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,96,1-96,1,96,early_1_96,0.3301691710948944,0.37395066022872925,PatchEncoderR3PrefixRisk,0.2986849546432495,0.35228273272514343,mid_r3_residual,10.54094488597519,6.150720853097136,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,192,1-96,1,96,early_1_96,0.3293549418449402,0.37410566210746765,PatchEncoderR3PrefixRisk,0.2984122335910797,0.35257115960121155,mid_r3_residual,10.36911519393735,6.107845726977068,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,192,97-192,97,192,middle_97_336,0.37767788767814636,0.40356820821762085,PatchEncoderR3PrefixRisk,0.3609120845794678,0.3935297429561615,high_r3_residual,4.645398094168551,2.5508784129126383,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,336,1-96,1,96,early_1_96,0.3256132900714874,0.37359076738357544,PatchEncoderR3PrefixRisk,0.2952735424041748,0.3523743450641632,mid_r3_residual,10.275132482335025,6.020989500682572,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,336,97-192,97,192,middle_97_336,0.37357795238494873,0.40297412872314453,PatchEncoderR3PrefixRisk,0.35754311084747314,0.39348411560058594,mid_r3_residual,4.484729547569444,2.411790653372048,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,336,193-336,193,336,middle_97_336,0.41055333614349365,0.42318305373191833,PatchEncoderR3PrefixRisk,0.4064895808696747,0.4184590280056,high_r3_residual,0.999719418422651,1.1289099792716417,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,1-96,1,96,early_1_96,0.3210800290107727,0.3727966547012329,PatchEncoderR3PrefixRisk,0.2841739356517792,0.3501632809638977,low_r3_residual,12.98714932259568,6.463662801831216,False
PatchEncoderIntervalSupervision,D3_interval_supervision,ETTm1,720,97-192,97,192,middle_97_336,0.37015461921691895,0.4027808606624603,PatchEncoderR3PrefixRisk,0.3520488142967224,0.3932366371154785,mid_r3_residual,5.142981366480659,2.4270941835409454,False
