system,dataset,trained_model_count,total_stored_parameters,actual_checkpoint_bytes,training_seconds,training_gpu_hours,single_request_latency_ms,all_horizon_service_latency_ms,all_horizon_p95_iteration_latency_ms,all_horizon_round_cv,peak_inference_memory_bytes,incremental_activation_peak_bytes,checkpoint_sha256
TimeAlign,ECL,4,39242368,320854740,2336.9476363658905,0.6491521212127473,0.8976987214386463,3.467052791118622,3.5184335112571716,0.002514287480210208,348316672,7643136,41a3866798b49a2d60258bec87da2c05f2b0547e389620f0b9a15421d078ed4f;c553c6ab1624d6a2f153c780ca496f31e0f575ed74af8bc446dcb48fe83ef06e;119211ddf099144fc7712574c838611183cea476c9577972b926ae68b802cadf;6d35248ed4b73d1004e0110e4377d5b9f3a3e24ba7ceea4df4a878711f0d3778
TimeAlign,Solar,4,4414080,99631956,1972.1473302841187,0.5478187028566996,0.9925798401236534,3.819822735786438,3.8489935755729676,0.005671273665462005,115893760,2062336,bdf5e0ef3b59cfe81aa9c25ac504588344be1b6f0c3dc21f3df1ba0fea814435;2f4db6f89408e664fb3569137680e70723f188a8db9805fb170ca51c67142304;0d7022b2a3151276a84327faf77c8e4f20ed3fb4ad79c2ae22bfcba04451d6af;83813f4d303829ed2d90913b8ddb77b7a6242574f19426ded8c71c7a8a4e3f29
QDF,ETTm1,4,5295296,21202836,266.2637324333191,0.07396214789814419,1.1374676886200905,4.40485152721405,4.45849609375,0.0029252419462482224,31047168,141824,d92787c776f5171460b70f645d3e33104885467cbcc23e1a69fb0ba20d6cfdfb;20ba9987e4eae7c7caa229399d91f68652f8b6cdb3f2c945713d9ad1889bb21d;3965ff97ad8ddf0994f693668d4432b28f5363da56663c46eeb989793faf047e;c5acb4ad7649ba077d8dde972b3cede1bdb495806ad87c9109224cf07523a9b3
QDF,ETTm2,4,5295296,21202836,240.9049108028412,0.06691803077856699,1.1436163949966431,4.433263053894043,4.560310244560242,0.004253552032573836,31047168,141824,9cce678a102a5ec7c622f561116867dc3e7b4768f82e7d822ebd4cd4310314aa;f83c8969d3deee04bfe08faac94cf7ce479da8a961a0ce4d770a0d4fd72692eb;adf24ac3be33cfe4c28e4f460f8b77607ac75258f28bbd9bf604f86a14e98d48;21a9c9f4230e1706a60f77311d2e3ac71d2aa9aab75ece3b792afa32c1e96ef0
QDF,ETTh1,4,5293280,21194644,79.75314021110535,0.022153650058640374,1.1127127957344056,4.329660487174988,4.37577748298645,0.0036322651813503084,31038976,141824,9c8df0b83d836901318cb0dc406507dca5d112320b78a95b5cad7fece7d841a0;67c7cb351ec50f0c0ecc30a2ee8b38192522cda77a763656af5a4d541a785eba;251b081835ad516ad508475ffb2ef26b9d11468784b306005596b5f714b94cd7;9d4c48a095ef806e1ef6ab5f9fbe484625e09bbd131c97475efe26d5692232c5
QDF,ETTh2,4,5293280,21194644,83.16789126396179,0.023102192017767163,1.1180806368589402,4.313778576850891,4.368427085876465,0.0032883098639532333,31038976,141824,706443d9b9a95aae18b602705b637e6b38966bcf3adc72317f2cb72931430763;3ece3da05093ca438cbb0ccc72d70ee14d6faa69443c1d066095562ab6c7b47c;c1ddc9f4b96681c4e51ab12ced8f27bd9ac12dfdf22964899f466b191cd110a7;53ececae0548f4f44af4620eaedefc16102dbfbe38dfa669f85f28873e2ab406
QDF,Weather,4,5304704,21240468,924.7832849025726,0.2568842458062702,1.1752980014681815,4.565221118927002,4.608051013946533,0.0018645620951218062,31556608,412160,7cf8fa111154ddde28c4866cbe447931227c716b89f7b2134116f954bf69f9ff;01bd954cc1e662bba93f63267023d9880c789388ac6397e9484309694263b063;23188f793b1307de3e11aae7d5e0158064c46ad1cd0d802f5fe7a191f83bcce6;1ca5ab292ce26ae2361cb115873c796518bc6aa48bb9d2d20eca1143d7990c1e
QDF,ECL,4,5508320,22054868,2129.820993423462,0.5916169426176283,1.1346549621224402,4.404171509742737,4.467895889282226,0.0004649962189277405,42974208,6695936,3045d519cdb47ff827062b7e2b5a1474299d147de79a04de24b81a5db53cdeff;d25fc1c6ce8dab5a3e553614d2eac09f5971df9508bea63052d2b32bfd6f7cc9;6d7f6a375d4511ddbb8b89542859962c3d733a844d8e08e8094bd33d9f5ad3d7;369e8dc1c469404a4e557a38f141edceba3da331f077447c01da2aec90f944a3
QDF,Solar,4,5371520,21507732,1419.6944184303284,0.3943595606750912,1.1685327187180519,4.530762243270874,4.609926414489746,0.0032127105782987758,35727872,2646016,e1c12b444321ef616816f41cb24d60626619084850c5d69b569eaf456c77c40d;1c688cdd52483bc5d265373c015d9ad7bb001a3e5977f8a97d630cfec9f47398;f614c2e94029064f85f3a1a3ae59478ede469b751ae7164707241879016670e1;a982c55d5947c9b4cd20d53889f98625dd0be3130eb54ecfb83cc18d19e892e7
DLinear-H720-prefix,ETTm1,1,485280,1943803,78.74622917175293,0.021873952547709147,0.37574552096426483,0.3982252797484398,0.4055039882659912,0.0012429430965573158,10572288,80896,3eb5b1ee7c999decc473f3e81745a803d2548d93bae98e83e1f50fa00bfc86fe
DLinear-H720-prefix,ETTm2,1,485280,1943803,46.71274137496948,0.012975761493047078,0.5146970418095589,0.5480934411287308,0.5683199763298035,0.0367992627581084,10572288,80896,bfaa451d2d6f42ac63f6c3b60edd919d77a92cde4c55fe8827e916f727cfab05
DLinear-H720-prefix,ETTh1,1,485280,1943803,6.47820258140564,0.0017995007170571221,0.3826479188352823,0.40603455901145935,0.4144399896264076,0.001338651493934996,10572288,80896,4fe933c04f6cffdd68781fc2c6a9f3d1fe27bc344ad73d66faf035a51fcdd32b
DLinear-H720-prefix,ETTh2,1,485280,1943803,9.582397699356079,0.002661777138710022,0.3922651992738247,0.4159334424138069,0.42393600940704346,0.005918335161427834,10572288,80896,01b9b886ee850ec90aa91c0490075c8630fde81c615b8003d40b199b35de9a43
DLinear-H720-prefix,Weather,1,485280,1943803,47.23216700553894,0.013120046390427484,0.3943110402673483,0.4142188811302185,0.4259839951992035,0.009522351168497022,10790912,240128,a25d567686dd8daa9ad2ed12b43d8ca1362a665977b32c4fe0a1fea224000911
DLinear-H720-prefix,ECL,1,485280,1943803,168.11138796806335,0.04669760776890649,0.38510183967649936,0.4096678414940834,0.41865759193897245,0.0016086871410040929,15454720,3637248,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd
DLinear-H720-prefix,Solar,1,485280,1943803,171.71222972869873,0.047697841591305204,0.38784144051373004,0.4127011200785637,0.42188799381256104,0.0042806951956636885,12593152,1552896,de7bb49c7ae3600c300b5cb3aef31bc6ae4afe55e0955229a9ea6e2abdf8bee3
PatchTST-H720-prefix,ETTm1,1,4276435,17142965,430.8496558666229,0.11968045996295082,4.110573273897171,3.6288316822052002,3.6905471682548523,0.0017306993785854259,30452224,3736064,33d5d5caac7f6eaff065a2785bff04e1fcd7e543de7b575c97bc7da01be3cc83
PatchTST-H720-prefix,ETTm2,1,4276435,17142965,351.82986521720886,0.09773051811589135,3.54854174554348,3.56643616437912,3.6239359378814697,0.003173332201343615,30452224,3736064,455c7ce03d593cb492c0b54ff872dfbfa54515bc2f242edb37300907bc9d394c
PatchTST-H720-prefix,ETTh1,1,501683,2038581,119.46720099449158,0.033185333609580994,3.5941812908649444,3.61248416185379,3.6761295199394226,0.0012675040044640529,12628480,998400,d9eac710012953526373f5229798d4fb4bbe97e8ef33eaa1537df76a7f5a8511
PatchTST-H720-prefix,ETTh2,1,501683,2038581,121.6495623588562,0.033791545099682276,3.524954326152802,3.5554054188728332,3.6619151830673218,0.0035675325281928215,12628480,998400,a55f3c8f27f45e6428d7ff2face1d37407697100e6cc5a2b550490ed892d5360
PatchTST-H720-prefix,Weather,1,4276435,17142965,1702.8292469978333,0.4730081241660648,3.6494756889343263,3.661519343852997,3.6999888896942137,0.0010172093404955623,37982208,11206656,6551cdbb7a98d2be0587cae76952f3b30e54861e615ffbb3043e6c4f60ca846c
PatchTST-H720-prefix,ECL,1,4276435,17142965,17362.839554548264,4.823010987374517,5.522411375045776,5.548309440612793,5.565697431564331,0.0004708045105389457,201342976,173298688,6d4629f5f7676851b3872c89afa750fbff5f384dc106c3eeb25f052bc87b8edc
PatchTST-H720-prefix,Solar,1,4276435,17142965,7887.350167274475,2.1909306020206873,3.580936887860298,3.6013184118270876,3.649444842338562,0.003522034981783369,100370432,73104384,4f2447a399e37606c213d074b057687022ac7c72a078fc2091675f99cd48bf4e
