dataset,segment_start,segment_end,best_pred_len,best_mse,best_mae,second_pred_len,second_mse,mse_margin_to_second,relative_margin_to_second,candidate_pred_lens
ETTm1,48,96,96,0.3052702857619727,0.3613662127393235,192,0.31003337259381863,0.004763086831845953,0.015602851158464397,96;192;336;720
ETTm1,96,144,336,0.35663948198840406,0.3934898100143533,720,0.36018503630990784,0.0035455543215037744,0.009941564242231195,96;192;336;720
ETTm1,144,192,336,0.3525174455962538,0.3893047751887433,720,0.35652115296218234,0.004003707365928533,0.011357472987348459,96;192;336;720
ETTm1,192,240,336,0.40107105433785584,0.4149336673965752,720,0.403564878959181,0.002493824621325136,0.006217912248597172,96;192;336;720
ETTm1,240,288,336,0.399634985273096,0.41290887605117993,720,0.4013345948379656,0.0016996095648695864,0.004252904844424807,96;192;336;720
ETTm1,288,336,336,0.4263585876408066,0.42688476947836207,720,0.42687252617384347,0.000513938533036884,0.001205413818168149,96;192;336;720
ETTm1,336,384,720,0.42401562712257823,0.42370586793936627,192,0.4244492702817213,0.00043364315914307117,0.001022705606597159,96;192;336;720
ETTm1,384,432,720,0.4449805616504693,0.4358402521471795,336,0.45220998809724444,0.007229426446775156,0.016246611806953144,96;192;336;720
ETTm1,432,480,720,0.4360523689654111,0.43177269589033207,336,0.4456150822290889,0.009562713263677802,0.02193019450018478,96;192;336;720
ETTm1,480,528,720,0.463101469293845,0.4458635555318814,336,0.4707637496601722,0.007662280366327212,0.01654557559061722,96;192;336;720
ETTm1,528,576,720,0.457366176992394,0.4427601898457202,336,0.46451318568888106,0.007147008696487045,0.01562644781362112,96;192;336;720
ETTm1,576,624,720,0.47532463030844324,0.45695387142206506,336,0.4849529846665811,0.009628354358137858,0.02025637584126435,96;192;336;720
ETTm1,624,672,720,0.4644577420785166,0.4520691143465776,336,0.4721647083267116,0.007706966248195002,0.01659347137525407,96;192;336;720
ETTm1,672,720,720,0.4938225100487072,0.4687675185356618,336,0.5225969763845393,0.028774466335832083,0.058268843056575065,96;192;336;720
Weather,0,48,96,0.11454131320912303,0.15506687721102236,336,0.11689273263374293,0.002351419424619902,0.020529007034578117,96;192;336;720
Weather,48,96,96,0.17876047363715342,0.23620971979604863,192,0.18293566103992492,0.0041751874027715075,0.023356323228625304,96;192;336;720
Weather,96,144,192,0.2146059048771993,0.2662572102106897,720,0.21541862567951803,0.0008127208023187282,0.0037870383985183407,96;192;336;720
Weather,144,192,192,0.25621994068376486,0.3001420450061044,96,0.2570851803704592,0.0008652396866943302,0.0033769412497141964,96;192;336;720
Weather,192,240,96,0.2921046683494872,0.3274990669413026,720,0.2954435164330405,0.0033388480835533363,0.011430314011820545,96;192;336;720
Weather,240,288,720,0.3139589765179544,0.33326921573693546,96,0.3173107847805009,0.0033518082625464962,0.010675943397830564,96;192;336;720
Weather,288,336,720,0.34091223470494064,0.3490764208616582,96,0.34125864976469744,0.0003464150597567994,0.0010161414712986803,96;192;336;720
Weather,336,384,720,0.358427806315704,0.3582261487876772,96,0.3594433629069216,0.0010155565912176034,0.0028333644134827503,96;192;336;720
Weather,384,432,720,0.36119983386867005,0.35988225891569076,336,0.3651026524786181,0.0039028186099480666,0.0108051506229848,96;192;336;720
Weather,432,480,720,0.3798492461237733,0.3722865592318479,336,0.3826201838125634,0.0027709376887901094,0.0072948352986521485,96;192;336;720
Weather,480,528,720,0.3928448607478954,0.38173417968276446,96,0.39770822804655426,0.004863367298658883,0.01237986743520085,96;192;336;720
Weather,528,576,720,0.3944168411948935,0.38356598376904066,336,0.40232818981372037,0.007911348618826863,0.02005834384469811,96;192;336;720
Weather,576,624,720,0.4063370521981228,0.3927595343571439,96,0.41522245269292957,0.008885400494806794,0.02186706933748791,96;192;336;720
Weather,624,672,720,0.413510944769839,0.398048027511388,96,0.4242506083271203,0.010739663557281287,0.025971896737241148,96;192;336;720
