model,dataset,segment_start,segment_end,checkpoint_pred_len,target_horizon,roll_steps,mse,mae
PatchEncoderFixedHead,ETTh2,624,672,192,720,4,0.5865103368842585,0.5547971335638642
PatchEncoderFixedHead,ETTh2,672,720,192,720,4,0.6326456549715017,0.5788549377531518
PatchEncoderFixedHead,ETTh2,0,48,336,720,3,0.20830876749327482,0.2928461060665101
PatchEncoderFixedHead,ETTh2,48,96,336,720,3,0.31142237059239586,0.36794811201790123
PatchEncoderFixedHead,ETTh2,96,144,336,720,3,0.3360893000864168,0.3907828553855998
PatchEncoderFixedHead,ETTh2,144,192,336,720,3,0.3592966993899352,0.41175655976017633
PatchEncoderFixedHead,ETTh2,192,240,336,720,3,0.3600070382017753,0.4151486382310328
PatchEncoderFixedHead,ETTh2,240,288,336,720,3,0.35400455518816554,0.4197987287278473
PatchEncoderFixedHead,ETTh2,288,336,336,720,3,0.3579805973110391,0.4252600887679625
PatchEncoderFixedHead,ETTh2,336,384,336,720,3,0.3667231460752521,0.4328306605849984
PatchEncoderFixedHead,ETTh2,384,432,336,720,3,0.3888200645693071,0.4491894610333034
PatchEncoderFixedHead,ETTh2,432,480,336,720,3,0.43212471572339006,0.4720876846755629
PatchEncoderFixedHead,ETTh2,480,528,336,720,3,0.45718116547583754,0.484914163381977
PatchEncoderFixedHead,ETTh2,528,576,336,720,3,0.4923217629527896,0.5028865065492373
PatchEncoderFixedHead,ETTh2,576,624,336,720,3,0.5497868104303701,0.5344669149292931
PatchEncoderFixedHead,ETTh2,624,672,336,720,3,0.5937022475656628,0.5599571818628322
PatchEncoderFixedHead,ETTh2,672,720,336,720,3,0.6344574715004111,0.5844022777291157
PatchEncoderFixedHead,ETTh2,0,48,720,720,1,0.21096803270880762,0.2946700318488361
PatchEncoderFixedHead,ETTh2,48,96,720,720,1,0.29770767273445503,0.3577846388317626
PatchEncoderFixedHead,ETTh2,96,144,720,720,1,0.32832271969073307,0.3797635733063362
PatchEncoderFixedHead,ETTh2,144,192,720,720,1,0.3540179888806671,0.40048458183172403
PatchEncoderFixedHead,ETTh2,192,240,720,720,1,0.36064393436138265,0.4110927693165745
PatchEncoderFixedHead,ETTh2,240,288,720,720,1,0.353408477239171,0.41378791106177765
PatchEncoderFixedHead,ETTh2,288,336,720,720,1,0.35158241265079787,0.4178065248732606
PatchEncoderFixedHead,ETTh2,336,384,720,720,1,0.35760546431435636,0.425013815052951
PatchEncoderFixedHead,ETTh2,384,432,720,720,1,0.37171282692280877,0.43591429773705886
PatchEncoderFixedHead,ETTh2,432,480,720,720,1,0.41025010797793093,0.4546122734739105
PatchEncoderFixedHead,ETTh2,480,528,720,720,1,0.4416277013258233,0.47309764630813284
PatchEncoderFixedHead,ETTh2,528,576,720,720,1,0.49232273602380056,0.5020452015922309
PatchEncoderFixedHead,ETTh2,576,624,720,720,1,0.5519448358068355,0.5379330786020374
PatchEncoderFixedHead,ETTh2,624,672,720,720,1,0.5978248905361687,0.566559252807566
PatchEncoderFixedHead,ETTh2,672,720,720,720,1,0.6311073689055063,0.5871419534443448
PatchEncoderFixedHead,ETTm1,0,48,96,720,8,0.2527005691343658,0.3244305540016532
PatchEncoderFixedHead,ETTm1,48,96,96,720,8,0.3052702857619727,0.3613662127393235
PatchEncoderFixedHead,ETTm1,96,144,96,720,8,0.36101493344529006,0.39279007726998416
PatchEncoderFixedHead,ETTm1,144,192,96,720,8,0.37128396488140103,0.39790895084730565
PatchEncoderFixedHead,ETTm1,192,240,96,720,8,0.4188807958634128,0.42420539309537103
PatchEncoderFixedHead,ETTm1,240,288,96,720,8,0.4236913934117385,0.4234406769786252
PatchEncoderFixedHead,ETTm1,288,336,96,720,8,0.4727294154431661,0.44446552563578495
PatchEncoderFixedHead,ETTm1,336,384,96,720,8,0.465247137808765,0.43889101688476956
PatchEncoderFixedHead,ETTm1,384,432,96,720,8,0.5136993966698444,0.4591504403742723
PatchEncoderFixedHead,ETTm1,432,480,96,720,8,0.4977168453697769,0.4499886641191939
PatchEncoderFixedHead,ETTm1,480,528,96,720,8,0.5500443154935845,0.47450692171786035
PatchEncoderFixedHead,ETTm1,528,576,96,720,8,0.5470251002251939,0.4711568287835934
PatchEncoderFixedHead,ETTm1,576,624,96,720,8,0.590683150570308,0.49211450058507383
PatchEncoderFixedHead,ETTm1,624,672,96,720,8,0.5639576700249513,0.48102169871126865
PatchEncoderFixedHead,ETTm1,672,720,96,720,8,0.6181204605780308,0.5055328835607324
PatchEncoderFixedHead,ETTm1,0,48,192,720,4,0.2606764292170497,0.3297071916085235
PatchEncoderFixedHead,ETTm1,48,96,192,720,4,0.31003337259381863,0.3665002848969252
PatchEncoderFixedHead,ETTm1,96,144,192,720,4,0.3663472063215425,0.39489849181948883
PatchEncoderFixedHead,ETTm1,144,192,192,720,4,0.3634175835375744,0.39567350935616113
PatchEncoderFixedHead,ETTm1,192,240,192,720,4,0.41801398448814675,0.4291611697595688
PatchEncoderFixedHead,ETTm1,240,288,192,720,4,0.4081890177123081,0.4255367740894458
PatchEncoderFixedHead,ETTm1,288,336,192,720,4,0.4361947710100627,0.43903362411018765
PatchEncoderFixedHead,ETTm1,336,384,192,720,4,0.4244492702817213,0.43441024553498236
PatchEncoderFixedHead,ETTm1,384,432,192,720,4,0.47064033134367245,0.46215345477115627
PatchEncoderFixedHead,ETTm1,432,480,192,720,4,0.45450262322251084,0.4517845488051426
PatchEncoderFixedHead,ETTm1,480,528,192,720,4,0.48174485852465126,0.46620273715803157
PatchEncoderFixedHead,ETTm1,528,576,192,720,4,0.4835047742822345,0.4662145181667379
PatchEncoderFixedHead,ETTm1,576,624,192,720,4,0.5226377917498821,0.49203706926559104
PatchEncoderFixedHead,ETTm1,624,672,192,720,4,0.5080809061769884,0.4810892618449681
PatchEncoderFixedHead,ETTm1,672,720,192,720,4,0.5229667040531049,0.4919137431122552
PatchEncoderFixedHead,ETTm1,0,48,336,720,3,0.2631532936634875,0.33357013561776483
PatchEncoderFixedHead,ETTm1,48,96,336,720,3,0.3108230621025612,0.3666127945929744
PatchEncoderFixedHead,ETTm1,96,144,336,720,3,0.35663948198840406,0.3934898100143533
PatchEncoderFixedHead,ETTm1,144,192,336,720,3,0.3525174455962538,0.3893047751887433
PatchEncoderFixedHead,ETTm1,192,240,336,720,3,0.40107105433785584,0.4149336673965752
PatchEncoderFixedHead,ETTm1,240,288,336,720,3,0.399634985273096,0.41290887605117993
PatchEncoderFixedHead,ETTm1,288,336,336,720,3,0.4263585876408066,0.42688476947836207
PatchEncoderFixedHead,ETTm1,336,384,336,720,3,0.42845890246091806,0.4259723548277486
PatchEncoderFixedHead,ETTm1,384,432,336,720,3,0.45220998809724444,0.43694347468524536
PatchEncoderFixedHead,ETTm1,432,480,336,720,3,0.4456150822290889,0.4342772904164552
PatchEncoderFixedHead,ETTm1,480,528,336,720,3,0.4707637496601722,0.4469758177290683
PatchEncoderFixedHead,ETTm1,528,576,336,720,3,0.46451318568888106,0.44593723937602675
PatchEncoderFixedHead,ETTm1,576,624,336,720,3,0.4849529846665811,0.45733393293584546
PatchEncoderFixedHead,ETTm1,624,672,336,720,3,0.4721647083267116,0.45414097496707895
PatchEncoderFixedHead,ETTm1,672,720,336,720,3,0.5225969763845393,0.4754182398286397
PatchEncoderFixedHead,ETTm1,0,48,720,720,1,0.2661130592511379,0.3351516961440684
PatchEncoderFixedHead,ETTm1,48,96,720,720,1,0.3181080420827738,0.3704798317903266
PatchEncoderFixedHead,ETTm1,96,144,720,720,1,0.36018503630990784,0.3953467699508919
PatchEncoderFixedHead,ETTm1,144,192,720,720,1,0.35652115296218234,0.39080055939106445
PatchEncoderFixedHead,ETTm1,192,240,720,720,1,0.403564878959181,0.4181907886873763
PatchEncoderFixedHead,ETTm1,240,288,720,720,1,0.4013345948379656,0.4148452484788649
PatchEncoderFixedHead,ETTm1,288,336,720,720,1,0.42687252617384347,0.42797276423993375
PatchEncoderFixedHead,ETTm1,336,384,720,720,1,0.42401562712257823,0.42370586793936627
PatchEncoderFixedHead,ETTm1,384,432,720,720,1,0.4449805616504693,0.4358402521471795
PatchEncoderFixedHead,ETTm1,432,480,720,720,1,0.4360523689654111,0.43177269589033207
PatchEncoderFixedHead,ETTm1,480,528,720,720,1,0.463101469293845,0.4458635555318814
PatchEncoderFixedHead,ETTm1,528,576,720,720,1,0.457366176992394,0.4427601898457202
PatchEncoderFixedHead,ETTm1,576,624,720,720,1,0.47532463030844324,0.45695387142206506
PatchEncoderFixedHead,ETTm1,624,672,720,720,1,0.4644577420785166,0.4520691143465776
PatchEncoderFixedHead,ETTm1,672,720,720,720,1,0.4938225100487072,0.4687675185356618
PatchEncoderFixedHead,Weather,0,48,96,720,8,0.11454131320912303,0.15506687721102236
PatchEncoderFixedHead,Weather,48,96,96,720,8,0.17876047363715342,0.23620971979604863
PatchEncoderFixedHead,Weather,96,144,96,720,8,0.2165333872880721,0.2688685267494085
PatchEncoderFixedHead,Weather,144,192,96,720,8,0.2570851803704592,0.30445395573162914
PatchEncoderFixedHead,Weather,192,240,96,720,8,0.2921046683494872,0.3274990669413026
PatchEncoderFixedHead,Weather,240,288,96,720,8,0.3173107847805009,0.33773728356700367
PatchEncoderFixedHead,Weather,288,336,96,720,8,0.34125864976469744,0.351455260798351
PatchEncoderFixedHead,Weather,336,384,96,720,8,0.3594433629069216,0.3601699374785954
PatchEncoderFixedHead,Weather,384,432,96,720,8,0.3698943166887248,0.3635691258769584
PatchEncoderFixedHead,Weather,432,480,96,720,8,0.3848577873361441,0.37469452311750395
PatchEncoderFixedHead,Weather,480,528,96,720,8,0.39770822804655426,0.38300611007434415
PatchEncoderFixedHead,Weather,528,576,96,720,8,0.4062705107958885,0.38649991075879975
PatchEncoderFixedHead,Weather,576,624,96,720,8,0.41522245269292957,0.39544236599345006
PatchEncoderFixedHead,Weather,624,672,96,720,8,0.4242506083271203,0.40298081966120575
PatchEncoderFixedHead,Weather,672,720,96,720,8,0.4240172584130924,0.402587255668375
PatchEncoderFixedHead,Weather,0,48,192,720,4,0.11768129025838102,0.1625072640182322
PatchEncoderFixedHead,Weather,48,96,192,720,4,0.18293566103992492,0.23962132793021157
PatchEncoderFixedHead,Weather,96,144,192,720,4,0.2146059048771993,0.2662572102106897
PatchEncoderFixedHead,Weather,144,192,192,720,4,0.25621994068376486,0.3001420450061044
PatchEncoderFixedHead,Weather,192,240,192,720,4,0.3004322447986595,0.33189104100116584
PatchEncoderFixedHead,Weather,240,288,192,720,4,0.3189800236430381,0.3368477195957038
PatchEncoderFixedHead,Weather,288,336,192,720,4,0.34263084405948313,0.3493089266661641
PatchEncoderFixedHead,Weather,336,384,192,720,4,0.3724152676824015,0.3656197161269543
PatchEncoderFixedHead,Weather,384,432,192,720,4,0.3759104972165775,0.3681065367715102
PatchEncoderFixedHead,Weather,432,480,192,720,4,0.390332600106417,0.37561368932703343
PatchEncoderFixedHead,Weather,480,528,192,720,4,0.4107607009843793,0.3872360928477223
PatchEncoderFixedHead,Weather,528,576,192,720,4,0.41029745395495026,0.38537381104075996
PatchEncoderFixedHead,Weather,576,624,192,720,4,0.42144335380285114,0.39699242218533554
PatchEncoderFixedHead,Weather,624,672,192,720,4,0.43535112229234607,0.40691884669493594
PatchEncoderFixedHead,Weather,672,720,192,720,4,0.42766858861999246,0.4007956264992711
PatchEncoderFixedHead,Weather,0,48,336,720,3,0.11689273263374293,0.16340605962350838
PatchEncoderFixedHead,Weather,48,96,336,720,3,0.18316468284551932,0.2423457194310334
PatchEncoderFixedHead,Weather,96,144,336,720,3,0.2174966663593303,0.2708106771417383
PatchEncoderFixedHead,Weather,144,192,336,720,3,0.25990836987905314,0.30679026265089315
PatchEncoderFixedHead,Weather,192,240,336,720,3,0.2971252101039507,0.3315075816583422
PatchEncoderFixedHead,Weather,240,288,336,720,3,0.3179954633631685,0.3402311199100551
PatchEncoderFixedHead,Weather,288,336,336,720,3,0.3444825323708701,0.3557733291035514
PatchEncoderFixedHead,Weather,336,384,336,720,3,0.36587676237361166,0.36741627716083197
PatchEncoderFixedHead,Weather,384,432,336,720,3,0.3651026524786181,0.363598052906496
PatchEncoderFixedHead,Weather,432,480,336,720,3,0.3826201838125634,0.37384217356331373
PatchEncoderFixedHead,Weather,480,528,336,720,3,0.39918655416719073,0.3836897125061625
PatchEncoderFixedHead,Weather,528,576,336,720,3,0.40232818981372037,0.3847427884633598
PatchEncoderFixedHead,Weather,576,624,336,720,3,0.41527336494762246,0.39442019434992315
PatchEncoderFixedHead,Weather,624,672,336,720,3,0.4245535964874563,0.40129861277644174
PatchEncoderFixedHead,Weather,672,720,336,720,3,0.4209928941053042,0.39834361343499713
PatchEncoderFixedHead,Weather,0,48,720,720,1,0.12055300876386944,0.16770441694533725
PatchEncoderFixedHead,Weather,48,96,720,720,1,0.18679802592794273,0.24501399461765144
PatchEncoderFixedHead,Weather,96,144,720,720,1,0.21541862567951803,0.26755251028148286
PatchEncoderFixedHead,Weather,144,192,720,720,1,0.25899701094267435,0.30353635264403356
PatchEncoderFixedHead,Weather,192,240,720,720,1,0.2954435164330405,0.3251342897745354
PatchEncoderFixedHead,Weather,240,288,720,720,1,0.3139589765179544,0.33326921573693546
PatchEncoderFixedHead,Weather,288,336,720,720,1,0.34091223470494064,0.3490764208616582
PatchEncoderFixedHead,Weather,336,384,720,720,1,0.358427806315704,0.3582261487876772
PatchEncoderFixedHead,Weather,384,432,720,720,1,0.36119983386867005,0.35988225891569076
PatchEncoderFixedHead,Weather,432,480,720,720,1,0.3798492461237733,0.3722865592318479
PatchEncoderFixedHead,Weather,480,528,720,720,1,0.3928448607478954,0.38173417968276446
PatchEncoderFixedHead,Weather,528,576,720,720,1,0.3944168411948935,0.38356598376904066
PatchEncoderFixedHead,Weather,576,624,720,720,1,0.4063370521981228,0.3927595343571439
PatchEncoderFixedHead,Weather,624,672,720,720,1,0.413510944769839,0.398048027511388
PatchEncoderFixedHead,Weather,672,720,720,720,1,0.4082401729827053,0.3942481128173568
