dataset,profile_id,mean_mse,mean_mae,cell_count,decoder_parameters
ETTh2,p13_scopes_long_lr0p50,0.3445866602304042,0.3844754095643059,4,91961
ETTh2,v1_reference,0.33712397853444287,0.37837868369920685,4,91961
ETTm1,p00_budget30,0.3887960868319916,0.39151097400077495,4,91961
ETTm1,p01_lr0p25,0.39299103924248135,0.39837059875506114,4,91961
ETTm1,p02_lr0p50,0.38708523978260473,0.39252108344246006,4,91961
ETTm1,p03_lr2p00,0.3889537982470302,0.39100841824574667,4,91961
ETTm1,p04_lr4p00,0.38769935758925067,0.39045703716762026,4,91961
ETTm1,p05_rank0p50_lr0p50,0.3973993262111296,0.40242046148894056,4,47741
ETTm1,p06_rank1p50_lr0p50,0.38857541173224897,0.3914403551414464,4,136181
ETTm1,p07_rank2p00_lr0p50,0.38664988606366624,0.38988315635609083,4,176381
ETTm1,p08_coord2_capmatch_lr0p50,0.38779416850288656,0.39023560001593166,4,122073
ETTm1,p09_coord8_capmatch_lr0p50,0.39589240407925785,0.4007258408325385,4,73797
ETTm1,p10_policy16x32_lr0p50,0.39018713203582694,0.39318827610601714,4,88041
ETTm1,p11_policy64x128_lr0p50,0.38623423852762306,0.39086465175386076,4,102873
ETTm1,p12_scopes_short_lr0p50,0.38643925971142806,0.392271290586931,4,91961
ETTm1,p13_scopes_long_lr0p50,0.3872618388786162,0.39261662552678106,4,91961
ETTm1,v1_reference,0.3931302714003431,0.3962002898247792,4,91961
ETTm2,p00_budget30,0.2892500449048146,0.32523997039913555,4,91961
ETTm2,p01_lr0p25,0.29085200278329404,0.32797326044806674,4,91961
ETTm2,p02_lr0p50,0.2893659317914579,0.32622225958227813,4,91961
ETTm2,p03_lr2p00,0.28667268882774627,0.3235868440362379,4,91961
ETTm2,p04_lr4p00,0.28927209841858453,0.32441060713628433,4,91961
ETTm2,p05_rank0p50_lr0p50,0.2909638115811779,0.3283205447890414,4,47741
ETTm2,p06_rank1p50_lr0p50,0.2905309629769757,0.3258252245344634,4,136181
ETTm2,p07_rank2p00_lr0p50,0.28987424250824745,0.3252297969180276,4,176381
ETTm2,p08_coord2_capmatch_lr0p50,0.2897583741871712,0.3255204396274487,4,122073
ETTm2,p09_coord8_capmatch_lr0p50,0.2891750753255364,0.3268481943114823,4,73797
ETTm2,p10_policy16x32_lr0p50,0.29171737925583785,0.32759343655224843,4,88041
ETTm2,p11_policy64x128_lr0p50,0.2917381059485359,0.3275969516526039,4,102873
ETTm2,p12_scopes_short_lr0p50,0.290183659886911,0.3261578514748096,4,91961
ETTm2,p13_scopes_long_lr0p50,0.28946375947537956,0.3261641021036655,4,91961
ETTm2,v1_reference,0.29298499748490997,0.33085210405093163,4,91961
Weather,p00_budget30,0.25348981543071125,0.27360072610181213,4,370829
Weather,p01_lr0p25,0.2511819738985085,0.2743819116057538,4,370829
Weather,p02_lr0p50,0.2515181049383937,0.27269685414166783,4,370829
Weather,p03_lr2p00,0.25100348272841644,0.2728963765519351,4,370829
Weather,p04_lr4p00,0.25149395675748704,0.2717327627820319,4,370829
Weather,p05_rank0p50_lr0p50,0.25505658465930925,0.2774329401671609,4,195329
Weather,p06_rank1p50_lr0p50,0.25145193481647105,0.27356253308764866,4,546329
Weather,p07_rank2p00_lr0p50,0.2544950771105554,0.2738699788534902,4,721829
Weather,p08_coord2_capmatch_lr0p50,0.2514439280801099,0.27300845155330655,4,413901
Weather,p09_coord8_capmatch_lr0p50,0.2526787846610209,0.2738607744266257,4,349485
Weather,p10_policy16x32_lr0p50,0.2541169401329985,0.27518994611486347,4,360765
Weather,p11_policy64x128_lr0p50,0.2516528761156459,0.27374137140021004,4,394029
Weather,p12_scopes_short_lr0p50,0.2536756973916949,0.2738884350727875,4,370829
Weather,p13_scopes_long_lr0p50,0.25221454016567524,0.27334385932181404,4,370829
Weather,v1_reference,0.25251542323317955,0.272936730978493,4,370829
