dataset,arm,horizon,output_shape,expected_shape,full_prefix_max_abs,pass
ETTh2,uniform,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,uniform,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,uniform,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,uniform,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,history,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTh2,history,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,history,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,history,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,history,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,history,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,atom,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTh2,atom,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,atom,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,atom,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,atom,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,atom,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,joint_perm,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTh2,joint_perm,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,joint_perm,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,joint_perm,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,joint_perm,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,joint_perm,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTh2,joint_random,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTh2,joint_random,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTh2,joint_random,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTh2,joint_random,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTh2,joint_random,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTh2,joint_random,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,a6,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTm1,a6,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,a6,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,a6,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,a6,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,a6,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,joint_geo,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTm1,joint_geo,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,joint_geo,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,joint_geo,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,joint_geo,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,joint_geo,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,uniform,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTm1,uniform,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,uniform,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,uniform,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,uniform,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,uniform,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,history,1,"[1, 1, 7]","[1, 1, 7]",7.450580596923828e-08,True
ETTm1,history,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,history,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,history,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,history,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,history,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,atom,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTm1,atom,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,atom,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,atom,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,atom,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,atom,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,joint_perm,1,"[1, 1, 7]","[1, 1, 7]",1.4901161193847656e-07,True
ETTm1,joint_perm,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,joint_perm,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,joint_perm,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,joint_perm,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,joint_perm,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm1,joint_random,1,"[1, 1, 7]","[1, 1, 7]",1.341104507446289e-07,True
ETTm1,joint_random,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm1,joint_random,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm1,joint_random,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm1,joint_random,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm1,joint_random,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,a6,1,"[1, 1, 7]","[1, 1, 7]",2.384185791015625e-07,True
ETTm2,a6,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,a6,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,a6,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,a6,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,a6,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,joint_geo,1,"[1, 1, 7]","[1, 1, 7]",1.7881393432617188e-07,True
ETTm2,joint_geo,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,joint_geo,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,joint_geo,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,joint_geo,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,joint_geo,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,uniform,1,"[1, 1, 7]","[1, 1, 7]",1.7881393432617188e-07,True
ETTm2,uniform,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,uniform,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,uniform,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,uniform,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,uniform,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,history,1,"[1, 1, 7]","[1, 1, 7]",1.7881393432617188e-07,True
ETTm2,history,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,history,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,history,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,history,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,history,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,atom,1,"[1, 1, 7]","[1, 1, 7]",2.086162567138672e-07,True
ETTm2,atom,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,atom,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,atom,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,atom,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,atom,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,joint_perm,1,"[1, 1, 7]","[1, 1, 7]",1.1920928955078125e-07,True
ETTm2,joint_perm,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,joint_perm,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,joint_perm,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,joint_perm,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,joint_perm,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
ETTm2,joint_random,1,"[1, 1, 7]","[1, 1, 7]",1.4901161193847656e-07,True
ETTm2,joint_random,48,"[1, 48, 7]","[1, 48, 7]",0.0,True
ETTm2,joint_random,96,"[1, 96, 7]","[1, 96, 7]",0.0,True
ETTm2,joint_random,192,"[1, 192, 7]","[1, 192, 7]",0.0,True
ETTm2,joint_random,336,"[1, 336, 7]","[1, 336, 7]",0.0,True
ETTm2,joint_random,720,"[1, 720, 7]","[1, 720, 7]",0.0,True
Weather,a6,1,"[1, 1, 21]","[1, 1, 21]",2.980232238769531e-07,True
Weather,a6,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,a6,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,a6,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,a6,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,a6,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,joint_geo,1,"[1, 1, 21]","[1, 1, 21]",2.384185791015625e-07,True
Weather,joint_geo,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,joint_geo,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,joint_geo,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,joint_geo,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,joint_geo,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,uniform,1,"[1, 1, 21]","[1, 1, 21]",1.825392246246338e-07,True
Weather,uniform,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,uniform,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,uniform,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,uniform,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,uniform,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,history,1,"[1, 1, 21]","[1, 1, 21]",1.7881393432617188e-07,True
Weather,history,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,history,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,history,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,history,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,history,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,atom,1,"[1, 1, 21]","[1, 1, 21]",2.384185791015625e-07,True
Weather,atom,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,atom,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,atom,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,atom,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,atom,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,joint_perm,1,"[1, 1, 21]","[1, 1, 21]",1.7881393432617188e-07,True
Weather,joint_perm,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,joint_perm,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,joint_perm,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,joint_perm,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,joint_perm,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
Weather,joint_random,1,"[1, 1, 21]","[1, 1, 21]",1.4901161193847656e-07,True
Weather,joint_random,48,"[1, 48, 21]","[1, 48, 21]",0.0,True
Weather,joint_random,96,"[1, 96, 21]","[1, 96, 21]",0.0,True
Weather,joint_random,192,"[1, 192, 21]","[1, 192, 21]",0.0,True
Weather,joint_random,336,"[1, 336, 21]","[1, 336, 21]",0.0,True
Weather,joint_random,720,"[1, 720, 21]","[1, 720, 21]",0.0,True
