system,dataset,horizon,mse,mae,checkpoint_repetitions,prefix_identity,matrix_complete,system_role,checkpoint_sha256
DLinear,ETTm1,336,0.3706175113619444,0.38701066880079277,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm1,720,0.4271246087250689,0.42267383501247413,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm2,96,0.1885020115245895,0.2889760772752121,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm2,192,0.2560756032764174,0.3386333416878386,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm2,336,0.3195900185296991,0.3813387570868649,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,ETTm2,720,0.4029211847615785,0.42797941925492533,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Solar,96,0.2223858711251819,0.29151030730347394,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Solar,192,0.2500897077361259,0.30946052830112136,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Solar,336,0.269021961847894,0.3241492832855003,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Solar,720,0.27086608348467806,0.3274722590788683,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Weather,96,0.17696339894453295,0.24018213604013555,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Weather,192,0.21841101110991135,0.2782469473007667,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Weather,336,0.26433005725428926,0.31690158758528614,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
DLinear,Weather,720,0.32820864097883984,0.36948836082227016,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
ISCF-BSCA-MAIN-v1,ECL,96,0.11560674492106635,0.21298760784961648,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,91548c1801d1b0e954807e9afc5b64202f9295646c19301af680b1c9a76c6169
ISCF-BSCA-MAIN-v1,ECL,192,0.1364249151642799,0.2314900814116122,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,91548c1801d1b0e954807e9afc5b64202f9295646c19301af680b1c9a76c6169
ISCF-BSCA-MAIN-v1,ECL,336,0.15739958110177807,0.25054194646589767,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,91548c1801d1b0e954807e9afc5b64202f9295646c19301af680b1c9a76c6169
ISCF-BSCA-MAIN-v1,ECL,720,0.19796025827910826,0.28308850146793535,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,91548c1801d1b0e954807e9afc5b64202f9295646c19301af680b1c9a76c6169
ISCF-BSCA-MAIN-v1,ETTh1,96,0.348176470004464,0.38621253898237523,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,c60895a465a1236ab4d21497d460c83636c3421bcfd193ad9a1d89ea5fa75642
ISCF-BSCA-MAIN-v1,ETTh1,192,0.37692384336679324,0.40291667349386673,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,c60895a465a1236ab4d21497d460c83636c3421bcfd193ad9a1d89ea5fa75642
ISCF-BSCA-MAIN-v1,ETTh1,336,0.3947626227953797,0.41720657764256425,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,c60895a465a1236ab4d21497d460c83636c3421bcfd193ad9a1d89ea5fa75642
ISCF-BSCA-MAIN-v1,ETTh1,720,0.44646421290202115,0.4610093077705735,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,c60895a465a1236ab4d21497d460c83636c3421bcfd193ad9a1d89ea5fa75642
ISCF-BSCA-MAIN-v1,ETTh2,96,0.2405494467507989,0.3144207512151374,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
ISCF-BSCA-MAIN-v1,ETTh2,192,0.28245514440266534,0.34509201304952075,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
ISCF-BSCA-MAIN-v1,ETTh2,336,0.3122683312867567,0.3711865635745016,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
ISCF-BSCA-MAIN-v1,ETTh2,720,0.39405488596768706,0.42976343582293,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,bcfbc9955754a9825d1dd33015610a049551e3441dabd0ad98982c0fc2285d3e
ISCF-BSCA-MAIN-v1,ETTm1,96,0.2659839500967137,0.32657150986453487,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
ISCF-BSCA-MAIN-v1,ETTm1,192,0.3050110151558611,0.35059004880365885,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
ISCF-BSCA-MAIN-v1,ETTm1,336,0.34448984367496216,0.3727244693263644,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
ISCF-BSCA-MAIN-v1,ETTm1,720,0.4073109251765397,0.4056298297188275,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,2e8c7e7c7d7545a4edfbe81be857299b6fea0dc7e944464803f273257ecb6948
ISCF-BSCA-MAIN-v1,ETTm2,96,0.1608811102009066,0.24576577725389895,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
ISCF-BSCA-MAIN-v1,ETTm2,192,0.2184282369628787,0.28477006837910346,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
ISCF-BSCA-MAIN-v1,ETTm2,336,0.271552440553906,0.3203940888540244,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
ISCF-BSCA-MAIN-v1,ETTm2,720,0.3440692155815435,0.3718412308467188,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,aeb581e8c4b00f6516c1bf45683ee5e88b583af8b16cab332ebbeb8ea1ddc7e8
ISCF-BSCA-MAIN-v1,Solar,96,0.16593113466767656,0.19540053302962504,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963
ISCF-BSCA-MAIN-v1,Solar,192,0.18483823718649336,0.20649918386066013,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963
ISCF-BSCA-MAIN-v1,Solar,336,0.19627804966282963,0.2139648905717176,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963
ISCF-BSCA-MAIN-v1,Solar,720,0.20615282297339788,0.21971453196986784,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,e852804aa7b1d2654fa7524a61cfbb724adcc8b7db2cdb44e5decb8eda323963
ISCF-BSCA-MAIN-v1,Weather,96,0.1410607618772622,0.18159428257633217,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8
ISCF-BSCA-MAIN-v1,Weather,192,0.18213667199495437,0.22313626947867732,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8
ISCF-BSCA-MAIN-v1,Weather,336,0.23218611821442647,0.26377962898612267,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8
ISCF-BSCA-MAIN-v1,Weather,720,0.30416474674338456,0.3147720183854933,1,True,True,frozen_current_ISCF_fixed_H_formal_scorecard,6c6619f047204a5b0c63b02c30562f0e765ad6855d8468e0f0151bc2e5c25ca8
PatchTST,ECL,96,0.13244178673497767,0.2277300278777698,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ECL,192,0.1481864305342746,0.24274339117796648,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ECL,336,0.16402228231563026,0.2593081046663553,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ECL,720,0.20113193420649367,0.29123891046088796,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh1,96,0.394347689569492,0.41422656325614177,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh1,192,0.42873382142152655,0.43277164533530665,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh1,336,0.4395839739597164,0.4419204562982333,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh1,720,0.4552059014759845,0.46912057278761454,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh2,96,0.2737291395203343,0.3380427825383483,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh2,192,0.33575051091082253,0.3792769861895981,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh2,336,0.3249296809364453,0.38253561923493506,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTh2,720,0.3782814496619074,0.42092310585845294,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm1,96,0.29774958322186107,0.3497412002668864,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm1,192,0.3354101618545973,0.37238737217502543,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm1,336,0.3667894431772392,0.3917715343814122,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm1,720,0.41523681128568213,0.4211011790213876,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm2,96,0.16853032059285641,0.25826431132803346,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm2,192,0.22281598441172312,0.29477699611131086,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm2,336,0.27516719728176353,0.3287774157110043,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,ETTm2,720,0.3648001207539759,0.38292765482199786,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Solar,96,0.1808792562219136,0.23466925357038732,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Solar,192,0.19025828394999694,0.2445174065802909,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Solar,336,0.1980246214213938,0.2511802644882433,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Solar,720,0.20603524980251248,0.2574213268835299,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Weather,96,0.15511323672853386,0.20531351546963922,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Weather,192,0.19927548487595478,0.24593632324204104,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Weather,336,0.24895504453393474,0.2843199039867827,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
PatchTST,Weather,720,0.31945801049238853,0.3354899132304421,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ECL,96,0.15535767376422882,0.25786373019218445,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ECL,192,0.16865991055965424,0.2689284086227417,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ECL,336,0.1847771257162094,0.2839362621307373,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ECL,720,0.22251303493976593,0.31353291869163513,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh1,96,0.4010436236858368,0.417733758687973,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh1,192,0.441180944442749,0.4413768947124481,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh1,336,0.4672858715057373,0.45861026644706726,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh1,720,0.4989432990550995,0.49280020594596863,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh2,96,0.27221277356147766,0.3404507040977478,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh2,192,0.33358341455459595,0.38245055079460144,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh2,336,0.3576340079307556,0.40410786867141724,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTh2,720,0.40693315863609314,0.43962326645851135,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm1,96,0.2916393578052521,0.3483833074569702,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm1,192,0.33041059970855713,0.3709307610988617,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm1,336,0.36389973759651184,0.3909511864185333,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm1,720,0.4228467643260956,0.4241206645965576,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm2,96,0.16547861695289612,0.2548772692680359,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm2,192,0.22252507507801056,0.2940044105052948,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm2,336,0.27633845806121826,0.3295932114124298,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,ETTm2,720,0.3638134300708771,0.3853282332420349,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Solar,96,0.18649043142795563,0.2555790841579437,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Solar,192,0.20511923730373383,0.26704972982406616,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Solar,336,0.2149670422077179,0.2720291018486023,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Solar,720,0.22260445356369019,0.27768146991729736,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Weather,96,0.19126012921333313,0.24560533463954926,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Weather,192,0.23127062618732452,0.2763713300228119,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Weather,336,0.27640771865844727,0.3073421120643616,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
QDF,Weather,720,0.3410804271697998,0.35111936926841736,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ECL,96,0.14994026789138531,0.2455434945275692,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ECL,192,0.15213771109975957,0.25149413354883254,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ECL,336,0.17262895318537794,0.2687000928735612,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ECL,720,0.20076404152045482,0.29349028521337694,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh1,96,0.382155635141529,0.4056030580874654,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh1,192,0.4338264898326405,0.4310460932616244,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh1,336,0.4483175152260926,0.4416170846273963,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh1,720,0.469748079416951,0.46545722247915283,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh2,96,0.28542950183792487,0.3436920785794959,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh2,192,0.3582743305785358,0.38836618013347896,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh2,336,0.36731860885200635,0.4038181004345625,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTh2,720,0.41443220475293713,0.4364249857033586,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm1,96,0.3262686581252015,0.36822563114363516,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm1,192,0.3622067465047793,0.3845426461589372,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm1,336,0.39206657768293113,0.40556333102363845,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm1,720,0.4542526424651314,0.43794770642892394,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm2,96,0.18579112799708106,0.2699776897706165,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm2,192,0.24722362319674307,0.30777392701603246,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm2,336,0.3051757667688375,0.34412863130692406,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,ETTm2,720,0.40076594485542777,0.39915149955402335,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Solar,96,0.1678306520796625,0.2317548178353235,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Solar,192,0.18398084854303018,0.24361009944414924,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Solar,336,0.18762622936701132,0.24743871173182352,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Solar,720,0.19978683358714652,0.254363545820319,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Weather,96,0.17685413931149707,0.22243403278653237,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Weather,192,0.22096293679665377,0.259415021635677,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Weather,336,0.2727209984634504,0.29627880593477895,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
SimpleTM,Weather,720,0.3457577038919015,0.34370551336397764,3,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ECL,96,0.12705392534068474,0.21873712027445436,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ECL,192,0.14329121921521923,0.23360685406563184,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ECL,336,0.15815850576784993,0.24919938180773032,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ECL,720,0.19012547761408818,0.27789375096973445,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh1,96,0.37477417041858035,0.40380973772456247,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh1,192,0.41100512188859284,0.42467828032871086,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh1,336,0.430756505046572,0.4346470974740528,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh1,720,0.4589570479260551,0.4613145207779275,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh2,96,0.2935767783007274,0.3470353002970417,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh2,192,0.36354191112332046,0.3912404705770314,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh2,336,0.40312033947113723,0.4160206120106436,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTh2,720,0.4059744637666477,0.43642706974513,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm1,96,0.2894902724462251,0.33669663965702057,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm1,192,0.32385986133400974,0.35685635164069635,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm1,336,0.35297225980043767,0.3753742410224818,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm1,720,0.40624309921533697,0.40543912779539826,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm2,96,0.1644388890514771,0.25123884389176965,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm2,192,0.21500683872727677,0.285119193024002,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm2,336,0.2651168230277974,0.31841685427796274,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,ETTm2,720,0.3429375028444661,0.37138505656686094,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Solar,96,0.1776400640180024,0.2091890804003924,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Solar,192,0.18986076562820622,0.21682588713398823,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Solar,336,0.1974118018933084,0.22123100947854774,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Solar,720,0.20081911921345938,0.22318663704726432,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Weather,96,0.14278096053749323,0.18288087899175784,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Weather,192,0.18521818625352657,0.2241914101759903,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Weather,336,0.2352006530965723,0.2650322461101626,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
TimeAlign,Weather,720,0.30730863438608746,0.317576495397629,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ECL,96,0.1521984951334859,0.24542618316207215,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ECL,192,0.16442002570138575,0.25736214155609294,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ECL,336,0.17869366368973505,0.2731038877740756,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ECL,720,0.21074225625845952,0.300736639988131,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh1,96,0.40936272502789023,0.4218735274936511,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh1,192,0.45705515248404294,0.44793920156927935,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh1,336,0.49578371600864984,0.46680730299756606,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh1,720,0.5093046218759189,0.49383628933681967,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
iTransformer,ETTh2,96,0.3028604891627276,0.3525030397661176,1,False,True,source_native_H720_model_on_official_fixed_H_loader,
