system,dataset,repeat,horizon,mse,mae,global_elementwise_mse,global_elementwise_mae,native_batch_mean_mse,native_batch_mean_mae,metric_semantics,origin_count,channel_count,checkpoint_sha256,prediction_prefix_sha256,target_prefix_sha256,prefix_identity,test_role,loader_horizon,loader_drop_last,input_only_inference,test_tuned,matrix_complete,source_metric_file,global_elementwise_float64_mse,global_elementwise_float64_mae
AMD,Solar,0,336,0.21040301024913788,0.25388479232788086,0.20956454588462417,0.2533207636282874,0.21040301024913788,0.25388479232788086,official_unweighted_batch_mean,10176,137,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,7b3d812eacb77bfa54d742e7f6a67f83b565cd5a31a8b32ce8f832adff86b215,7e9ca47221a70cc784195a45fb655daa4241a97fe6c7b981b2bc6e48cd74d90b,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Solar__r0__H336/prefix_metrics.csv,,
AMD,Solar,0,720,0.21470476686954498,0.25669339299201965,0.21462875610849688,0.2565215163542065,0.21470476686954498,0.25669339299201965,official_unweighted_batch_mean,9792,137,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,65debf8a35c3adbab9ab7b97f59fbc88c1eaf44ac6bfa2e8fca7c6b8eb4be08f,eb47ae4ed638ec69e00d6a8c6d4f0a8ec16793590628bb713e0be1c4262fa039,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Solar__r0__H720/prefix_metrics.csv,,
AMD,Solar,0,96,0.1895732432603836,0.24191011488437653,0.18671205200381258,0.23975690815456266,0.1895732432603836,0.24191011488437653,official_unweighted_batch_mean,10416,137,8f5195731cebb4f17cad8c5c6663259a21a16432d4705aa00b5a8f887bebf4d7,6861296277188a8df3a52c2bd3319ad15438ec50d71062960d8aa13248a287f6,f0e358baf15fa8b00da145d6a72d2079168825b7b44876d48d906d8a6ffae464,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Solar__r0__H96/prefix_metrics.csv,,
AMD,Weather,0,192,0.1940152943134308,0.24430035054683685,0.19428675217557867,0.24451325208270633,0.1940152943134308,0.24430035054683685,official_unweighted_batch_mean,10348,21,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,a9ac88de736a06d346d86a13f046f5805b90e7b2f95f7b05163afa657c06f9ce,ed64965611dac91498d74d04aa84f6c82a591bb0eaddb0c4caae8e0c8c572870,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Weather__r0__H192/prefix_metrics.csv,,
AMD,Weather,0,336,0.2435646802186966,0.281747967004776,0.24400421777879902,0.2820622946007611,0.2435646802186966,0.281747967004776,official_unweighted_batch_mean,10204,21,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,6bf02e3843d293b42374439e3b5e6b10b2e366787bb77e8772588f8647730613,a1a36b497bab29263483979c64821ba1b0050c30bb7cb366a7d29084df89092b,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Weather__r0__H336/prefix_metrics.csv,,
AMD,Weather,0,720,0.31507608294487,0.3323940336704254,0.314192698118834,0.3322947789447928,0.31507608294487,0.3323940336704254,official_unweighted_batch_mean,9820,21,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,75740f2573ab91348a1a7e9bb391979ba97a52659446db9c40be695f110c1faf,bbc080ed09902e06772202dd6f092c1b7e108b656151bc2d6d366cdde2063472,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Weather__r0__H720/prefix_metrics.csv,,
AMD,Weather,0,96,0.14944301545619965,0.2039853185415268,0.14998980257957722,0.20442668686993024,0.14944301545619965,0.2039853185415268,official_unweighted_batch_mean,10444,21,8e0dcb62be4466f0e4d802534aec7647b7015f9f33940bb164b0cc4ba0efa372,57188ad0f144f626c585ce3e5f904f963a3c232a2d5b50e8ec5add108cdd8fbe,7d60538ade0e05e90cba63add3feb44ff633baaf5be6c5ae3d490944fd3fe94b,False,formal_horizon_specific_loader_H720_checkpoint_prefix,96,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/AMD__Weather__r0__H96/prefix_metrics.csv,,
DLinear,ECL,0,192,0.1538377250181711,0.25087453456710185,,,,,global_elementwise_float64,5069,7,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,4c574fee688a386795bca087227dbe5d05626aed4d9eeeeedde79147fd7820e6,5990aac2afdc2647b98eb9b0204a98a64e6a1d4d730d4fb9d4269164a9563957,False,formal_horizon_specific_loader_H720_checkpoint_prefix,192,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ECL__r0__H192/prefix_metrics.csv,,
DLinear,ECL,0,336,0.16948389213787135,0.2684113914520788,,,,,global_elementwise_float64,4925,7,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,c18b72573604163cec4a41f84171e2003eda69a57d484915f9f20747b8f2bcb1,a1aa9e2b83b08d500d6c57bd5eaa4515b5a563bf29c822b7dbca0580c1ad81e0,False,formal_horizon_specific_loader_H720_checkpoint_prefix,336,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ECL__r0__H336/prefix_metrics.csv,,
DLinear,ECL,0,720,0.2039015201867136,0.3011989567696192,,,,,global_elementwise_float64,4541,7,c49661eb9bd64e87fcaf4fbb1aae4974a820c5d081176d514435848c82b404cd,ce7f86f11d5e98e638ffe8a2eec58d746427cf218054fd4a5f94ae140df984fc,79a121a1abbc0286bf746dbb3cce83922c0ee9eff97dc19d78c2816059d9a84a,False,formal_horizon_specific_loader_H720_checkpoint_prefix,720,False,True,False,False,/home/yingch/exp_outputs/r-2026-fatst/main_ii_horizon_loader_20260813/formal/DLinear__ECL__r0__H720/prefix_metrics.csv,,
