system,dataset,horizon,mse,mae,mse_display,mae_display,mse_style,mae_style,checkpoint_repetitions,system_role
TimeAlign,ETTm2,192,0.21500683872727677,0.285119193024002,0.215,0.285,best,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTm2,192,0.22252507507801056,0.2940044105052948,0.223,0.294,normal,second,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTm2,192,0.22205166518688202,0.29496702551841736,0.222,0.295,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTm2,192,0.24722362319674307,0.30777392701603246,0.247,0.308,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTm2,192,0.25332934230855286,0.31454457967205784,0.253,0.315,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
PatchTST,ETTm2,192,0.22281598441172312,0.29477699611131086,0.223,0.295,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
DLinear,ETTm2,192,0.2560756032764174,0.3386333416878386,0.256,0.339,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
ISCF-BSCA-MAIN-v1,ETTm2,336,0.271552440553906,0.3203940888540244,0.272,0.320,normal,second,1,frozen_current_ISCF_fixed_H_formal_scorecard
TimeAlign,ETTm2,336,0.2651168230277974,0.31841685427796274,0.265,0.318,best,best,1,source_native_H720_model_on_official_fixed_H_loader
QDF,ETTm2,336,0.27633845806121826,0.3295932114124298,0.276,0.330,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
AMD,ETTm2,336,0.27078890800476074,0.3273058533668518,0.271,0.327,second,normal,1,source_native_H720_model_on_official_fixed_H_loader
SimpleTM,ETTm2,336,0.3051757667688375,0.34412863130692406,0.305,0.344,normal,normal,3,source_native_H720_model_on_official_fixed_H_loader
iTransformer,ETTm2,336,0.31825343197557876,0.35430802802216055,0.318,0.354,normal,normal,1,source_native_H720_model_on_official_fixed_H_loader
