dataset,checkpoint_policy,patch_num,patch_len,attenuation,first_patch,second_patch,target_horizon,interaction_to_main_mean,interaction_to_main_median,interaction_to_main_q25,interaction_to_main_q75,main_effect_rms_mean,examples
ETTm1,official-last,5,144,0.25,1,4,192,0.05228513536076207,0.04994315840303898,0.04138472769409418,0.059636879712343216,0.07123539801614243,4096
ETTm1,official-last,5,144,0.25,1,4,336,0.052037679578006646,0.049633294343948364,0.041135977022349834,0.05942553002387285,0.06382133537226764,4096
ETTm1,official-last,5,144,0.25,1,4,720,0.05141527248542843,0.04887778498232365,0.040888452902436256,0.058268630877137184,0.05671765030729148,4096
ETTm1,official-last,5,144,0.25,2,3,96,0.06896532875816774,0.06676375865936279,0.057779839262366295,0.07818044535815716,0.03854798378188207,4096
ETTm1,official-last,5,144,0.25,2,3,192,0.06858114132046467,0.06642726063728333,0.05797977093607187,0.07758061774075031,0.033991796439295285,4096
ETTm1,official-last,5,144,0.25,2,3,336,0.06897413285514631,0.06698012724518776,0.058959501795470715,0.07722093537449837,0.03206045194838225,4096
ETTm1,official-last,5,144,0.25,2,3,720,0.06840295290567155,0.06689473241567612,0.05901044327765703,0.07584008574485779,0.02884325766535767,4096
ETTm1,official-last,5,144,0.25,2,4,96,0.06561361507056063,0.06353336572647095,0.0526026226580143,0.0760852862149477,0.08148552765214845,4096
ETTm1,official-last,5,144,0.25,2,4,192,0.064220806870253,0.06247745081782341,0.05129583738744259,0.07472890056669712,0.07351177753753291,4096
ETTm1,official-last,5,144,0.25,2,4,336,0.06410075716689789,0.062201596796512604,0.05101075302809477,0.07450982555747032,0.06579901012446498,4096
ETTm1,official-last,5,144,0.25,2,4,720,0.06353798808640931,0.061610275879502296,0.050307443365454674,0.07400907389819622,0.05816375740778312,4096
ETTm1,official-last,5,144,0.25,3,4,96,0.07042154395549005,0.06620422750711441,0.05471744202077389,0.08058082312345505,0.08643150587522541,4096
ETTm1,official-last,5,144,0.25,3,4,192,0.06969669972568227,0.06635497510433197,0.055322556756436825,0.07897235825657845,0.07782648733973474,4096
ETTm1,official-last,5,144,0.25,3,4,336,0.06967584987660302,0.0660659559071064,0.055086455307900906,0.07898203656077385,0.07021079451442347,4096
ETTm1,official-last,5,144,0.25,3,4,720,0.06880875710294276,0.06559645384550095,0.05457728169858456,0.07759972475469112,0.06221957866819139,4096
ETTm1,official-last,5,144,0.5,0,1,96,0.14692870737144403,0.13538780808448792,0.11143733933568001,0.17202704027295113,0.06303788583954884,4096
ETTm1,official-last,5,144,0.5,0,1,192,0.1424769234508858,0.13075421750545502,0.10884562134742737,0.16741792485117912,0.05996284729462786,4096
ETTm1,official-last,5,144,0.5,0,1,336,0.14325431764336827,0.1318853795528412,0.10969122126698494,0.16796616837382317,0.05526022302547062,4096
ETTm1,official-last,5,144,0.5,0,1,720,0.14316436472017813,0.1320485770702362,0.11013626307249069,0.16600555554032326,0.04995800751112256,4096
ETTm1,official-last,5,144,0.5,0,2,96,0.13896088682395202,0.1330922469496727,0.11055274680256844,0.159405879676342,0.07080658438826504,4096
ETTm1,official-last,5,144,0.5,0,2,192,0.14070090718269057,0.13418758660554886,0.1103952657431364,0.16240540146827698,0.06502804916362948,4096
ETTm1,official-last,5,144,0.5,0,2,336,0.13899507970836567,0.13254185020923615,0.1099783405661583,0.15943453460931778,0.059772938993774005,4096
ETTm1,official-last,5,144,0.5,0,2,720,0.139672015369797,0.13280102610588074,0.11097659170627594,0.15956835821270943,0.053305643855310336,4096
ETTm1,official-last,5,144,0.5,0,3,96,0.1448920160664784,0.14209545403718948,0.11518973298370838,0.168354582041502,0.0809408995173726,4096
ETTm1,official-last,5,144,0.5,0,3,192,0.13933712481866678,0.1361742913722992,0.11290563829243183,0.1618211828172207,0.07392735337634804,4096
ETTm1,official-last,5,144,0.5,0,3,336,0.13753743227971427,0.13469357043504715,0.11338449828326702,0.1569918431341648,0.06912600975556416,4096
ETTm1,official-last,5,144,0.5,0,3,720,0.13709341274079634,0.13389207422733307,0.11458678543567657,0.15514842048287392,0.06202208758259076,4096
ETTm1,official-last,5,144,0.5,0,4,96,0.14289061309182216,0.13830700516700745,0.10703062638640404,0.1727537102997303,0.1662804042261996,4096
ETTm1,official-last,5,144,0.5,0,4,192,0.137819732841308,0.13334525376558304,0.10375521890819073,0.16550574079155922,0.15300787721207598,4096
ETTm1,official-last,5,144,0.5,0,4,336,0.13806988103442563,0.133032388985157,0.1042694840580225,0.1650370918214321,0.13619067705258203,4096
ETTm1,official-last,5,144,0.5,0,4,720,0.1374193610090515,0.13223478943109512,0.10439333878457546,0.16344000399112701,0.12036473788157309,4096
ETTm1,official-last,5,144,0.5,1,2,96,0.12503789431957557,0.11915936693549156,0.09723787754774094,0.14363980665802956,0.06174124473363918,4096
ETTm1,official-last,5,144,0.5,1,2,192,0.12758168917116564,0.12064537033438683,0.09963623806834221,0.14515384286642075,0.056244939425596385,4096
ETTm1,official-last,5,144,0.5,1,2,336,0.1252334107466595,0.11847761273384094,0.09884999692440033,0.1413975991308689,0.0528171906589705,4096
ETTm1,official-last,5,144,0.5,1,2,720,0.12485845141873142,0.11864262819290161,0.09970180131494999,0.14076350256800652,0.04812094066346617,4096
ETTm1,official-last,5,144,0.5,1,3,96,0.1251063502195393,0.1203046478331089,0.10312010534107685,0.14303981512784958,0.07187555990913097,4096
ETTm1,official-last,5,144,0.5,1,3,192,0.13009365014477225,0.12614978104829788,0.10869822464883327,0.1462562307715416,0.06514424369561311,4096
ETTm1,official-last,5,144,0.5,1,3,336,0.1315952873446804,0.12721318006515503,0.11150394752621651,0.14790648967027664,0.0621702614816968,4096
ETTm1,official-last,5,144,0.5,1,3,720,0.13392293874676398,0.12959447503089905,0.11434891447424889,0.15079042688012123,0.05683738436255226,4096
ETTm1,official-last,5,144,0.5,1,4,96,0.10643199553487648,0.10248316451907158,0.08375544846057892,0.12343908846378326,0.15721506450427114,4096
ETTm1,official-last,5,144,0.5,1,4,192,0.10555904786178871,0.10126382857561111,0.08410386554896832,0.12087495811283588,0.1442247674876853,4096
ETTm1,official-last,5,144,0.5,1,4,336,0.10487257048498577,0.10052407160401344,0.08375390060245991,0.11983615718781948,0.1292349287577963,4096
ETTm1,official-last,5,144,0.5,1,4,720,0.10361074380762147,0.09899696335196495,0.08285649865865707,0.1179280374199152,0.11518003459423198,4096
ETTm1,official-last,5,144,0.5,2,3,96,0.1430493132374977,0.13857493549585342,0.11946313083171844,0.1625983715057373,0.0796442584196484,4096
ETTm1,official-last,5,144,0.5,2,3,192,0.143073139279295,0.13905343413352966,0.12102452293038368,0.16135657206177711,0.07020944548094121,4096
ETTm1,official-last,5,144,0.5,2,3,336,0.14645660582755227,0.14331822097301483,0.12482218444347382,0.1642627716064453,0.06668297737269313,4096
ETTm1,official-last,5,144,0.5,2,3,720,0.14666768877032155,0.14382784068584442,0.12581610679626465,0.16398395970463753,0.060185020684002666,4096
ETTm1,official-last,5,144,0.5,2,4,96,0.13457638056706855,0.13020937144756317,0.1081944964826107,0.15748323500156403,0.16498376313575136,4096
ETTm1,official-last,5,144,0.5,2,4,192,0.13203868372829675,0.12810072302818298,0.10658448375761509,0.15370818600058556,0.14928996940398065,4096
ETTm1,official-last,5,144,0.5,2,4,336,0.13138251243253762,0.1267516240477562,0.10555252432823181,0.1524677872657776,0.13374764459695143,4096
ETTm1,official-last,5,144,0.5,2,4,720,0.13020348284271677,0.1259549856185913,0.10455949045717716,0.15191742777824402,0.11852767102936923,4096
ETTm1,official-last,5,144,0.5,3,4,96,0.14132796363446687,0.1346040889620781,0.11318154074251652,0.1605519764125347,0.17511807824121206,4096
ETTm1,official-last,5,144,0.5,3,4,192,0.14074181731575663,0.1357942894101143,0.11491711251437664,0.15890785306692123,0.15818927360669477,4096
ETTm1,official-last,5,144,0.5,3,4,336,0.14015996938178432,0.13489481806755066,0.11411610245704651,0.1583402343094349,0.14310071537693148,4096
ETTm1,official-last,5,144,0.5,3,4,720,0.13851433058061957,0.13356079161167145,0.11320497654378414,0.15621992945671082,0.12724411466842867,4096
