segment,base_mse,shared_control_mse,pooled_multihead_control_mse,target_set_aware_mse,wrong_target_control_mse,target_vs_pooled_multihead_reduction_pct,target_vs_wrong_target_reduction_pct,stabilized_target_set_mse,stabilized_vs_pooled_multihead_reduction_pct,stabilized_vs_wrong_target_reduction_pct,dataset,feature_source
mid_96_192,0.6448965642119215,0.6549575709060298,0.6485955777684175,0.6603529291849871,0.6549086199731246,-1.8127399907693524,-0.8313082231359211,0.6612235435040246,-1.9469706807214677,-0.41077246536408624,ETTm1,memory_plus_coeff
late_192_336,0.7766681279197979,0.7802105224595817,0.7769378091851316,0.7835041073749431,0.8297181008919551,-0.8451510677152462,5.56984275350043,0.7823359795204761,-0.6948008285252874,2.4879113873382352,ETTm1,memory_plus_coeff
tail_336_720,0.8027841695627156,0.7989752240366044,0.8008962591309365,0.7990891908419464,0.8043741326933426,0.22563075659149748,0.6570253364190393,0.7963441270157926,0.5683797449726532,0.4198235344376832,ETTm1,memory_plus_coeff
early_0_96,2.0955658767401983,3.7574674073650063,2.7531584935003623,2.2397728942684947,7.022210801569362,18.647150189277692,68.1044480497803,2.2397728942684947,18.647150189277692,68.10444804978032,Weather,coeff_late
mid_96_192,4.391323258472618,5.747816419853858,4.885281805224641,8.44687735258165,6.642594322629353,-72.90460795010853,-27.16232457257909,8.44687735258165,-72.90460795010853,-27.16232457257909,Weather,coeff_late
late_192_336,9.36557805644777,10.398471618900317,9.729205477803305,10.035886967159119,15.426950007780714,-3.152174039858571,34.94574778489959,10.035886967159119,-3.152174039858571,34.94574778489959,Weather,coeff_late
tail_336_720,9.569835044957651,9.378579587960449,9.189434876816778,10.161818132183042,9.501041249202704,-10.58153486477612,-6.954783856304046,10.161818132183042,-10.58153486477612,-6.954783856304046,Weather,coeff_late
early_0_96,2.0955658767401983,5.569640317485025,5.095009302992384,2.8166432716582293,13.945741107233085,44.717602968772454,79.80284267433194,2.8166432716582293,44.717602968772454,79.80284267433194,Weather,memory_pool
mid_96_192,4.391323258472618,7.829835582776203,7.301130147613446,15.568716521334505,11.24267735479401,-113.23707709036694,-38.47872735310527,15.568716521334505,-113.23707709036694,-38.47872735310529,Weather,memory_pool
late_192_336,9.36557805644777,11.11628335489143,11.077409181021661,11.727970652170326,41.75624816902617,-5.872866665097441,71.91325570080824,11.727970652170326,-5.872866665097441,71.91325570080822,Weather,memory_pool
tail_336_720,9.569835044957651,10.043560465639773,9.688691073694592,20.125373282553692,9.728238991424767,-107.7202496134421,-106.87581072271944,20.125373282553692,-107.7202496134421,-106.8758107227194,Weather,memory_pool
early_0_96,2.0955658767401983,5.981370008868253,5.551233580025424,2.9218537117475547,17.55856855289051,47.365686029479356,83.35938545932005,2.9218537117475543,47.36568602947937,83.35938545932007,Weather,memory_plus_coeff
mid_96_192,4.391323258472618,8.051265378723615,7.641054922674252,18.587992522971078,12.411502550211702,-143.26474172843095,-49.76424045172535,18.587992522971078,-143.26474172843095,-49.76424045172537,Weather,memory_plus_coeff
late_192_336,9.36557805644777,11.424073691889262,11.35752497931033,12.708834993122585,46.24080744280763,-11.897926848269284,72.51597518308617,12.708834993122585,-11.897926848269284,72.51597518308617,Weather,memory_plus_coeff
tail_336_720,9.569835044957651,9.941186538342645,9.611174746963691,21.141885617797662,9.697491085892203,-119.97191992036862,-118.01397320750964,21.141885617797662,-119.97191992036862,-118.01397320750968,Weather,memory_plus_coeff
