dataset,arm,status,protocol_pass,dense_mse_auc,dense_mae_auc,h720_mse,h720_mae,readout_mode,objective_mode,mode_rank,encoder_initialization_hash,decoder_initialization_hash,run_dir,minimum_pairwise_probe_nrmse,mean_pairwise_probe_nrmse,policy_normalized_entropy,policy_usage_max
Weather,pcsd_q1_wide_mcca,ok,True,0.4922347783916573,0.32295835966107383,0.5895591867259807,0.3897993716825214,siff-q1-wide-control,mcca_transport_full,430,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,c7cf1d641697a60bb896e98314c5d020d79e2d827673b6802aa8c26c53c0d06f,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_q1_wide_mcca/Weather/h720_full/seed2021,0.0535472190858995,0.42563246793110426,0.9892814997524162,0.2122983296657532
Weather,independent_scope_matched_mcca,ok,True,0.49184995805686804,0.3201133111001401,0.5889913260729777,0.3869198595898019,siff-independent-scope-control,mcca_transport_full,116,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,8828e47bb0fcacba2798493596efe690444298c4da15bb8d99673e218d89f368,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/independent_scope_matched_mcca/Weather/h720_full/seed2021,0.3649245676887252,0.55627966793958,0.9698233181480976,0.21246840140176393
Weather,dense_siff_matched,ok,True,0.4972546697368815,0.3241068699544582,0.5891671540008651,0.3867282297462225,siff-dense-nonlinear-matched,measure_only,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,fd34df4b743e309b9cf5884ec7c20a3ddabe9920c4a38f1ebcdc812102de5341,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/dense_siff_matched/Weather/h720_full/seed2021,,,,
Weather,pcsd_pointwise_mcca,ok,True,0.4899627649566914,0.32158702083717716,0.587169292382896,0.388704366185185,pcsd-coupling-field,mcca_pointwise_full,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_pointwise_mcca/Weather/h720_full/seed2021,0.2321696395504624,0.7009914826710342,0.9928730574818538,0.2171512591119277
Weather,pcsd_uniform_balanced_ot,ok,True,0.49165993946665837,0.3213915261222336,0.5890296273347404,0.3882871725389527,pcsd-coupling-field,mcca_uniform_balanced,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_post_pcc_step7b/pcsd_uniform_balanced_ot/Weather/h720_full/seed2021,0.05156843791414813,0.4490861919795868,0.9779155718371675,0.20211185044821497
ETTh1,a6,ok,True,1.1704109382059409,0.7349016880901598,1.4085524039963881,0.8232658363464805,learned-basis-forecast-operator,not_applicable,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/a6/ETTh1/h720_full/seed2021,,,,
ETTh1,pcsd_direct,ok,True,1.1795412341007072,0.7422351926596841,1.4144875179976224,0.8300801897214518,pcsd-coupling-field,not_applicable,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,81ca544cc0000d2058061b296b2f9170eb4eb26bdc20b80477cd93ecd866a277,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/pcsd_direct/ETTh1/h720_full/seed2021,0.14490290644084397,0.727882357061496,0.7140271690857716,0.6347221168804867
ETTh1,dense_matched,ok,True,1.2162847145279045,0.7533917029188204,1.4364184486783214,0.8356538194335169,pcsd-dense-nonlinear-matched,not_applicable,256,c2c2e9b86495fab13cd35f89d3d908f66c5c89cdf37a5bbfcbcb0ad4f3c27cbe,9caffb178020ac236fc359a3961b3fd93e314d4a40e631abd43f0ea099b93249,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/dense_matched/ETTh1/h720_full/seed2021,,,,
ETTh2,a6,ok,True,0.4284055871073221,0.4468362243325015,0.6463289392284222,0.5578593726166421,learned-basis-forecast-operator,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/a6/ETTh2/h720_full/seed2021,,,,
ETTh2,pcsd_direct,ok,True,0.43989416516812924,0.4563423745915661,0.6487552559624116,0.561301284780105,pcsd-coupling-field,not_applicable,256,3b8977b5bc25ce41e6d0d7dfa6abdabb4baa41d4420a9d94b2bb3fdb625ef41e,17707fc94e12839db1bc4454b5eb5bd3639d884d4cfa01a22c3ed19a876c396b,/home/yingch/exp_outputs/r-2026-fatst/stage_c_pcsd_cf_step7b/pcsd_direct/ETTh2/h720_full/seed2021,0.0793694513882188,0.3457259459274452,0.8363778242895881,0.5006580307212611
