phase,trial_id,profile_id,source_prior,seq_len,patch_num,patch_len,d_model,d_ff,dropout,learning_rate,weight_decay,batch_size,gradient_accumulation_steps,mode_rank,layer_norm,max_epochs,early_stopping_patience,h96_mse,h96_mae,h192_mse,h192_mae,h336_mse,h336_mae,h720_mse,h720_mae,mean_mse_4h,mean_mae_4h,main_ii_best_cells,h192_normalized_gap,h336_normalized_gap
H5A,ETTh1__h5a_lr3p5e4,h5a_lr3p5e4,optimizer_upper_interpolation,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,90,18,0.3510027906369913,0.3898567431791082,0.3775301454413372,0.40524035903860584,0.3932467565808722,0.41847732738122045,0.4494312798115406,0.46525382005493376,0.3928027431176853,0.4197070624134671,2,0.007403824566814987,0.003291496618903156
H5A,ETTh1__h5a_lr4e4,h5a_lr4e4,optimizer_upper_boundary,720,24,30.0,32,32,0.1,0.0004,0.01,32,1,109,1,90,18,0.3510918986683371,0.3896687752561329,0.3777006631552479,0.4049298886296631,0.39393692267943226,0.41819003953996037,0.4506608651142187,0.465422887710321,0.39334758740430903,0.4195528977840194,1,0.007245024293642821,0.003824272649516236
H5A,ETTh1__h5a_patch12,h5a_patch12,encoder_granularity_lower_neighbor,720,12,60.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.3669419640098035,0.4053950962746495,0.3918952424952426,0.4217081136976548,0.40751205989097167,0.4362631741379782,0.47137809119691604,0.48201592725112263,0.40943183939823347,0.43634557784035133,0,0.04703956921959551,0.04281795713101155
H5A,ETTh1__h5a_seq336_p12,h5a_seq336_p12,short_lookback_by_granularity_interaction,336,12,28.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.3531098006967692,0.3832582588621299,0.38625724150648294,0.40225426064081754,0.4074810573515984,0.41927480781838955,0.4547564847845366,0.4620053365351,0.4004011460848468,0.41669816596410925,2,0.015325899920108577,0.02235980417795813
H5A,ETTh1__h5a_seq336_p24,h5a_seq336_p24,historical_short_lookback_with_low_capacity,336,24,14.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.3588947069750858,0.38589158718820527,0.3903076058346347,0.40372513851389374,0.4097197289523455,0.4190232442632706,0.4548211078393752,0.4590801485857395,0.4034357874003603,0.41693002963777726,2,0.02255583578186826,0.024905626833899297
H5A,ETTh1__h5a_seq512_p16,h5a_seq512_p16,lookback_by_granularity_interaction,512,16,32.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.3573187418133713,0.3941101087443807,0.3845132240452632,0.41202042219488344,0.3953869507935567,0.42443634190340607,0.45806121479470746,0.4714672181352129,0.3988200328617247,0.42550852274447076,0,0.025147510412195984,0.013176667089199734
H5A,ETTh1__h5a_seq512_p32,h5a_seq512_p32,lookback_by_fine_granularity_interaction,512,32,16.0,32,32,0.1,0.0003,0.01,32,1,109,1,90,18,0.3625046477826998,0.39162024466063466,0.39495857560204944,0.41005359035368083,0.4175280441449672,0.4267859045142905,0.4662108171977306,0.46896831954457424,0.4103005211818618,0.42435701476829507,0,0.036628337561042,0.044169990575523954
H5A,ETTh1__h5a_wd1e3,h5a_wd1e3,optimizer_regularization_boundary,720,24,30.0,32,32,0.1,0.0003,0.001,32,1,109,1,90,18,0.35174671078886854,0.39104981451501647,0.3779709564070884,0.40634788049294174,0.39333536117327805,0.41965588087130806,0.44992120395058105,0.46633645957369785,0.39324355807995404,0.420847508863241,2,0.009369086767836432,0.004820755745093663
H5B,ETTh1__h5b_budget120_anchor,h5b_budget120_anchor,H5A_best_budget_extension,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3508242041282944,0.38972538956832,0.37744387138138835,0.4051600509671751,0.3931630716297948,0.4184019487384038,0.449252170280192,0.4651797478938038,0.3926708293549174,0.41961678429192567,2,0.007188906825899788,0.0030944278851883222
H5B,ETTh1__h5b_d48_ff48,h5b_d48_ff48,single_moderate_capacity_probe,720,24,30.0,48,48,0.1,0.00035,0.01,32,1,109,1,120,24,0.3748832745493484,0.4065215244856696,0.3983766958690318,0.4213055998920932,0.4158004314263477,0.43545383220781353,0.49104903673349243,0.4922836109424295,0.42002735964455507,0.4388911418820015,0,0.0551808679896707,0.05239019234142983
H5B,ETTh1__h5b_dropout02,h5b_dropout02,learning_rate_regularization_interaction,720,24,30.0,32,32,0.02,0.00035,0.01,32,1,109,1,120,24,0.3514345582248238,0.39058868687361126,0.3775208664981823,0.4056320829070772,0.39275077976978545,0.41846861200727664,0.44834113488840255,0.4647273008032767,0.39251183484529856,0.41985417064781044,2,0.007878671384488278,0.0026500076552727347
H5B,ETTh1__h5b_dropout05,h5b_dropout05,learning_rate_regularization_interaction,720,24,30.0,32,32,0.05,0.00035,0.01,32,1,109,1,120,24,0.3508676192544534,0.39002819643526854,0.3772220671352197,0.4052671533117382,0.3927457883734842,0.4183093865590161,0.44820221973512836,0.4645449310012729,0.3922594236245714,0.419537416826824,2,0.007026379702355312,0.0024522805376014367
H5B,ETTh1__h5b_dropout08,h5b_dropout08,learning_rate_regularization_interaction,720,24,30.0,32,32,0.08,0.00035,0.01,32,1,109,1,120,24,0.35091222391340604,0.3898823329981671,0.377373618315599,0.40521414271918627,0.39292022956246786,0.4183248352977521,0.44884899968380393,0.4649485172623501,0.3925137678688192,0.4195924570693639,2,0.007162514370035344,0.002692784088138611
H5B,ETTh1__h5b_dropout12,h5b_dropout12,learning_rate_regularization_interaction,720,24,30.0,32,32,0.12,0.00035,0.01,32,1,109,1,120,24,0.3510239167640007,0.39005892947036397,0.3774438166065382,0.4053309113793782,0.3930996790639616,0.41847636387216597,0.4492042149113473,0.4652148343726281,0.39269290683646196,0.4197702597736341,2,0.007401346743267645,0.0031032170323487263
H5B,ETTh1__h5b_dropout15,h5b_dropout15,learning_rate_regularization_interaction,720,24,30.0,32,32,0.15,0.00035,0.01,32,1,109,1,120,24,0.3508936527204279,0.3898956843512337,0.37746540081787083,0.4053569960030184,0.3932296787582635,0.41859587757634187,0.44921060262405565,0.4652220869596958,0.39269983373015444,0.4197676612225725,2,0.007462569253452567,0.0034122573245130017
H5B,ETTh1__h5b_lr3p2e4,h5b_lr3p2e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00032,0.01,32,1,109,1,120,24,0.3511285265656351,0.39027401491554214,0.3775893288991478,0.4057130575689961,0.39301825901373577,0.4189643691983982,0.449293147090772,0.46563692527644523,0.3927573153923226,0.42014709173984544,2,0.008070669339406145,0.003586174045448476
H5B,ETTh1__h5b_lr3p3e4,h5b_lr3p3e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00033,0.01,32,1,109,1,120,24,0.3511500012145918,0.3901930728214485,0.3775793995173041,0.4055638347709333,0.39304686770139863,0.41876931280940705,0.4491959753999321,0.46543649440668927,0.39274306095830663,0.41999067870211954,2,0.00787182966851152,0.0033881290916727425
H5B,ETTh1__h5b_lr3p4e4,h5b_lr3p4e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00034,0.01,32,1,109,1,120,24,0.35101586589010847,0.39000268494207924,0.3774934494122894,0.4053826007854346,0.39304943581459545,0.41857091634047544,0.449169361514954,0.4652889495563709,0.3926820281579868,0.41981128790609,2,0.007531814123642788,0.003152939116872644
H5B,ETTh1__h5b_lr3p6e4,h5b_lr3p6e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00036,0.01,32,1,109,1,120,24,0.3507724503974728,0.38966635234813785,0.37740672243012363,0.40505117434192917,0.39331444490479966,0.41833618854206933,0.44952006529559574,0.4652388256758676,0.39275342075699793,0.419573135227001,2,0.007003956202763284,0.0032079760515447697
H5B,ETTh1__h5b_lr3p7e4,h5b_lr3p7e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00037,0.01,32,1,109,1,120,24,0.3506139077772656,0.3894258532454044,0.3773415983606205,0.4048361068724737,0.393449061165922,0.41818798711751004,0.44980886584462354,0.4652797651962733,0.3928033582871079,0.41943242810791537,2,0.006649627257535817,0.00320111684712332
H5B,ETTh1__h5b_lr3p8e4,h5b_lr3p8e4,fine_learning_rate,720,24,30.0,32,32,0.1,0.00038,0.01,32,1,109,1,120,24,0.35080907490725716,0.3895387265727605,0.37750767068132934,0.4048790496068187,0.39368850364862906,0.41821676816695424,0.4501544780853149,0.46536179311612913,0.39303993183063257,0.41949908436566563,1,0.006924468379606585,0.0035403436565457636
H5B,ETTh1__h5b_lr4e4_budget120,h5b_lr4e4_budget120,H5A_MAE_frontier_budget_extension,720,24,30.0,32,32,0.1,0.0004,0.01,32,1,109,1,120,24,0.3507663199810678,0.3893967633598986,0.3775018940792408,0.4047377838166342,0.3938225695157942,0.41805208707725233,0.45024126389486013,0.46514592161354196,0.3930830118677407,0.4193331389668318,1,0.0067410625243535804,0.003512976915524546
H5B,ETTh1__h5b_lr4p2e4,h5b_lr4p2e4,expanded_learning_rate_upper_boundary,720,24,30.0,32,32,0.1,0.00042,0.01,32,1,109,1,120,24,0.3509789375426377,0.38940516939392267,0.37768767668059317,0.40459633477196544,0.39415946980614747,0.41786596021858097,0.4508518982408245,0.4651688988831061,0.39341949556755074,0.41925909081689383,1,0.006812841011892168,0.003717893072456846
H5B,ETTh1__h5b_patch18,h5b_patch18,patch_neighborhood,720,18,40.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.36205954622224584,0.40079325155586193,0.3900218037341773,0.4182004256205032,0.40475685441137266,0.4315937639327461,0.4583847240325992,0.47330322106209743,0.40380573210009874,0.4309726655428021,0,0.0401788547556482,0.0337003347667727
H5B,ETTh1__h5b_patch30,h5b_patch30,patch_neighborhood,720,30,24.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3694547106630091,0.40699061881741133,0.39189192340142376,0.42027167876633653,0.40387589724111594,0.43156251937638346,0.46013329180523976,0.47469956236815875,0.4063389557776972,0.4333810948320725,0,0.04524853315007815,0.03254197056427066
H5B,ETTh1__h5b_patch36,h5b_patch36,patch_upper_boundary,720,36,20.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3710871680357705,0.40224863033757235,0.3998183967398402,0.4173025532943061,0.4193246608701553,0.43215862386464743,0.4655552412416442,0.47289637164183673,0.41394636672185253,0.4311515447845907,0,0.05212422213857559,0.052913357863546784
H5B,ETTh1__h5b_rank128,h5b_rank128,decoder_rank_range,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,128,1,120,24,0.3775851851524169,0.4045423946663149,0.41228921140568636,0.42627632860387715,0.4279541453267015,0.43829974492978846,0.47534981064735604,0.47962526624619906,0.4232945881330402,0.4371859336115449,0,0.07991338710295137,0.07127350084811945
H5B,ETTh1__h5b_rank160,h5b_rank160,decoder_rank_upper_range,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,160,1,120,24,0.3745051517453656,0.4060811494771836,0.406692231320972,0.42475493918667456,0.43274606958595657,0.44468272305601436,0.48142708778034055,0.48619436547546047,0.42384263510815867,0.44042829429883323,0,0.07055847159546835,0.08504194530721398
H5B,ETTh1__h5b_rank80,h5b_rank80,decoder_rank_range,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,80,1,120,24,0.36105733022817615,0.3925364159313683,0.3894266079331827,0.40833728711772554,0.40389771581043316,0.42054670266653865,0.4489169524405238,0.46107135670225413,0.40082465160307895,0.42062294060447164,2,0.027117675151862364,0.019329565243595526
H5B,ETTh1__h5b_rank96,h5b_rank96,decoder_rank_range,720,24,30.0,32,32,0.1,0.00035,0.01,32,1,96,1,120,24,0.3561092832593901,0.39233490679978167,0.3849744279016173,0.4086634429675807,0.41102589710634935,0.42804885646613916,0.4618515066234045,0.47215750642259463,0.40349027872269033,0.4253011781640241,0,0.02158710158969457,0.03741550996841969
H5B,ETTh1__h5b_seq576_p18,h5b_seq576_p18,expanded_context_patch,576,18,32.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.35357465283256456,0.38548730382541624,0.38673826756436275,0.40500973085378816,0.4055629862409425,0.42022175174189713,0.4531716540083826,0.4612606626647809,0.3997618901615631,0.4179948622714706,2,0.01939446975470771,0.02105766389826058
H5B,ETTh1__h5b_seq640_p20,h5b_seq640_p20,expanded_context_patch,640,20,32.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.34648897731278727,0.3852058985545884,0.3771911102542464,0.4034436416914381,0.3965074684566396,0.41912452840781417,0.445324525717094,0.46124745310194715,0.3913780204351919,0.41725538043894694,4,0.004717054582077385,0.00821787085973602
H5B,ETTh1__h5b_seq640_p32,h5b_seq640_p32,expanded_context_patch,640,32,20.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3770521825365252,0.4060019965984945,0.4008027318421034,0.41962478589310487,0.41445532789141304,0.430810751059695,0.4634240877524788,0.47294898474352326,0.41393358250563017,0.4323466295737044,0,0.056325017945074274,0.04509823830889115
H5B,ETTh1__h5b_seq672_p21,h5b_seq672_p21,expanded_context_patch,672,21,32.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.35147344248914936,0.38855828046858665,0.38184686611206764,0.40621063424670983,0.3953273524230187,0.41839351960974575,0.4529826080688736,0.4658678413886613,0.3954075672732773,0.41975756892842586,0,0.01436626208811731,0.005837834625800786
H5B,ETTh1__h5b_seq672_p28,h5b_seq672_p28,expanded_context_patch,672,28,24.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3614743955043841,0.3991203646770896,0.39317734488232936,0.41830279106269735,0.4131363516462072,0.43472182773061685,0.4671199547448507,0.4782018911995233,0.4087270116944428,0.4325867186674818,0,0.0445135631549185,0.048120964789325926
H5B,ETTh1__h5b_seq768_p24,h5b_seq768_p24,expanded_context_patch,768,24,32.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.35612829466512086,0.3951245103946043,0.3870293894091526,0.4131488645853946,0.4063779355774744,0.4300416651675207,0.4658499898178662,0.4769424171802944,0.40384640236740355,0.4288143643319535,0,0.029905932875629593,0.033897275674866
H5B,ETTh1__h5b_seq768_p32,h5b_seq768_p32,expanded_context_patch,768,32,24.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.362552521950156,0.39928989919250396,0.38641444183754287,0.41416020338251947,0.39987182024196066,0.4273223374824129,0.463695633197352,0.4759920356652609,0.4031336043067529,0.4291911189306743,0,0.03034388685617584,0.02235135254955689
H5B,ETTh1__h5b_seq840_p28,h5b_seq840_p28,expanded_context_upper_range,840,28,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3670015376051859,0.40275183247299035,0.3959915090084626,0.419721548971675,0.41376547722551754,0.43541087478662155,0.4734739913750744,0.4816532015169542,0.41255812880356013,0.4348843644370603,0,0.050030406254660265,0.049749560570064966
H5B,ETTh1__h5b_seq960_p32,h5b_seq960_p32,expanded_context_far_upper_range,960,32,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.38061102512893136,0.4053103111862412,0.4074804213481948,0.4218117437295435,0.41742755469180204,0.43225811315663554,0.4574147026285887,0.46786085589296833,0.41573342594937923,0.43181025599134715,0,0.06794870076468695,0.050619315247441454
H5B,ETTh1__h5b_wd0,h5b_wd0,optimizer_regularization_interaction,720,24,30.0,32,32,0.1,0.00035,0.0,32,1,109,1,120,24,0.3508067379950756,0.38965349508891856,0.37738652510227855,0.4050986790797459,0.39308277666957714,0.4183595458109876,0.449116581526415,0.4650973139946487,0.39259815532333664,0.41955225849357525,2,0.007036111927100075,0.0029413063902616887
H5B,ETTh1__h5b_wd1e3,h5b_wd1e3,optimizer_regularization_interaction,720,24,30.0,32,32,0.1,0.00035,0.001,32,1,109,1,120,24,0.3509110505481323,0.38973238424001977,0.37748051879483213,0.40516405237276343,0.39321988186116263,0.41842482687478677,0.4493254676733514,0.4652256536400395,0.3927342297193696,0.4196367292819024,2,0.007242746916446996,0.003194203293314768
H5B,ETTh1__h5b_wd1e4,h5b_wd1e4,optimizer_regularization_interaction,720,24,30.0,32,32,0.1,0.00035,0.0001,32,1,109,1,120,24,0.35098537423476317,0.38984377956286914,0.37750040774091415,0.40520783398975596,0.3931690796880827,0.41842885843385946,0.449210879660819,0.46515889421104173,0.39271643533114475,0.41965984154938163,2,0.007323720258726296,0.003134415109210309
H5B,ETTh1__h5b_wd3e2,h5b_wd3e2,expanded_optimizer_regularization_boundary,720,24,30.0,32,32,0.1,0.00035,0.03,32,1,109,1,120,24,0.3507270563062419,0.3896553398270419,0.3773206282129331,0.40506225084584385,0.39306450029170764,0.4183127149092158,0.4492476417588276,0.46516192737119144,0.3925899566424276,0.4195480582383233,2,0.006902940659338497,0.002861766859562076
H5B,ETTh1__h5b_wd3e3,h5b_wd3e3,optimizer_regularization_interaction,720,24,30.0,32,32,0.1,0.00035,0.003,32,1,109,1,120,24,0.3507752935491289,0.38967865318590966,0.377379991804216,0.40512854272366744,0.39309395420553933,0.41836965392821496,0.44907877428944165,0.46507856092229644,0.3925820034620815,0.4195638526900221,2,0.007064544698739961,0.0029676763532884287
H5C,ETTh1__h5c_ctx570_p19,h5c_ctx570_p19,local_context_patch_refinement,570,19,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3499284216026876,0.38631094468986993,0.378547574843335,0.4034762971797721,0.399305476683389,0.4204368411748037,0.4578839105070613,0.4681703218402974,0.39641634590911823,0.41959860122118575,2,0.006566290313217982,0.013354976762782744
H5C,ETTh1__h5c_ctx589_p19,h5c_ctx589_p19,local_context_patch_refinement,589,19,31.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.34765219008927334,0.38550472852279116,0.3770968450855089,0.40300964353117413,0.3956453016526286,0.41846526336948403,0.44796371483684555,0.46202589775482256,0.39208951291606414,0.417251383294568,3,0.004051568983631348,0.00632858066555575
H5C,ETTh1__h5c_ctx594_p18,h5c_ctx594_p18,local_context_patch_refinement,594,18,33.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3612422673976586,0.3975948208018041,0.38687835651276936,0.4136576785507962,0.40032325130163104,0.42703042580719996,0.4681492149631142,0.47732348850909556,0.40414827254379326,0.42890160341722394,0,0.030337408871249916,0.02257483694126816
H5C,ETTh1__h5c_ctx600_p20,h5c_ctx600_p20,local_context_patch_refinement,600,20,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3745538044897018,0.4006017810218633,0.4026039945571503,0.41764526255517215,0.42030290216778754,0.43198343761787755,0.4753996593284637,0.4777680775525637,0.41821509013577585,0.43199963968686916,0,0.05626460786124032,0.053947379274397855
H5C,ETTh1__h5c_ctx608_p19,h5c_ctx608_p19,local_context_patch_refinement,608,19,32.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3578274384089043,0.3898147396259277,0.3888498164637477,0.40868072234558406,0.408367448693504,0.4256840625003699,0.46224196131985057,0.4710513640877243,0.4043216662215016,0.4238077221399015,0,0.02677577810288756,0.031190959639676996
H5C,ETTh1__h5c_ctx608_p19_do05,h5c_ctx608_p19_do05,context_dropout_joint,608,19,32.0,32,32,0.05,0.00035,0.01,32,1,109,1,120,24,0.3592899216844148,0.39052517185002755,0.39015941152552597,0.4092342177412995,0.40961084463594205,0.42615467818791625,0.46308063642635233,0.4713058295467361,0.40553520356805883,0.42430497433149483,0,0.029210331961024072,0.03333853217484761
H5C,ETTh1__h5c_ctx620_p20,h5c_ctx620_p20,local_context_patch_refinement,620,20,31.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3536700826290415,0.38916313674127545,0.3788229475275019,0.40390727303996143,0.39499955742588716,0.4176114248625543,0.4467943680764294,0.461676918351242,0.393571738914715,0.41808968824875825,1,0.007469493519208226,0.004480774919727759
H5C,ETTh1__h5c_ctx620_p20_do05,h5c_ctx620_p20_do05,context_dropout_joint,620,20,31.0,32,32,0.05,0.00035,0.01,32,1,109,1,120,24,0.35450775155109204,0.38964270240802,0.3794173578320053,0.4042138307230557,0.39552804342872083,0.41786563118231307,0.44682851663971884,0.46160047714866154,0.39407041736288423,0.4183306603655126,1,0.008643331242494279,0.005458685411152242
H5C,ETTh1__h5c_ctx627_p19,h5c_ctx627_p19,local_context_patch_refinement,627,19,33.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3563984008111011,0.39093896122220373,0.38706865307479776,0.408992999352701,0.40565706515837296,0.4238707081601852,0.46501560081715193,0.4725301560584679,0.40353492996535595,0.4240832061983894,0,0.024789297821995238,0.02556312210326117
H5C,ETTh1__h5c_ctx630_p21,h5c_ctx630_p21,local_context_patch_refinement,630,21,30.0,32,32,0.1,0.00035,0.01,32,1,109,1,120,24,0.3528924227626232,0.38978687409272733,0.3776463171717656,0.40428475940923797,0.3912051303603299,0.41643850971360463,0.4457762813017369,0.46191308550785926,0.3918800378991139,0.41810580718085727,3,0.00637016345444108,-0.001756494215649329
