dataset,phase,trial_id,profile_id,test_mean_mse_4h,test_mean_mae_4h,published_targets_available,lead_mse_cells,lead_mae_cells,lead_total_cells,balanced_relative_score,validation_mean_mse_4h,trainable_parameters,dataset_joint_mean_score,mse_ratio_to_dataset_best,mae_ratio_to_dataset_best,joint_mean_score_ratio_to_dataset_best,joint_mean_guard_pass,pareto_frontier
ETTm2,H2,ETTm2__h2_dropout5,h2_dropout5,0.2520095121779422,0.3106399428519262,True,0,0,0,1.037265097177998,0.18348483807030355,4644685,1.037265097177998,1.0121098892910303,1.0129470898189714,1.0132927044170648,False,False
ETTm2,H2,ETTm2__h2_hybrid,h2_hybrid,0.2508489667215481,0.3103888373577181,True,0,0,0,1.0345609103786635,0.18275839605184813,4644685,1.0345609103786635,1.0074489559665816,1.012128275028895,1.0106510144936292,False,False
ETTm2,H2,ETTm2__h2_lookback336,h2_lookback336,0.2663439624213759,0.3110911561297885,True,0,0,0,1.0662158039888918,0.18186685068542988,9015629,1.0662158039888918,1.0696792989674613,1.0144184240347265,1.0415743270022717,False,False
ETTm2,H4J,ETTm2__h4j_budget45,h4j_budget45,0.250891539170386,0.3103049721572226,True,0,0,0,1.0345012354408825,0.18276451890937068,4644685,1.0345012354408825,1.007619933625749,1.0118548040450959,1.0105927187124883,False,False
ETTm2,H4J,ETTm2__h4j_dropout2,h4j_dropout2,0.2504124257241838,0.3101101112588315,True,0,0,0,1.0330226793359683,0.18246089552888567,4644685,1.0330226793359683,1.0056957385713532,1.0112193938717207,1.009148333744502,True,False
ETTm2,H4J,ETTm2__h4j_effective_batch16,h4j_effective_batch16,0.2530498139515661,0.30909994517100764,True,0,0,0,1.0353045806639616,0.18382063351007039,4644685,1.0353045806639616,1.0162879050485796,1.0079254040856656,1.0113774977008965,False,False
ETTm2,H4J,ETTm2__h4j_lr2e4,h4j_lr2e4,0.2561205975790694,0.31059130072288405,True,0,0,0,1.0448088872429224,0.1819190760611996,4644685,1.0448088872429224,1.0286206557071125,1.0127884756285246,1.0206621487927008,False,False
ETTm2,H4J,ETTm2__h4j_lr3e4,h4j_lr3e4,0.2631381259433206,0.3134834870818455,True,0,0,0,1.0638106440151212,0.18234288687489758,4644685,1.0638106440151212,1.056804154791956,1.0222194320233389,1.0392247530495684,False,False
ETTm2,H4J,ETTm2__h4j_lr5e5,h4j_lr5e5,0.25457508807558227,0.309465046124908,True,0,0,0,1.0389870717658494,0.18255923632225152,4644685,1.0389870717658494,1.022413646142457,1.0091159398079819,1.0149748821860927,False,False
ETTm2,H4J,ETTm2__h4j_rank128,h4j_rank128,0.2514067611288354,0.3092329861734012,True,0,0,0,1.0334488718795218,0.18249356282712328,5352645,1.0334488718795218,1.0096891461519746,1.0083592294816013,1.0095646764868103,True,False
ETTm2,H4J,ETTm2__h4j_rank64,h4j_rank64,0.24899421974275104,0.3066694657343279,True,0,0,0,1.0236579150885372,0.18325522039598408,3293125,1.0236579150885372,1.0,1.0,1.0,True,True
ETTm2,H4J,ETTm2__h4j_seq512,h4j_seq512_patch16,0.2575937023170009,0.3089268514493847,True,0,0,0,1.0439403894155284,0.18155690395404467,6111565,1.0439403894155284,1.0345368763304403,1.0073609731886786,1.0198137229518094,False,False
Exchange,H1,Exchange__h1_conservative,h1_conservative_anchor,0.5117021617496933,0.4839786316614514,False,,,,,0.8242080897649026,5313669,1.2107722003390284,1.2829886885861248,1.1385557120919323,1.2107722003390284,False,False
Exchange,H1,Exchange__h1_timealign,h1_timealign_source_prior,0.5374014439156896,0.4818063402046105,False,,,,,0.9296547133324942,2740005,1.2404349028413826,1.3474243912046433,1.133445414478122,1.2404349028413826,False,False
Exchange,H2,Exchange__h2_dropout3,h2_dropout3,0.5111618023885889,0.4838323017175438,False,,,,,0.8338059814671787,5313669,1.2099226599677628,1.2816338478215323,1.1382114721139933,1.2099226599677628,False,False
Exchange,H2,Exchange__h2_lookback336,h2_lookback336,0.39883606636750457,0.42508120289714263,False,,,,,0.7142016496495108,5312645,1.0,1.0,1.0,1.0,True,True
Exchange,H2,Exchange__h2_lr5e5,h2_lr5e5,0.568182126947331,0.5122238951844639,False,,,,,0.7114293999851234,5313669,1.3148015644660207,1.4246006689469846,1.2050024599850566,1.3148015644660207,False,False
Exchange,H4J,Exchange__h4j_seq192,h4j_seq192,0.4255906952147549,0.43818938004224317,False,,,,,0.5687321022669263,5312261,1.0489593234104815,1.0670817689356045,1.0308368778853587,1.0489593234104815,False,False
Exchange,H4J,Exchange__h4j_seq512,h4j_seq512_patch16,0.45690599576291824,0.45105256759728607,False,,,,,0.9349816986837328,3618053,1.1033479553670569,1.1455984909396473,1.0610974197944663,1.1033479553670569,False,False
Solar,H1,Solar__h1_conservative,h1_conservative_anchor,0.2110196626303203,0.22717185438710064,True,0,0,0,1.0900063795126815,0.1397540541401314,839621,1.0900063795126815,1.1118775107882097,1.081726341633856,1.092037118458932,False,False
Solar,H1,Solar__h1_timealign,h1_timealign_source_prior,0.19615704430486564,0.218267024144374,True,0,0,0,1.0313938273974892,0.13365402614070926,1487685,1.0313938273974892,1.0335653247979772,1.039324128264055,1.033315368090815,False,False
Solar,H2,Solar__h2_dropout1,h2_dropout1,0.20628388720698995,0.22700456596852414,True,0,0,0,1.0791357979620326,0.13060739479176212,1487685,1.0791357979620326,1.0869243755035174,1.0809297628080474,1.0811462844457853,False,False
Solar,H2,Solar__h2_ff512,h2_ff512,0.2109175219295796,0.22610976037980202,True,0,0,0,1.0895302790480044,0.13169045680268837,1750341,1.0895302790480044,1.1113393242198393,1.07666895867554,1.0915601309941656,False,False
Solar,H2,Solar__h2_lookback336,h2_lookback336,0.20794588493028773,0.22022326243228266,True,0,0,0,1.066307677463433,0.13792264045530048,1389381,1.066307677463433,1.0956815589265303,1.0486391663978623,1.068294264487152,False,False
Solar,H3A,Solar__h3a_budget45,h3a_budget45,0.19751392005031562,0.2225387281657219,True,0,0,0,1.045091463926247,0.13135548802481878,1487685,1.045091463926247,1.0407147989630594,1.0596647412155233,1.0470385240334894,False,False
Solar,H3A,Solar__h3a_dropout4,h3a_dropout4,0.1968426210423009,0.2210940705434276,True,0,0,0,1.0397663315499033,0.13197699998605197,1487685,1.0397663315499033,1.0371776770630325,1.052785701517168,1.041703470656761,False,False
Solar,H3A,Solar__h3a_effective_batch16,h3a_effective_batch16,0.20362950402016164,0.22387470044820285,True,0,0,0,1.0644577897175032,0.13160269971466199,1487685,1.0644577897175032,1.0729382429618353,1.0660262529157791,1.066440930303511,False,False
Solar,H3A,Solar__h3a_lr3e4,h3a_lr3e4,0.19334096245908317,0.21914262484076244,True,0,0,0,1.0256329190590756,0.13199401475321215,1487685,1.0256329190590756,1.0187271905983704,1.0434934842812946,1.0275437268785867,False,False
Solar,H3A,Solar__h3a_patch2,h3a_patch2,0.21411698790600092,0.22519602885602702,True,0,0,0,1.0965423914248043,0.1297771594665334,2243397,1.0965423914248043,1.1281975364895984,1.0723180347412555,1.0985853073034035,False,False
Solar,H3A,Solar__h3a_patch4,h3a_patch4,0.1989303782154878,0.2143302098471308,True,0,1,1,1.0290933996548377,0.12680160261490586,3893061,1.0290933996548377,1.0481782171071135,1.0205781628409258,1.0310106545308528,False,False
Solar,H3A,Solar__h3a_rank64,h3a_rank64,0.1964704054202679,0.21907016982795724,True,0,0,0,1.0335149786410451,0.1313377201967847,1066565,1.0335149786410451,1.0352164466537717,1.0431484745698307,1.0354404711501788,False,False
Solar,H3A,Solar__h3a_wd5e2,h3a_wd5e2,0.1971575873465412,0.22214250216249773,True,0,0,0,1.0429996622671036,0.1311589615477599,1487685,1.0429996622671036,1.0388372567722202,1.0577780281538007,1.0449428252383504,False,False
Solar,H3B,Solar__h3b_lr2e4,h3b_lr2e4,0.19361573468108706,0.2171240423564863,True,0,0,0,1.0212316287967411,0.13272681445777712,1487685,1.0212316287967411,1.0201749848485708,1.0338815812051265,1.0231342367820884,False,False
Solar,H3B,Solar__h3b_lr3e4_dropout4,h3b_lr3e4_dropout4,0.1927227740603572,0.21792296470366088,True,0,0,0,1.0210021175665485,0.13223211860797224,1487685,1.0210021175665485,1.0154699122509128,1.037685817210464,1.022904297960459,False,False
Solar,H3B,Solar__h3b_lr3e4_rank64,h3b_lr3e4_rank64,0.19185549780934363,0.22051819461646657,True,1,0,1,1.0241590040832576,0.13382428071807168,1066565,1.0241590040832576,1.010900172411872,1.0500435477350138,1.0260670659220101,False,False
Solar,H3B,Solar__h3b_lr4e4,h3b_lr4e4,0.1964184261521662,0.22131761839061007,True,0,0,0,1.0391295545930137,0.1317536226031763,1487685,1.0391295545930137,1.0349425642178456,1.0538501713898343,1.0410655073510657,False,False
Solar,H4J,Solar__h4j_dropout4_budget60,h4j_dropout4_budget60,0.19264662400623664,0.21840311639461704,True,0,0,0,1.0219044522174086,0.13220278539862076,1487685,1.0219044522174086,1.0150686722358042,1.0399721600036265,1.0238083137080105,False,False
Solar,H4J,Solar__h4j_dropout4_lr2e4,h4j_dropout4_lr2e4,0.19356180790512634,0.21690320027890886,True,1,0,1,1.0203928038703087,0.13327559853869533,1487685,1.0203928038703087,1.0198908408561456,1.03282999542087,1.0222938490809061,False,False
