dataset,trial_id,profile_id,seed,horizon,val_mse,val_mae,test_mse,test_mae,checkpoint_sha256,validation_complete,test_complete
ETTm2,ETTm2__h4l_d32_ff64_r32,h4l_d32_ff64_r32,2021,192,0.15003436743669832,0.26375610183458775,,,42fd2ced2552b919bf95714bea1a843c35b9f5cee42c16a7f707651ecedfbe8f,True,False
ETTm2,ETTm2__h4l_d32_ff64_r32,h4l_d32_ff64_r32,2021,336,0.19310813899418072,0.2991776168568149,,,42fd2ced2552b919bf95714bea1a843c35b9f5cee42c16a7f707651ecedfbe8f,True,False
ETTm2,ETTm2__h4l_d32_ff64_r32,h4l_d32_ff64_r32,2021,720,0.27645634109050865,0.35209661445890866,,,42fd2ced2552b919bf95714bea1a843c35b9f5cee42c16a7f707651ecedfbe8f,True,False
ETTm2,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,2021,96,0.11426585198690493,0.23211199386666218,,,29aac98774aed638efbc167a691fbe41163ab55a251fad198558ce5a19c33e34,True,False
ETTm2,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,2021,192,0.15205808899675807,0.2672962842819591,,,29aac98774aed638efbc167a691fbe41163ab55a251fad198558ce5a19c33e34,True,False
ETTm2,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,2021,336,0.19738647696517764,0.30229442353759495,,,29aac98774aed638efbc167a691fbe41163ab55a251fad198558ce5a19c33e34,True,False
ETTm2,ETTm2__h4l_d64_ff64_r32,h4l_d64_ff64_r32,2021,720,0.2732595226830906,0.35207573390669294,,,29aac98774aed638efbc167a691fbe41163ab55a251fad198558ce5a19c33e34,True,False
ETTm2,ETTm2__h4l_ff256,h4l_ff256,2021,96,0.11174356277721624,0.22707305708900094,,,b48178a7338a4702dd6923fe478681886e2768ed46e718b58c06f16990154cee,True,False
ETTm2,ETTm2__h4l_ff256,h4l_ff256,2021,192,0.1509290560691928,0.2640033469069749,,,b48178a7338a4702dd6923fe478681886e2768ed46e718b58c06f16990154cee,True,False
ETTm2,ETTm2__h4l_ff256,h4l_ff256,2021,336,0.19552019364865764,0.2996789184620693,,,b48178a7338a4702dd6923fe478681886e2768ed46e718b58c06f16990154cee,True,False
ETTm2,ETTm2__h4l_ff256,h4l_ff256,2021,720,0.27359672938990925,0.35055817636764713,,,b48178a7338a4702dd6923fe478681886e2768ed46e718b58c06f16990154cee,True,False
