dataset,candidate_arm,segment,mse_improvement_pct
Weather,random_c256_e2e,H193-336,-46.180539384812455
Weather,random_c256_e2e,H337-720,-30.347774197170185
Weather,geo_m694_e2e,H1-48,-1.9848616305033984
Weather,geo_m694_e2e,H49-96,-6.163265215696545
Weather,geo_m694_e2e,H97-192,-16.309528768638295
Weather,geo_m694_e2e,H193-336,-27.20266461120806
Weather,geo_m694_e2e,H337-720,-24.452709969531085
Weather,perm_m694_e2e,H1-48,-116.01142223825947
Weather,perm_m694_e2e,H49-96,-78.03630581197561
Weather,perm_m694_e2e,H97-192,-63.37581796998497
Weather,perm_m694_e2e,H193-336,-51.16625901192815
Weather,perm_m694_e2e,H337-720,-36.19672489962784
Weather,random_m694_e2e,H1-48,-121.21258972033439
Weather,random_m694_e2e,H49-96,-77.25141077424338
Weather,random_m694_e2e,H97-192,-59.110989078043
Weather,random_m694_e2e,H193-336,-45.34924921012369
Weather,random_m694_e2e,H337-720,-29.692911820413336
