dataset,profile_id,run_dir,mode_rank,readout_lr_multiplier,readout_weight_decay,best_epoch,validation_mean_mse,checkpoint_sha256,missing_files,effective_config_ok,pass
ETTm2,p10_rank1p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTm2/p10_rank1p50_lr0p50_wd1e4/seed2021,159,0.5,0.0001,1,0.18725333919435452,c85ac377c2f2bf3b51062b810405173b3e09591b61686035b621c5271a689c2d,,True,True
ETTh1,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p01_lr0p25/seed2021,109,0.25,0.0,12,1.091247470973296,c9c14a280916e2f38c4f36db6ddd62dced1212d8a9be0ff3b03c913585ea6894,,True,True
ETTh1,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p02_lr0p50/seed2021,109,0.5,0.0,8,1.0934621214218039,309110c07999a60491347a8e848a2852cfc1aa8f3197d307ff9675cb4454a729,,True,True
ETTh1,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p03_lr2p00/seed2021,109,2.0,0.0,1,1.100872969189437,f6121f04d165480d7ac9bd4ffe7e00a55962ef04d9786db7fdeecb6399610427,,True,True
ETTh1,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p04_lr4p00/seed2021,109,4.0,0.0,1,1.096760235220704,e200a317bf84317ede02d24fe3b5f04b15e4d11ca366dd595a55b12200bc6af0,,True,True
ETTh1,p05_wd1e5,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p05_wd1e5/seed2021,109,1.0,1e-05,6,1.0956345201412674,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,,True,True
ETTh1,p06_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p06_wd1e4/seed2021,109,1.0,0.0001,6,1.0956345201412674,38e8affae3017386c6d733f9d61b2048a4b4c8a60925aac4b1192138ee777e0c,,True,True
ETTh1,p07_wd1e3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p07_wd1e3/seed2021,109,1.0,0.001,6,1.0956108138259013,cca0b03986db87d95f3d20dfc572a9c7fc7d95df8502426de910adfea7a77b97,,True,True
ETTh1,p08_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p08_lr0p50_wd1e4/seed2021,109,0.5,0.0001,8,1.0934621214218039,309110c07999a60491347a8e848a2852cfc1aa8f3197d307ff9675cb4454a729,,True,True
ETTh1,p09_rank0p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p09_rank0p50_lr0p50_wd1e4/seed2021,54,0.5,0.0001,12,1.097649231487848,9ad5f2a6762dba7916d96deba45e182c461fa95e507a17ccafce3b9b3bec7822,,True,True
ETTh1,p10_rank1p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh1/p10_rank1p50_lr0p50_wd1e4/seed2021,164,0.5,0.0001,3,1.0978657153087654,2fcfdf4f8e7d9703c10e056018c7c2407df25b45b21cc6ea1f765bca38079a71,,True,True
ETTh2,p01_lr0p25,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p01_lr0p25/seed2021,116,0.25,0.0,12,0.37973444756196206,48754c184b4a4dea92d4c7d5d774a79271c39151f4ef428b8f8ec614f8d4702c,,True,True
ETTh2,p02_lr0p50,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p02_lr0p50/seed2021,116,0.5,0.0,10,0.37852777662684234,7a182ad53e110eb35bf64dd9f43b1404a0d4a1eb318b8577045064cc741f0bc2,,True,True
ETTh2,p03_lr2p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p03_lr2p00/seed2021,116,2.0,0.0,11,0.3790406916381529,e39492cb3825b9e63cb60b9433ccb141d3b5a019bf03f040639e16c968b05522,,True,True
ETTh2,p04_lr4p00,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p04_lr4p00/seed2021,116,4.0,0.0,6,0.38197997162730196,a30684daa62b7787afdf6de3056f76e998e48f553c97b60d1f9142bbfb81ffc5,,True,True
ETTh2,p05_wd1e5,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p05_wd1e5/seed2021,116,1.0,1e-05,12,0.3779666819529319,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,,True,True
ETTh2,p06_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p06_wd1e4/seed2021,116,1.0,0.0001,12,0.3779666819529319,133b99ae99dce3ffa74d7bc073885081fb6d1d035b97dfea563cb255eba80bff,,True,True
ETTh2,p07_wd1e3,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p07_wd1e3/seed2021,116,1.0,0.001,12,0.37796786800424187,352b79c801c7d2fbf675b96970fe57a5e3ea7c7c0802f87ae1ce4da52c277598,,True,True
ETTh2,p08_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p08_lr0p50_wd1e4/seed2021,116,0.5,0.0001,10,0.37852777662684234,7a182ad53e110eb35bf64dd9f43b1404a0d4a1eb318b8577045064cc741f0bc2,,True,True
ETTh2,p09_rank0p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p09_rank0p50_lr0p50_wd1e4/seed2021,58,0.5,0.0001,14,0.37853298581737493,b3c5952df252df501964cb409a92a5adebc23c9671ccfc1c9b0853d7c3c188a0,,True,True
ETTh2,p10_rank1p50_lr0p50_wd1e4,/home/yingch/exp_outputs/r-2026-fatst/iscf_bsca_decoder_transfer_patchtst_hpo_v2_20260815/ETTh2/p10_rank1p50_lr0p50_wd1e4/seed2021,174,0.5,0.0001,10,0.37710434008003507,7e5dae0d5ffa8779e613c6347125a119f8183dc3727479009a74b6f4a87bf886,,True,True
