source,source_url,source_pdf_sha256,source_page,source_table,evidence_role,model,dataset,horizon,mse,mae,reported_run_aggregation
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm1,720,0.419,0.416,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm1,720,0.429,0.43,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm1,720,0.416,0.42,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm2,96,0.155,0.241,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm2,96,0.165,0.256,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm2,96,0.164,0.255,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm2,96,0.175,0.266,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm2,96,0.166,0.256,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm2,192,0.21,0.28,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm2,192,0.225,0.298,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm2,192,0.224,0.304,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm2,192,0.242,0.312,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm2,192,0.223,0.296,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm2,336,0.263,0.315,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm2,336,0.277,0.332,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm2,336,0.277,0.337,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm2,336,0.282,0.34,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm2,336,0.274,0.329,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTm2,720,0.343,0.372,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTm2,720,0.36,0.387,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTm2,720,0.371,0.401,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTm2,720,0.378,0.398,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTm2,720,0.362,0.385,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh1,96,0.362,0.387,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh1,96,0.372,0.401,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh1,96,0.379,0.403,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh1,96,0.386,0.405,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh1,96,0.377,0.397,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh1,192,0.404,0.412,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh1,192,0.413,0.43,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh1,192,0.408,0.419,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh1,192,0.424,0.44,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh1,192,0.409,0.428,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh1,336,0.424,0.43,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh1,336,0.438,0.45,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh1,336,0.44,0.44,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh1,336,0.449,0.46,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh1,336,0.431,0.444,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh1,720,0.433,0.451,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh1,720,0.486,0.484,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh1,720,0.471,0.493,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh1,720,0.495,0.487,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh1,720,0.457,0.477,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh2,96,0.266,0.328,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh2,96,0.281,0.351,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh2,96,0.289,0.353,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh2,96,0.297,0.348,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh2,96,0.274,0.337,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh2,192,0.33,0.372,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh2,192,0.349,0.387,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh2,192,0.383,0.418,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh2,192,0.371,0.403,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh2,192,0.348,0.384,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh2,336,0.36,0.399,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh2,336,0.366,0.413,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh2,336,0.448,0.465,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh2,336,0.404,0.428,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh2,336,0.377,0.416,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ETTh2,720,0.388,0.428,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ETTh2,720,0.401,0.436,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ETTh2,720,0.605,0.551,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ETTh2,720,0.424,0.444,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ETTh2,720,0.406,0.441,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Weather,96,0.14,0.179,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Weather,96,0.147,0.198,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Weather,96,0.17,0.23,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Weather,96,0.159,0.208,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Weather,96,0.149,0.198,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Weather,192,0.182,0.22,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Weather,192,0.192,0.243,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Weather,192,0.216,0.273,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Weather,192,0.2,0.248,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Weather,192,0.194,0.241,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Weather,336,0.232,0.262,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Weather,336,0.247,0.284,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Weather,336,0.258,0.307,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Weather,336,0.253,0.289,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Weather,336,0.245,0.282,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,Weather,720,0.307,0.317,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,Weather,720,0.318,0.33,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,Weather,720,0.323,0.362,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,Weather,720,0.321,0.338,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,Weather,720,0.314,0.334,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ECL,96,0.126,0.216,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ECL,96,0.142,0.247,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ECL,96,0.14,0.237,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ECL,96,0.138,0.237,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ECL,96,0.129,0.222,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ECL,192,0.143,0.233,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ECL,192,0.168,0.269,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ECL,192,0.152,0.249,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ECL,192,0.157,0.256,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,PatchTST,ECL,192,0.147,0.24,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeAlign,ECL,336,0.158,0.249,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,TimeMixer,ECL,336,0.171,0.26,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,DLinear,ECL,336,0.17,0.267,three_run_mean
TimeAlign ICLR 2026,https://arxiv.org/abs/2509.14181,0a0d7deba16c5b3025902f897dddc70fd1f6efaeb3737c4a751d3b2440670b08,22,6,published_context_not_matched_attribution,iTransformer,ECL,336,0.167,0.264,three_run_mean
