split,seed,dataset,horizon,candidate_mse,reference_mse,mse_gain_percent,candidate_mae,reference_mae,mae_gain_percent
val,2021,ETTh2,96,0.23212763806805015,0.2315120849913607,-0.26588377739003205,0.3356980006210506,0.33545199083164334,-0.0733368100744767
val,2021,ETTh2,192,0.3154004426517834,0.3154315770370886,0.009870408536017967,0.38721676302763325,0.3873500438251843,0.034408360002971844
val,2021,ETTh2,336,0.4183094238507606,0.41925755899310824,0.22614622491832895,0.4456962537286537,0.4465432483259411,0.1896780660020623
val,2021,ETTh2,720,0.6368326546210382,0.6391220960041715,0.35821659076520296,0.5541510680690408,0.5556088126574953,0.2623688745111961
test,2021,ETTh2,96,0.24134659551501705,0.24190227156499527,0.2297109681456297,0.314470023435801,0.31503178995283565,0.17832058063688117
test,2021,ETTh2,192,0.2861610374936818,0.2863235650227535,0.05676358809613978,0.348199642662125,0.3486396470100423,0.12620605593506293
test,2021,ETTh2,336,0.3209328017534581,0.32056128833743447,-0.11589466025373014,0.37770130240592925,0.3777894454119078,0.023331251587093104
test,2021,ETTh2,720,0.40300364907616465,0.4022397743441969,-0.1899053203311798,0.43555111805075064,0.43528379449890103,-0.06141362376179214
val,2021,ETTm2,96,0.11483767518075183,0.11255172760381053,-2.031019537068309,0.23034024067843953,0.23064050590619445,0.13018755165107174
val,2021,ETTm2,192,0.15192993333524404,0.15232707387379682,0.260715661670103,0.2649061266177644,0.266599954959626,0.6353445716516032
val,2021,ETTm2,336,0.19337839632672035,0.1968963770528457,1.7867168399859155,0.29913789144761505,0.3010709736762302,0.642068614257707
val,2021,ETTm2,720,0.2739981808156396,0.2759780432149354,0.7173985206329889,0.35354641632487377,0.35231309593137766,-0.3500637381178498
test,2021,ETTm2,96,0.16636964095104073,0.16727055754825756,0.5385984302449154,0.24970423397161148,0.2545152175506291,1.8902538030208789
test,2021,ETTm2,192,0.2272728610295153,0.22141283806084433,-2.646650040708404,0.29030314145977704,0.2908483609123911,0.18745832051578012
test,2021,ETTm2,336,0.2821336011215845,0.2720307646648996,-3.7138580517280877,0.32721611412752055,0.3244481447006915,-0.8531315318145981
test,2021,ETTm2,720,0.3533952209069123,0.34945295964852435,-1.1281235856044842,0.37877733921124324,0.3758464733042053,-0.7798040197827649
val,2022,Weather,96,0.39431197429075837,0.39743168993542594,0.7849690207578693,0.25181259502035874,0.2518520054096977,0.015648233284804306
val,2022,Weather,192,0.4478349880470584,0.4493611323026319,0.3396253360305535,0.2916117981464292,0.29143491853028536,-0.060692664089749535
val,2022,Weather,336,0.5077846424121942,0.508360003165546,0.11317978396588657,0.33561435423880104,0.33548956772401217,-0.03719534876611146
val,2022,Weather,720,0.5905087034528455,0.5890908264037635,-0.240689039029459,0.3881716391796039,0.38684234445293747,-0.34362699578462247
test,2022,Weather,96,0.14210514284718812,0.14330906065681942,0.840084921437252,0.18360959342288016,0.18488957756364108,0.6922965359257904
test,2022,Weather,192,0.18442988618150613,0.18596762440272982,0.8268849086836625,0.22635980097304192,0.22766589761679717,0.5736900683973525
test,2022,Weather,336,0.2347011190640816,0.2362805230355473,0.6684444198678646,0.2670424342488243,0.2685989417400703,0.5794912970105066
test,2022,Weather,720,0.3053272142164149,0.3077601330031429,0.7905243486176868,0.3164529028437826,0.31808524980354475,0.5131790803787137
val,2022,ETTm1,96,0.36712206283118576,0.3728125860216096,1.526376362758848,0.39717371901497245,0.4004262041610976,0.812255819505912
val,2022,ETTm1,192,0.4912973308819346,0.49760939435024437,1.2684775528709145,0.45873261561306816,0.46218712247597676,0.7474260304792801
val,2022,ETTm1,336,0.6472645873048654,0.6543374038855767,1.0809127735494952,0.5242201214478839,0.5271393340524464,0.5537838700293376
val,2022,ETTm1,720,0.953517449942107,0.963833278681462,1.0702918199159088,0.6320260200442539,0.6336619186525544,0.258165838934922
test,2022,ETTm1,96,0.2794778378033465,0.2788751672822824,-0.2161076322920048,0.33315379646272913,0.3341268817806223,0.29123227460999074
test,2022,ETTm1,192,0.32112041767490196,0.3212494120287227,0.040153957950033715,0.3570770072786558,0.3583001067109623,0.3413617270544487
test,2022,ETTm1,336,0.3603102663037385,0.3612881142054833,0.27065598432297533,0.3781305160624159,0.3797414038757993,0.4242065250041286
test,2022,ETTm1,720,0.4183603206105119,0.42060664613979426,0.534068006271051,0.4082843231727928,0.41035496967330254,0.5045988603862324
val,2022,ETTh1,96,0.7993698523690304,0.7859654927936693,-1.7054641327465898,0.6082531077166399,0.5989414171005288,-1.5546913855429907
val,2022,ETTh1,192,1.0457393132771056,1.0497075588597606,0.3780334388527752,0.6934060032169024,0.6901277832997342,-0.47501636602628405
val,2022,ETTh1,336,1.263539902688492,1.273938936979643,0.8162898541908096,0.7693876844076883,0.7699978185728902,0.07923842775719235
val,2022,ETTh1,720,1.4312429200443957,1.433050853572786,0.1261597607567688,0.8344479790992207,0.831531222206023,-0.35076937766204974
test,2022,ETTh1,96,0.373934978843289,0.3713443615578075,-0.6976320509119299,0.40744430644693197,0.4022829204549869,-1.2830238942551808
test,2022,ETTh1,192,0.39895478283553687,0.40183952846624815,0.7178849830234116,0.4232376785862758,0.42112284868999733,-0.5021883526047474
test,2022,ETTh1,336,0.4087665003852821,0.426839077660333,4.2340493691705925,0.43408631875732734,0.4410954621379687,1.5890309427960023
test,2022,ETTh1,720,0.4723163656722082,0.49331889598558,4.257394250307758,0.48120644863039813,0.49229177894140774,2.2517805060337968
val,2022,ETTh2,96,0.23505309332783023,0.23555377474986017,0.2125550408018833,0.3379884453800817,0.33841846774642664,0.12706823277361445
val,2022,ETTh2,192,0.31465933572811383,0.31527735250225913,0.19602320599316564,0.38706003152765334,0.38748405772882205,0.1094306185534648
val,2022,ETTh2,336,0.41258406457269475,0.4133456946528029,0.18425983141009858,0.4434073762081209,0.44385029424336697,0.09978996093742418
val,2022,ETTh2,720,0.6333290192609032,0.6343086733275818,0.1544443750925374,0.5530778041937285,0.5536573490127921,0.10467572047890156
test,2022,ETTh2,96,0.2435451594700442,0.24356411397606237,0.007782142331535085,0.31637892553739894,0.31639079665638403,0.003752043077911904
test,2022,ETTh2,192,0.2872537359913855,0.2872522445727383,-0.0005192017383226891,0.3482274935391018,0.34824336634089104,0.00455796242610427
test,2022,ETTh2,336,0.32316243790641913,0.3232140374041038,0.015964497736269845,0.3788812566754533,0.3789572012202107,0.020040401531588578
test,2022,ETTh2,720,0.4075272266670744,0.4077746639890442,0.06067991560565644,0.43927510008535275,0.439519334987263,0.05556863656915134
val,2022,ETTm2,96,0.11265917475490521,0.1114497910796975,-1.0851376781342514,0.23007080129658183,0.2285171921054522,-0.6798653426533836
val,2022,ETTm2,192,0.14999939111294225,0.15036434577389932,0.2427135628986439,0.2651016047069182,0.26509069992850226,-0.004113602785334307
val,2022,ETTm2,336,0.19443875789597986,0.195426545582623,0.5054521552833411,0.30050911084704457,0.30103782076565994,0.17562906789274688
val,2022,ETTm2,720,0.2724626139168524,0.2748829637084984,0.8805019267082306,0.3524166071787477,0.3536536875698302,0.3497999411750048
test,2022,ETTm2,96,0.1642519436652155,0.1629867215054417,-0.7762731516331367,0.25149959406117106,0.24953842326989975,-0.7859193648707623
test,2022,ETTm2,192,0.21959943354245262,0.2190182033642828,-0.26537984936489273,0.28821773084303776,0.2872680592243015,-0.3305872644876114
test,2022,ETTm2,336,0.2714444694569804,0.2713712065191681,-0.026997314399002496,0.32355850364154387,0.32304558892918156,-0.15877471475852686
test,2022,ETTm2,720,0.345353039082206,0.3460050116511085,0.18842864899306513,0.3766263829657095,0.3761793312207758,-0.11884006053254739
val,2023,Weather,96,0.3949679483970006,0.39613962282116216,0.29577309530849555,0.2485941780420641,0.25248701598805684,1.5417972804498106
val,2023,Weather,192,0.4476290492651363,0.4493449618263791,0.38186976755418073,0.28925077174790204,0.29223495446300757,1.0211587181927217
val,2023,Weather,336,0.5072075945458242,0.5089968352002048,0.35152294290333047,0.33387067040339824,0.3361662991034488,0.6828848418693305
val,2023,Weather,720,0.5879211475865709,0.5892440125139223,0.22450205674685522,0.38530206272585527,0.38698435836575096,0.43471928607142885
test,2023,Weather,96,0.1423852971451442,0.14254475867990465,0.11186769421564005,0.18263205961155737,0.18385948870122706,0.6675908316400636
test,2023,Weather,192,0.1855267399507513,0.18493378719838538,-0.3206297569247553,0.22651409952405802,0.22650163333915072,-0.005503794707137626
test,2023,Weather,336,0.23709269147447504,0.2350700845423047,-0.8604271939189787,0.2686021622878602,0.267645008121048,-0.3576207804254275
test,2023,Weather,720,0.3091426446524858,0.3074132987469165,-0.5625475256335771,0.31859378889912876,0.3182063177953688,-0.12176725667940604
val,2023,ETTm1,96,0.3716215256523962,0.3814427900360897,2.5747673413264125,0.3979814631553988,0.40314174598703784,1.280016987326579
val,2023,ETTm1,192,0.4948671035429773,0.5073105015132265,2.4528169500005537,0.45906236589265365,0.46403175375113886,1.0709154747091536
val,2023,ETTm1,336,0.64945382415317,0.662346356803374,1.9464940839149618,0.5238918181774872,0.528811765568597,0.9303778227815508
val,2023,ETTm1,720,0.9573641789611429,0.9583131222830464,0.0990222610792196,0.632637829768161,0.6345564403467708,0.30235459868020437
test,2023,ETTm1,96,0.2791735428034927,0.2885016375497378,3.233290051824024,0.33164182618443844,0.33773173047931443,1.8031780094316574
test,2023,ETTm1,192,0.3224529620244772,0.32642438086690384,1.2166428352807193,0.3565256032107535,0.35984011155538237,0.921105857349298
test,2023,ETTm1,336,0.36415507638905426,0.3659491367580835,0.49024855883598656,0.37851688652566207,0.38061349006017076,0.5508484563112148
test,2023,ETTm1,720,0.42484600836261494,0.4232435360215875,-0.37861708558868956,0.40941154867189244,0.4103347319106511,0.22498296316766414
val,2023,ETTh1,96,0.7843191592643658,0.7838087580166757,-0.0651180842864766,0.6002433588728309,0.5998794737582406,-0.06065970424201254
val,2023,ETTh1,192,1.0437343707308173,1.0439864255022258,0.02414349126112285,0.6904135512498518,0.6905183824710548,0.015181525049025991
val,2023,ETTh1,336,1.2642043997489272,1.264773704865504,0.04501240928607483,0.7676361869311049,0.7680980237644344,0.06012732998140008
val,2023,ETTh1,720,1.4214589846630892,1.4219154172680444,0.032099842185561014,0.8295761382828156,0.8300122326032983,0.052540710046507025
test,2023,ETTh1,96,0.3564088830354297,0.3562345525724636,-0.04893698876406682,0.39436314314034304,0.39403540800438097,-0.08317403190284534
test,2023,ETTh1,192,0.3833820957755084,0.3835687138490188,0.04865310093665479,0.41062588665922534,0.4105747659172273,-0.01245101897186254
test,2023,ETTh1,336,0.3994125783650778,0.39988061506781325,0.11704410894137966,0.42468812636470676,0.4248753683259524,0.044069855586920385
test,2023,ETTh1,720,0.4619202184669358,0.46254858617660055,0.13584901747485276,0.4742755198142438,0.4746842259436074,0.08610063427978977
val,2023,ETTh2,96,0.2299057092362394,0.23107352651034793,0.505387740320063,0.33932636864483356,0.34128318820148706,0.5733712132043934
val,2023,ETTh2,192,0.31088212966763723,0.312561841448769,0.5374014221781002,0.38929593097418547,0.39147066697478294,0.5555297456648431
val,2023,ETTh2,336,0.41049446881793084,0.41267250828622354,0.5277888457696938,0.44498863789652077,0.4472982870148761,0.5163554579583124
val,2023,ETTh2,720,0.6313071596436203,0.6331014911126759,0.28341924545179514,0.5523526953740252,0.5537660256442096,0.25522155653017153
test,2023,ETTh2,96,0.2503617823893062,0.25120365470287065,0.33513537633847684,0.32534850145829675,0.32651119885563884,0.35609724916545976
test,2023,ETTh2,192,0.2944422465536762,0.29493515932676384,0.1671258096907852,0.3577628139190494,0.3587863882161085,0.2852879403113085
test,2023,ETTh2,336,0.32888683216117426,0.3289823127220959,0.0290230073865034,0.3862822792010945,0.38698955907133364,0.18276458722463645
test,2023,ETTh2,720,0.40712198535346783,0.4064292731436268,-0.17043856228245208,0.4403312359086647,0.4400482111846938,-0.06431675365954727
val,2023,ETTm2,96,0.11181903289010127,0.11182599473977461,0.006225609429673271,0.22828136896714568,0.22764009345943728,-0.2817058708608672
val,2023,ETTm2,192,0.14984639446871975,0.15047277427705316,0.41627451300931606,0.26371874869801104,0.26381005602888763,0.03461101227566189
val,2023,ETTm2,336,0.1936826010545095,0.19420487461944244,0.26892917387186166,0.29910845305061057,0.2994440079533628,0.1120593145428655
val,2023,ETTm2,720,0.27234408056570425,0.27420910287182776,0.680146022356985,0.3520181955769658,0.3527774027031329,0.21520854803900227
test,2023,ETTm2,96,0.1635176032878684,0.16388708143761346,0.2254467811031857,0.248311182731481,0.2480829717030889,-0.09198979955191286
test,2023,ETTm2,192,0.2214985827902024,0.22126174102851193,-0.10704144358149859,0.287778880384716,0.2873418850086878,-0.15208203148489527
test,2023,ETTm2,336,0.2740289180273309,0.2735195955867383,-0.18621058557069134,0.3237416339877763,0.32328780588784733,-0.14037897243992625
test,2023,ETTm2,720,0.3467793051902139,0.34709478145767514,0.0908905245236958,0.37580836753023233,0.375335594512888,-0.12596008059344777
