dataset,target_horizon,loss_mode,mse,mae,relative_mse_vs_full_pct,relative_mae_vs_full_pct,beats_full,relative_mse_vs_multi_prefix_pct,beats_multi_prefix,fixed_mse,relative_mse_vs_fixed_pct,beats_fixed
ETTm2,336,stochastic-prefix,0.26716455817222595,0.31893131136894226,-0.7954683909155769,-0.4711215317030004,True,0.29765211288359517,False,0.26330146193504333,1.4671761443298292,False
ETTm2,336,continuous-prefix,0.2672542333602905,0.31904858350753784,-0.7621698685001621,-0.4345244212471622,True,0.33131754694113447,False,0.26330146193504333,1.5012341352750758,False
ETTm2,720,full,0.343566358089447,0.3716011643409729,0.0,0.0,False,0.7774996122992262,False,0.343566358089447,0.0,False
ETTm2,720,multi-prefix,0.3409157395362854,0.37010663747787476,-0.7715011935107818,-0.40218573204652275,True,0.0,False,0.343566358089447,-0.7715011935107818,True
ETTm2,720,balanced-step,0.34141355752944946,0.37043681740760803,-0.6266040051095656,-0.3133324233334456,True,0.14602376347927493,False,0.343566358089447,-0.6266040051095656,True
ETTm2,720,stochastic-prefix,0.3426463305950165,0.3706868290901184,-0.26778742236194253,-0.2460528487514435,True,0.5076301437666242,False,0.343566358089447,-0.26778742236194253,True
ETTm2,720,continuous-prefix,0.34255602955818176,0.3707927167415619,-0.29407085632121577,-0.21755787575229446,True,0.48114235621021795,False,0.343566358089447,-0.29407085632121577,True
Weather,96,full,0.14317019283771515,0.18443308770656586,0.0,0.0,False,1.2339428695577803,False,0.14042679965496063,1.9536108417305353,False
Weather,96,multi-prefix,0.14142508804798126,0.1816721260547638,-1.2189023113993946,-1.4969990938907718,True,0.0,False,0.14042679965496063,0.7108959226255207,False
Weather,96,balanced-step,0.14225974678993225,0.1828581839799881,-0.6359187130626442,-0.8539160441121241,True,0.5901772828791341,False,0.14042679965496063,1.3052687517449035,False
Weather,96,stochastic-prefix,0.1415480673313141,0.18215356767177582,-1.1330050440315875,-1.2359604576033356,True,0.08695719057363327,False,0.14042679965496063,0.7984712883213785,False
Weather,96,continuous-prefix,0.14175613224506378,0.18257088959217072,-0.9876780666589036,-1.009687652878155,True,0.23407741982115482,False,0.14042679965496063,0.9466373892799806,False
Weather,192,full,0.18486426770687103,0.22576011717319489,0.0,0.0,False,1.2627116790239645,False,0.1822342574596405,1.443202987129344,False
Weather,192,multi-prefix,0.182559072971344,0.22321417927742004,-1.2469660925399917,-1.1277181849713935,True,0.0,False,0.1822342574596405,0.17824064269333917,False
Weather,192,balanced-step,0.18363286554813385,0.22425873577594757,-0.6661115065728973,-0.6650339378126313,True,0.5881891046622512,False,0.1822342574596405,0.767478139395994,False
Weather,192,stochastic-prefix,0.1828926056623459,0.2237955778837204,-1.0665457792262467,-0.8701888154883264,True,0.18269850168128876,False,0.1822342574596405,0.36126478735820644,False
Weather,192,continuous-prefix,0.18315093219280243,0.2240758240222931,-0.9268072923564352,-0.7460543394428143,True,0.32420148274490135,False,0.1822342574596405,0.5030199842446903,False
Weather,336,full,0.23452013731002808,0.266031950712204,0.0,0.0,False,1.202140253340045,False,0.2326551377773285,0.8016154513142748,False
Weather,336,multi-prefix,0.23173436522483826,0.2635156512260437,-1.1878605040671286,-0.9458636375908269,True,0.0,False,0.2326551377773285,-0.39576712609351583,True
Weather,336,balanced-step,0.23292315006256104,0.26451975107192993,-0.6809595396730761,-0.5684278283964339,True,0.5129946249315953,False,0.2326551377773285,0.11519723475397203,False
Weather,336,stochastic-prefix,0.23217245936393738,0.26416072249412537,-1.0010560172012628,-0.703384767532278,True,0.18905013879753074,False,0.2326551377773285,-0.20746518559717764,True
Weather,336,continuous-prefix,0.2324630469083786,0.26441138982772827,-0.8771487281410195,-0.6091602456536727,True,0.31444696725637655,False,0.2326551377773285,-0.082564636562521,True
Weather,720,full,0.3067764937877655,0.31663402915000916,0.0,0.0,False,1.04261155465597,False,0.3067764937877655,0.0,False
Weather,720,multi-prefix,0.30361101031303406,0.31451416015625,-1.0318533325833656,-0.6695013165356367,True,0.0,False,0.3067764937877655,-1.0318533325833656,True
Weather,720,balanced-step,0.3049183487892151,0.31531158089637756,-0.6056999268776786,-0.4176582842916998,True,0.4305965303541326,False,0.3067764937877655,-0.6056999268776786,True
Weather,720,stochastic-prefix,0.3034641444683075,0.31481215357780457,-1.0797272237388467,-0.5753884309577684,True,-0.04837302987633629,True,0.3067764937877655,-1.0797272237388467,True
Weather,720,continuous-prefix,0.30380961298942566,0.31518563628196716,-0.967114775225375,-0.4574343673452108,True,0.0654135290373059,False,0.3067764937877655,-0.967114775225375,True
