dataset,reference,horizon_bin,start_horizon,end_horizon,direct_mse_mean,reference_mse_mean,direct_gain_percent
ETTh1,dense_matched,h289_336,289,336,1.2588422400279315,1.2940012446523088,2.7170765692597354
ETTh1,dense_matched,h337_512,337,512,1.3342319333618795,1.361740140104028,2.020077541376375
ETTh1,dense_matched,h513_720,513,720,1.3927448320020344,1.4138956424252285,1.495924436609375
ETTh1,pcsd_random,h1_48,1,48,0.5420453336812776,0.5356357861680617,-1.1966242134547667
ETTh1,pcsd_random,h49_96,49,96,0.7424509349532611,0.7407044802824693,-0.23578292251260624
ETTh1,pcsd_random,h97_144,97,144,0.8886943959709457,0.8877520223144852,-0.10615280312216147
ETTh1,pcsd_random,h145_192,145,192,1.014194684915885,1.0130711782731197,-0.11090105679252282
ETTh1,pcsd_random,h193_288,193,288,1.159739780479467,1.1609627347280698,0.10533966440269271
ETTh1,pcsd_random,h289_336,289,336,1.2588422400279315,1.2630824228820745,0.3357012002801696
ETTh1,pcsd_random,h337_512,337,512,1.3342319333618795,1.3406253544839828,0.47689841913844955
ETTh1,pcsd_random,h513_720,513,720,1.3927448320020344,1.3996386468205906,0.49254247403186513
ETTh2,a6,h1_48,1,48,0.18198452230910783,0.1632926300106633,-11.446868298479806
ETTh2,a6,h49_96,49,96,0.247524967961851,0.230151552640192,-7.548684821961538
ETTh2,a6,h97_144,97,144,0.29039704953562423,0.2761008048247506,-5.177907655846159
ETTh2,a6,h145_192,145,192,0.3262188797546836,0.3130451388532058,-4.208256020118339
ETTh2,a6,h193_288,193,288,0.3759006723243136,0.36186249400208015,-3.879423414948535
ETTh2,a6,h289_336,289,336,0.4242880809642333,0.41090554589321104,-3.256839729902361
ETTh2,a6,h337_512,337,512,0.4915638607229212,0.4809861949620109,-2.199162028287671
ETTh2,a6,h513_720,513,720,0.5939531099301001,0.5873647149668327,-1.1216872235233488
ETTh2,pcsd_equal,h1_48,1,48,0.18198452230910783,0.1670543838975078,-8.937292193876267
ETTh2,pcsd_equal,h49_96,49,96,0.247524967961851,0.23383045447110415,-5.856599612621949
ETTh2,pcsd_equal,h97_144,97,144,0.29039704953562423,0.2787120022434619,-4.192516719088113
ETTh2,pcsd_equal,h145_192,145,192,0.3262188797546836,0.3159601056066666,-3.2468574247117132
ETTh2,pcsd_equal,h193_288,193,288,0.3759006723243136,0.36676120019395125,-2.491940839306128
ETTh2,pcsd_equal,h289_336,289,336,0.4242880809642333,0.415744865514846,-2.05491784939007
ETTh2,pcsd_equal,h337_512,337,512,0.4915638607229212,0.483509353250913,-1.6658431564670062
ETTh2,pcsd_equal,h513_720,513,720,0.5939531099301001,0.5860339227474716,-1.3513189041175933
ETTh2,pcsd_static,h1_48,1,48,0.18198452230910783,0.16705423450373455,-8.93738961465207
ETTh2,pcsd_static,h49_96,49,96,0.247524967961851,0.23355824607137274,-5.9799737861579105
ETTh2,pcsd_static,h97_144,97,144,0.29039704953562423,0.278443796804366,-4.292878084713303
ETTh2,pcsd_static,h145_192,145,192,0.3262188797546836,0.3157466552753321,-3.316654128994556
ETTh2,pcsd_static,h193_288,193,288,0.3759006723243136,0.36664219046693597,-2.5252090725256027
ETTh2,pcsd_static,h289_336,289,336,0.4242880809642333,0.41563943347840887,-2.080805330101998
ETTh2,pcsd_static,h337_512,337,512,0.4915638607229212,0.48334704529768974,-1.6999825498407173
ETTh2,pcsd_static,h513_720,513,720,0.5939531099301001,0.5857195132652121,-1.4057234697522958
ETTh2,dense_matched,h1_48,1,48,0.18198452230910783,0.19050462572575796,4.4723866332334055
ETTh2,dense_matched,h49_96,49,96,0.247524967961851,0.25601588400857617,3.316558298562733
ETTh2,dense_matched,h97_144,97,144,0.29039704953562423,0.30308821713816947,4.187285049342481
ETTh2,dense_matched,h145_192,145,192,0.3262188797546836,0.34248776626148053,4.750209528470006
ETTh2,dense_matched,h193_288,193,288,0.3759006723243136,0.3959688632833832,5.068123486443776
ETTh2,dense_matched,h289_336,289,336,0.4242880809642333,0.4489012285673024,5.482976217646707
ETTh2,dense_matched,h337_512,337,512,0.4915638607229212,0.5224841916783547,5.917945738436481
ETTh2,dense_matched,h513_720,513,720,0.5939531099301001,0.635838012047632,6.587354219771657
ETTh2,pcsd_random,h1_48,1,48,0.18198452230910783,0.17573572048805347,-3.555794919610067
ETTh2,pcsd_random,h49_96,49,96,0.247524967961851,0.24210387712017167,-2.239159036262972
ETTh2,pcsd_random,h97_144,97,144,0.29039704953562423,0.2857705713526031,-1.6189484316468272
ETTh2,pcsd_random,h145_192,145,192,0.3262188797546836,0.32228470765923367,-1.2207132395526843
ETTh2,pcsd_random,h193_288,193,288,0.3759006723243136,0.3726065867975714,-0.884065296605141
ETTh2,pcsd_random,h289_336,289,336,0.4242880809642333,0.4215070186581271,-0.6597902722853322
ETTh2,pcsd_random,h337_512,337,512,0.4915638607229212,0.48907380034655423,-0.5091379613061386
ETTh2,pcsd_random,h513_720,513,720,0.5939531099301001,0.5915465495633684,-0.40682518873755846
ETTm1,a6,h1_48,1,48,0.26652023791582985,0.24908796416858048,-6.998440814045659
ETTm1,a6,h49_96,49,96,0.39885741729478386,0.38170086510053913,-4.494763769981436
ETTm1,a6,h97_144,97,144,0.46221162763256557,0.4437622483821989,-4.157491836591909
ETTm1,a6,h145_192,145,192,0.5230330345143658,0.5064260186640224,-3.279258023541831
ETTm1,a6,h193_288,193,288,0.6000075363327868,0.5836572688725334,-2.8013473543879064
ETTm1,a6,h289_336,289,336,0.6700780730108958,0.6545813667315493,-2.367422457612034
ETTm1,a6,h337_512,337,512,0.7631708661288706,0.7487096476583203,-1.9314855252339225
ETTm1,a6,h513_720,513,720,0.9030949815948978,0.8885165386108739,-1.640762141222063
ETTm1,pcsd_equal,h1_48,1,48,0.26652023791582985,0.2413361698764923,-10.435264656858468
ETTm1,pcsd_equal,h49_96,49,96,0.39885741729478386,0.3755307939647738,-6.211640617732717
ETTm1,pcsd_equal,h97_144,97,144,0.46221162763256557,0.44227872296218607,-4.506864932791199
ETTm1,pcsd_equal,h145_192,145,192,0.5230330345143658,0.5067962158678908,-3.2038160779612967
ETTm1,pcsd_equal,h193_288,193,288,0.6000075363327868,0.5881781701474572,-2.0111875594369666
ETTm1,pcsd_equal,h289_336,289,336,0.6700780730108958,0.6618452856501668,-1.2439141804329035
ETTm1,pcsd_equal,h337_512,337,512,0.7631708661288706,0.7582357075619286,-0.6508739324359691
ETTm1,pcsd_equal,h513_720,513,720,0.9030949815948978,0.9007790121379262,-0.25710739546149775
ETTm1,pcsd_static,h1_48,1,48,0.26652023791582985,0.24126672138687755,-10.467053385476088
ETTm1,pcsd_static,h49_96,49,96,0.39885741729478386,0.3757958926841016,-6.13671545103025
ETTm1,pcsd_static,h97_144,97,144,0.46221162763256557,0.44226551059769814,-4.50998700032279
ETTm1,pcsd_static,h145_192,145,192,0.5230330345143658,0.5071578495120008,-3.130225632441741
ETTm1,pcsd_static,h193_288,193,288,0.6000075363327868,0.5883475970381232,-1.9818113226538925
ETTm1,pcsd_static,h289_336,289,336,0.6700780730108958,0.6614516979260422,-1.3041579773551693
ETTm1,pcsd_static,h337_512,337,512,0.7631708661288706,0.7575456681454665,-0.7425556266693611
ETTm1,pcsd_static,h513_720,513,720,0.9030949815948978,0.899241827904733,-0.42848915281696875
ETTm1,dense_matched,h1_48,1,48,0.26652023791582985,0.2583292781939173,-3.170743858063152
ETTm1,dense_matched,h49_96,49,96,0.39885741729478386,0.3881117215986139,-2.768711970849247
ETTm1,dense_matched,h97_144,97,144,0.46221162763256557,0.45549992059944644,-1.4734814935393192
ETTm1,dense_matched,h145_192,145,192,0.5230330345143658,0.5186225463134674,-0.850423536780176
ETTm1,dense_matched,h193_288,193,288,0.6000075363327868,0.5972901635044473,-0.4549502058423416
ETTm1,dense_matched,h289_336,289,336,0.6700780730108958,0.6684255348820385,-0.2472284559190241
ETTm1,dense_matched,h337_512,337,512,0.7631708661288706,0.764529631684298,0.1777256889878731
ETTm1,dense_matched,h513_720,513,720,0.9030949815948978,0.9116043432195207,0.9334489998775508
ETTm1,pcsd_random,h1_48,1,48,0.26652023791582985,0.26079618062935617,-2.1948393847871284
ETTm1,pcsd_random,h49_96,49,96,0.39885741729478386,0.3940954252210819,-1.2083347760331264
ETTm1,pcsd_random,h97_144,97,144,0.46221162763256557,0.45864264070021926,-0.7781629128284839
ETTm1,pcsd_random,h145_192,145,192,0.5230330345143658,0.519996116543209,-0.5840270483836285
ETTm1,pcsd_random,h193_288,193,288,0.6000075363327868,0.5971448599005511,-0.4793939669366809
ETTm1,pcsd_random,h289_336,289,336,0.6700780730108958,0.6674450987200515,-0.3944855233626754
ETTm1,pcsd_random,h337_512,337,512,0.7631708661288706,0.7607752908108878,-0.31488605727842955
ETTm1,pcsd_random,h513_720,513,720,0.9030949815948978,0.9004739436941647,-0.2910731530976207
ETTm2,a6,h1_48,1,48,0.07796185982875513,0.07190712538241956,-8.420214845378716
ETTm2,a6,h49_96,49,96,0.10834332763989908,0.10247216906039162,-5.729515275554786
ETTm2,a6,h97_144,97,144,0.12821853378154993,0.12293595182374695,-4.29701961015978
ETTm2,a6,h145_192,145,192,0.14821670922599478,0.14316788119609586,-3.526508870368472
ETTm2,a6,h193_288,193,288,0.17200759030902574,0.1694395052949697,-1.5156353352102636
ETTm2,a6,h289_336,289,336,0.1928082201989945,0.19208750249100834,-0.375202810510733
ETTm2,a6,h337_512,337,512,0.2218161929282099,0.22115791716328492,-0.2976496493403591
ETTm2,a6,h513_720,513,720,0.26842692005094815,0.26263777121569354,-2.2042331567382334
ETTm2,pcsd_equal,h1_48,1,48,0.07796185982875513,0.08230795840945962,5.280289615596878
ETTm2,pcsd_equal,h49_96,49,96,0.10834332763989908,0.1119757243472495,3.243914454248986
ETTm2,pcsd_equal,h97_144,97,144,0.12821853378154993,0.1327218548132261,3.3930516100859953
ETTm2,pcsd_equal,h145_192,145,192,0.14821670922599478,0.15276456675841388,2.9770369064779256
ETTm2,pcsd_equal,h193_288,193,288,0.17200759030902574,0.17820491301065655,3.4776385212568317
ETTm2,pcsd_equal,h289_336,289,336,0.1928082201989945,0.20039521690066744,3.786016861586927
ETTm2,pcsd_equal,h337_512,337,512,0.2218161929282099,0.2297553523584921,3.4554839958176764
ETTm2,pcsd_equal,h513_720,513,720,0.26842692005094815,0.2719054088510115,1.2793010682510375
ETTm2,pcsd_static,h1_48,1,48,0.07796185982875513,0.07584944832162782,-2.785005763219206
ETTm2,pcsd_static,h49_96,49,96,0.10834332763989908,0.10689376762938635,-1.3560753284873828
ETTm2,pcsd_static,h97_144,97,144,0.12821853378154993,0.12702047456446428,-0.9432016540590338
ETTm2,pcsd_static,h145_192,145,192,0.14821670922599478,0.14720110123602542,-0.6899459185029544
ETTm2,pcsd_static,h193_288,193,288,0.17200759030902574,0.17197952512062958,-0.016318912601054336
ETTm2,pcsd_static,h289_336,289,336,0.1928082201989945,0.1936134941436037,0.4159182954530771
ETTm2,pcsd_static,h337_512,337,512,0.2218161929282099,0.2233426121698462,0.6834429072028136
ETTm2,pcsd_static,h513_720,513,720,0.26842692005094815,0.2697831901729494,0.502725956028538
ETTm2,dense_matched,h1_48,1,48,0.07796185982875513,0.0769574150271476,-1.3051956088353522
ETTm2,dense_matched,h49_96,49,96,0.10834332763989908,0.1080794585878998,-0.24414357311448587
ETTm2,dense_matched,h97_144,97,144,0.12821853378154993,0.13037979906033323,1.657668821673186
ETTm2,dense_matched,h145_192,145,192,0.14821670922599478,0.15131297421506607,2.0462653682760013
ETTm2,dense_matched,h193_288,193,288,0.17200759030902574,0.17534967092996212,1.905952034704006
ETTm2,dense_matched,h289_336,289,336,0.1928082201989945,0.19629034005806678,1.773963944451984
ETTm2,dense_matched,h337_512,337,512,0.2218161929282099,0.22551989656666785,1.6422957330343935
ETTm2,dense_matched,h513_720,513,720,0.26842692005094815,0.27046777984702924,0.7545666981979782
ETTm2,pcsd_random,h1_48,1,48,0.07796185982875513,0.08114919818818557,3.9277508966126584
ETTm2,pcsd_random,h49_96,49,96,0.10834332763989908,0.11119579219211159,2.565263033770504
ETTm2,pcsd_random,h97_144,97,144,0.12821853378154993,0.1321359139784293,2.9646597044909906
ETTm2,pcsd_random,h145_192,145,192,0.14821670922599478,0.15260537215869358,2.875824665028859
ETTm2,pcsd_random,h193_288,193,288,0.17200759030902574,0.17781484901486602,3.265901997506837
ETTm2,pcsd_random,h289_336,289,336,0.1928082201989945,0.19962209109332327,3.4133851904914136
ETTm2,pcsd_random,h337_512,337,512,0.2218161929282099,0.22930557941314617,3.2661161163647257
ETTm2,pcsd_random,h513_720,513,720,0.26842692005094815,0.27183907662741696,1.2552119506885728
Weather,a6,h1_48,1,48,0.30005308545308507,0.2924591680790974,-2.596573540116842
Weather,a6,h49_96,49,96,0.3805627798958702,0.3768960129285302,-0.972885581582239
Weather,a6,h97_144,97,144,0.4180193243099472,0.4168587441607072,-0.27841089229798666
Weather,a6,h145_192,145,192,0.44218106627893233,0.4419072788748139,-0.061955848479233744
Weather,a6,h193_288,193,288,0.4767224029011356,0.47710766566381846,0.08074964843560739
Weather,a6,h289_336,289,336,0.5038388321786245,0.5046187219057794,0.1545502957578604
Weather,a6,h337_512,337,512,0.5378102918867032,0.5380797821086618,0.050083692218017006
Weather,a6,h513_720,513,720,0.5774336047219297,0.5761668176207083,-0.21986464032286435
Weather,pcsd_equal,h1_48,1,48,0.30005308545308507,0.2854947817511082,-5.099323922028343
Weather,pcsd_equal,h49_96,49,96,0.3805627798958702,0.37665625736555314,-1.0371585375059
Weather,pcsd_equal,h97_144,97,144,0.4180193243099472,0.4168051514294629,-0.2913046722959667
Weather,pcsd_equal,h145_192,145,192,0.44218106627893233,0.44225213967000826,0.016070785124733256
Weather,pcsd_equal,h193_288,193,288,0.4767224029011356,0.478457072360328,0.3625548788807498
Weather,pcsd_equal,h289_336,289,336,0.5038388321786245,0.5079581822286555,0.8109624363087375
Weather,pcsd_equal,h337_512,337,512,0.5378102918867032,0.5431043543905579,0.9747781362930641
Weather,pcsd_equal,h513_720,513,720,0.5774336047219297,0.5826244579192943,0.8909432356997926
Weather,pcsd_static,h1_48,1,48,0.30005308545308507,0.2848141002682248,-5.350502369970056
Weather,pcsd_static,h49_96,49,96,0.3805627798958702,0.3761408855981731,-1.175595226949322
Weather,pcsd_static,h97_144,97,144,0.4180193243099472,0.41652447723587654,-0.3588857692087499
Weather,pcsd_static,h145_192,145,192,0.44218106627893233,0.4419781836637017,-0.04590330987581659
Weather,pcsd_static,h193_288,193,288,0.4767224029011356,0.4779794999433699,0.2630022924379083
Weather,pcsd_static,h289_336,289,336,0.5038388321786245,0.5073710942679172,0.6961890673707671
Weather,pcsd_static,h337_512,337,512,0.5378102918867032,0.5424935855556106,0.8632901463914822
Weather,pcsd_static,h513_720,513,720,0.5774336047219297,0.5820565781080964,0.7942481126479328
Weather,dense_matched,h1_48,1,48,0.30005308545308507,0.32804749460362836,8.533645161463054
Weather,dense_matched,h49_96,49,96,0.3805627798958702,0.3953125500487826,3.731166680919251
Weather,dense_matched,h97_144,97,144,0.4180193243099472,0.42842320170107684,2.428411288142307
Weather,dense_matched,h145_192,145,192,0.44218106627893233,0.4505578927414307,1.8592120119191313
Weather,dense_matched,h193_288,193,288,0.4767224029011356,0.48374478041266605,1.4516699292424162
Weather,dense_matched,h289_336,289,336,0.5038388321786245,0.5108775624693129,1.3777724464286378
Weather,dense_matched,h337_512,337,512,0.5378102918867032,0.5443320043927742,1.198112999684131
Weather,dense_matched,h513_720,513,720,0.5774336047219297,0.5822109922359969,0.8205594840659969
Weather,pcsd_random,h1_48,1,48,0.30005308545308507,0.30821845278562593,2.64921430198084
Weather,pcsd_random,h49_96,49,96,0.3805627798958702,0.38425672573611724,0.9613223641487645
Weather,pcsd_random,h97_144,97,144,0.4180193243099472,0.4207743358000703,0.6547479862061056
Weather,pcsd_random,h145_192,145,192,0.44218106627893233,0.444848940110228,0.5997257924531874
Weather,pcsd_random,h193_288,193,288,0.4767224029011356,0.4789730358555344,0.46988719320676386
Weather,pcsd_random,h289_336,289,336,0.5038388321786245,0.5072201267442841,0.666632569839698
Weather,pcsd_random,h337_512,337,512,0.5378102918867032,0.5416929410305689,0.7167619973926564
Weather,pcsd_random,h513_720,513,720,0.5774336047219297,0.5806425765587736,0.5526587209401912
