dataset,region,scope,mean_probability,validation_series_rows
ETTh1,145-192,144,0.20796010844345927,15127
ETTh1,145-192,360,0.19566514217870096,15127
ETTh1,145-192,720,0.19109483087059684,15127
ETTh1,193-288,1,0.2047420895995266,15127
ETTh1,193-288,48,0.2066416339927225,15127
ETTh1,193-288,144,0.21188022646864116,15127
ETTh1,193-288,360,0.19106170670830297,15127
ETTh1,193-288,720,0.18567436810679167,15127
ETTh1,289-336,1,0.20617952208675175,15127
ETTh1,289-336,48,0.20841118579477597,15127
ETTh1,289-336,144,0.2134412567679105,15127
ETTh1,289-336,360,0.1893896471043844,15127
ETTh1,289-336,720,0.1825784130837445,15127
ETTh1,337-512,1,0.20524292898609955,15127
ETTh1,337-512,48,0.20665506104716244,15127
ETTh1,337-512,144,0.21066328007246407,15127
ETTh1,337-512,360,0.19299644987936368,15127
ETTh1,337-512,720,0.18444230944290585,15127
ETTh1,513-720,1,0.20267622914196534,15127
ETTh1,513-720,48,0.2038516889086102,15127
ETTh1,513-720,144,0.20700912915774533,15127
ETTh1,513-720,360,0.19679261952364777,15127
ETTh1,513-720,720,0.18967037046823307,15127
ETTh2,1-48,1,0.19417735633022953,15127
ETTh2,1-48,48,0.19643297901808912,15127
ETTh2,1-48,144,0.1973787332702914,15127
ETTh2,1-48,360,0.20348715521614386,15127
ETTh2,1-48,720,0.20852380111314114,15127
ETTh2,49-96,1,0.19465999549841262,15127
ETTh2,49-96,48,0.19676615318973356,15127
ETTh2,49-96,144,0.19773096518388245,15127
ETTh2,49-96,360,0.20268422116655316,15127
ETTh2,49-96,720,0.20815868943253915,15127
ETTh2,97-144,1,0.19559793014980917,15127
ETTh2,97-144,48,0.1974224383977445,15127
ETTh2,97-144,144,0.19850668345301026,15127
ETTh2,97-144,360,0.20116799800687704,15127
ETTh2,97-144,720,0.20730497469418646,15127
ETTh2,145-192,1,0.19680714501540705,15127
ETTh2,145-192,48,0.19827163268508413,15127
ETTh2,145-192,144,0.19964706735592994,15127
ETTh2,145-192,360,0.19927403180087133,15127
ETTh2,145-192,720,0.2060001480462744,15127
ETTh2,193-288,1,0.19818639563751322,15127
ETTh2,193-288,48,0.1991919589188848,15127
ETTh2,193-288,144,0.20124754031371825,15127
ETTh2,193-288,360,0.19721313883211417,15127
ETTh2,193-288,720,0.2041609912702914,15127
ETTh2,289-336,1,0.1983738648010402,15127
ETTh2,289-336,48,0.19919541575974542,15127
ETTh2,289-336,144,0.2019195052274687,15127
ETTh2,289-336,360,0.19707218083925065,15127
ETTh2,289-336,720,0.20343905808101795,15127
ETTh2,337-512,1,0.19675834247229348,15127
ETTh2,337-512,48,0.19794661634016583,15127
ETTh2,337-512,144,0.20083336110899797,15127
ETTh2,337-512,360,0.19977884913453062,15127
ETTh2,337-512,720,0.20468285944308626,15127
ETTh2,513-720,1,0.19514447664398113,15127
ETTh2,513-720,48,0.19724226103524362,15127
ETTh2,513-720,144,0.19817091128011607,15127
ETTh2,513-720,360,0.20159420670123002,15127
ETTh2,513-720,720,0.20784818182431627,15127
ETTm2,1-48,1,0.19207249334223195,75607
ETTm2,1-48,48,0.1924772561664678,75607
ETTm2,1-48,144,0.1968345492687014,75607
ETTm2,1-48,360,0.20382816714954277,75607
ETTm2,1-48,720,0.21478755948762931,75607
ETTm2,49-96,1,0.19373744520481267,75607
ETTm2,49-96,48,0.19397813148711515,75607
ETTm2,49-96,144,0.1986889946935625,75607
ETTm2,49-96,360,0.2012985060278364,75607
ETTm2,49-96,720,0.21229694788949816,75607
ETTm2,97-144,1,0.19646818025003723,75607
ETTm2,97-144,48,0.1964155544666573,75607
ETTm2,97-144,144,0.2016985243690183,75607
ETTm2,97-144,360,0.19715121212278952,75607
ETTm2,97-144,720,0.2082665541184657,75607
ETTm2,145-192,1,0.19945532400821517,75607
ETTm2,145-192,48,0.19904564970038935,75607
ETTm2,145-192,144,0.2048128535879277,75607
ETTm2,145-192,360,0.1928019689257496,75607
ETTm2,145-192,720,0.20388422910493256,75607
ETTm2,193-288,1,0.202988212264165,75607
ETTm2,193-288,48,0.2021520203680952,75607
ETTm2,193-288,144,0.2074328918119232,75607
ETTm2,193-288,360,0.18911839626805466,75607
ETTm2,193-288,720,0.19830850476328432,75607
ETTm2,289-336,1,0.20486109404413833,75607
ETTm2,289-336,48,0.203922450299146,75607
ETTm2,289-336,144,0.20700178973895386,75607
ETTm2,289-336,360,0.18988893656942435,75607
ETTm2,289-336,720,0.1943257545964214,75607
ETTm2,337-512,1,0.20389279850978376,75607
ETTm2,337-512,48,0.2037137291589081,75607
ETTm2,337-512,144,0.20217561950974589,75607
ETTm2,337-512,360,0.19732093083517846,75607
ETTm2,337-512,720,0.19289695128938614,75607
ETTm2,513-720,1,0.2015778162822545,75607
ETTm2,513-720,48,0.20323114156717503,75607
ETTm2,513-720,144,0.20037618642383057,75607
ETTm2,513-720,360,0.19909315917439946,75607
ETTm2,513-720,720,0.19572173392620562,75607
