dataset,region,scope,mean_mse,mean_mae,is_region_best_mse,is_region_best_mae,validation_series_rows
ETTh2,337-512,48,0.7446153845995495,0.6179376146845692,False,False,15127
ETTh2,337-512,144,0.743703263056926,0.6172021576140916,False,False,15127
ETTh2,337-512,360,0.7432479032857041,0.6175220733391613,False,False,15127
ETTh2,337-512,720,0.734644214032065,0.6155172791503163,True,True,15127
ETTh2,513-720,1,0.9263681342448874,0.6926725656419663,True,False,15127
ETTh2,513-720,48,0.9328232758270985,0.6942609533728639,False,False,15127
ETTh2,513-720,144,0.9324575016921686,0.6930629984719047,False,False,15127
ETTh2,513-720,360,0.9329241246320017,0.6922322791009411,False,True,15127
ETTh2,513-720,720,0.9338472982689208,0.6947215530547783,False,False,15127
ETTm2,1-48,1,0.10166575768738993,0.21781634535744293,False,False,75607
ETTm2,1-48,48,0.10198847516401,0.21784123727181864,False,False,75607
ETTm2,1-48,144,0.09703886311457878,0.21221518088499464,False,False,75607
ETTm2,1-48,360,0.09208825797052637,0.20666213341211817,False,False,75607
ETTm2,1-48,720,0.08936923132706139,0.2032564347684401,True,True,75607
ETTm2,49-96,1,0.14749006867276965,0.26435924899580243,False,False,75607
ETTm2,49-96,48,0.14783744231007567,0.26437085656681786,False,False,75607
ETTm2,49-96,144,0.14572497593396772,0.26261264706051896,False,False,75607
ETTm2,49-96,360,0.13568008674497992,0.25484477444543696,False,False,75607
ETTm2,49-96,720,0.13209475075639995,0.2509443927552211,True,True,75607
ETTm2,97-144,1,0.1845303902752809,0.2952976164332384,False,False,75607
ETTm2,97-144,48,0.18540003463029406,0.29569172185999165,False,False,75607
ETTm2,97-144,144,0.18694583415800375,0.2969969235290312,False,False,75607
ETTm2,97-144,360,0.17713641355173038,0.2909100487773033,False,False,75607
ETTm2,97-144,720,0.17236880654692885,0.2875001570371842,True,True,75607
ETTm2,145-192,1,0.2085310643304212,0.31536172669737533,False,False,75607
ETTm2,145-192,48,0.208212176021193,0.3150164715862254,False,False,75607
ETTm2,145-192,144,0.20480541140608796,0.3139581542003218,False,False,75607
ETTm2,145-192,360,0.20543017606957462,0.3137894432137075,False,False,75607
ETTm2,145-192,720,0.20318198950499117,0.3126812786977874,True,True,75607
ETTm2,193-288,1,0.24663220110534423,0.34467890052987876,False,False,75607
ETTm2,193-288,48,0.24650537590329535,0.3443650605691444,False,False,75607
ETTm2,193-288,144,0.24431803664283433,0.3431260354771904,False,False,75607
ETTm2,193-288,360,0.24499633792510897,0.3415616391829637,False,False,75607
ETTm2,193-288,720,0.2429632763185993,0.34065530780664743,True,True,75607
ETTm2,289-336,1,0.27703568083504354,0.36566594514573997,False,False,75607
ETTm2,289-336,48,0.2758588852207885,0.3656020470644043,False,False,75607
ETTm2,289-336,144,0.27395738000730385,0.365249310876059,True,False,75607
ETTm2,289-336,360,0.27688964562477597,0.3627359280484057,False,False,75607
ETTm2,289-336,720,0.2745069292294062,0.3621204153053558,False,True,75607
ETTm2,337-512,1,0.3272413242011591,0.39434197915624514,False,False,75607
ETTm2,337-512,48,0.32797546837363883,0.39400016026087076,False,False,75607
ETTm2,337-512,144,0.3214363616303489,0.3925117631744696,False,False,75607
ETTm2,337-512,360,0.3251359008487213,0.39133757965163685,False,False,75607
ETTm2,337-512,720,0.3123002141414742,0.3861893180981258,True,True,75607
ETTm2,513-720,1,0.38755551904172547,0.4215400615887596,False,False,75607
ETTm2,513-720,48,0.3873117010880048,0.42022582842543965,False,False,75607
ETTm2,513-720,144,0.38093526026245106,0.4200688801570931,False,False,75607
ETTm2,513-720,360,0.374480328732294,0.4178434319105901,False,False,75607
ETTm2,513-720,720,0.3643291984655886,0.41577282572948776,True,True,75607
